"Index","Telugu Text","Mapped English Text"
"1","**[NO TELUGU MATCH FOUND]**","[footsteps approaching]"
"2","**[NO TELUGU MATCH FOUND]**","[panting]"
"3","**[NO TELUGU MATCH FOUND]**","[grunts]"
"4","**[NO TELUGU MATCH FOUND]**","[vehicle motion alarm beeping]"
"5","**[NO TELUGU MATCH FOUND]**","[beeping stops]"
"6","**[NO TELUGU MATCH FOUND]**","[grunts]"
"7","**[NO TELUGU MATCH FOUND]**","[both grunt]"
"8","**[NO TELUGU MATCH FOUND]**","[grunts]"
"9","**[NO TELUGU MATCH FOUND]**","[engine starts]"
"10","**[NO TELUGU MATCH FOUND]**","[engine revs]"
"11","**[NO TELUGU MATCH FOUND]**","[theme song playing]"
"12","**[NO TELUGU MATCH FOUND]**","[inhales sharply]"
"13","**[NO TELUGU MATCH FOUND]**","[grunts, sighs]"
"14","**[NO TELUGU MATCH FOUND]**","[grunting]"
"15","**[NO TELUGU MATCH FOUND]**","[sighs]"
"16","**[NO TELUGU MATCH FOUND]**","[breathing heavily]"
"17","**[NO TELUGU MATCH FOUND]**","[somber music playing]"
"18","**[NO TELUGU MATCH FOUND]**","[sighs]"
"19","**[NO TELUGU MATCH FOUND]**","[ambient music playing]"
"20","రీసైకిల్","**[NO ENGLISH MATCH FOUND]**"
"21","**[NO TELUGU MATCH FOUND]**","[grunting]"
"22","**[NO TELUGU MATCH FOUND]**","[panting]"
"23","**[NO TELUGU MATCH FOUND]**","[inhales sharply, sighs]"
"24","హలో! నువ్వు బానే ఉన్నావా?","- Hello! - [gasps] You okay?"
"25","క్షమించు, మేము నిన్ను భయపెట్టాలి అనుకోలేదు.","Sorry, we didn't mean to startle you."
"26","మేము ఇలా చెప్పాబెట్టకుండా రావాలనుకోలేదు కానీ, నువ్వు ఏమీ అనుకోనంటే ఒక మాట, నువ్వు కాసేపు ఆగి విశ్రాంతి తీసుకుంటే మంచిది.","We wouldn't have intruded but, um, if you don't mind us saying, maybe you could slow down and take a break."
"27","నువ్వు రెండు గంటల నుండి ఆగకుండా పని చేస్తున్నావు. మీరు నా మీద నిఘా పెట్టారు.","You've been at it for two hours straight. You people are spying on me."
"28","ఓహ్, లేదు. నువ్వు బయట ఉన్నావు కాబట్టి మాకు తెలిసింది.","Oh, no. You just happened to be outdoors this morning."
"29","ఎలా? ఎక్కడ? మీరు నన్ను ఎక్కడి నుండి చూస్తున్నారు?","How? Where? [stammers] Where are you watching me from?"
"30","- ఒక ఎంక్యూ-9 రీపర్. - ఏంటి?","- An MQ-9 Reaper. - A what?"
"31","అదొక ఎయిర్ ఫోర్స్ డ్రోన్. అది…","It's an Air Force drone. It's..."
"32","నాకు ఏమీ కనిపించడం లేదు.","I don't see anything."
"33","అవును, నీకు ఏం కనిపించదు. అది ఆకాశంలో 40,000 అడుగుల ఎత్తులో ఉంది.","Yeah, no, you wouldn't really. It's... It's way up at 40,000 feet."
"34","అది ప్రమాదకరమైంది కాదు. దానికి బాంబులు కూడా లేవు.","It's not dangerous. It's not even armed."
"35","క్షమించు. తప్పైపోయింది. అది వెళ్ళిపోతోంది.","Sorry. Bad idea. It's leaving."
"36","ప్లీజ్? నువ్వు కొన్ని నీళ్లు తాగితే మాకు చాలా సంతోషంగా ఉంటుంది.","Please? We'd feel so much better if you'd hydrate."
"37","అందులో ఏం ఉంది?","What's in it?"
"38","నీళ్లు. ఇంకేమైనా ఉందా? నన్ను కూడా మీలాగా చేసేది ఏదీ లేదా?","Water. And what else? Something that's gonna make me turn into one of you?"
"39","లేదు, ఆ పని ఎలా చేయాలో తెలియడానికి ఇంకా చాలా నెలలు పడుతుంది.","No, we're months away from knowing how to do that."
"40","జార్మల్ గర్కీ దీన్ని తాగొచ్చు అంటున్నాడు.","Jarmell Gurky says it's okay."
"41","జార్మల్ గర్కీ ఎవరు? అతను విన్స్టన్-సేలమ్ లో బాటిలింగ్ లైన్ సూపర్వైజర్.","Who is Jarmell Gurky? He's a bottling line supervisor in Winston-Salem."
"42","ఈ బాటిల్ లో మే ఎనిమిదిన నీళ్లు నింపినప్పుడు ఆక్వాఫీనా ప్లాంట్ రెండవ షిఫ్ట్ అతనే నడిపించాడు.","He was running the second shift at the Aquafina plant when this got filled on May 8th."
"43","అతనికి తెలిసినంత వరకు ఇవి మంచి నీళ్లు మాత్రమే.","To the best of his knowledge, it's just good clean water."
