"Index","Telugu Text","Mapped English Text"
"1","అవి ఉన్నాయా?","Do you have them?"
"2","థ్యాంక్యూ.","Thank you."
"8","హేయ్.","Hey."
"8","హేయ్.","Hey."
"9","వీకెండ్ జరిగిన అవుటింగ్ ఎలా జరిగింది?","How was the weekend thing?"
"10","బాగానే జరిగింది అనుకుంటున్నా.",", good, I guess."
"11","కానీ నా పని అవతారం తాడుపై నుండి కింద పడ్డాడట.","Although my innie fell off a rope, apparently."
"12","తాడుపై నుండా?","A rope?"
"13","ఏమైనా గాయం తగిలిందా?","Are you hurt?"
"14","లేదు, నేను తడిచాను, అంతే.","No, I just got a little wet, that's all."
"15","బాబోయ్, వీళ్ళు ఎప్పుడూ ఏదోకటి చేస్తూనే ఉంటారు కదా.","Jesus, it's like it never ends with these guys."
"16","అసలేం జరిగిందో తెలుసా నీకు?","Do you know what the fuck actually happened?"
"17","తెలీదు.","I have no idea."
"18","అబ్బా.","Fuck."
"18","""కళ్ళలోకి లైట్ వేసుకొని గుర్తు ఉంచుకొనే"" పని ఎలా సాగుతోంది?","Well, how's the old, , ""burning shit into your eyeballs"" thing going?"
"19","ఎక్కువ సేపు గుర్తుంచుకోలేకపోతున్నా.",", I still can't get it to last long enough."
"20","సరే.","Okay."
"20","మరేం చేద్దాం?","So, what do we do?"
"20","ప్రయత్నిస్తూ ఉండాలనుకుంటా.",", just keep trying, I guess."
"21","ఇంకేమైనా ఐడియాలు తట్టాయా?","Do you have any other ideas?"
"22","హేయ్, క్షమించు.",", hey, I'm sorry."
"22","ఆఫీసుకు వెళ్ళాలి.","I gotta get to work."
"23","సరే.","All right."
"23","బై.","Bye."
"23","హా.","Yeah."
"23","బై.","Bye."
"24","హేయ్.","Hey."
"24","నీ వాషింగ్ మెషిన్ బాగుచేయించుకోవయ్యా.","You need to get your dryer fixed."
"25","హా.","Yeah."
"25","నువ్వే ఇంకెక్కడైనా ఉండవచ్చు కదా.","Or you could just, like, not live here."
"26","ఊరికే వస్తూ పోతూ ఉండలేను కదా.","I can't keep coming in and out."
"27","వాళ్ళు మనల్ని గమనిస్తున్నారంటావా?","You think they're watching us?"
"28","నువ్వు ఎంత పిచ్చిగా నటిస్తున్నావనే దానిపై ఆధారపడి ఉంటుంది అది.","Depends on how dumb you've played it."
"29","హేయ్, ప్రయోగం ఎప్పుడు చేద్దాం?","Hey, when do we keep going?"
"30","ఇవాళ రాత్రి చేయవచ్చు.","Maybe tonight."
"30","తర్వాత నిర్ణయిస్తాలే.","I'll decide later."
"31","ఎందుకంటే, నాకేమీ గుర్తులేదు.","'Cause I haven't remembered anything else."
"32","సరే.","Right."
"32","నీ పని అవతారానికి గుర్తు ఉందేమో.","Well, maybe your innie has."
"35","నువ్వు కోలుకోవడానికి మిగిలిన వీకెండ్ అంతా తీసుకున్నావా?","You took the rest of the weekend to recover?"
"36","నేను బాగానే ఉన్నాలే.","I'm fine."
"37","విషయం నాన్నకి తర్వాత చెప్పనా?","Will I be updating Father later?"
"38","నేనే చెప్తా ఆయనకి.","He should hear it from me."
"39","ఈ అవాంఛనీయ సంఘటనల గురించి ఆయనకి చెప్పకపోవడమే మేలనుకున్నాం.","We have decided to spare him knowledge of this contretemps."
"40","తన కూతురికి ఏమీ కాలేదని, ప్రాణాలతోనే ఉందని ఆయనకి తెలియజేయండి.","Well, please let him know that his daughter is alive and well."
"41","మళ్ళీ నీ ఎమోషన్స్ బ్యాలెన్స్ అయిపోతాయని మెడికల్ టీమ్ చెప్పింది.","The medical team says your tempers will rebalance quickly."
"42","మంచిదే.","Good to hear."
"43","అంత పెద్ద సంఘటన జరిగింది కనుక కాస్తంత భయాందోళనలు అలాగే ఉండిపోవచ్చు.","Some residual trauma is to be expected after such an ordeal."
"44","నువ్వు కోలుకోవడానికి ఈ సాయంత్రం మరొక సెషన్ ని ఏర్పాటు చేయనా?","Perhaps we could arrange another obligement session this evening."
"45","నేను బాగానే ఉన్నానని అన్నా కదా.","I said I'm fine."
"46","మనం లక్ష్యానికి దగ్గర ఉన్నాం, హెలెనా.","We're close, Helena."
"47","అతను ఎక్కడ ఉన్నాడు, 78% దగ్గరనా?","What's he at, 78%?"
"48","శుక్రవారంతో అది 81 అయింది.","Eighty-one. As of Friday."
"49","ఇంకా ఎంతో కాలం పట్టదు.","It won't be much longer."
"50","నువ్వు ఇది చేయగలవు.","You can do this."
"51","నేను మళ్ళీ అక్కడికి వెళ్ళను.","I'm not going back down there."
"52","నువ్వు కాదు కదా.","It won't be you."
"52","నీ పని అవతారం కదా.","It will be your innie."
"53","నన్ను చంపాలని చూసిన నా పని అవతారమా?","My innie who tried to kill me?"
"54","ఆ తర్వాత ఇంకొకరు చంపాలని చూశారు నన్ను.","And then the other one tried to kill me."
"55","వాళ్ళు ఆటవిక పశువులు.","They're fucking animals."
"56","నేను మళ్ళీ నటిస్తాను.","I'll just fake it again."
"57","ఆ అవకాశం మళ్ళీ తీసుకోలేము.","We can't take that chance."
"58","మనం దీన్ని సరిచేయాలి.","We need to clean this up."
"59","ఈ వీకెండ్ మిల్చెక్ వల్ల చాలా తప్పులు జరిగాయి కాబట్టి మనకి మరో దారి లేదు.","Milchick's many errors this weekend have forced our hand."
"60","నాన్న ఓకే అన్నాడా?","And Father approves?"
"61","నాన్న ప్రోత్సహించాడు.","Father encouraged it."
"62","అది రిస్కే.","It's a risk."
"63","అది మాకు తెలుసు.","We know this."
"64","కానీ మరో దారి లేదు.","But there is no other solution."
"65","తను లేకపోతే మార్క్ ఎస్ పని చేయడు.","Mark S. won't work without her."
"66","పని కూడా రహస్యమైనది, ముఖ్యమైనది.","And the work is mysterious and important."
"67","కాబట్టి, అతనికి ఆమెని మనం ఇవ్వాల్సిందే.","So we must give him her."
"69","నీ త్యాగాన్ని బోర్డు కొనియాడుతోంది.","The Board appreciates your sacrifice."
"73","గుడ్ మార్నింగ్, హెల్లీ ఆర్.","Good morning, Helly R."
"74","ఎవరు నువ్వు?","Who the fuck are you?"
"75","నేను మిస్ హ్వాంగ్ ని.","I'm Miss Huang."
"76","అయ్య బాబోయ్.","What the hell?"
"77","దయచేసి నా వెంటే రండి.","Please follow me."
"78","మిస్టర్ మిల్చెక్ వివరిస్తాడు.","Mr. Milchick will explain."
"80","హేయ్.","Hey."
"80","హేయ్.","Hey."
"81","ఆమె ఆమె పని అవతారం.","Is she Her innie."
"83","ఎండిఆర్.","MDR."
"84","మళ్ళీ ఏకమైపోయారు.","Together again."
"85","లోపలికి రండి.","Come on in."
"86","ఏం జరుగుతోందో నాకు తెలియాలి.","I need to know what's going on."
"87","ఇప్పుడే తెలియాలి.","Like, right now."
"88","అర్వింగ్ ఎక్కడ?","Where's Irving?"
"89","నన్నెందుకు చంపాలని చూశాడు?","And why was he trying to drown me?"
"90","ఎందుకంటే నువ్వు ఈగన్ వి కాబట్టి.","'Cause you're a fucking Eagan."
"91","తను మా మీద ఓ కన్నేసి ఉంచిందా?","Was she spying on us?"
"91","బాబోయ్, ఏంటి?","Wait, what?"
"92","ఇప్పటి దాకా చేసిందదే.","The whole time."
"93","దాన్ని గ్లాస్ గో బ్లాక్ అని అంటారు.","It's called a Glasgow block."
"94","దాని వల్ల ఒకరి పనియేతర అవతారం ఒక్క నిమిషం.","It allows one's outie to Wait, wait, wait."
"95","తను ఇక్కడికి వచ్చింది అని అంటున్నావా?","Are you saying that she was down here?"
"96","నాలా?","As me?"
"97","బహుశా తను ఇంకా బయటి మనిషే ఏమో.","Maybe she still is."
"98","హేయ్, ఎన్నిసార్లు అడగాలి? అర్వింగ్ ఎక్కడ?","Hey, I repeat myself. Where is Irving?"
"99","అవును, ఎక్కడ అతను?","Yeah, where is he?"
"99","నాకు చాలా అయోమయంగా ఉంది.","I'm so confused."
"100","నేను అడిగిన దానికి జవాబు చెప్పు!","Answer my question!"
"101","కాస్త ఆగండి.","Excuse me."
"102","హెలెనా ఈగన్, తనకున్న ఎగ్జిక్యూటివ్ హోదాలో ఇక్కడ విలువైన పరిశోధన చేస్తూ ఉండింది.","Helena Eagan, in her executive capacity, was conducting valuable research."
"103","అక్రమంగా నా దేహాన్ని వాడుకొనా?","By stealing my fucking body?"
"104","ఈ విషయంలో, మేనేజ్ మెంట్ ఉద్దేశం ఏంటో అర్వింగ్ కి అస్సలు తెలీదు, కాబట్టి, అతడు నిన్ను నీట ముంచి చంపబోయాడు.","Irving had no knowledge of what management's intention was in this action, and in so doing, he nearly drowned you."
"105","అతడిని ఉద్యోగంలోంచి తీసేయడం తప్ప మాకు మరో దారి లేకుండా పోయింది.","Our only option was permanent dismissal."
"106","అయితే, అతను చనిపోయినట్టేనా?","So he is dead?"
"107","లేదు.","No."
"108","అర్వింగ్ బీ పనియేతర అవతారం సుదీర్ఘ సముద్రయానాన్ని చేపట్టారు.","Irving B's outie has departed on an elongated cruise voyage."
"109","అతని పనియేతర అవతారంతో నాకేంటి పని!","I don't give three dry fucks about his outie."
"110","తనకి నా గుర్తింపును తీసుకొనే హక్కు లేదు.","She doesn't She doesn't have the right to ta to take my identity."
"111","మీరు ఎప్పుడైనా ""గ్రక్ షూపెన్"" కథని విన్నారా?","Have you ever heard the story of the Gråkappan?"
"112","మేము వినలేదులే.",", let's assume we haven't."
"114","ప్రాచీన కాలంలో, స్వయంగా స్వీడన్ రాజు మారువేషంలో వెళ్లి అతని ప్రజలతో తిరిగేవాడు, వారి అసలైన బాధలను తెలుసుకోవాలని అతను అలా చేసేవాడు.","In ancient times, the king of Sweden himself was known to go incognito amongst his people in the hopes of learning their true grievances."
"115","బూడిద రంగులోని ఒక పాత గుడ్డ, ""గ్రక్ షూపెన్""ని ఆయన ధరించేవాడు, అలా ఆ పేరు ఆయనకి ముద్రపడిపోయింది, తన రాచరిక వస్త్రాలను దాచుకోవడానికి దాన్ని ధరించేవాడు.","He would don an old, gray robe, a Gråkappan, the name for which he was remembered, to disguise his royal vestments."
"116","ఈథర్ ఫ్యాక్టరీల్లో కియర్ ఈగన్ కూడా ఇలానే చేసేవాడు, అలాగే మిస్ ఈగన్ కూడా ఆ అద్భుతమైన సంప్రదాయాన్ని కొనసాగిస్తూ ఉండింది.","Kier Eagan himself was known to do so in his ether factories, and Ms. Eagan was carrying on this noble tradition."
"117","ఇదంతా ఏదో తేడాగా ఉంది.","This smells like horseshit."
"118","అవును.","Yeah."
"118","తొక్కలో స్వీడన్ కథ అది, ఓ పక్క అర్వింగ్ చనిపోయాడు.","Swedish horseshit, and Irving is still dead."
"119","నేను చెప్పా కదా, అర్వింగ్ బీ పనియేతర అవతారం సుదీర్ఘ.","As I said, Irving B's outie has departed on an elonga."
"120","సుదీర్ఘ సముద్రయానాన్ని చేపట్టారు.","On an elongated cruise voyage."
"120","ఆ ముక్క నాకు తెలుసు.","Yeah, I know."
"121","అతను మళ్ళీ వస్తాడా, రాడా?","Is he gonna come back or not?"
"122","రాడు.","He is not."
"123","వావ్.","Wow."
"123","మొత్తానికి నిజాయితీగా ఒప్పుకున్నాడు.","Some actual honesty."
"124","హంతుకులు మీరు.","You fucking murderers."
"125","మీరు జనాలతో ఇలా ఆడుకుంటే ఎలా!","You can't do this to people."
"126","జరిగిన దాన్ని జీర్ణించుకోవడానికి కాస్త సమయం పడుతుంది.","It will take time to absorb all that has occurred."
"127","ఈ సమావేశం బాగానే జరిగింది.","This went well."
"128","మీతో ఎండిఆర్ దాకా వచ్చి, మీ కొత్త వర్కింగ్ స్పేస్ ని మీకు పరిచయం చేస్తా.","Allow me to escort you to MDR and help reacclimate you to your work environment."
"129","అయ్య బాబోయ్!","What in the abominable fuck?"
"130","ఇది నీ డెస్క్.","This is you."
"131","సమస్యే లేదు.","Hell no."
"131","నేను దాని దరిదాపుల్లోకి కూడా వెళ్ళను.","I'm not going near that thing."
"132","డిలన్, ప్లీజ్.","Dylan, please."
"134","దీనికి ఫీడ్ బ్యాక్ చెప్పమంటే, నాకు అస్సలు నచ్చలేదని చెప్తా.","If you're taking feedback, I hate it."
"135","నాకు కూడా.","Same."
"136","మన టీమ్ అవుటింగ్ లో అనుకున్నవి, అనుకోనివి చాలానే జరిగాయి.","Well, the ORTBO was a challenge for us all in ways expected and non."
"137","అంటే జేమ్ ఈగన్ కూతురు మాపై కన్నేసి ఉంచడమా?","You mean like Jame Eagan's daughter Gråkappanning us?"
"138","జాగ్రత్త, డిలన్.","Careful, Dylan."
"138","మాట జారితే వెనక్కి తీసుకోలేము.","Words have consequences."
"139","కొన్ని అధికారాలని బలవంతాన రద్దు చేస్తున్నాను.","I'd hate to rescind certain privileges."
"140","మీ వస్తువులన్నీ, ముగ్గురు పని చేసే వీలున్న ఈ కొత్త వర్క్ ప్లేస్ కి తరలించబడ్డాయని మీరు గమనించే ఉంటారు.","As you can see, all of your items have been moved to your new work tri-stations."
"141","హాల్ పాసులు అందుబాటులోనే ఉంటాయి.","Hall passes will still be available."
"142","అంత్యక్రియలు ఏర్పాటు చేద్దాం.","Let us have a funeral."
"143","ఏమన్నావు?","I'm sorry?"
"144","అర్వింగ్ ఒక మనిషి, కానీ ఇప్పుడు లేడు.","Irving is a person, and he's gone."
"145","కాబట్టి, అంత్యక్రియలు ఏర్పాటు చేయమని కోరుతున్నాం.","So, we'd like to have a funeral."
"146","రిటైర్మెంట్ పార్టీ కాదు, అంత్యక్రియలు.","Not a retirement party, a funeral."
"147","ఏమంటారు?","Right?"
"148","అవును.","Yeah."
"149","అంత్యక్రియలు.","A funeral."
"150","ఇదే ఎండిఆర్ శాఖ అభిప్రాయమా?","Is this MDR's position?"
"151","ఓయ్?","Dude?"
"152","కాస్త సపోర్ట్ చేస్తావా?","Little help?"
"153","తప్పకుండా.",", sure."
"153","కాకపోతే త్వరగా కానిచ్చేద్దాం.","As long as it's quick."
"154","త్వరగానా?","Quick?"
"154","అవును.","Quick."
"154","త్వరగా.","Yes."
"155","రోజంతా అయితే కష్టం కదా.","So it doesn't take up the whole day."
"156","సరిగ్గా చెప్పావు, మార్క్.","Well said, Mark."
"157","ఎలా అయినా ఏర్పాటు చేసే ప్రయత్నం చేస్తా.","I'll see if we can pull something together."
"158","ఈలోపు, మీ దగ్గరున్న ఫైళ్ల పని పట్టండి.","In the meantime, let's make some forward progress on the files at hand."
"159","ఏమంటారు?","Shall we?"
"160","థ్యాంక్యూ.","Thank you."
"161","నీకు కాదు.","Not you."
"165","మిస్ హ్వాంగ్, ఎండిఆర్ కోసం సంతాప సభను ఏర్పాటు చేయాలి, సామానంతా సిద్ధంగా ఉంచు.","Miss Huang, we need to ready a bereavement kit for MDR."
"166","నేను బ్యాక్ ఆఫీసులో ఉంటా, వచ్చి కలవు.","Meet me in the back office."
"168","మార్క్?","Mark?"
"169","హలో?","Hello?"
"170","నేను లోపలికి వస్తా.","I'm gonna come in."
"170","వస్తున్నా.","I'm coming in."
"172","హేయ్.","Hey."
"173","నువ్వు బాగానే ఉన్నావా?","Are you okay?"
"174","లేదు. అంతా తేడాగా ఉంది.","No, not really."
"175","అవును.","Yeah."
"175","ఇదంతా గడబిడగా ఉంది.","This is seriously fucked up."
"176","అవును.","Yeah."
"178","నువ్వు గమనించలేకపోయావా?","You couldn't tell?"
"179","తను నేను కాదని?","That she wasn't me?"
"180","ఎలా తెలుస్తుంది!","Obviously not."
"181","తను ఎలా ఉంది?","What was she like?"
"183","నీలా.","Like you."
"184","లేకపోతే నువ్వే ఆమెలా ఉన్నావేమో! ఏమో అబ్బా.","Or you're like her? I don't know."
"185","నువ్వెవరో నాకు తెలీదనుకుంటా.","I don't know who you are, I guess."
"186","నీకు బాగా తెలుసు.","Yes, you do."
"187","సరే.","Okay."
"188","నా పనియేతర అవతారం నన్ను హైజాక్ చేసింది, అందులో నేను చేసిన తప్పేంటి!","It's-It's not my fault that my outie hijacked me."
"189","హా. నీ తప్పేం లేదు. అర్థం చేసుకోగలను. అది దారుణం.","Yeah. No. No, totally. I get it. It s-sucks."
"190","మార్క్ హా.","Mark Yeah."
"191","బయట ఏం జరిగింది?","What happened to you up there?"
"192","ఏం జరిగితే ఏంటి!","Doesn't matter."
"193","ఏం జరిగితే ఏంటా?","It doesn't matter?"
"193","అవును.","No."
"194","నాకేం జరిగిందో తెలుసుకోవాలని లేదా?","Don't you want to hear what happened to me?"
"195","నాకు తెలుసుకోవాలని లేదు.","No, I don't."
"195","దాన్ని, మర్చిపోయే ప్రయత్నం చేద్దాం.","And, , let's just try to forget it."
"195","సరేనా?","Okay?"
"200","ఇక్కడ ఎవరైనా పని అవతారాలు చనిపోతేనే సంతాప సభలు ఏర్పాటు చేస్తారనుకున్నా.","I thought bereavement events were for innies who die on the floor."
"201","అవును.","Yes."
"202","కానీ అర్వింగ్ బీ అంటే వాళ్లకి చాలా అభిమానం ఉంది.","Well, the Affections Index for Irving B. Was in the high 60s."
"203","ఇది పెడితే, వాళ్ళు బాధను మర్చిపోగలరు.","It will help the others to grieve."
"204","నేను ఒకటి అడగవచ్చా?","May I say a question?"
"205","తప్పకుండా.","You may."
"206","మీరు అంత్యక్రియలు ఏర్పాటు చేయకూడదు.","You shouldn't let them have a funeral."
"207","చేస్తే, వాళ్ళు కూడా మనుషులే అన్న ఫీలింగ్ వాళ్లకి వస్తుంది.","It makes them feel like people."
"208","అది ప్రశ్న కాదే.","That wasn't a question."
"209","అది నీ అభిప్రాయం.","That was an opinion."
"210","అక్కర్లేని అభిప్రాయం అది.","Unsolicited."
"211","మీ మొదటి పనితీరు రివ్యూ ఇవాళే, కదా?","Your first performance review is today, right?"
"212","ఇది ప్రశ్నే.","That was a question."
"213","స్నాక్స్, డ్రింక్స్ సంగతి నేను చూస్తా.","I'll ready the refreshments."
"214","నువ్వు అంత్యక్రియల సంబంధిత బోర్డుల సంగతి చూడు.","You focus on the mournful signage."
"217","నేడు అర్వింగ్ బీ జ్ఞాపకార్థం ఈ సభ నిర్వహిస్తున్నాం.","Today we honor Irving B."
"219","సాధారణంగా, ఏ పని అవతారమైనా కియర్ తో ఏకమైపోయేటప్పుడు, మనం రిటైర్మెంట్ పార్టీ ఇస్తాం, దానికి వారు కూడా వస్తారు.","Normally, when an innie goes to be with Kier, we hold a retirement party, which they attend."
"220","కానీ ఈ పరిస్థితికి దారితీసిన బాధాకరమైన హాఠాత్పరిణామాల దృష్ట్యా, అది సాధ్యం కాదు.","But given the sudden and frigid events which brought us here, that's not feasible."
"221","కాబట్టి, అందరం తొమ్మిది సెకన్ల పాటు మౌనంగా అర్వింగ్ ని తలుచుకొని, అతనితో కలిసి పని చేసే అవకాశం ఇచ్చినందుకు కియర్ కి ధన్యవాదాలు తెలుపుకుందాం.","As such, let us each take nine seconds to silently remember Irving and thank Kier for our time with him."
"222","అయిపాయింది.","There."
"222","ఇక మీరు తలలు పైకెత్తి, కళ్ళు తెరవవచ్చు.","You may now lift your heads and open your eyes."
"223","ఇప్పుడు అర్వింగ్ గురించి డిలన్ జీ, మూడు ముక్కలు మాట్లాడతారు.","We will now have a eulogy from Dylan G."
"225","అర్వింగ్ కి ఫలానాదంటే ఇష్టమని చెప్పడం కష్టం.","It's hard to pinpoint a favorite Irving story."
"226","ప్రపంచంలోనే అత్యంత విరక్తి గాడైనా, చాలా సరదాగా ఉండేవాడు.","For the least fun guy in the world, he was really fun."
"227","వెర్రోళ్లంటే ఇలా కూడా ఉంటారా అనిపించేలా ఉంటాడు.","He put the ""dick"" in contradiction."
"228","ఒకసారి టోనర్ ని పాడు చేసినందుకు నా మీద గుర్రుగా ఉన్నాడు, అందుకని ఆ టోనర్ ని నేను నీళ్లు తాగే కప్పులో పెట్టాడు.","One time, he was pissed at me for watering down the toner, so he put toner in my water cup."
"229","కానీ తాగే ముందు నన్ను ఆపాడు అనుకోండి.","He stopped me before I drank it, though."
"230","అతని ఉద్దేశం, నా తప్పును ఎత్తి చూపడం, నాకు హాని తలపెట్టడం కాదు.","He just wanted to make a point, not harm me physically."
"231","కానీ అతను హెచ్చరించిన విషయాన్ని మర్చిపోయి అనుకోకుండా ఒక గుటక నీళ్లు తాగేశాను.","But I did accidentally take a sip of it later 'cause I forgot he said that."
"232","చివర్లో ఒక విషయంలో సాయం చేయమని అడిగాడు, కానీ నేను పట్టించుకోలేదు.","He asked me for help with something near the end, and I didn't listen."
"233","ఇక ఆఖరి క్షణాల్లో, నువ్వు గంగలో దూకి చావడం మేలని ఆయన నన్ను అన్నా, అది తగినదే అవుతుంది.","And in his final moments, he would have been totally justified in telling me to suck my own fuck."
"234","కానీ ఆయన అలా అనలేదు.","But he didn't."
"235","హా.","Yeah."
"236","ఆయన చాలా గొప్ప వాడు, మిస్ అవుతున్నాను ఆయన్ని.","He was awesome, and I miss him."
"237","థ్యాంక్యూ, డిలన్ జీ.","Thank you, Dylan G."
"238","ఎప్పుడూ ఎడాపెడా మాటలనే నువ్వు సెంటిమెంటల్ అయ్యావు.","A little sugar with your usual salt."
"239","వచ్చినందుకు, పాల్గొన్నందుకు ధన్యవాదాలు.","Thank you for your attendance and your participation."
"240","ఇప్పుడు మీరు అర్వింగ్ తల ఆకారంలో ఉన్న ఆ పండును తినవచ్చు, బ్లాక్ బ్యూటీ వాటర్ మెలన్ ని వాడి తల మీద అలా నల్ల రంగు కనిపించేలా చేశాం.","You may now briefly partake in Irving's fruit head, whose dark hair is courtesy of the Black Beauty Watermelon."
"241","అది మలేషియాలో పండే రకం.","From the country of Malaysia."
"242","మిస్ హ్వాంగ్.","Miss Huang."
"244","నాకు వాయించే అవకాశం దక్కుతుందేమో అని భావించా.","I thought I was going to perform."
"245","హా, కానీ పరిస్థితులు మాములుగా ఉన్నప్పుడు థెరమిన్ సంగీతం ప్రభావంతంగా ఉంటుందని నా ఫీలింగ్.","Yes, well, I feel the theremin works best in moderation."
"246","కానీ నేను ప్రాక్టీస్ నాకు తర్వాత వినిపించుదూలే.","But I practiced You can play your piece for me later."
"247","సరేనా?","Yes?"
"250","నువ్వు బాగానే ఉన్నావా?","You okay?"
"251","నువ్వు?","How about you?"
"252","బాగానే ఉన్నా.","Okay."
"254","నువ్వు ఉండట్లేదా?","You're not staying?"
"255","నేను పని కానివ్వాలి, కానీ కార్యక్రమం బాగా జరిగింది.","I gotta get to work, but great ceremony, guys."
"256","నిజంగా అంటున్నావా?","Seriously?"
"257","అంటే, కార్యక్రమం అయిపోయిందిగా?","I mean, isn't it kind of over?"
"258","మార్క్.","Mark."
"259","అతడిని వెళ్లనివ్వులే.","Just let him go."
"260","ఏంటి?","What?"
"260","అర్వింగ్ నీ స్నేహితుడు, ఇప్పుడు అతను చనిపోయాడు.","Irving was your friend, and he's dead."
"261","ఎందుకు పట్టనట్టు ప్రవర్తిస్తున్నావు?","Why don't you give a shit?"
"261","ఎందుకంటే అతను చావలేదు కాబట్టి.","Because he's not dead."
"262","అతను ఇక్కడ లేడు, అంతే.","He's just not here."
"263","మీరిద్దరూ మాట్లాడుకున్నారా?","You two catch up?"
"264","ఏమన్నావు?","What's that?"
"265","ఈమెకి మిస్ కేసీ నీ భార్య అని చెప్పావా?","You tell her Ms. Casey's your wife yet?"
"266","అయ్య బాబోయ, ఏంటి?","Wait, what?"
"267","హా, ఆమె నా పనియేతర అవతారానికి భార్య, కానీ.","Yeah, I mean, it's my outie's wife, but sure."
"268","అదంతా పిచ్చెక్కించే యవ్వారంలే.","No, it's pretty crazy."
"268","మార్క్.","Mark."
