"Index","Start Time","End Time","Telugu Text","Mapped English Text"
"1","00:01:21,790","00:01:29,006","ఎక్కడో ఆఫ్రికాలో సీతాకోకచిలుక రెక్కలు ఆడిస్తే, కొన్ని నెలల తర్వాత మయామీలో తుఫాను సంభవిస్తుంది అనేది మనందరం వినే ఉంటాం.","[person] We've all heard that thing about the butterfly flapping its wings in Africa, and months later there's a hurricane in Miami."
"2","00:01:29,089","00:01:30,409","వినకుండా ఉంటే, ఓసారి తెలుసుకోండి.","Well, if you haven't, look it up."
"3","00:01:31,550","00:01:35,679","సంబంధం ఉండవు అని మనం అనుకొనేవాటి మధ్య సంబంధం ఉంటుందని దాని అర్థం.","It means things you don't think are connected actually are."
"4","00:01:46,607","00:01:47,816","నాకు ఈ అమ్మాయి ఎవరో తెలీదు.","I never knew this girl."
"5","00:01:50,277","00:01:51,403","తనని ఎప్పుడూ కలుసుకోలేదు.","Never met her."
"6","00:01:56,450","00:01:57,993","ఇది తన జీవితం.","This is the life she knew."
"7","00:02:15,385","00:02:16,428","**[NO TELUGU MATCH FOUND]**","[Mr. Brownstone playing]"
"8","00:02:16,512","00:02:18,847","ఇది నా జీవితం.","And this is the life I knew."
"9","00:02:18,931","00:02:21,183","చికాగో, ఇల్లినాయి నవంబర్, 1996","**[NO ENGLISH MATCH FOUND]**"
"10","00:02:26,563","00:02:28,398","అదుగో నేను. బుడ్డోడు అక్కడ ఉన్నాడు.","[friend 1] There I am. There's the kid."
"11","00:02:28,482","00:02:30,442","నిన్ను నువ్వు ""బుడ్డోడు"" అని పిలుచుకున్నావే?","[friend 2] Did you just call yourself ""the kid""?"
"12","00:02:30,526","00:02:33,529","ఆగు, ఈ ఆటలోనే కదా నువ్వు ఒక క్వార్టరులోనే మూడు సార్లు బాల్ ని జారవిడిచేసింది?","Wait, isn't this the game you fumbled three times in one quarter?"
"13","00:02:34,238","00:02:36,907","ఈ ఆటలోనే, నేను ఇది కూడా చేశాన్రా, సన్నాసీ.","This is also the game where I did this, motherfucker."
"14","00:02:37,658","00:02:40,702","మీకు సంబంధం ఉండదని అనిపించవచ్చు, కానీ సంబంధం ఉంటుంది.","[person] You wouldn't think so, but it is all connected."
