"Index","Telugu Text","Mapped English Text"
"4","హెల్లి వెళ్లిపోయిందా?","Helly leave?"
"5","అవును.","Yeah."
"6","నువ్వు కూడా ఇక ఇంటికి వెళ్లిపోవాలేమో.","Maybe you should get out of here."
"7","అవును. కొన్ని పనులున్నాయి, వాటిని పూర్తి చేసేసి వెళ్లిపోతా.","I know. Just wrapping up."
"8","ఏం చేయను, నాకు పని అంటే ప్రాణం మరి!","Sorry, I love the work."
"11","ఓరి దేవుడా.","Jesus."
"12","ఎవరైనా కాపాడండి!","[straining] Help!"
"13","కాపాడండి!","Help!"
"14","నీ యెంకమ్మ!","Goddamn it!"
"16","ఓరి దేవుడా.",", my God."
"19","తనకి బాగానే ఉందా?","Is she okay?"
"20","హెల్లి?","[Mark] Helly?"
"21","మార్క్, లిఫ్ట్ లోకి వెళ్లిపో. హెల్లి? హెల్లి!","Mark, get in the elevator. Helly? Helly!"
"22","లిఫ్ట్ ఎక్కి బయలుదేరు!","Get in the elevator!"
"24","తనకి ఏమీ కాలేదు కదా?","Is she okay?"
"27","జడ్. మిస్టర్ స్కౌట్, సాయంత్రం కులాసాగా గడపండి.","Judd. Mr. Scout, you have a good evening."
"28","తప్పకుండా. మీరు కూడా కులాసాగా గడపండి.","Will do. Same to you."
"34","హెల్లి ప్రాణానికి ఏమీ కాలేదు కదా?","Is she alive?"
"35","కూర్చో, మార్క్.","Have a seat, Mark."
"36","తను ఆసుపత్రిలో ఉంది. గొంతు బాగా ఒత్తుకుపోయింది, కానీ అదృష్టవశాత్తూ, అది త్వరలోనే మానిపోతుంది. అలాగే.","She's in the hospital. [exhales sharply] She has severe bruising but, thankfully, no permanent damage. [breathing shakily] Okay."
"37","అయితే, మీరు తనని పంపించేస్తున్నారా?","Okay, so you You're letting her go? [inhales shakily]"
"38","హెల్లి పనియేతర అవతారానికి రాజీనామా చేసే ఆలోచన అస్సలు లేదు.","Helly's outie has no intention of resigning."
"39","ఇంకాస్త ఉంటే తన ప్రాణాలు పోయేవి. తనకి ఇక్కడ పని చేయాలని లేదు.","She almost died. She doesn't wanna be here."
"40","కొన్ని రోజులలో తను మళ్లీ వచ్చి ఎప్పటిలాగే పని చేస్తుంది.","And she will be back at her desk in a few days."
"41","కొన్ని రోజులు సరిపోతాయంటారా?","Is that enough time?"
"42","ఇది నువ్వు ఇంఛార్జీగా ఉన్నప్పుడే జరిగింది, మార్క్ ఎస్, కనుక నీదే బాధ్యత.","This happened on your watch, Mark S."
"43","తన ప్రాణాలకు ఏమీ కానందుకు నువ్వు కియర్ కి ధన్యవాదాలు చెప్పుకోవాలి.","And you can thank Kier himself it went the way it did."
"44","చక్కగా పని చేయ్.","Have a productive day."
"46","విఫలమవ్వడం అంటే ఏంటి?","[Ricken] What is it to fail?"
"47","నా ఇరవైల ప్రాయంలో సాహిత్య ప్రపంచంలో నేను విఫలమయ్యాను, దానితో చాలా క్రుంగిపోయాను, కానీ దాని ద్వారా ఒక ముఖ్యమైన పాఠం నేర్చుకున్నాను.","My failure to break into the literary world in my 20s was devastating, yet it taught me a vital lesson."
"48","తప్పు నాది కాదని, అది సాహిత్యానిదేనని గ్రహించాను.","That it was not me who was wrong, but literature itself."
"49","ఆ ప్రపంచంలో నా స్థానాన్ని పదిలపరచుకోవాలంటే, ముందు దాన్ని సంపూర్ణంగా బద్దలుకొట్టాలి.","And that to truly find my place in that world, I would first need to break it entirely."
"50","నేను అలాగే చేశాను.","And so I did."
"51","గాయమైన పాదాలు గల వ్యక్తి ఎలా అయితే దూకలేడో, ఎందుకూ పనికి రాని కార్మికులు ఉన్న సమాజం కూడా అలాగే ముందుకు సాగలేదు.","A society with festering workers cannot flourish, just as a man with rotting toes cannot skip."
"52","మనిషికి, యంత్రానికి ఉన్న తేడా ఏంటంటే, యంత్రాలకు ఆలోచించగల శక్తి ఉండదు.","What separates man from machine is that machines cannot think for themselves."
"53","అదీగాక, వాటిని లోహంతో చేస్తారు, మనుషులకి ఉండే చర్మం వాటికి ఉండదు.","Also, they are made of metal, whereas man is made of skin."
"54","నువ్వు సైనికునివి అయితే, నా స్వేచ్ఛ కోసం పోరాడకు.","If you are a soldier, do not fight for my freedom."
"55","నీతో పాటు పోరాడుతున్న నీ తోటి సైనికుని స్వేచ్ఛ కోసం పోరాడు.","Fight for the freedom of the soldier fighting next to you."
"56","అలా అయితే, మీరు యుద్ధం మరింత మనస్ఫూర్తిగా, సమర్థవంతంగా చేయగలరు.","This will make the war more inspiring for you both."
"57","ఒక మంచి వ్యక్తి, నియమాల ప్రకారం నడుచుకుంటాడు.","A good person will follow the rules."
"58","ఒక గొప్ప వ్యక్తి అయితే తన మనస్సు చెప్పినదాని ప్రకారం నడుచుకుంటాడు.","A great person will follow himself."
"59","దౌర్జన్యాలకు, దుర్మార్గాలకు పాల్పడే వాళ్లు ఎందుకూ పనికి రాని చవటలు.","Bullies are nothing but Bull and Lies."
"60","పరిశ్రమలో శ్రమ కూడా ఉంది.","At the center of ""Industry"" is ""Dust."""
"61","నువ్వు గట్టిగా ఎదురుతిరిగితే నిన్ను ఎవరూ ఏమీ చేయలేరు.","They cannot crucify you if your hand is in a fist."
"62","కాబట్టి ప్రియమైన పాఠకుడా, వ్యవస్థలో కలిసిపోవాలని నువ్వు అనుకున్నప్పుడు, ఒకసారి శాంతంగా ఆలోచించు, మారాల్సింది నువ్వా లేక ఆ వ్యవస్థనా అని.","Should you find yourself contorting to fit a system, dear reader, stop and ask if it's truly you that must change or the system."
"64","దీన్ని విశ్లేషించాము.","[Mr. Graner] Ran the diagnostics."
"65","మరి ఏం తెలిసింది?","[Ms. Cobel] And?"
"66","ఏకీకరణ జరిగింది. పీటీ కిల్మర్ జ్ఞాపకాలు పునరుద్ధరించబడ్డాయి.","Full synaptic coupling. Petey Kilmer's memory was reintegrated."
"67","నువ్వు చెప్పింది నిజమే, హార్మనీ.","You were right, Harmony."
"68","మనం వేడుక చేసుకోవాలి.","We should celebrate."
"69","ఈ విషయాన్ని నువ్వు బోర్డుకి కాసేపు ఆగి చెప్తావు అనుకుంటున్నా, హెల్లి ఆర్ విషయంలో ఇంత జరిగాక అలాగే చేస్తావు కదా.","I figure you'll take a beat before telling the Board, especially after what happened with Helly R."
"70","బాబోయ్. నువ్వు ఇంకా వాళ్లకి చెప్పలేదు కదా!","Jesus. You haven't told them."
"71","సోర్స్ సిగ్నేచర్స్ కోసం చిప్ డేటాను విశ్లేషించండి.","Comb the chip data for source signatures."
"72","అది సేవ్ చేసి ఉంచాం, దీన్ని నీ దగ్గరే ఉంచుకోవచ్చు.","It's saved, so you can keep it."
"73","కానుకగా.","A gift."
"74","ఇది ఎవరి పనో కనిపెట్టు.","Please find out who did this."
"75","బోర్డుకి అన్నీ ఒకేసారి చెప్తాను.","I'd like to deliver everything to the Board at once."
"77","వాయిస్ మెయిల్ మిస్డ్ కాల్ రికెన్ అయ్య బాబోయ్.",", shit."
"78","హాయ్ మార్క్, నేను రికెన్ ని.","Hi, Mark, it's Ricken."
"79","నువ్వు ఇంకా ఆఫీసులోనే ఉన్నావని తెలుసు, కానీ, డెవన్ కి పురిటి నొప్పులు మొదలయ్యాయి, బిడ్డ పుట్టే సమయం ఆసన్నమైంది.","Listen, I know you're still in, um, severed Mark form, but, , Devon's at 4 centimeters, so this baby is officially coming."
"80","మేము పురుడు పోసే రిసార్ట్ కి బయలుదేరుతున్నాం, నువ్వు అక్కడికి వచ్చేయ్.",", we're headed to the birthing retreat now, so please come."
"81","మార్క్, రికెన్ ని.","Mark, Ricken again."
"82","మేము రిసార్ట్ కి వచ్చేశాం, బిడ్డ కొంచెం కొంచెం కిందకు వస్తోంది, నువ్వు ఇక్కడికి ఎంత త్వరగా వస్తే అంత మంచిది.","We're at the retreat, and the child is continuing toward the birth canal, so it would be really great if you were here."
"83","అక్కడ నీకు ఫోన్ ఇస్తారో లేదో.","[stammers] I don't know if they let you have your phone down there."
"84","ఒకవేళ ఫోన్ మార్క్ పని అవతారం దగ్గర ఉంటే, రికెన్ త్వరగా రమ్మంటున్నాడని మార్క్ కి చెప్పు.",", actually, if this is Mark's work self, please tell him Ricken said to come quickly."
"85","మార్క్, మేము ఇంకా ఇక్కడే ఉన్నాం, నువ్వు ఏమైపోయావా అని కంగారుగా ఉంది.","Mark, we're still here. Wondering if you're lost."
"86","మేము ఆరవ క్యాబిన్ లో ఉన్నాం, అది ద్వారం గుండా ప్రవేశించాక వరుసలో చివర ఉంటుంది.","We are in cabin six, which is through the gate and at the end of the row."
"87","అది మన ఆర్థిక స్తోమతకు అనుకూలంగా ఉండే విధంగా ఉంటుంది, నీకు చూడగానే తెలిసిపోతుందిలే.","It's, um, one of the more affordably sized units, but you should be able to find it."
"88","త్వరగా వచ్చేయ్.","Please do come soon."
"89","హేయ్.",", hey."
"90","హేయ్. హేయ్.","Hey. [Chuckling] Hey."
"91","నేను ఇక్కడ ఉంటానని మర్చిపోయావా?","Did you forget that I was gonna be here?"
"92","అవును, మర్చిపోయా.","Slightly. [Chuckles]"
"93","చూడు, ఆ రోజు రాత్రి జరిగిన దానికి నన్ను మన్నించు. నేను పర్వాలేదులే.","Look, I'm, , sorry about the other night. I Yeah, no, it's fine."
"94","సరే.","Yeah."
"95","ఆమెకి ఇప్పుడు అంతా బాగానే ఉంది. అవునా?","She's doing great, by the way. Yeah?"
"96","అవును. సరే.","Yeah. Okay."
"97","పురిటి నొప్పులు 20 నిమిషాలకొకసారి వస్తున్నాయి, కాబట్టి బిడ్డ పుట్టడానికి మనకి ఇంకా సమయం ఉంది.","The contractions are about 20 minutes apart, so we still have some time."
"98","రికెన్ వింతగా ప్రవర్తిస్తూ మాటిమాటికీ ఏడుస్తున్నాడు.","Ricken is doing this thing where he cries over her."
"99","కాబట్టి, నేను నేను వాళ్లకి కాస్త ఏకంతం ఇవ్వడానికని బయటకు వచ్చేశాను.","So, I'm [chuckles] I'm giving them some privacy."
"100","మంచిదే.","Sounds good."
"101","హేయ్, తనకి దగ్గర ఉండి చూసుకుంటున్నందుకు థ్యాంక్యూ.","Hey, thank you for, , you know, taking care of her."
"102","దానిదేముందిలే.","Yeah. Of course."
"103","నానీ, నాకు మా నాన్నలా ఉండాలని లేదు.","[crying] Babe, I just don't wanna be like my father."
"104","నాకు తెలుసు, బంగారం. నువ్వు నీ ఎమోషన్స్ అన్నిటినీ బయటపెట్టేయటం మంచిదే.","I know, baby. I think it's good you're getting it out now."
"105","ఏం పర్లేదులే.","[sobs] It's okay."
"106","హేయ్. నేను సరైన చోటుకే వచ్చానా?","Hey. I'm looking for baby camp?"
"107","కాబోయే మావయ్య వచ్చాడు. రా, మార్క్.","Ooh. [Chuckles] The uncle-to-be. Welcome, Mark."
"108","యాహూ! నువ్వు ఇక్కడికి వచ్చినందుకు నాకు చాలా ఆనందంగా ఉంది.","Yay! I'm so glad you're here."
"109","ఆఫీసు నుండి నిన్ను ఎప్పుడు పంపిస్తారో అని ఎదురు చూస్తూ ఉన్నాను.","I didn't know if they were gonna wake you up from work or whatever."
"110","అయ్యయ్యో, ఆఫీసు నుండి బయటకు రాగానే నీ మెసేజ్ చూశాను. మన్నించు.",", no, I just saw the message when I got off. Sorry."
"111","అదేం లేదులే, ఇప్పటిదాకా నాకు చాలా బోరింగ్ గా అనిపించింది.","No, it's been pretty boring so far."
"112","సరే మరి. ఈ చిట్టి క్యాబిన్ నాకు బాగా నచ్చింది.","All right. Well, , glad to be here in this cozy nook."
"113","వావ్. ఓయ్, పక్కనున్న భవనాన్ని చూశావా?","Wow. Dude, did you see the one next door?"
"114","అవును. దానికి చాలా ఖర్చవుతుంది.","Yeah. It's, like, psychotically expensive."
