Index,Telugu Text,Mapped English Text
2,హాయ్.,Hi.
9,నా తాళం చెవులు ఇక్కడే ఉన్నాయి కదా.,Please tell me my keys are here.
10,ఆ గిన్నెలో ఉన్నాయి.,In the fishbowl.
11,నాకు కనబడట్లేదే నేనే తీసుకొని అక్కడ పెట్టా.,I don't see them They are there. I took them.
12,ఉన్నాయి.,Here they are.
13,కానీ అన్నీ లేవు.,But not all of them.
14,ఏమో. నీ దగ్గర అవే ఉన్నాయి మరి.,I don't know. That's what you had.
22,ఫ్రెడ్డీ. నేను గేమ్ మధ్యలో ఉన్నాను.,Freddie. I'm not pausing.
23,వచ్చి తలుపు తెరువు.,Open the door.
29,ఇలాంటి చెత్తని నువ్వు వారాంతాల్లో మాత్రమే తినాలి.,You can only eat this junk on weekends.
30,ఇంట్లో అవి తప్ప ఇంకేమీ లేవు. అది అబద్ధం.,It's all we have. It's not.
31,ఇక పద. తయారవ్వు.,Come on. Get going.
32,స్కూలుకా? మరి స్కూలుకే కదా?,To go to school? You have to go to school?
33,"అవును, స్కూలుకి వెళ్లాలి. నేను ఆఫీసుకు వెళ్లాలి. నువ్వు స్కూలుకు వెళ్లాలి.","Yeah, you have to go to school. I go to work. You go to school."
34,అదీ లెక్క.,That's the deal.
35,అయినా నువ్వు ఆఫీసుకు వెళ్లట్లేదు కదా.,You weren't working though.
36,నేను ఆఫీసు నుండే వస్తున్నా.,I I was at the office.
37,అక్కడి నుండే నీకు కాల్ చేశా. అది అబద్ధం.,"I called you from there. No, you didn't."
38,సరే.,Okay.
39,"సరే, ఫ్రెడ్డీ, నేను నీకు కాల్ చేయలేదేమో. నాకు తెలీదు.","Okay, Freddie, maybe I didn't. I don't know."
40,అయినా కానీ నువ్వు స్కూలుకు వెళ్లాలి. నా మాట విను.,But you still have to go to school. Please.
41,స్కూలుకు వెళ్దాం పద.,Let's go to school.
42,నేను దింపుతాను.,I'll drop you off.
43,హేయ్.,Hey.
44,కారులో ఇది మర్చిపోయావా?,You leave this in the car?
45,అది నాది కాదు.,That's not mine.
48,సరే. నీ మాటలు వినబడ్డాయి.,"Yeah, okay. I heard you."
50,ఒక్క నిమిషం. మనం లంచ్ చేసుకోవాలి.,Wait. We have to make lunch.
51,నేను ఏదోకటి చేస్తాను. నీకు ఏం కావాలి?,I'll fix something for you. What do you want?
61,స్టేట్ హౌస్ ఇంటర్వ్యూలను వెలికి తీశావా?,Any chance you've pulled the statehouse interviews?
62,"స్ప్రింగ్ ఫీల్డ్ నుండి సమాచారం వచ్చే దాకా, వాటిని అట్టిపెట్టి ఉంచమని రీజనల్ ఆఫీసు వారు మాకు చెప్పారు.","Um, Regional asked us to put a hold on those until they got back from Springfield."
63,"సరే, కానీ నేను అందాకా ఆగలేనే.",Yeah. I can't wait that long.
64,అలాగే.,Of course.
65,ఇదిగో.,Here.
66,మాద్రిగల్ విషయం ఎంత దాకా వచ్చింది?,How's it going on Madrigal?
67,ఇతర బాధితుల కోసం వెతుకుతున్నాను.,I'm looking for other possible victims.
68,"పరిష్కారమవ్వకుండా ఉండిపోయిన హత్య కేసులు, తమని వెంబడిస్తున్నారని ఫిర్యాదు చేసిన మహిళల కేసులు.","Pulling unsolved homicide cases, women who made stalking complaints."
69,"ఇంకా విస్తృతమైన అంశాలను పరిగణించాలి, ముఠా తగాదాలను పక్కన పెట్టేయ్.","I would keep my search broad, weed out gang violence."
70,గృహ హింసలను కూడా. ఇప్పటిదాకా 136 కేసులను వెలికి తీశాను.,"Domestic disputes. Yeah, I pulled 136 so far."
71,ఇక్కడ ఎన్నేళ్ల నుండి పని చేస్తున్నావు?,You've been with us how many years now?
72,అక్టోబరుతో మూడేళ్లు.,Three in October.
73,చాలా బాగా పని చేస్తున్నావు.,You're doing good work.
74,కానీ ఇందులో డాన్ నిన్ను కూడా భాగం చేసుకొని ఉండాల్సింది.,But Dan shouldn't have brought you in on this.
