"Index","Telugu Text","Mapped English Text"
"2","ఇది మీకు తెలిసిన విషయమే, మానవజాతి మంచు యుగంలో గ్లేసియర్లతో పాటు అభివృద్ధి చెందింది.","As you know, the human race grew up alongside glaciers during the Ice Ages."
"3","చలి మనలోని పురాతన చైతన్యాన్ని రగిలిస్తుంది.","The cold stimulates ancient nerves."
"4","అది మనకు ప్రపంచంతో ఉన్న మూలాధారమైన సంబంధం తెలిసేలా చేస్తుంది.","It makes you feel a primal connection to the world."
"5","మేము ఈ హోటల్ ని నిర్మించడానికి 300 టన్నులకు పైగా ఐసు వాడాం, అలాగే ఎంత మంచో తెలిసి అతిథులు ఆశ్చర్యపోతుంటారు.","We used over 300 tons of ice to create the hotel, and guests are surprised to know how much snow."
"6","దాదాపు 10,000 టన్నులకు పైనే.","Over 10,000 tons."
"9","అదృష్టవశాత్తూ, నార్వేలో మంచు, ఐసు పుష్కలంగా దొరుకుతుంది.","Luckily, Norway has plenty of snow and ice."
"10","ఈ దిబ్బలని మా నదులలో మంచు గడ్డకడుతున్నప్పుడు జాగ్రత్తగా సానబట్టి తయారు చేసాం, తర్వాత దగ్గరలోని గుహలో స్టోర్ చేయడానికి సేకరించాం.","These blocks were created by carefully smoothing the ice on our river as it freezes, then harvesting it for storage in a nearby cave."
"11","మీరు చూస్తున్న ప్రతీది వేసవిలో కరిగిపోతుంది.","Everything you see melts in summer."
"12","ప్రతీ ఏడాది దీన్ని తిరిగి నిర్మించడానికి వేర్వేరు కళాకారులు, నిపుణులు మాకు సహకరిస్తుంటారు, కాబట్టి ప్రతీ స్టే జీవితంలో నిజంగానే ఒక్కసారి మాత్రమే సాధ్యమయ్యేది అవుతుంది.","We have different artists and artisans help us build again each year, so every stay is truly once in a lifetime."
"13","ఇకపోతే ఇది మీ రూమ్.","And here we have your room."
"15","ద కోయ్ సూట్.","The Koi Suite."
"17","వావ్.","Wow."
"17","ఇక్కడ చాలా చల్లగా ఉంది.",", it's brisk."
"18","మా గెస్ట్ సూట్లు హోటల్ లోని మిగతా ప్రదేశాల కంటే కొంచెం వెచ్చగా ఉంటాయి.","Our guest suites are slightly warmer than the rest of the hotel."
"19","దాదాపుగా సున్నాకు మూడు డిగ్రీల క్రింద.","About three degrees below zero."
"20","మరీ వేడిగా, లేదా మరీ చల్లగా కాకుండా.","Not too, too cold."
"21","ఒకసారి అలవాటు పడితే మీకే చాలా ఉత్తేజంగా అనిపిస్తుంది.","It's quite invigorating once you get used to it."
"23","మేము మీకు ""సోమ్ ప్లోమెన్ ఐ ఎగ్గెహ్"" లాగ ఉంటుంది అంటాము.","[Bjorn] As we say, you will feel som plommen I egget."
"24","ఒక గుడ్డులోని సొనలాగ.","Like a yolk in an egg."
"25","సరే, అది వినడానికి చాలా బాగుంది.","[Helen] Okay, that's adorable."
"25","సమ్ సమ్ ఫ్లూమెన్ ఐ ఎగ్గెన్?","Som Som plommen I eggen?"
"25","ఎగ్గెన్?","Eggen?"
"25","భలే అన్నారు.","[Bjorn chuckles] That's very good."
"25","ఈ చేపలను ఫేమస్ నార్వీజియన్ మంచు కళాకారుడు ఆండర్స్ స్క్జెగెస్టాడ్ రూడ్ స్వయంగా చెక్కాడు.","[Carol inhales sharply] [Bjorn] These fish were hand-carved by famous Norwegian ice sculptor, Anders Skjeggestad Ruud."
"26","అతను గత ఏడాది హర్బిన్ ఐస్ శిల్పాల పోటీలో బోరియల్ ఫారెస్ట్ ప్రైజ్ గెలుచుకున్నాడు.","He won the Boreal Forest Prize at the Harbin Ice Sculpting Competition last year."
"27","అందంగా ఉంది.","[Helen] Beautiful."
"27","ఇది అందంగా ఉంది కదా?","Isn't that beautiful?"
"28","మంచాన్ని కూడా ఐస్ తో చేసారా?","The bed is made of ice?"
"28","అవును.","[Bjorn] Yes."
"28","భలే అందంగా ఉంది కదా?","Isn't that charming?"
"29","అలాగే మేము అందించే కాంప్లిమెంటరీ హౌస్ బ్రాందీని ఖచ్చితంగా ట్రై చేయండి.","And I highly recommend trying our complimentary house brandy."
"30","మంచాన్ని ఐస్ తో చేశారు.","The bed is made of ice."
"30","దీన్ని స్థానికంగా దొరికే ఐస్ వైన్ నుండి డిస్టిల్ చేస్తాం, రుచి చాలా స్పెషల్ గా ఉంటుందని మాట ఇస్తున్నా.","It is distilled locally from ice wine, and I assure you it is quite special."
"31","ఈ జూలు చాలా మందంగా ఐస్.","These furs are very thick [Carol] Ice."
"31","హెలెన్, మనం ఒక ఐస్ మంచం మీద పడుకుంటున్నాం.","Helen, we are sleeping on an ice bed."
"32","మనం ముందే ఇక్కడికి వచ్చి ఉంటే నేను నా గుడ్లను ఇక్కడే గడ్డకట్టించి లక్ష డాలర్లు ఆదా చేసి ఉండేదాన్ని.","I could've saved that hundred grand and frozen my eggs right here, yolks and all."
"33","అలాగే ఇంకొక విషయం.","[Bjorn] Now, one more thing."
"34","మీ బాత్రూమ్లు బయట హాల్ లో ఎడమవైపు ఉంటాయి.","Your bathrooms are around the corner, in the hall to your left."
"35","అలాగే మీరు అదే దిశలో వెళితే, నిరంతరం ఓపెన్ లో ఉండే మా హాట్ టబ్ డెక్ ఉంటుంది.","And if you keep going in that direction, you get to our hot tub deck, which is always open."
