"Index","Telugu Text","Mapped English Text"
"1","నాకు ఆరేళ్లప్పుడు, మా నాన్నమ్మ చనిపోయింది.","[child] When I was six, my grandmother died."
"2","ఆమె అంత్యక్రియల కోసం నాన్న దక్షిణ కరోలినాలోని తన సొంత ఊరు అయిన విగ్గిన్స్ కి మమ్మల్ని తీసుకెళ్లాడు.","My father drove us to his hometown of Wiggins, South Carolina for her funeral."
"3","నేను తనని ఎప్పుడూ కలవలేదు కాబట్టి తను చనిపోయినందుకు నాకు అంత బాధగా ఏమీ అనిపించలేదు కానీ మా నాన్న మాత్రం చాలా బాధపడ్డాడు.","I had never met her, so her death didn't mean much to me though it made my father very sad."
"4","ఆ శవపేటికలో ఉన్న ఆమెని చూసి నాకు భయమేసింది.","I was afraid of her in that coffin."
"5","తను ఏదో లోకంలోకి వెళ్లిపోయింది, ఆరేళ్ల వయస్సులో నాకు అదంతా అర్థం కాలేదు.","She was part of something that, even at six, I wondered about."
"6","మరణాంతర లోకానికి వెళ్లిపోయింది.","The place after this one."
"7","మేము చిన్నపిల్లలం కాబట్టి తనకి నచ్చలేదేమో అని, అందుకే తను కిందికి చూస్తుందేమో అని అనుకున్నాను.","I worried she was looking down and didn't like us because we were young."
"19","డాక్టర్ జికర్మన్ ఎక్కడ?","Where's Dr. Zicherman?"
"20","ఏవండి.","Excuse me."
"21","డాక్టర్ జికర్మన్ ఎక్కడ?","Where's Dr. Zicherman?"
"22","సెలవులపై వెళ్లాడు.","He's on vacation."
"23","నీకు చెప్పలేదా?","He didn't tell you?"
"24","లేదు.","No."
"25","సాధారణంగా అలా అతను చేయడే.","[scoffs] That seems so unlike him."
"26","నువ్వు అతడిని ప్రతీ మంగళవారం కలుస్తావా?",", do you see him every Tuesday?"
"27","లేదు, కేవలం.","No, just."
"28","మామూలుగా అన్నమాట.",", just, you know."
"29","మామూలుగా అంటే?","No, I don't know. [chuckles]"
"30","నాకు అవసరం వచ్చినప్పుడే కలుస్తాను.","Just if I need to."
"31","సాధారణంగా అలాంటి సౌలభ్యం ఉండదే.","Well, that's an uncommon arrangement."
"32","నేను ఇక్కడికి వస్తానని మీకెలా తెలుసు?","How'd you know I'd be here?"
"33","డాక్టర్ రోగి మధ్య రొటీన్ షెడ్యూల్ ఉండటం మామూలే కదా.","[scoffs] Routine schedule is foundational in the doctor-patient relationship."
"34","కానీ నేను ఇక్కడికి వస్తానని మీకెలా తెలుసు?","But how did you know I'd be here?"
"35","నాకు నువ్వేం అడుగుతున్నావో అర్థం కావట్లేదు.","I don't understand the question."
"36","కానీ, డాక్టర్ జికర్మన్ కి, నాకు ఒక షెడ్యూల్ అంటూ ఏమీ లేదు.","But Dr. Zicherman and I don't have a routine."
"37","ఇవాళ నాకు అపాయింట్మెంట్ ఉందని మీకెలా తెలుసు?","How did you know I had an appointment today?"
"38","మా దగ్గర రోజువారీ షెడ్యూల్ ఉంటుంది.","[inhales deeply] We have a daily schedule."
"39","అందులో నీ పేరు కూడా ఉంది.","Your name was on it."
"41","నువ్వు ఇక్కడ ఎందుకు ఉన్నావు?","Why are you here?"
"42","అపాయింట్మెంట్ ఉంది కాబట్టి.","Because I had an appointment."
"43","అది కాదు.","No. [chuckles]"
"44","నువ్వు ఇక్కడ ఎందుకు ఉన్నావు?","Why are you here?"
"46","లైసెన్స్ లేని ఆయుధాలను అమ్ముతున్నానని, అలా ఇతర రాష్ట్రాలకు వెళ్లి కూడా అమ్ముతున్నానని నన్ను అరెస్ట్ చేశారు.",", the charges involved selling unregistered weapons and crossing state lines to do so."
"47","నువ్వు ఇక్కడ ఎందుకు ఉన్నావు?","Why are you here?"
"48","ఇప్పుడే చెప్పా కదా.","I just told you."
"49","మీరు ఎందుకు ఉన్నారు?","Why are you?"
"50","మానసిక అనారోగ్యాన్ని నయం చేయడానికి.","To treat mental illness."
"51","సరైన ప్రదేశానికే వచ్చారు.","Came to the right place."
"53","నేనేమీ పోలీసును కాదు, జడ్జిని కూడా కాదు.","I'm not in law enforcement. I'm not a judge."
"54","నా రోగులు ఏం చేశారు అనే దాని గురించి నాకు అనవసరం.","I don't concern myself with the crimes of the men I treat."
"55","వారి మానసిక ఆరోగ్యాన్ని పరిరక్షించడమే నా ధ్యేయం.","My sole concern is protecting their mental health."
"56","జీవితంలో మీకంటూ ఒక లక్ష్యం ఏర్పరచుకున్నట్టున్నారే.","Sounds like you found your purpose in life."
"57","నిన్ను జేమ్స్ అని పిలవనా, లేక జిమ్మీ అని పిలవనా?",", do you prefer James or Jimmy?"
"58","జిమ్మీ.","Jimmy."
"59","నువ్వు జీవితంలో కలిసిన చాలా మంది మనుషుల మానసిక స్థితి కన్నా కొందరి మానసిక స్థితి చాలా సున్నితంగా ఉంటుంది.","Some people's psyches are so much more fragile than most people you've probably encountered in your life."
"60","లేదా నీకన్నా సున్నితంగా ఉంటుందని చెప్పవచ్చు.","Or your own, for example."
"61","నా మానసిక స్థితి గురించి మీకెలా తెలుసు?","How do you know anything about my psyche?"
"62","నాకు అంతగా తెలీదు. కానీ నీ మానసిక స్థితి బాగానే ఉందని నాకు అనిపిస్తోంది.","I don't know much. But I suspect you're of fairly sound mind."
"63","మంచి విషయం చెప్పారు.","Good to know."
"64","కానీ నా రోగులలో కొందరి మానసిక స్థితి అంత బాగా లేదు.","But some of my patients are not."
"65","వారిలో ఒక్క కలుషితమైన ఆలోచన ప్రవేశించినా, ఒక చెడు ఐడియా వచ్చినా, వాళ్ల మానసిక స్థితి ఛిన్నాభిన్నం అయిపోతుంది.","They're one wrong thought, one termite of an unhealthy idea from losing their minds."
"66","వాళ్లు పిచ్చివాళ్లైతే, వాళ్లు ఇక మామూలు మనుషులు కాలేరు, ఆ పిచ్చి వాళ్లని శాశ్వతంగా కబళించేస్తుంది.","If they break, sometimes the person they were never comes back from the break."
"67","వాళ్లు ఎవరో వాళ్లకే తెలీని స్థితికి దిగజారిపోతారు.","They become ghosts in their own bodies."
"68","ఇదంతా నాకు ఎందుకు చెప్తున్నారు?","Why are you telling me this?"
"69","ఇక్కడున్న కొంత మందితో మెలిగేటప్పుడు దయ చూపమని నిన్ను కోరుతున్నాను.","I'm asking you for compassion when you deal with some of the men in here."
"70","కొంత మందా?","Some of the men?"
"71","జిమ్మీ డాక్టర్.","Jimmy Doctor."
"72","నేనేం అడుగుతున్నానంటే ఏం అడుగుతున్నారు?","I'm asking Asking what?"
"73","నా రోగుల్లో ఎవరి మానసిక స్థితికి అయినా నీ వల్ల ప్రమాదం ఉందా?","Are you a threat to the mental health of any of my patients?"
"74","ఏ రోగి గురించి అడుగుతున్నారు?","Which patients?"
"75","ఇతరులతో నిజాయితీగా ఉండటానికి నేను నీకొక అవకాశం ఇస్తున్నాను.","I'm giving you an opportunity for candor here."
"76","దాన్ని కాస్త సీరియస్ గా తీసుకోమని కోరుతున్నాను.","I urge you to take it seriously."
"77","ఏ రోగి గురించి అడుగుతున్నారు?","Which patients?"
"78","నాన్నమ్మని ఖననం చేశాక, నాన్న మమ్మల్ని సముద్రం దగ్గరికి తీసుకెళ్లాడు.","[footsteps departing] [breathing shakily] [child] After they buried my grandmother, my father drove us to the ocean."
"79","నా జీవితంలో నేను సముద్రాన్ని చూడటం అదే మొదటిసారి, ఆఖరిసారి కూడా.","It was the only time I would ever see the ocean."
"81","మారియన్ పోలీసులు ట్రిషియా రైట్లర్ కోసం గాలిస్తున్నప్పుడు, లారీ వారిని ఈ రోడ్లలో అటుఇటూ చాలాసార్లు తిప్పాడు.","[Brian] When they were looking for Tricia Reitler, Larry drove Marion PD up and down these roads over and over and over again."
"82","""తనని ఇక్కడ పూడ్చాను అనుకుంటా.","[Lauren imitating Larry] ""I think I buried her here."
"83","లేదు, ఇక్కడ పూడ్చాను.","No, it was here."
"84","బహుశా అక్కడ ఏమో.","Maybe it was there."
"85","లేదు, తనని చెట్టు కింద పూడ్చినట్టున్నా.""","No, I think I buried her under a tree."""
"86","అంతే.","Exactly."
"87","అతడిని నేను ఇల్లినాయికి తీసుకెళ్లబోయే ముందురోజు రాత్రి, వాళ్లు మళ్లీ అక్కడికి వెళ్లారు.","That night before I take him back to Illinois, they go back out there."
"88","అదే ప్రాంతం, ఫలితం కూడా అదే.","Same area, same result."
"89","తన శవం అక్కడే ఎక్కడో ఉందనుకుంటా.","I think she's there. Somewhere."
"90","అందుకే వాడు వాళ్లని రెండవసారి కూడా అక్కడికి తీసుకెళ్లాడు.","That's why he dragged them back out a second time."
"91","వాడికి పోలీసులతో ఆడుకోవడం సరదాలా ఉంది.","Son of a bitch couldn't get enough of it."
"92","ఈ రిపోర్టులను నేను సంపాదించగలనో లేదో చూస్తాను.","Let me see if I can get my hands on these reports."
"98","సరే మరి.","All right."
"99","చెరువు ముందు వాళ్లు ఇక్కడ ఎడమ వైపుకు తిరిగారు.","They took a left up here before the lake."
"100","ఇక్కడ పొలాలు తప్ప ఇంకేమీ లేవు.","There's nothing but fields out here."
"102","ఆ పెట్రోల్ బంకు బాగానే ఉంది కానీ చుట్టుపక్కలా ఏమీ లేవు. ట్రై రీజియన్ ఈజీ ఫ్యూయల్ అవును.","That's a nice gas station for the middle of nowhere. [Brian] Yeah."
"103","పైన పెద్ద పెద్ద ట్రక్స్ కోసం ఒక రోడ్ ఉంటుంది. అక్కడ కుడి పక్కకు తీసుకో.","All right, there should be a haul road right up here. Take a right there."
"107","శుభోదయం, జేమ్స్. శుభోదయం, లారీ.","[Larry] Well, good morning, James. Morning, Larry."
"108","నిన్న నువ్వు కనబడలేదే.","I didn't see you yesterday."
"109","మొన్న జరిగిందే నిన్న కూడా జరిగింది.","Nothing happened that didn't happen the day before."
"110","ఎప్పుడూ జరిగేది అదే కదా? నీ రోజు ఎలా గడిచింది?","And the day before that, right? How was your day?"
"111","బాగానే గడిచింది. అడిగినందుకు థ్యాంక్స్.","It was good. Thanks for asking."
"112","గ్యారీ వచ్చాడు.","Gary visited."
"113","అది చాలా మంచి విషయం. అవును.",", that's cool. It was."
"114","కుటుంబాన్ని ఎప్పుడు కలిసినా బాగానే ఉంటుంది. అతనికి కూడా కార్లు అంటే ఇష్టమా?","Always nice to see family. Is he into cars too?"
"115","కొంచెం. నాలా కాదనుకో.","A little. Well, not like me."
"116","మరి అంతర్యుద్ధం విషయంలో?","But the Civil War stuff?"
"117","మొదట్లో ఉండేది, తర్వాత పోయింది.","[sighs] He didn't stick with it."
"118","అయ్యయ్యో.","Aw. That's a shame."
"119","ఒక పనికిమాలినదాన్ని పెళ్లి చేసుకున్నాడు.","He married a stinky bitch."
"120","అంటే ఆమె దృష్టిలో అది వేషాలు వేసుకొనే ఆట.","Well She thinks it's ""playing dress-up."""
"121","అలా అని ఆమె అందా?","She said that?"
"122","అవును.",", yeah."
"123","అప్పుడు నేను ఆమెతో అన్నాను ఏమన్నానంటే, ""అంతర్యుద్ధం సమయంలో నువ్వు ముసలిదానివి అయ్యుంటావు. ముసలి పీనుగువి అయ్యుంటావు.""","So I said to her I said, ""You would be a grandmother in Civil War times. An old hag."""
"124","తన కోసం ఎవరూ పోరాడరు. అమ్మాయిలకు చిన్నప్పుడే పెళ్లిళ్లయిపోయేవి.","Nobody would fight for her. [chuckling] Brides were young."
"125","కన్యలుగా ఉన్నప్పుడే.","Unspoiled."
"126","ఆ కాలంలో జనాలకు చిన్న వయస్సులోనే పెళ్లిళ్లయిపోయేవి.","People married younger then."
"127","అవును. చాలా చిన్న వయస్సులోనే.",", much younger. Yeah."
"128","మా జేజవ్వ మా బామ్మని తన 14వ ఏట కన్నది.","My great-grandmother had my grandmother when she was just 14."
"129","ఆ రోజుల్లో అది మామూలే.","That was perfectly normal back then."
"131","ఈలోపు ప్రభుత్వం డబ్బు తెచ్చిపెట్టగల ఒక కొత్త మార్గాన్ని కనుగొంది.","Until the government saw a way to make money."
"132","పెళ్లికి కనీస వయస్సు పెంచడం ద్వారా?","By raising the age of consent?"
"133","అవును.","Exactly."
"134","ఆ రోజుల్లో హై స్కూల్ చదువులు చదివేవాళ్లే కాదు.","Nobody attended a high school back then."
"135","అప్పుడు అలాంటిది అస్సలు లేనే లేదు.","There was no such thing."
"136","కానీ, హై స్కూల్స్ ద్వారా డబ్బు అర్జించవచ్చని ప్రభుత్వం గమనించింది, ఇంకేముంది అత్యాశ కమ్మేసింది.","But, once the government saw that there was money to be made in high schools, well, then greed trumps all."
"137","విద్య అనేది సాకు మాత్రమే.","It's not about education."
