"Index","Start Time","End Time","Telugu Text","Mapped English Text"
"1","00:00:17,209","00:00:18,353","ఎవరు నువ్వు?","Who are you?"
"2","00:00:19,878","00:00:21,731","చూడు, ఈ జనం...","Look, these people..."
"3","00:00:23,590","00:00:34,786","ఈ జనం ఎవ్వరూ నాకు ఏ మాత్రం ముఖ్యం కాదు. నాకు వీళ్లలో ఒక్కరు కూడా తెలియదు, కానీ వాళ్లు మిమ్మల్ని ఏదైనా చేయాలని ప్రయత్నిస్తే, మీలో ఎవరైనా వాళ్లలో ఒక్కరిని ఎదుర్కోలేకపోయినా, అప్పుడు ఈ మొత్తం విమానం నేల కూలిపోతుంది. - విమానం భద్రంగా ఉంది. - సరే. ప్రస్తుతానికి, భద్రంగా ఉంది, సరే.","these people don't mean anything to me. I don't know any of these people, but if they try something and one of you lot let off one of those, and then this plane goes down. The plane's secure. Yeah. Right now, it is, yeah."
"4","00:00:35,227","00:00:39,625","మాకు ఏ సాయం అవసరం లేదు. సరే, ఇప్పటికి మీకు అవసరం లేదు, కానీ మళ్లీ అంతా గందరగోళం అయితే ఏం చేస్తారు?","We don't need any help. Well, right now you don't, but what if it all goes wrong again?"
"5","00:00:40,065","00:00:42,669","- నువ్వు అసలు ఎవరు? - మీరు చాలా త్వరగా పని మొదలుపెట్టారు, కదా?","- Who the fuck are you? - You went too early, didn't you?"
"6","00:00:44,528","00:00:54,055","మరికొద్ది ప్రయాణం తరువాత మీరు ఈ పనిని చేయాలి అనుకున్నారు, కానీ ఆ పెద్దమనిషి హడావుడిగా ఫస్ట్ క్లాస్ లోకి పరిగెత్తుకొచ్చాడు ఆయన ఆందోళనగా కంగారుగా కనిపించాడు ఆ తరువాత నువ్వు అతనికి ఆకుపచ్చ టోపీ ఇచ్చావు. ఆ తరువాత మీకు తెలుసు, అంతా జరిగిపోయింది.","You was gonna do this later on in the flight, then that man came rushing into first class and he was worried and panicking and then you gave him a green hat. The next thing you know, it was all going off."
"7","00:00:54,455","00:01:00,896","అది మీ ప్లాన్ లో భాగం కాదు, కదా? వెళ్లి అతని పాస్ పోర్ట్ తీసుకో. అది మీ ప్లాన్ లో భాగం కాకపోవచ్చు.","That wasn't part of the plan, right? Go and get his passport. That can't have been... That can't have been part of the plan."
"8","00:01:02,045","00:01:07,110","చూడు, మొదటి గంటలోనే ఇంత గందరగోళం జరిగితే, తరువాత ఆరు గంటల్లో ఇంకెంత జరగచ్చో ఊహించండి.","Look, if it's all going wrong in the first hour, imagine what could happen in the next six."
"9","00:01:09,678","00:01:10,822","సరే.","Okay."
"10","00:01:32,076","00:01:38,666","అతను నీ వైపే వస్తున్నాడు, ఎడీ. హేయ్, ఓయ్. మీరు ఏం చేస్తున్నారు? నోరు మూయి.","He's coming down your side, Eddie. Hey, oi. What you doing? Shut up."
"11","00:01:44,064","00:01:45,815","నెల్సన్ - సామ్ బ్రిటీష్ పౌరుడు","**[NO ENGLISH MATCH FOUND]**"
"12","00:01:46,590","00:01:48,777","- ""సామ్ నెల్సన్."" - అవును.","- Sam Nelson. - Yeah."
"13","00:01:54,723","00:01:56,201","మేము మూర్ఖులం అనుకుంటున్నావా...","You think we're stupid..."
"14","00:01:58,377","00:02:04,876","సామ్ నెల్సన్? లేదు, నేను అనుకోను. నువ్వు మూర్ఖుడివి కాదనుకుంటా. చాలా తెలివైనవాడివి. కానీ...","Sam Nelson? No, I don't. I don't think you're stupid. I think you're very smart. But..."
"15","00:02:06,443","00:02:08,666","చూడు, నేనేం చెబుతున్నానో నీకు అర్థమవుతోంది అనుకుంటా.","Look, I think you get what I'm saying."
"16","00:02:14,451","00:02:16,034","ఇతనిని తన సీటు దగ్గరకి తీసుకువెళ్లు.","Take him back to his seat."
"17","00:02:40,811","00:02:41,955","దీన్ని ఓపెన్ చేయి.","Open it."
"18","00:02:43,814","00:02:46,626","వీళ్లని నువ్వు మళ్లీ చూడాలి అనుకుంటే, దీన్ని ఓపెన్ చేయి.","You wanna see them again, open it."
"19","00:02:57,095","00:02:57,929","మెసేజ్ లు మార్షా","**[NO ENGLISH MATCH FOUND]**"
"20","00:02:57,929","00:02:59,347","నేను విమానంలో తిరిగి వస్తున్నా. ఆటల ఆడకు.","**[NO ENGLISH MATCH FOUND]**"
"21","00:02:59,347","00:03:00,265","నా టేకాఫ్ 9.12 గంటలకి","**[NO ENGLISH MATCH FOUND]**"
"22","00:03:00,265","00:03:02,684","ఆ విమానం ఎక్కకు. చాలా ఆలస్యం అయింది ఇది అంతేనా?","Is that it?"
