"Index","Telugu Text","Mapped English Text"
"5","హేయ్.","Hey."
"5","హేయ్.","[gasps] Hey."
"7","అది ఏంటి?","What's that?"
"8","డిన్నర్.","Dinner."
"8","ఈ రాత్రి వంట నేనే వండాలి అనుకున్నా.","I thought I'd cook tonight."
"9","మీరిద్దరూ నా మీద ఇంకా ఎంత కాలం కోపంతో ఉంటారు?","How long are you guys gonna stay mad at me for?"
"11","నేను వెళ్లి చూస్తాను.","I'll get it."
"12","హాయ్, నేను డిటెక్టివ్ మేసన్ ని.","Hi, I'm Detective Mason."
"13","మీ తల్లిదండ్రులు ఇంట్లో ఉన్నారా?","Your parents home?"
"14","థాంక్యూ.","Thank you."
"15","నేను ఇక్కడికి ఎందుకు వచ్చానో తెలుసా?","Do you know why I'm here?"
"16","లేదు.","No."
"16","నాకు తెలియదు.","I don't."
"16","లేదు.","No."
"17","మీ ఇద్దరికీ రేయన్ హోల్డర్ తెలుసు కదా.","You both know Ryan Holder."
"18","కాలేజీ రోజుల నుండి తెలుసు.","Since college."
"18","చాలా కాలంగా.","[Daniela] Forever."
"19","సరే, రెండు రోజుల కిందట, అతని గర్ల్ ఫ్రెండ్, మిండీ స్టీవర్ట్ అతను కనిపించడం లేదని ఫిర్యాదు చేసింది.","Well, two days ago, his girlfriend, Mindy Stewart, reported him missing."
"20","అతను కనిపించడం లేదా?","Missing?"
"21","గత పన్నెండు గంటలుగా అతని నుంచి ఏ సమాచారం లేదట.","She hadn't heard from him in 12 hours."
"21","సాధారణంగా అలా జరగదని ఆమె అంటోంది.","She said that wasn't usual."
"21","అయితే అతను వాళ్లు ప్లాన్ చేసుకున్న డిన్నర్ డేట్ ని మిస్ అయి ఉంటాడు.","Then he, , missed a dinner date they had planned."
"23","మీరిద్దరూ చివరిసారి మిస్టర్ హోల్డర్ ని ఎప్పుడు చూశారు?","When was the last time either of you saw Mr. Holder?"
"25","అవును, తనని నేను చూశాను ఐదు రోజుల కిందట.","Yeah, I saw him It was five days ago."
"26","ఎక్కడ చూశారు?","Where did you see him?"
"26","అతని అపార్ట్మెంట్ లో చూశాను.","I saw him at his apartment."
"27","అతను ఎలా ఉన్నాడు?","How'd he seem?"
"27","అతను పూర్తిగా ఆరోగ్యంగా కనిపించాడు.","He seemed totally fine."
"28","అసాధారణంగా ఏమీ అనిపించలేదా?","Nothing out of the ordinary?"
"28","లేదు, నేను ఏదీ నేను అలాంటిది ఏదీ గమించలేదు.","No, I didn't I didn't notice anything."
"29","మరి మీరు?","And you?"
"29","మీరు చివరిసారి మిస్టర్ హోల్డర్ ని ఎప్పుడు చూశారు?","When was the last time you saw Mr. Holder?"
"29","అవును, నేను నేను మూడు రోజుల కిందట చూశాను.","Yeah, I I saw him three days ago."
"29","ఎక్కడ?","Where?"
"29","విలేజ్ ట్యాప్ దగ్గర.","At the Village Tap."
"29","అది ఒక బార్.","It's a bar."
"29","అవును, మీ ఇద్దరూ కలిసిన దృశ్యాల సిసిటీవీ ఫుటేజ్ నిజానికి మా దగ్గర ఉంది.","Yeah, we actually have CCTV footage of the two of you there."
"29","ఓహ్, సరే మిస్టర్ హోల్డర్ ని చివరిసారి ఎవరైనా చూసిందీ, ఆయనతో మాట్లాడిందీ ఆ ప్రదేశంలోనే అనుకుంటా.",", well It appears to be the last place that anyone saw or heard from Mr. Holder."
"30","ఆ రాత్రి అతను ఎలా కనిపించాడు?","How'd he seem that night?"
"30","అంటే, నిజం చెప్పాలంటే.","Well, to be honest."
"31","అంత మంచిగా లేడు.","not great."
"31","అలా ఎందుకు అంటున్నారు?","What makes you say that?"
"31","ముఖ్యమైన విషయం.","The main thing,"
"31","అతను ఆ సాయంత్రం చాలా మద్యం తాగాడని నేను గమనించాను.","I noticed he was drinking a lot that evening."
"31","అంత గమనించ తగ్గదా?","Is that notable?"
"32","అవును.","Yeah."
"32","అతను హై స్కూల్ లో చదివే రోజుల నుంచి చాలా హుందాగా ఉండేవాడు.","He's been sober since high school."
"32","అతను తాగడం నేనెప్పుడూ చూడలేదు.","Never seen him drink."
"33","బార్ లో కలిసిన తరువాత మీరిద్దరూ ఎక్కడికి వెళ్లారు?","Where'd you two go after the bar?"
"33","నేను ఇంటికి వచ్చేశాను, ఇంకా.","I came home, and."
"34","దేవుడా, అతను ఎక్కడికి వెళ్లాడో నాకు తెలియదు.","[stammers] God, I don't know where he went."
"35","సరే, చాలా థాంక్స్.","Well, thank you very much."
"36","మీకు ఇంకా ఏదైనా గుర్తొస్తే, నా ఫోన్ నెంబరు దాని వెనుకే ఉంది.","If you think of anything else, my cell's on the back."
"37","థాంక్యూ.","Thank you."
"37","నేను ఇంక వెళతాను.","[sighs] I'll see myself out."
"40","నువ్వు పైన గదికి వస్తావా?","Will you come upstairs?"
"41","దీని కోసమే నేను రేయన్ దగ్గరకి వెళ్లాను.","This is why I went to Ryan."
"42","ఇది నీకు ఎక్కడ దొరికింది?","Where did you find this?"
"42","స్టోరేజ్ ప్రదేశానికి నేను నిన్ను అనుసరించాను.","I followed you to the storage unit."
"43","ఇది ఏమిటో చెప్పమని అడగడానికి నేను దీనిని రేయన్ దగ్గరకి తీసుకువెళ్లాను.","And I took one to Ryan to see if he could tell me what it was."
"44","ఇది నువ్వు అనుకునేది కాదు.","It's not what you think."
"46","ఇది ఒక ప్రయోగాత్మక మిశ్రమం, ఇంకా మెదడు ముందు భాగంలోని పొరలో కొన్ని భాగాలను ఇది మూసివేయడం కోసం రూపొందించినది.","This is an experimental compound designed to shut down certain regions in the prefrontal cortex."
"46","ఏ ప్రయోజనం కోసం?","For what purpose?"
"46","దీని ద్వారా సూపర్ పొజిషన్ లో ఉండే మ్యాక్రోస్కోపిక్ పదార్థాలను నేను పరిశీలించడం కోసం.","So that I can observe macroscopic objects while they're in superposition."
"47","రేయన్ దీనిని నా కోసం తయారు చేశాడు.","Ryan built it for me."
"48","ఈ విషయం నాకు ఎందుకు చెప్పలేదు?","Why didn't he tell me?"
"48","అతను గోప్యత ఒప్పందంలో ఉన్నాడు.","He's under an NDA."
"48","మరి, నువ్వు దీని గురించి నన్ను ఎందుకు నిలదీయలేదు?","Now, why didn't you confront me with it?"
"49","ఎందుకంటే మన ఇద్దరం అపరిచితులం అయ్యాము అనిపించింది, అలా ఉండడం నాకు నచ్చలేదు.","'Cause I feel like we've become strangers, and I hate it."
"50","నేను భయపడ్డాను.","And I'm scared."
"51","నువ్వు దీన్ని వాడుతున్నావా?","Are you using it?"
"52","నాకు అబద్ధం చెప్పకు.","Don't lie to me."
"53","అవును.","Yes."
"54","అది నీ మీద ప్రభావం చూపిస్తోందా?","Is it affecting you?"
"55","అంటే, దీని సైడ్ ఎఫెక్ట్స్ చాలా తీవ్రంగా ఉంటాయి.","Well, the side effects are pretty intense."
"56","నువ్వు దీన్ని వాడటం ఆపేయాలి.","I want you to stop."
"57","సరే.","[sighs] Okay."
"57","ఆపగలవా?","Can you stop?"
"57","ఆపగలను.","Yes."
"58","నేను ఆపగలను.","I will."
"59","ఇంకా ఆ స్టోరేజ్ యూనిట్ లో ఏం ఉంది?","And what's in the storage unit?"
"60","చాలా వస్తువులు ఉన్నాయి.","A lot of stuff from."
"61","నా ప్రాజెక్టుకి సంబంధించినవి.","Just for my project."
"62","కానీ, నువ్వు ఏదో దాస్తున్నట్లు అనిపిస్తోంది.","Well, it feels like you were hiding it."
"63","ఎందుకంటే నేను దాస్తున్నాను గనుక.","Because I was."
"64","నేను ఎక్కువ ఆశిస్తూ, ఎక్కువ పని చేస్తున్నందుకు నాలో అపరాధభావం కలుగుతోంది.","I guess I felt guilty of wanting more, doing more."
"65","కాబట్టి, నిజం.","So, yeah."
"67","మనం నిజంగా ఈ పని చేయాలి అంటావా?","[Jason] Are you really sure that we need to do this?"
"68","దీని కోసం మనం రెండు ఆంప్యూల్స్ వృథా చేస్తాం అనిపిస్తోంది.","I think it's a waste of two ampoules."
"68","ఒక రోజంతా వృథా అవుతుంది.","A waste of a-an entire day."
"68","విను, నాకు తెలుసు.","Listen, I know."
"69","కానీ మేము చేసిన అన్ని టెస్టులలో, ఆ మందుకి వ్యసనంగా మార్చే స్వభావం ఉందని కనుగొన్నాం, ఇంకా ఇంత నిరంతరం ఈ స్థాయిలో దానిని వాడటం వల్ల కలిగే ఫలితాలని మేము ఇంకా పరిశోధించలేదు.","But in all our testing, the drug was found to be habit forming, and it was never evaluated under this level of continuous use."
"69","మనం ఇలా రోజులు గడుపుతున్నాం ఒత్తిడి తోనో లేదా మత్తులోనో ఇరవై తొమ్మిది రోజులుగా బతుకుతున్నాం.","We've been living like this In fight or flight for 29 days."
"70","మనకి ఇప్పుడు ఖచ్చితంగా కాస్త విశ్రాంతి కావాలి.","We really need a break."
"71","మనం ఇందుకు పూర్తిగా భిన్నమైన పని ఏదో చేయాలి.","We need something completely different."
"72","డాక్టర్ గారి ఆదేశాలు.","Doctor's orders."
"72","సరే.","Okay."
"79","అందరూ నా చుట్టూ చేరండి, ఇంకా మనం ప్రాక్టీసు చేసిన మాదిరిగా అర్ధచంద్రాకారంలో నిలబడండి.","[teacher] Everybody gather around me, and let's get into our horseshoe like we practiced."
"80","ఎనర్జీ మ్యూజియం సరే.","Okay."
"80","మనం ఇక్కడికి ఎందుకు వచ్చామో ఎవరు చెప్పగలరు?","Who knows why we're here?"
"81","చూడండి.","Look."
"81","కోల్డ్ ఫ్యూజన్ వారోత్సవాల సందర్భంగా మనం ఏం వేడుక చేసుకుంటామో మీకు గుర్తుందా?","[teacher] Now, do you remember what we celebrate during cold-fusion week?"
"81","మొదటి ఫ్యూజన్ రియాక్టర్ ఆన్ లైన్ అయింది.","[learner] When the first fusion reactor went online."
"81","సరే.","[teacher] Yes."
"81","మరి, లోపలికి వెళ్లడానికి మీరంతా సిద్ధమేనా?","Okay, are you ready to go inside?"
"81","సిద్ధం! సరే, నన్ను అనుసరించండి.","[learners] Yes! Okay, follow me."
"82","మనల్ని ఎక్కడికి తీసుకువచ్చావు?","Where have you brought us?"
"83","ఖచ్చితంగా తెలియదు.","I'm not sure."
"84","నేను ఈ ప్రపంచం ఇలా ఉండాలని వివరాలు రాయలేదు.","I didn't even describe the world."
"85","చక్కని అనుభవాలను అందించే మంచి ప్రపంచం కోసం కొన్ని అంశాల మీద దృష్టి సారించాను.","Focused on concepts I thought would make a world worth experiencing."
"85","అంటే ఎలాంటివి?","Such as?"
"86","సాధారణ అంశాలపై జనానికి ఏకాభిప్రాయం ఉండడం, పర్యావరణాన్నీ లేదా మానవత్వాన్ని విధ్వంసం చేయని టెక్నాలజీ లాంటివి.","People agreeing on basic facts, technology that doesn't destroy the environment or humanity."
"87","ఎక్కువగా, నేను సహానుభూతి గురించి రాశాను.","Mostly, I wrote about empathy."
"88","హాయ్.","Hi."
"89","రెండు హాట్ చాక్లెట్లు ఇవ్వండి, ప్లీజ్.","Two hot chocolates, please."
"90","థాంక్యూ.","Thank you."
"90","థాంక్యూ.","Thank you."
"92","అయితే, నువ్వు మనుషుల గురించి రాశావు, కానీ వస్తువుల గురించి కాదు.","So, you wrote about the people, not the things."
"93","జీవితం అనేది మనం ఎవరితో పంచుకుంటామనే దాని మీద ఆధారపడి ఉంటుంది, కదా?","Life's about who you share it with, right?"
"95","ఇది బాగానే ఉందా?","Is it good?"
"96","బాగుంది.","Yeah."
"97","ఈ కప్ ని కూడా తినేయచ్చు అనుకుంటా.","I think the cup is edible."
"98","ఇది బాగుంది, కదా?","It's good, right?"
"98","అవును.","Yeah."
"99","నీకు వచ్చేసింది! దీనిని స్పైర్ అంటారు.","[Amanda speaks Portuguese] [Jason speaks Portuguese, chuckles] You got it! [chuckles] [Jason speaks Portuguese] [Jason speaks indistinctly] It's called the Spire."
"99","ఒబామా బిల్డింగ్ పైన ఉంటుంది.","Top of the Obama Building."
"99","ఈ సిటీలోనే అతి చక్కని రెస్టారెంట్.","Best in the city."
"99","అక్కడ నా ఫ్రెండ్ మేనేజరుగా ఉంది.","[Jason] My friend's the manager."
"99","సిడ్ పంపించింది అని ఆమెకి చెప్పండి.","Tell her Sid sent you."
"99","థాంక్యూ.","[Amanda] Thank you."
"100","ఈ షికాగో నాకు నచ్చింది.","I'm loving this Chicago."
"100","అవును.","Yeah."
"101","ఆగు, ఏంటి?","Wait, what?"
"101","మనం వెళ్లిపోతున్నామా?","Are we leaving?"
"101","నేను వెళ్తున్నాను.","I'm leaving."
"102","ఇది సర్ ప్రైజ్.","It's a surprise."
"102","నన్ను ఇంకో రెండు గంటల్లో కలుస్తావా?","Meet me in two hours?"
