File_Path,Original_Index_1,Original_Index_2,New_Timestamp,Merged_Dialogue_Start
1 tel.srt,30,31,"00:02:29,358 --> 00:02:35,989","గుర్రాన్ని చూసి జనం ఎగబడి వచ్చేయరు కానీ, దాన్ని సులువుగా లొంగదీసుకోవచ్చు."
1 tel.srt,147,148,"00:13:32,229 --> 00:13:35,732","-కిర్బీ. -నాకు తెలీదు, ఎందుకంటే అతను ఎలా ఉంటాడో నాకు తెలీదు."
1 tel.srt,338,339,"00:33:08,614 --> 00:33:14,953","దయచేసి మీ వస్తువులన్నింటినీ తీసుకొని వెళ్లడం మర్చిపోకండి, మళ్లీ ఈ నక్షత్రాలను చూడటానికి త్వరలోనే రండ"
1 tel.srt,359,360,"00:34:56,722 --> 00:35:01,018","అంటే, నీకు కాస్త సమయం ఇస్తే... నువ్వు గుర్తుపడతావు అనుకున్నా, కానీ నువ్వు ఇంకా నన్ను గుర్తుపట్టలేదు."
1 tel.srt,387,388,"00:36:39,992 --> 00:36:43,996","ఇప్పుడు మాస్కులు వేసుకోమని చెప్తున్నారు కానీ, నలభై ఏళ్లు సహావాసం చేశాక, ఇప్పుడు అవి పెట్టుకొని లాభం "
1 tel.srt,427,428,"00:39:20,485 --> 00:39:25,908","అతను వెనుక నుండి వచ్చి, నన్ను కింద పడేశాడు. కాబట్టి, నేను బోర్లా పడ్డాను."
1 tel.srt,488,489,"00:43:23,896 --> 00:43:31,528","ఏదీ కూడా ఉండాల్సిన స్థానంలో ఉండట్లేదు, కనీసం నాకు అవి గుర్తు కూడా ఉండట్లేదు."
1 tel.srt,496,497,"00:44:06,605 --> 00:44:10,734","ఇద్దరికీ ముగ్గురు అబ్బాయిలు పుట్టాక, అతను కనీసం చెప్పాపెట్టకుండా వాళ్లని వదిలిపెట్టి వెళ్లిపోతాడు."
1 tel.srt,499,500,"00:44:14,947 --> 00:44:19,159","కనబడ్డాడు, ఓరెగన్ లో ఇతర కుటుంబాలతో సహవాసం చేస్తూ గడుపుతున్నాడు."
2 tel.srt,83,84,"00:06:20,339 --> 00:06:24,259","మెడ విరిగింది, కాబట్టి, తను ఆమెని కోసేసినా కూడా తను ఊపిరి తీసుకోవడం తప్ప"
2 tel.srt,105,106,"00:07:53,765 --> 00:07:59,062","మరి, బయటి దెబ్బ కారణంగా మూడు పక్కటెముకలు విరిగాయి."
2 tel.srt,235,236,"00:17:28,757 --> 00:17:35,722","నీ కథకు మద్ధతుగా నీ దగ్గర ఏదైనా ఆధారం ఉంటే, అది చాలా ఉపయోగపడుతుంది."
2 tel.srt,278,279,"00:20:28,437 --> 00:20:32,107","తను చనిపోయింది, దాడి చేసింది అదే వ్యక్తి అని మేము అనుకుంటున్నాం."
2 tel.srt,381,382,"00:29:11,793 --> 00:29:15,714","నేను కళ్లు మూసుకున్నప్పుడు, నా మదిలో మెదిలే జ్ఞాపకాలు,"
2 tel.srt,400,401,"00:30:27,703 --> 00:30:33,792","ఇంత దాడి జరిగితే, పోలీసు వాళ్లు చాలా చిన్న దాడి అని రాశారు."
3 t.srt,92,93,"00:10:25,125 --> 00:10:30,422","అది విశ్వసనీయ నిర్ధారణ కాదు, అందులోనూ నిన్ను నమ్మలేము అని వాళ్లు భావిస్తున్నారు."
3 t.srt,160,161,"00:15:26,677 --> 00:15:31,014","నాకు ఈ దుకాణం గురించి బాగా తెలుసు, ఆ క్లర్క్ గురించి, ఇక్కడికి వచ్చే కస్టమర్ల గురించి నాకు బాగా తెలు"
3 t.srt,177,178,"00:16:58,477 --> 00:17:04,023","నువ్వు రానిచ్చావు. లేకపోతే, నేను ఇక్కడి దాకా వచ్చేవాడినే కాదు, నాకు అర్థం కావట్లేదు."
3 t.srt,324,325,"00:30:24,408 --> 00:30:28,495","ఆ పోర్టును లాంగ్ షోర్స్ మెన్ యూనియన్ చూసుకుంటోంది, కాబట్టి, ఆ శవాన్ని చూసిన వాళ్లు, ఇప్పటికీ అక్కడ ఉ"
3 t.srt,327,328,"00:30:31,290 --> 00:30:40,257","కేరన్ పొలాచెక్, 1974. సాక్ష్యులు ఎవరూ లేరు. తన శవం బాయిలర్ గదిలో ఉండింది, తనకి పెళ్లి కాలేదు. ఒక నర్"
3 t.srt,490,491,"00:44:27,417 --> 00:44:32,047","ఎవరైనా నిన్ను ప్రశ్న అడిగితే, వాళ్లు పట్టించుకోకుండా వదిలేసిన ఇతర మహిళల గురించి వాళ్లకి గుర్తు చేయ్."
3 t.srt,495,496,"00:44:42,558 --> 00:44:48,730","ఈ ఉదయం మీ ఇంట్లో లేచినప్పుడు, నేను అక్కడ ఒక్కరాత్రికే పడుకున్నానా, లేదా కొంతకాలంగా అక్కడే ఉంటున్నానా"
3 t.srt,506,507,"00:45:16,884 --> 00:45:23,390","మనం దాన్ని రాసీ రాయగానే, అది ఎండిపోవడం మొదలవుతుంది, కాసేపయ్యాక, అక్కడ ఏమీ ఉండదు, అలాగే జనాలకు అది గు"
3 t.srt,508,509,"00:45:25,350 --> 00:45:30,564","కానీ నువ్వు ఇంకా బతికే ఉన్నావు, నిన్ను ఎవరూ మర్చిపోలేరు."
3 t.srt,523,524,"00:47:06,451 --> 00:47:12,082","పల్సర్లు అంటే, భారీ స్థాయిలో గురుత్వాకర్షణ శక్తి ఉండి, అధిక వేగంతో తిరిగే చిన్న సైజు నక్షత్రాలు, ఇవి"
3 t.srt,526,527,"00:47:13,917 --> 00:47:19,256","పల్సర్లు నక్షత్రాలుగా ఉన్నప్పుడు సూర్యుని కంటే పెద్దవిగా ఉంటాయి, అవి పరిమాణంలో బాగా పెరిగిపోయి వాటిల"
3 t.srt,528,529,"00:47:19,756 --> 00:47:25,262","ఒక పెద్ద పేలుడు పేలి, అవి చనిపోతాయి, కానీ మొత్తం ఇంధనం అయిపోయినప్పుడు,"
3 t.srt,544,545,"00:48:21,068 --> 00:48:24,738","ఏదో పెద్ద విషయం ఉందని ఎప్పుడూ జనాలను నిరాశకే గుర్తి చేస్తుంటావు, కానీ అలాంటి పెద్దదంటూ ఏమీ లేదు."
4t.srt,20,21,"00:03:01,431 --> 00:03:04,935","నర్సులు ఏమీ చెప్పరు, డాక్టర్లు అయితే ఏడు గంటలయ్యేదాకా రౌండ్లకు రారు."
4t.srt,88,89,"00:08:21,084 --> 00:08:24,588","మార్కస్ నెగెటివ్స్ ని తీశాడు, సమ్మర్ లోపల ఉండే దానికి సంబంధించిన ఫోటో కనిపెట్టాడు."
4t.srt,103,104,"00:09:10,843 --> 00:09:15,973","ఎవరో ఒక మహిళ తన తాళం చెవులని పోయిన వారం పోగొట్టుకుంది, నువ్వేమో దీనికీ, 20 ఏళ్ళ క్రితం జరిగిన హత్యకు"
4t.srt,121,122,"00:10:37,930 --> 00:10:42,601","ఆ ఫోటోలో ఉన్న ఆ తాళం చెవి, ఇతర ఫోటోల నుండి పొరపాటున ఈ ఫోటోలొకి వచ్చే అవకాశం లేదంటావా?"
4t.srt,133,134,"00:11:20,430 --> 00:11:27,479","హా, ఆ గాట్లు మతపరమైనవి కావచ్చు, లేదా మత వ్యతిరేక శక్తులవి కావచ్చు, లేదా శిలువ ఆకారంలో కోయబోయి అలా కో"
4t.srt,138,139,"00:11:33,777 --> 00:11:38,031","హేయ్, క్యాథరిన్ మూర్ కేసుపై పని చేసిన డిటెక్టివ్, ఇప్పుడు రిటైర్ అయిపోయింది, కానీ మనకి సాయపడతాను అంట"
4t.srt,155,156,"00:12:19,198 --> 00:12:23,076","అతను బాధితులను ఏ విధంగా ఎంచుకున్నాడు, వాళ్లందరిలో కామన్ గా ఉన్న అంశాలేంటి, వాళ్లలో అతను పెట్టిన వస్త"
4t.srt,158,159,"00:12:26,246 --> 00:12:31,335","నువ్వు ఆ రిటైర్ అయిన డిటెక్టివ్ కి కాల్ చేసి, కనీసం తన కేసు వివరాలను నిర్ధారించేలా చేయ్."
4t.srt,260,261,"00:19:41,557 --> 00:19:49,773","తనకు వారానికి మూడు సార్లు అర్ధరాత్రి రెండు గంటలకు షో ఉండేది, ఆయాను పెట్టుకొనే స్తోమత తనకి లేదు. కాబట"
4t.srt,344,345,"00:24:29,928 --> 00:24:33,849","తనకి ఎప్పుడూ మిమ్మల్ని చూసుకోవడం, ఇంకా ఆసుపత్రిలోనే సరిపోయేది కదా?"
5 tel.srt,22,23,"00:01:17,578 --> 00:01:22,457","అతని గురించి తెలిసినవాళ్ల నుండి మాకు సరిపడా వివరాలు కావాలంతే, తద్వారా వారు చిత్రాన్ని గుర్తుపట్టగలగా"
5 tel.srt,54,55,"00:03:15,696 --> 00:03:19,491","-ఇంట్లో ఎవరైనా ఉన్నారా? -నేను ఇంటికి వెళ్లాలి, లేదంటే నా బతుకు కూడా లియోలా అయిపోతుంది."
5 tel.srt,58,59,"00:03:25,122 --> 00:03:30,085","నువ్వు ఇప్పుడు నాకు సాయం చేస్తే, నేను చుప్ చాప్ గా వెళ్లిపోతా, కానీ నువ్వు కాకుండా వేరేవాళ్ల వలన నేన"
5 tel.srt,76,77,"00:06:47,241 --> 00:06:52,913","డిటెక్టివ్స్ కి తమ పాత నోట్స్ ని ఓసారి పరిశీలించమని చెప్పాను, పరిష్కృతం కాని కేసులని పరిశీలించమని చె"
5 tel.srt,89,90,"00:07:28,407 --> 00:07:32,536","కానీ నేను ఇతనితో రెండు నిమిషాలైనా మాట్లాడి ఉంటా, ఇది అతనే."
5 tel.srt,125,126,"00:09:27,442 --> 00:09:32,823","అతను మాత్రం నిన్న రాత్రి ఎలా ఉన్నాడో, అప్పుడు కూడా అలానే ఉన్నాడు, అచ్చు గుద్దినట్టు."
5 tel.srt,195,196,"00:13:55,586 --> 00:14:01,008","అవును, ఒక సీరియల్ రేపిస్ట్ విడుదలైన రోజుకు ఆ తారీఖులు సరిపోలుతున్నాయి, ఇంకా ఒక యువతి తన తండ్రి గురిం"
5 tel.srt,200,201,"00:14:06,972 --> 00:14:12,644","సమ్మర్ ఫ్రాన్సిస్ ప్రొఫైల్ నా దగ్గర సిద్ధంగా ఉంది, కానీ ముందు నేను మాద్రిగల్ హత్య విషయంలో అనుమానితుడ"
5 tel.srt,224,225,"00:15:12,412 --> 00:15:17,417","అంటే, పరిస్థితులు ఒకలా ఉండి, మారిపోవడం, కానీ అవి నీకు తప్ప ఇంకెవరికీ తెలీకపోవడం వంటివి."
5 tel.srt,235,236,"00:15:47,739 --> 00:15:53,704","అవి ఒకదానికొకటి స్వతంత్రంగా ఏమీ చేయలేవు, కాబట్టి మనకి ఒకదాన్ని ఏమైనా చేస్తే, ఇంకోటి కూడా అలానే ప్రతి"
5 tel.srt,293,294,"00:21:24,618 --> 00:21:28,539","-మీరేదో అంటున్నారు? -చూస్తుంటే, మా ప్రాపర్టీ వేర్ హౌస్ నుండే మీ బ్యాక్ గ్రౌండ్ సమాచారాన్నంతా మీరు సే"
5 tel.srt,394,395,"00:28:01,306 --> 00:28:07,354","ఇదేంటబ్బా అని నేను ఆలోచిస్తుంటే, పైనున్న మా మనుషులపై శత్రువులు మెరుపుదాడి చేశారు."
5 tel.srt,443,444,"00:33:18,081 --> 00:33:20,709","-అవును. -నిజం చెప్తున్నా కదా, ఇక్కడ మరీ దారుణంగా ఉన్నారు మీరు."
5 tel.srt,460,461,"00:34:29,570 --> 00:34:41,831","ఏవీ సరిగ్గా గుర్తుండవు. కానీ ఇక్కడ ఉన్నారంటే, వీళ్ళ సమస్య చాలా తీవ్రమైనదని అర్థం, ఇంత మంది ఉన్నారు క"
5 tel.srt,470,471,"00:35:08,525 --> 00:35:11,695","తన స్కాన్స్ లని పరిశీలిస్తే, అతనిలో లోపం ఉన్న ఆనవాళ్లే లేవు."
5 tel.srt,477,478,"00:35:30,214 --> 00:35:35,677","అవున. ఇతను పారిపోవడానికి చాలా సార్లు ప్రయత్నించాడు, చివరికి ""పాత్స్ ఆఫ్ గ్లోరీ"" అనే సినిమాను చూడటాని"
6 t.srt,149,150,"00:11:29,857 --> 00:11:37,281","మళ్లీ నువ్వు బాలబన్ లో షో ఇవ్వబోతున్నావు కదా. తను దాన్ని చెడగొట్టడం నాకు ఇష్టం లేదు, ఏంటి?"
6 t.srt,314,315,"00:24:47,070 --> 00:24:50,949","అప్పుడప్పుడూ పాతగానూ, అప్పుడప్పుడూ కొత్తగానూ మారిపోతూ ఉంటాయి, అప్పుడప్పుడు అయితే, అవి వేరేవి అయిపోతు"
6 t.srt,319,320,"00:25:00,292 --> 00:25:05,130","నీ లెఫ్టినెంట్ అన్నయ్య, -అతనేం చేస్తాడు? -ఏమో."
