Index,Details,Telugu,English,Status
63,t(4)-e(5) | .... vs ?....,"అయ్య బాబోయ్! ఎందుకంటే, మాకు బయట బాగా చూడాలనిపించే వాటి జాబితాను మేము తయారు చేసుకున్నాం. ఆ జాబితాలో, ఆకాశానికే మొదటి స్థానం ఇచ్చాం. బావలకి అసలు జాబితాలో చోటే దక్కలేదు. థ్యాంక్యూ.",Seriously? Because we made a list of what we'd most like to see on the outside. And sky was an easy number one. Brothers-in-law weren't even on the list. Grazie.,MISMATCH
111,t(2)-e(3) | ?? vs .??,"మార్క్ డబ్ల్యూ.నే ఇరికించాలనుకుంటున్నావా, లేదా మా అందరినీ ఇరికించాలనుకుంటున్నావా? మార్క్ అనే పేరుతో నీ ఒక్కడినే పిలవాలని ఇదంతా చాలా తెలివిగా చేశావు, కదా?","Were you going to frame all of us or just Mark w.? Clever way to secure the name for yourself, I suppose?",MISMATCH
125,t(4)-e(5) | ???. vs ???..,హలో? ఎవరైనా వింటున్నారా? బోర్డు వింటోందా? మ్యాక్రోడేటా రిఫైన్మెంట్ నుండి మార్క్ ఎస్.ని మాట్లాడుతున్నా.,Hello? Is anyone there? Is the board on? It's Mark s. From macro data refinement.,MISMATCH
126,t(6)-e(5) | ...... vs .....,"సరే. అయితే మీరు కనుక ఉంటే, దయచేసి వినండి. విషయం ఏంటంటే, వేర్పాటు పద్ధతి జరపబడిన వారి విషయంలో మీరు మంచే చేయాలనుకుంటున్నారని తెలుసు, అందుకే నేను నా జట్టును మళ్లీ చూడాలనుకుంటున్నా. మార్క్! మీరు అన్నట్టు, వేర్పాటు సంస్కరణకు మేము నిజంగానే ప్రతిరూపమైతే, వారికి అవకాశం ఇవ్వడం న్యాయం. మార్క్! దయచేసి వినండి. వాళ్లు నా మిత్రులు. వాళ్లని మాయం చేసేయడం ఎంత వరకు న్యాయం! ప్లీజ్!","Okay. Well, if you're there, please listen. Now, I know that you want to do the right thing for severed people, which is why I need to see my team again. Mark! If we truly are the face of severance reform, as you say, then they deserve a chance. Mark! Please. They're my friends! You can't just make them disappear! Please!",MISMATCH
135,t(4)-e(5) | ?.?. vs .?.?.,డిలన్! మార్క్! అది పని చేసిందా? పని చేసింది. మిగతా వాళ్లు ఎక్కడ? నాకు తెలీదు.,Dylan! Mark. Did it work? It worked. Where are the others? I don't know.,MISMATCH
139,t(3)-e(4) | ??? vs ????,"అర్వింగ్, ఏమైంది? అయ్య బాబోయ్! అర్వ్! గురూ, ఏమైంది? నీ పనియేతర అవతారం పేదవాడా?","Irving, what happened? The fuck? Irv! Dude, what's wrong? You poor up there?",MISMATCH
159,t(12)-e(11) | .?....?..... vs .?....?....,"ఆగు, వాళ్లు మా స్థానంలోకి వేరే వాళ్లని తెచ్చారా? రెండు రోజుల పాటు ఉన్నారు వారు. నా స్థానంలోకి ఎవరు వచ్చారు? ఫలానా వ్యక్తి స్థానంలోకి ఫలానా వారు అంటూ ఏమీ లేదు. కానీ వాళ్లు విచిత్రంగా ఉన్నారు. సరే. అయితే, నువ్వు బాధపడాల్సిన పని లేదులే. బాధపడటం ఏంటి? వారిని పనిలోంచి పీకించేసినందుకు. తొక్కలో ముఖాలు. నా ఉద్దేశం వారిని పనిలోంచి పీకించాలని కాదు లేదు, గురూ. బాధపడకు అని చెప్తున్నా. నన్ను అడిగితే, వాళ్లకి అలా జరగడం న్యాయమే.","Wait, so they replaced us? For a couple days. Who was me? They weren't, like, specific counterparts. They were, I don't know, weird. Okay. Well, I don't think you should feel bad at all. Feel bad? Yeah, for ending their lives. Fuck 'em. Well, I wasn't trying to no, dude, I'm saying don't feel bad. Like, I'm sure they deserved it.",MISMATCH
197,t(2)-e(3) | .. vs ...,"మీ ఫైల్ పై మీరు పని చేయడం ప్రారంభిస్తే, మీకు ఇక్కడే ఉండాలని ఉందని భావిస్తాను. లేదంటే, మనస్సులో ఏమీ పెట్టుకోకుండా మిమ్మల్ని బయటకు పంపించేస్తాను.","If you start work on your file, I'll assume you want to stay. If not, I'll send you to the surface. No ill will.",MISMATCH
221,t(2)-e(3) | .. vs ...,"లేదు, నేను సంరక్షణ విభాగానికి వెళ్లాను. అది అక్కడ లేదు.",No. I went to wellness. It's gone.,MISMATCH
235,t(2)-e(3) | .. vs ...,"అంతా అయోమయంగా ఉంది. సారీ, మిత్రులారా, నేను నిజంగానే ప్రయత్నించా.","I don't know. Sorry, guys. I really tried.",MISMATCH
