"Index","Telugu Text","Mapped English Text"
"1","అటెన్షన్!","Ah-ten-hut!"
"2","కూర్చోండి, జెంటిల్మెన్.","At ease, gentlemen."
"3","సరిగ్గా ఏడాది కిందట ఇదే రోజు, ఎయిత్ ఎయిర్ ఫోర్స్ మొదటిసారిగా పూర్తి స్థాయిలో వాయుసేన దళాన్ని పంపించింది.","Exactly one year ago to the day, the Eighth Air Force sent up its first maximum effort."
"4","అది పన్నెండు బి-17 విమానాల సామూహిక దాడి.","It was a combined force of 12 B-17s."
"5","ఈ రోజు, ఎయిత్ ఎయిర్ ఫోర్స్ మళ్లీ పూర్తిస్థాయిలో మూడు ఎయిర్ టాస్క్ ఫోర్స్ లని పంపించబోతోంది.","Today, the Eighth will be sending up a max effort with three air task forces."
"6","-అవును. -మొత్తంగా 376 భారీ బాంబర్లనీ ఇంకా 240 ఫైటర్లని పంపించబోతోంది.","- Yeah. - Totaling 376 heavy bombers and 240 fighters."
"7","-తక్కువ కాదు, హా? -అవును.","- Not bad, huh? - Yeah."
"8","ఇంత భారీ సంఖ్యలో యుద్ధవిమానాల సమూహం దాడికి దిగడం మానవజాతి చరిత్రలో ఇదే మొదటిసారి.","That's the largest air armada ever assembled in the history of mankind."
"9","అవును!","Yeah!"
"10","అవును!","Yes!"
"11","ఇప్పుడు, మనం మొదటి టాస్క్ ఫోర్స్ గా ఉండి రేగెన్స్ బర్గ్ లో మెసెర్ ష్మిట్ 109 ఇంజన్ అసెంబ్లీ కర్మాగారం లక్ష్యంగా దాడులు చేస్తాం.","Now, we will be in the first task force targeting the Messerschmitt 109 engine assembly plant in Regensburg."
"12","రెండవ, మూడవ టాస్క్ ఫోర్సులు ష్వయిన్ఫర్ట్ లో ఉన్న బాల్ బేరింగ్ కర్మాగారాలు లక్ష్యంగా దాడులు చేస్తాయి.","Second and third task forces will hit the ball bearing factories in Schweinfurt."
"13","బాల్ బేరింగులు లేకుండా ఏ యుద్ధవాహనాలూ కదలలేవు.","And no war machine moves without ball bearings."
"14","మనం గనుక విజయవంతంగా దాడులు చేస్తే, మనం జర్మన్ ఉత్పత్తుల్ని కొద్ది నెలల పాటు నిలిపివేయచ్చు.","If we succeed, we knock German production off line for months."
"15","మనం ఎందరి ప్రాణాలు కాపాడతామో ప్రత్యేకంగా చెప్పనక్కరలేదు.","There's no telling how many lives we could save."
"16","కార్పొరల్.","Corporal."
"17","-ఓరి దేవుడా. -ఓహ్, బాబూ.","- Dear God. - Oh, boy."
"18","ఇది రేగెన్స్ బర్గ్.","This is Regensburg."
"19","బహుశా మీరు ఏం ఆలోచిస్తుంటారంటే జర్మన్ భూభాగం మీదుగా చాలా దూరం విమానంలో ప్రయాణించాల్సి వస్తుందని అనుకుంటూ ఉండచ్చు.","And you're probably thinking that's a lot of flying time over Kraut territory."
"20","అది నిజం.","It is."
"21","మనం ఇంత లోపలికి జొరబడి దాడి చేయడం ఇదే ప్రథమం.","It's the deepest we've attempted to reach."
"22","కానీ శక్తిమంతమైన ఎయిత్ వాయుసేనకి ఒక ప్లాన్ ఉంది.","But the mighty Eighth has a plan."
"23","మేజర్ బోమన్?","Major Bowman?"
"24","వెళ్లి అదరగొట్టు, రెడ్.","Go get 'em, Red."
"25","ఇది ముక్కోణపు దాడి అయితే ఆ జర్మన్లు వాటిల్లో ఒక దాడిని మాత్రమే ప్రతిఘటించగలరు.","It's a three-punch combo and the Krauts will only be able to defend one of them."
"26","కాబట్టి, ఈ ప్లాన్ ని అమలు చేసే విధానం, దాని సమయం చాలా కీలకం.","So, execution and timing will be essential."
"27","మేజర్?","Major?"
"28","ఆ రెడ్ గీత ఎందుకని కిందికి ఆఫ్రికా వరకూ వెళుతోంది?","Why does that red line go all the way down to Africa?"
"29","అది చాలా తెలివైన ప్రశ్న, కర్ట్.","That is a characteristically astute question, Curt."
"30","నాకు అనుమతి ఇస్తే, కొద్దిసేపట్లో వివరిస్తాను.","And I'll answer that in a moment, if I may."
"31","అలాగే, అలాగే. ఇప్పటికి నవ్వండి. అలాగే.","All right, all right. Laugh now. All right."
"32","ఇప్పుడు, ఈ మూడు టాస్క్ ఫోర్సులూ ఈ నది మీదుగా ఒక సమూహంగా ఏర్పడతాయి… థోర్ప్ ఆబోట్స్ - ష్వయిన్ఫర్ట్ ఐపి - ఎంపిఐ - ఆర్పీ - రేగెన్స్ బర్గ్ …ఆ తరువాత ఇక్కడ వేరుపడతాయి.","Now, the three task forces will assemble over the channel together. And then split here."
"33","ఇప్పుడు, ఆ జర్మన్ వాయుసేన కేవలం కొంతవరకూ మాత్రమే మన మొదటి టాస్క్ ఫోర్స్ ని ప్రతిఘటించగలుగుతుంది కానీ మళ్లీ ఆయుధాలు ఇంకా ఇంధనం కోసం తిరిగి వైమానిక స్థావరానికి వెళ్లవలసి వస్తుంది.","Now, the Luftwaffe will only be able to mount a sizable defense against our first task force before having to head back to base to rearm and refuel."
"34","వాళ్ల విమానాలు మళ్లీ గగనతలంలోకి ఎగిరేసరికి, రెండు, మూడు టాస్క్ ఫోర్సులు ష్వయిన్ఫర్ట్ లో బాల్ బేరింగ్ ఫ్యాక్టరీ మీద బాంబులతో దాడులు చేస్తాయి, అదే సమయంలో రేగెన్స్ బర్గ్ మీద కూడా మనం బాంబు దాడులు చేస్తాము.","And when they finally get back in the air, the second and third task forces should be dropping their bombs on the ball bearing factory in Schweinfurt, while we're dropping our bombs on Regensburg."
"35","ఇప్పుడు, నీ ప్రశ్నకు సమాధానం చెప్పాలి, కర్ట్.","Now, to answer your question, Curt."
"36","దాడులు ముగించి… నేను ఎలా చెప్పాలి…","As we drew the... How can I put this..."
"37","తిరిగివచ్చే క్రమంలో చిట్టచివర ఉండే మనం, శత్రు విమానాల ప్రతిదాడులను ఎదుర్కోవాల్సి వస్తుంది, ఇంకా మన ఉన్నతాధికారులు, వాళ్లు… వాళ్లు వేసిన ఈ తెలివైన ప్లాన్ వల్ల జర్మన్ వెధవలు ఖచ్చితంగా అయోమయానికి గురవుతారు ఎందుకంటే మనం వచ్చిన దారిలోనే తిరిగి రావడం లేదు.","The shitty end of the stick on the approach, and we're taking the brunt of the enemy fighters, the brass, they've come up with an ingenious plan that is sure to confuse the hell out of the Krauts when we're a no-show for the return."
"38","అది ఎందుకంటే మనం తిరుగు ప్రయాణంలో ఆఫ్రికా వైపు వెళతాం, జెంటిల్మెన్.","That's because you're headed to Africa, gentlemen."
"39","తెలెర్గ్మా","**[NO ENGLISH MATCH FOUND]**"
"40","అక్కడ పన్నెండవ ఎయిర్ ఫోర్స్ మనల్ని చల్లని బీర్లతో, ఎండ్రకాయల వంటకాలతో సాదరంగా స్వాగతం పలుకుతుంది.","The 12th Air Force will welcome you with open arms, ice-cold beer and lobster tails."
"41","అది ఒక హాలిడే మాదిరిగా ఉంటుంది. మీ అందరూ బీర్ ని ఇష్టపడతారు.","It'll be like a holiday. Y'all like beer."
"42","అయితే మనకి అదృష్టం కలిసిరావాలి.","If we get lucky."
"43","థాంక్యూ, రెడ్.","Thank you, Red."
"44","ఇంక ఇప్పుడు కొద్దిగా చెడువార్త.","And now for some bad news."
"45","మన వింగ్ లో, మనం చిట్టచివరి చార్లీగా ఉంటాం.","In our wing, we're tail-end Charlie."
"46","స్క్వాడ్ లోనే చెడ్డ స్థానం.","Worst spot in the squad."
"47","అవును, అవును, అవును.","Yeah, yeah, yeah."
"48","ప్రాణాలకు భరోసా లేదు.","Lives ain't worth a nickel."
"49","ఈ స్క్వాడ్రన్ కి 418వ గ్రూప్ సారథ్యం వహిస్తుంది ఇంకా ఆ గ్రూప్ కి మేజర్ కిడ్ కమాండ్ పైలెట్ గా వ్యవహరిస్తాడు.","The lead squadron is the 418th with Major Kidd as command pilot of the group."
"50","అదనంగా, కెప్టెన్ క్రూక్షాంక్ విమానంలో మేజర్ ఈగన్ కూడా ఈ గ్రూప్ కి రిజర్వ్ కమాండ్ పైలెట్ గా ప్రయాణిస్తాడు.","In addition, Major Egan will be flying in Captain Cruikshank's fort, as reserve command pilot of the group."
"51","ఎగువ స్థానంలో 349వ ఇంకా 351వ గ్రూపులకి మేజర్ వీల్ సారథ్యం వహిస్తాడు…","Major Veal leads the 349th and the 351st in the high position..."
"52","ఏంటి, నాతోపాటు ఆయన ఉండబోతున్నాడా?","What, I got a fucking passenger?"
"53","చూడబోతే అంతేలా ఉంది.","Apparently so."
"54","అదీ సంగతి.","There you are."
"55","ఇప్పుడు, తెల్లవారుజామున వాతావరణం కొద్దిగా ఇబ్బంది పెట్టేలా ఉంది. స్టార్మీ?","Now, it seems like we have a little tricky weather pressure in the early hours. Stormy?"
"56","వాన పడచ్చేమో అనుకుంటున్నాను.","Let me guess, it's gonna rain."
"57","వంద శాతం అవకాశం ఉంది.","Hundred-percent chance."
"58","అది నిజం, సర్.","That's quite right, sir."
"59","జెంటిల్మెన్, ఈ రోజు మన స్థావరం మీదుగా, ఆకాశంలో సగం వరకూ చెదురుమదురు మేఘాలు నాలుగు వేల అడుగుల ఎత్తులో విస్తరించి ఉన్నాయి.","Over the base today, gentlemen, cloud cover stands at about five-tenths stratus at 4,000 feet."
"60","సగం ఆకాశం మేఘావృతమై ఉండి…","Topped by five-tenths..."
"61","ఈ ""రిజర్వ్ కమాండ్ పైలెట్"" గొడవ ఏంటి?","What the hell is a reserve command pilot?"
"62","నాకు తెలియదు.","I don't know."
"63","-అందులో నీ ప్రమేయం ఏమీ లేదా? -దృశ్యమానత ఎంత అంటే…","- You had nothing to do with it? - Visibility will be..."
"64","ఏంటి?","What?"
"65","ఆల్ప్స్ పర్వతశ్రేణి దాటి ఆఫ్రికా వైపు వచ్చే దిశలో మేఘాల దృశ్యమానత సాధారణంగానే ఉండచ్చు.","Cloud invisibility should be good over the Alps and on your way south to Africa."
"66","థాంక్యూ, స్టార్మీ.","Thank you, Stormy."
"67","ఇక, ఈ మిషన్ సక్సెస్ దేని మీద ఆధారపడి ఉంటుందంటే మూడు టాస్క్ ఫోర్సులు ఖచ్చితంగా ఛానెల్ మీదుగా సరైన సమన్వయంతో దాడులు చేయగలగాలి.","Now, the success of this mission rests upon getting all three task forces precisely coordinated over the channel."
"68","మనం సరైన సమన్వయంతో వ్యవహరించకపోతే, అంటే, జర్మనీ లోపలికి నకిలీ పాసులతో వెళ్లలేము.","If we don't rendezvous in sync, well, there's no pass fake."
"69","క్రీడల విషయంలో నకిలీ పాసులు ఉంటాయి కదా.","That means a fake pass in sports talk."
"70","మరో పది సెకన్లలో 5:20 అవుతుంది.","05:20 in ten seconds."
"71","గుడ్ లక్…","Good luck..."
"72","మీ అందరినీ కొద్ది రోజుల తరువాత నేను కలుస్తాను.","and I'll see you all in a few days."
"73","టైమ్ సరిచేసుకోండి.","Hack."
"74","విమానం 567 కి ఇది క్లియర్ అప్ రేడియో సందేశం.","This is Clear-up Radio to aircraft 567."
"75","దట్టమైన పొగమంచు కారణంగా అన్ని విమానాలు టేకాఫ్ ని వాయిదా వేసుకోవాలని సూచించడమైనది.","All aircraft are advised that takeoff has been delayed due to heavy fog."
"76","మొత్తం విమానాలన్నీ తాత్కాలికంగా నిలిపివేయబడ్డాయి. తదుపరి ఆదేశాల కోసం వేచి చూడండి.","The entire wing is on temporary hold. Stand by for further instructions."
"77","క్లియర్ అప్ టవర్, ఇది విమానం 567.","Clear-up Tower, this is aircraft 567."
"78","తాత్కాలిక నిలుపుదల గురించి విన్నాము. వేచి ఉంటాం. ఓవర్.","Roger temporary hold. Standing by. Over."
"79","""ప్రభు, అనంత ఆకాశంలో విమానంలో ప్రయాణించే వారిని కాపాడి మార్గం చూపించు.","Lord, guard and guide the men who fly through the great spaces of the sky."
"80","దట్టమైన తుపానులలో లేదా వెచ్చని సూర్యకిరణాలలో గగన మార్గాన ప్రయాణించే వారికి అండగా ఉండు.","Be with them traversing the air in darkening storms or sunshine fair."
"81","హాయిగా ఎగిరే పక్షులను నీవు జాగ్రత్తగా కాపాడుతుంటావు.","Thou who dost keep with tender might, the balanced birds in all their flight."
"82","బీభత్సమైన గాలులలో చిక్కుబడిన వారిలో, నీవు తమ వెంట ఉన్నావనే భావన, భయం పోగొడుతుంది.""","Thou of the tempered winds, be near, that having thee they know no fear."
"83","మూడు టాస్క్ ఫోర్స్ విమానాలూ నిలిచిపోయాయి.","All three task forces are socked in."
"84","అవి ముప్పై నిమిషాలు ఆలస్యంగా బయలుదేరతాయి.","We got a 30-minute delay."
"85","""…ఆకాశం మార్గంలో ఒంటరి దారులలో ప్రయాణం.""","Fly through lonely ways beneath the sky."
"86","నువ్వు ప్రక్షాళన దిశగా బయలుదేరావు కానీ నువ్వు మార్గంలో రెండు దారుల మధ్యకి చేరుకున్నావు.","You're on the way through purgatory and you reach a fork in the road."
"87","ఒక దారి వల్హాల్లాకి వెళుతుంది, మరొక దారి నరకానికి దారి తీస్తుంది. శిక్ష.","One road goes to Valhalla, the other goes to hell. Damnation."
"88","ప్రతి దారిలో ఒక మరుగుజ్జు భూతం ఉంటుంది.","On each of the road is a goblin."
"89","ఒక మరుగుజ్జు భూతం ఎప్పుడూ నిజం చెబుతుంది.","One goblin always tells the truth."
"90","మరొకటి మాయ మాటలు చెప్పి మోసం చేస్తుంది. ఆ భూతం ఎప్పుడూ అబద్ధాలు చెబుతుంది. సరేనా?","The other is a tricky little fucker. He always lies. Okay?"
"91","నువ్వు ఒకే ఒక్క ప్రశ్న అడిగి సరైన దారి తెలుసుకోవాలి అంటే ఏం అడుగుతావు?","What's the one question that you need to ask that's gonna tell you the right way to go?"
"92","దేవుడా.","Jesus Christ."
"93","-హేయ్, లెఫ్టెనెంట్. నీ కోసం ఎవరో వచ్చారు. -గొప్ప అందగత్తె వచ్చింది.","- Hey, Lieutenant. You got a visitor. - That is a class woman."
"94","మరో ముప్పై నిమిషాల సేపు వేచి ఉండండి.","Stand by for 30 more minutes."
"95","నువ్వు ఒక్కసారైనా మంచి వార్త చెబుతావా, గ్రాసియా?","Do you ever have any good news, Garcia?"
"96","మీకు ఏమైనా ఫిర్యాదులు ఉన్నాయా? ఆపరేషన్స్ వాళ్లతో మాట్లాడండి.","You got complaints? Take it up with operations."
"97","హేయ్! ఘాటైన పదాలతో ఉత్తరం రాస్తాను!","Hey! Strongly worded letter to follow!"
"98","మరో అరగంట సేపు ఆలస్యం అవుతుంది, మిత్రులారా.","Delayed another half hour, fellas."
"99","మనం టేకాఫ్ అయిపోవచ్చు కదా?","Why can't we just take off?"
"100","ఎందుకంటే మనం వెళ్లలేము. అంతా పొగమంచు.","Because we can't. It's fog."
"101","పొగమంచులో ప్రయాణానికి పైలెట్లకి శిక్షణ ఉంటుంది కదా?","Haven't the pilots been trained for that?"
"102","అవును. వాళ్లకి జీతాలు ఇచ్చేది అందుకు కాదా?","Yeah. Isn't that what they get paid for?"
"103","ఖచ్చితంగా.","Sure."
"104","వాళ్లు నోట్లో లాలిపాప్ పెట్టుకుని తలకిందులుగా విమానాన్ని నడపగలరు.","They can fly upside down with a lollipop in their mouth."
"105","కానీ రన్వే మీద ఆవు ఎదురొస్తే గనుక…","But if there's a cow on the runway..."
