Index,Telugu Text,Mapped English Text
1,"ఆడు! అవును! మంచి షాట్! బాగా ఆడావు, మార్టీ.","Come on, baby! Yes! What a shot! Nice one, Marty."
2,బ్యాంక్ ఆదివారం నాడు తెరిచే ఉంది.,The bank's open on Sunday.
3,బ్యాంక్ ఆదివారం నాడు తెరిచే ఉంది. ఆగండి. ఒక్క క్షణం.,"The bank's open on Sunday. Hold it. Guys, guys, one moment."
4,అబ్బా!,"Come on, man!"
5,హలో? అవును.,Hello? Yes.
6,సరే.,Okay.
7,రా. తొందరగా రా!,Come on. Hurry it up!
8,"సరే, ధన్యవాదాలు. బై.","Okay, thank you. Bye."
9,"అంతా బానే ఉందా? ఆ, మా నాన్నగారు చచ్చిపోయారు.","Everything okay? Yeah, my father's dead."
10,సరే. బాల్ వేయండి. బాల్ వేయండి. రండి. మీ నాన్నగారు చచ్చిపోయారా?,"All right, ball in. Ball in. Let's go. Your father's dead?"
11,అవును. బాల్ వేయండి. బాల్ వేయండి.,"Yeah. Ball in, ball in."
12,ఏమంటున్నావు? చచ్చిపోవడంలో చచ్చిపోవడమా? ఇదుగో.,"What do you mean? Like dead, dead? Here we go."
14,"నాకు చిన్ననాటి నుండే మా నాన్నగారికి తల్లిదండ్రులు లేరని నాకు తెలుసు ఎందుకంటే నాకు నానమ్మ, తాతయ్యలు లేరు.",I knew as a toddler that my father had lost his parents because I had no grandparents.
15,నేను చిన్న పిల్లాడిగా ఉన్నప్పుడు మా నాన్నగారికి తోబుట్టువులు లేరని నాకు తెలుసు.,I knew as a child he had lost his siblings because I had no uncles or aunts.
16,నేను యుక్తవయస్కుడిగా ఉన్నప్పుడు ఆయన భార్య మరణించిందని నాకు తెలిసింది.,I only discovered as an adolescent he had lost his wife.
17,నేను పెద్దవాడిని అయిన తరువాత ఆయన తన బిడ్డని కోల్పోయారని నాకు తెలిసింది.,I only discovered as an adult he had lost his child.
18,"ఆయన అంతా కోల్పోయి, క్యాంప్ నుంచి బయటపడి ఇక్కడికి వచ్చారు.","So when he got out of the camp, he came here, having lost everything."
19,ఆయన మొదటి భార్య పట్ల బాధపడకుండా మనం మా నాన్నగారి కోసం బాధ పడలేము.,We cannot truly mourn my father without mourning his first wife.
20,"మా అన్నయ్య, బరుఖ్ గురించి బాధపడకుండా.","Without mourning my brother, Boruch."
