Index,Telugu Text,Mapped English Text
2,"హాయ్, బేబీ. హాయ్.","[Sylvia] Hi, babe. Hi. [kisses]"
6,నాకు ఇంకా ఇరవై మూడు సెకన్ల టైమ్ మిగిలి ఉంది!,I've still got 23 seconds left!
10,"ఒక్క క్షణం, సైమన్!","[dance music ends] [knocking] One second, Simon!"
12,అదిరిపోయింది. సరే. ఒక్క నిమిషం!,Awesome. [knocking] [Sylvia] Okay. One minute!
14,ఐదు నిమిషాలు అయిపోయింది. పద వెళదాం.,Five minutes is up. Let's go.
16,ఆగు. స్థిరంగా ఉండు.,Hold on. [mumbles] Hold on.
17,సరే. నిలకడగా ఉండు.,[Maeve] Okay. Hold on.
19,"ఓహ్, దేవుడా. సరే, బాగుంది.","[Sylvia] , my God. Okay, great."
20,ఇదిగో. ఇంక పద అది మురికిగా ఉంది.,Here. Let's get That's dirty.
21,"త్వరగా, త్వరగా, త్వరగా. త్వరగా పద. త్వరగా పద.","Quick, quick, quick. Quick sticks. Quick sticks."
22,సరే. ఇవి తీసుకోండి. నీకు ఇది కావాలా?,Okay. Here we go. [Sylvia] Do you need this?
23,"ఆ ఇంటిని మళ్లీ ఈ రోజు చూస్తాను, బేబీ. అలాగే.","I'm seeing that house again today, babe. Right."
24,ఆ ఐదు బాత్ రూముల ఇల్లు కదా?,The one with the five bathrooms?
25,ఇంట్లో ప్రతి ఒక్కరికీ ఒక్కో బాత్ రూమ్ కావాలి.,One for every single member of this family.
26,"నువ్వు ఊహించగలవా? నా ఉద్దేశం, అది అంత పెద్దదని నాకు తెలియదు. అది రాజభవనంలా ఉంది.","Can you imagine? I mean, I didn't know that was a thing. It's like a château."
27,ఏం చేసుకోవాలో కూడా తెలియనన్ని బాత్ రూములు అందులో ఉన్నాయి.,We're gonna have more bathrooms than we know what to do with.
28,నీకేం పట్టింది? ఆఫీసులోనే పనైపోతుంది.,What do you care? You shit at work.
29,"మనం ""షిట్"" అనే పదం వాడం. సరిగ్గా చెప్పావు, సారీ.","We don't say ""shit."" You're right, I'm sorry."
30,"సరే, నీకు ఒక విషయం తెలుసా? మనం ఇల్లు మారాక, నేను ఒక రాజులా మలవిసర్జన చేస్తాను.","Well, you know what? When we move, I will shit at home like a king."
31,"షిట్, షిట్, షిట్.","Shit, shit, shit."
32,"""షిట్"" అనే మాట అనద్దు. పొడుగు బ్రెడ్ ఎక్కడ?","Don't say ""shit."" Where's the baguette?"
33,ఏంటి? ఏ పొడుగు బ్రెడ్? నాకు పొడుగు బ్రెడ్ ఇంకా గుండ్రటి టోపీ ఫ్రెంచ్ క్లాస్ కోసం కావాలి. అవి ఎక్కడ?,What? What baguette? I need a baguette and a beret for French class. Where are they?
34,ఏంటి? నేను ఆ పొడుగు బ్రెడ్ లేదా గుండ్రటి టోపీ గురించి నేను ఇదే మొదటిసారి వింటున్నాను.,What? I This is the first I've heard about a baguette or a beret.
