"Index","Telugu Text","Mapped English Text"
"1","ఇంకో రెండు.","Two more."
"1","వెంటనే వస్తున్నా.","Coming right up."
"2","అదృష్టం అంతా బకీదే.","Bucky's got all the luck."
"3","అవును, తను అందంగా ఉంది.","Yeah, she's pretty."
"4","లేదు, అది కాదు.","No, not that."
"4","ఆ లక్కీ వెధవ రేపు బయలుదేరి వెళ్తున్నాడు.","Lucky bastard's shipping out tomorrow."
"5","వాడు జర్మన్ వెధవలకి కూతవేటు దూరంలో ఉంటాడు, కానీ మిగిలిన మనమంతా నెబ్రాస్కా మీదుగా యుద్ధవిమానాలు నడపడం ప్రాక్టీసు చేస్తూ గడుపుతాం.","He's gonna be a stone's throw away from the Krauts, while the rest of us will still be flying practice missions over Nebraska."
"5","కంగారుపడకు.","Don't worry."
"5","చాలా త్వరలోనే మనం ఆ ప్రాంతం అంతా బాంబులు వేయబోతున్నాం.","We'll be over there dropping bombs soon enough."
"6","అవును.","Yeah."
"6","బకీ, తరువాత రౌండ్ ఖర్చు మాదే.","Bucky, next round's on us."
"7","అతను గతంలో ఎప్పుడూ ఇలా చేయలేదు.","He's never done that before."
"8","అయితే నువ్వు బకీ, ఇంకా బక్ అంటే అతనా?","So you're Bucky, and he's Buck?"
"9","అది చాలా పెద్ద కథ.",", it's a long story."
"10","వాళ్లిద్దరూ మంచి జోడీ అవుతారు, కదా?","They make a nice pair, don't they?"
"10","నేను వాళ్లని ముందే పరిచయం చేయాల్సింది.",", I should have introduced them earlier."
"11","అతను రేపు వెళ్లిపోతున్నాడు.","He's leaving tomorrow."
"12","ఇంటికి ఉత్తరాలు రాయడానికి ప్రతి ఒక్కరికీ ఒక తోడు కావాలి.","Everyone needs someone to write to back home."
"13","జాన్ ఈగన్ కలం స్నేహితుడి రకం అని నాకు తెలియదు.","I don't know if John Egan's the pen pal type."
"15","సరే, బహుశా ఉత్తరం రాసేంత అందమైన అమ్మాయి అతనికి తారసపడి ఉంటే, అతను రాస్తాడు.","Well, maybe if he met a girl worth writing to, he would be."
"16","సరే, ఉత్తరం రాసేంత అందమైన అమ్మాయి దొరకడం చాలా కష్టం.","Well, a girl worth writing to is hard to find."
"17","కానీ ఎక్కడ వెతకాలో నీకు తెలియకపోతే తప్ప.","Not if you know where to look."
"18","నీ ఉద్దేశం నాకు అర్థమైంది.","I see what you mean."
"19","అయితే, నువ్వు నాకు ఉత్తరం రాస్తావా?","So, you'll write me?"
"20","అంటే, నేను ఇప్పటికే రాశాను.","Well, I already have."
"21","నువ్వు నాకు ఉత్తరం రాశావా?","You wrote me a letter?"
"22","అవును.","Yeah."
"23","అందులో ఏం రాశావు?","What's it say?"
"24","అంటే, దాని కోసం ఎదురుచూసి అప్పుడు తెలుసుకోవాలి.","Well, you'll have to wait and find out."
"24","మరి, అదెప్పుడు?","Well, when will that be?"
"25","నేను యుద్ధానికి వెళ్లినప్పుడు.","When I ship out."
"25","రెండు లేదా మూడు వారాలు కావచ్చు.","I'd say two or three weeks."
"26","నిన్ను ప్రతి క్షణం మిస్ అవుతాను.","I'm gonna miss you every second."
"27","సరే, సరే.","All right, all right."
"27","జెంటిల్మెన్, టోస్ట్ చేద్దాం.","Gentlemen, a toast."
"28","బక్, మార్జ్ ఓయ్, ప్రేమపక్షులూ మేము ఇక్కడ బకీ కోసం టోస్ట్ చేస్తున్నాం.","Buck, Marge hey, you lovebirds we're toasting Bucky over here."
"29","విను, విను, మేజర్ ఈగన్.","Hear, hear, Major Egan."
"30","మన కొత్త ఎయిర్ ఎగ్జిక్యుటివ్, బకీ కోసం.","To our new Air Exec, Bucky."
"30","హేయ్, హేయ్.","Hey, hey."
"31","సరే, మేజర్.","All right, Major."
"32","100వ స్క్వాడ్ తాగుబోతులందరిలో.","Of all the drunks in the 100th."
"33","అంటే, మీ మిగతా ఇడియట్స్ కోసం ఎవరో ఒకరు ముందుండి పోరాడాలి కదా.","Well, someone's got to make a nest for the rest of you dodos."
"34","చీర్స్, మేజర్.","Cheers, Major."
"34","100వ గ్రూప్ కి.","To the 100th."
"35","హా, 100వ గ్రూప్ కి.","Yeah, to the 100th."
"35","బెస్టాఫ్ లక్, సర్.","Best of luck, sir."
"35","థాంక్స్.","Thanks."
"35","కొందరు జర్మన్లని మా కోసం ఉంచు.","Save some Krauts for us."
"35","మేము స్లూటర్ కి వెళ్తున్నాం.","We're going to Slooter's."
"35","మీరు వస్తారా?","You guys coming?"
"35","లేదు, నేను తెల్లవారునే వెళ్లాలి.","Nah, I-I gotta fly early."
"36","బక్?","Buck?"
"36","నేను రాలేను, కుర్రాళ్లూ.","I don't think so, boys."
"37","అయితే రేపు కలుస్తాను.","See you tomorrow then."
"37","బై, మార్జ్.","Bye, Marge."
"38","బకీ, ఇంగ్లండ్ లో కలుస్తాను.","Bucky, see you in England."
"39","ఇంకా గుర్తుంచుకో, మంచి ప్రకృతి దృశ్యాలు కనిపించేలా ఒక మంచం ఇంకా అదనంగా దుప్పట్లు నాకు కావాలి.","And remember, I want extra blankets and a cot with a view."
"40","ఆ పని అయిపోయిందనే అనుకో.","Consider it done."
"41","అతను నాకు చెప్పడు.","He won't tell me."
"41","ఈ ముద్దు పేర్లేంటి?","What's with the nicknames?"
"42","చెప్పు మార్జ్.","Spill, Marge."
"43","చెప్పనా?","Yeah?"
"43","చెప్పు.","Go ahead. Go ahead."
"44","సరే.","Okay."
"44","చెప్పాను కదా, అది చాలా పెద్ద కథ.","Told you, it's a long story."
"45","అంటే, యుద్ధం ప్రారంభానికి ముందే ప్రాథమిక శిక్షణ సమయంలో వాళ్లు కలుసుకున్నారు.","Well, they met in basic training before the war started."
"46","జాన్ ని చిన్నతనం నుండి ఎప్పుడూ బకీగానే పిలిచేవారు.","John, John was always Bucky since he was a kid."
"47","అవునా?","Right?"
"47","అది నిజం, అవును.","That's right, yeah."
"48","ఇంకా గేల్ సరే, గేల్ ని ఎప్పుడూ గేల్ అనే అనేవారు.","And Gale Well, Gale's always been Gale."
"49","ఎప్పటివరకూ అంటే.","Until."
"50","ప్రాథమిక శిక్షణ మొదటి రోజు, ఈ కుర్రాడు నా దగ్గరికి వచ్చి అతని సొంత ఊరు విస్కాన్సిన్ లో ఒక వ్యక్తిని నేను గుర్తు చేస్తున్నానని చెప్పాడు, అతని పేరు బక్ అని చెప్పాడు.","First day of basic training, this fella walks up to me and says that I remind him of a guy back home in, , Wisconsin, goes by the name of Buck."
"51","నా పేరు గేల్, గేల్ క్లెవెన్ అని అతనికి చెప్పాను.","I tell him my name's Gale, Gale Cleven."
"51","ఇంకా కానీ ఈ బకీ, అతను పట్టు వదల్లేదు.","And, But Bucky here, he's not deterred."
"52","లేదు, సర్. ఇది ""ఈ బక్, ఆ బక్"" అంటూ మాట్లాడేవాడు.","No, sir. It's, It's just ""Buck this, Buck that."""
"53","""బక్, నా షూ తాళ్లు ముడివేయగలవా?","""Buck, can you help me tie my shoes?"
"53",""" ""బక్, ఈ విమానం నడపడంలో సాయం చేయి.",""" ""Buck, help me fly this plane."
"53",""" అది నాకు తెలిసేసరికి, మొత్తం ఎయిత్ ఎయిర్ ఫోర్స్ అంతా నన్ను బక్ అని పిలుస్తున్నారు.",""" Before I know it, the whole damn Eighth Air Force is calling me Buck."
"53","కాబట్టి.","So."
"54","గేల్ కూడా ఏమంత గొప్ప పేరు?","What kind of a name is Gale anyway?"
"55","నీకు తెలుసా?","You know what?"
"55","నిజానికి నువ్వు నాకు థాంక్స్ చెప్పాలి.","You You know what? You should actually be thanking me."
"55","నీకు నేను సాయం చేశాను.","I did you a favor."
"56","నీ పేరునే నాకు ఇచ్చినందుకా?","For giving me the same name as you?"
