"Index","Telugu Text","Mapped English Text"
"1","సాయం చేయండి!","- [wailing] - [alarm blaring] [Dawn] Help me!"
"2","- ఎంత గడువు ఉంది? - రెండు నిమిషాల, 43 సెకన్లు.","- Time frame? - [security] Two minutes, 43 seconds."
"3","ఛ!","Fuck!"
"4","సాయం చేయండి.","Help me."
"5","**[NO TELUGU MATCH FOUND]**","[grunts]"
"6","దేవుడా.","Jesus."
"7","తలుపు తెరుచుకుంది!","[security] It's open! It's open!"
"8","**[NO TELUGU MATCH FOUND]**","[Dawn wails]"
"9","- నీకు ఏమైనా మతిపోయిందా? - అతడిని మళ్లీ తప్పించుకుపోనివ్వను.","- Are you out of your mind? - I'm not letting him get away again."
"10","నీకు అవగాహన లేదు...","[doctor] You have no idea what it's like..."
"11","మరేం ఫర్వాలేదు! ఈ ప్రపంచంలో ఇంక నాకంటూ ఏమీ మిగలలేదు.","Doesn't matter! There's nothing left for me in this world."
"12","**[NO TELUGU MATCH FOUND]**","[breathes heavily]"
"13","- లైటన్ మనల్ని చంపడానికి వస్తాడంటావా? - వస్తాడు.","- You think Leighton will come after us? - Yes."
"14","ఈ తలుపులలో ఒకదాని వెనుక నీ ప్రపంచం ఉందని అనుకుంటున్నావా?","Do you think your world is behind one of these doors?"
"15","సిద్ధాంతపరంగా ఉండచ్చు.","[Jason] In theory."
"16","అయితే, మనం దానిని ఎలా కనుక్కుంటాం?","So, how do we find it?"
"17","నాకు అది తెలియదు.","I have no idea."
"18","చూడు, నేను లెక్కపెడుతున్నాను, మనం ఇప్పటికి 220 తలుపులు దాటి వచ్చాం.","Now, I've been counting, and that's the 220th door we've passed."
"19","తలుపుకీ తలుపుకీ మధ్య పన్నెండు అడుగుల దూరం ఉంది.","And they're about 12 feet apart."
"20","అలా చూస్తే, మనం దాదాపు కిలోమీటరు దూరం వచ్చేశాం.","So, we've already gone half a mile."
"21","అవును. బహుశా మనం ఏదో ఒక పరిమితమైన చోటులో ఉండి ఉంటాం.","Yeah. Maybe we're in some... some kind of liminal space."
"22","పరిమితం అంటే అది వాస్తవంలో లేనిదా?","Liminal as in not real?"
"23","లేదు, అది వాస్తవంలో ఉండేదే. అది ఖచ్చితంగా వాస్తవమే.","No, it's real. [stammers] It's very real."
"24","అది మనసు అభివ్యక్తీకరణ కావచ్చు, ఎలాగంటే అది దృశ్యరూపంలో వివరించే విషయాలని అర్థం చేసుకునే స్థాయికి మానవమేధ పూర్తిగా ఎదిగి ఉండకపోవచ్చు.","I think it's a manifestation of the mind as it attempts to visually explain something our brains haven't fully evolved to comprehend."
"25","- సూపర్ పొజిషన్. - ఖచ్చితంగా.","- Superposition. - Exactly."
"26","నాకు తెలిసి ఈ నడవ కొన్ని పరిమిత వాస్తవాల కారిడార్ అనుకుంటా.","I-I think the corridor's a cross-section of probable realities."
"27","మనం ఇక్కడి నుండి బయటపడాలి.","Let's get out of here."
"28","మనం ఏం తెలుసుకుంటామో చూద్దాం.","See what we can learn."
"29","మనల్ని వెతకడం కష్టం అయ్యేలా చేద్దాం.","Make ourselves harder to find."
"30","**[NO TELUGU MATCH FOUND]**","[Amanda breathes heavily]"
