"Index","Telugu Text","Mapped English Text"
"5","మీకేమైనా తీసుకురానా?","Get you anything?"
"6","అలోహా.","Aloha."
"7","మహాలో.","Mahalo."
"8","రాబై షర్మన్.","Rabbi Sherman."
"8","హలో, అబ్బాయ్.","Hello, boychick."
"9","లేకపోతే నిన్ను పింగ్-పాంగ్ రాజు అని పిలవాలా?","Or should I say the king of Ping-Pong?"
"9","అవును.","[MAN] It's true."
"10","చూసుకో.","Watch out."
"10","అతను నింజాలా కదులుతాడు.","He has ninja moves."
"10","ధన్యవాదాలు.","[MAN] Thanks."
"11","ఓహ్.","[CHUCKLES]"
"11","థియా.","Thea?"
"11","నువ్వు పోడుగవుతున్నావు లేదా నేను పొట్టవుతున్నాను.","Either you're growing, or I'm shrinking."
"12","హే, నిక్ ఇంకా టోనీ కదా?","Hey, Nick and Toni's, right?"
"13","బుధవారం రాత్రి.","Wednesday night."
"13","నీకు ఫోన్ చేస్తాను!","I'm calling you!"
"13","సరే.","You got it."
"14","మీకు కార్న్ నచ్చుతుంది.","You're gonna love the corn."
"15","రౌండ్ స్వామ్ప్ పొలంలోది.","Round Swamp Farm's."
"15","నేనే తెచ్చాను.","I shucked it myself."
"15","ఇక్కడున్నావా! అందరూ, తప్పుకోండి!","There he is! [BOTH LAUGH] Everybody, duck!"
"16","అనద్దు.","Don't say it."
"16","అనాలని కూడా అనుకోవద్దు.","Don't even think it."
"16","ఏంటి?","What?"
"17","నేను నీతో మళ్ళీ ఎప్పుడూ గోల్ఫ్ ఆడను.","I'm not playing golf with you again."
"17","ఎందుకు?","[MAN 2] Why not?"
"18","""ఎందుకా?","""Why not?"
"18",""" అది గోల్ఫ్ కాదు.",""" That wasn't golf."
"18","అది హాకీలా ఉంది.","That was more like hockey."
"19","నాకు భయం వేసింది.","I was afraid for my life."
"20","నువ్వు హాట్ టబ్ ప్రయత్నించలేదా?","Have you tried the hot tub yet?"
"20","నువ్వది ప్రయత్నించి చూడాలి.","You should try the hot tub."
"21","నువ్వు కూడా దాన్ని మిస్ అవలేవు.","Even you can't miss that."
"22","నేను బెంజమిన్, ఏమవుతోంది?","Ooh, I ought to Benjamin, what's going on?"
"23","నీకు వేడిగా ఉన్నట్టు అనిపిస్తోంది.","You look so hot."
"23","కళ్ళు తిరిగి పడిపోతావు అన్నట్టు ఉన్నావు.","You look like you're gonna faint."
"24","నాకు తాజా గాలి సరిపడదు.","Fresh air doesn't agree with me."
"25","అదంతా మీ అమ్మ నిన్ను బయటకి తీసుకురాకుండా పెంచడం వల్లే.","Well, that's because your mother raised you as veal."
"25","పదా.","[CHUCKLES] Come on."
"25","మనం లోపలికి వెళ్దాము, సరేనా?","Let's go in here, all right?"
"25","అక్కడ ఎయిర్ కండిషనింగ్ ఉంది.","There's air-conditioning."
"26","అక్కడ వందల కొద్దీ సినిమాలు ఉన్నాయి, అన్నిటికీ అకాడమీ అవార్డులు వచ్చినవే.","There are hundreds of movies, all Academy Award winners."
"26","బాల్స్ ఉన్నాయి చూసుకో.","[GRUNTS] Mind the boccie balls."
"27","లీసా.","[SPEAKING, INDISTINCT] Lisa."
"27","ఐక్ హెర్ష్ కాఫ్.","Ike Herschkopf."
"28","హాయ్.","Hi."
"28","వచ్చినందుకు ధన్యావాదాలు.","Thanks for coming."
"29","ఎప్పటిలా చాలా అందంగా ఉన్నావు.","You look gorgeous as always."
