"Index","Start Time","End Time","Telugu Text","Mapped English Text"
"1","00:00:11,637","00:00:13,639","**[NO TELUGU MATCH FOUND]**","[insect buzzing]"
"2","00:00:16,140","00:00:18,435","నువ్వు లోపలే ఉండాలి.","[child] Shh! You have to stay in there."
"3","00:00:18,936","00:00:20,270","**[NO TELUGU MATCH FOUND]**","Shh!"
"4","00:00:20,354","00:00:22,231","**[NO TELUGU MATCH FOUND]**","[buzzing continues]"
"5","00:00:23,357","00:00:24,608","**[NO TELUGU MATCH FOUND]**","- Shh! - [buzzing stops]"
"6","00:00:24,691","00:00:26,527","**[NO TELUGU MATCH FOUND]**","[speaking indistinctly]"
"7","00:00:26,610","00:00:29,655","**[NO TELUGU MATCH FOUND]**","[footsteps approaching]"
"8","00:00:29,738","00:00:33,200","**[NO TELUGU MATCH FOUND]**","[child speaking indistinctly]"
"9","00:00:39,665","00:00:40,666","హేయ్.","Hey."
"10","00:00:41,208","00:00:43,794","నేను అక్కడ కూర్చుంటే పర్లేదా?","Uh. Do you mind?"
"11","00:00:44,837","00:00:52,135","ఏంటంటే, ఈ మోకాలు... వర్షం పడ్డాక బిగుసుకుపోతుంది.","It's just the old, uh, knee… [grunts] …locks up after it rains. [groans]"
"12","00:00:52,219","00:00:53,971","కానీ వర్షం పడలేదే.","It didn't rain."
"13","00:00:56,431","00:00:59,560","ఇక్కడ పడలేదులే.","Oh, no, no. Uh, not here."
"14","00:01:01,770","00:01:03,355","ఇంకా పడలేదులే.","Not yet. [chuckles]"
"15","00:01:04,480","00:01:07,776","నువ్వు పెద్ద సర్కస్ సెటప్ చేసుకున్నట్టున్నావే?","You, uh, make yourself a big top?"
"16","00:01:09,152","00:01:10,362","మరి, ఏంటి ఇవన్నీ?","So, uh, what's what?"
"17","00:01:10,445","00:01:11,613","నువ్వు చెప్పకు. నేనే చెప్తాను.","No, no. Don't tell me."
"18","00:01:12,197","00:01:13,740","ఏంటిది? జెయింట్ వీల్?","What's this? Ferris wheel?"
"19","00:01:15,284","00:01:16,368","అవునా?","Yeah?"
"20","00:01:16,994","00:01:18,704","మరి... ఇది?","And, uh... This?"
"21","00:01:19,788","00:01:21,206","**[NO TELUGU MATCH FOUND]**","[whistles]"
"22","00:01:21,707","00:01:22,833","గాల్లో నడవడానికి తాడా?","Tight rope?"
"23","00:01:23,625","00:01:24,793","మరి ఇది ఏంటి?","Oh, what about this?"
"24","00:01:24,877","00:01:34,052","ఇది... ఇదేంటి? ఇది... -పులా? -సింహం.","- [buzzing] - Huh? This must be… Well, what's this? This is a… - Tiger? - Lion."
"25","00:01:34,136","00:01:36,889","సింహమా? దీన్ని ఎలా లొంగదీసుకోవాలో రింగ్ మాస్టర్ నేర్పాడా?","Lion? Oh. Ringmaster teach you how to tame him?"
"26","00:01:37,472","00:01:39,224","లేదా? బాబోయ్.","No? Oh, boy."
"27","00:01:39,725","00:01:41,894","అతను మంచి రింగ్ మాస్టర్ కాదేమో, ఏమంటావు?","What a shitty ringmaster he is, huh?"
"28","00:01:42,603","00:01:45,898","నేను చూస్తానులే.","Here. Let's see."
"29","00:01:45,981","00:01:47,232","**[NO TELUGU MATCH FOUND]**","[buzzing continues]"
"30","00:01:47,316","00:01:50,319","ఓహో.","Oh, yeah. [chuckles]"
"31","00:01:51,403","00:01:53,405","అవును. ఇది బయటకు వచ్చేయాలనుకుంటోంది.","Yeah. He wants out."
"32","00:01:54,114","00:01:55,282","ఒక్క నిమిషం.","Here."
"33","00:01:57,784","00:01:58,785","వచ్చేయ్.","Come on."
"34","00:01:58,869","00:02:00,746","**[NO TELUGU MATCH FOUND]**","[buzzing continues]"
"35","00:02:03,290","00:02:05,167","**[NO TELUGU MATCH FOUND]**","[breathing heavily]"
"36","00:02:08,919","00:02:09,919","ఇదుగో.","There."
"37","00:02:11,173","00:02:16,261","మొదట, మనం దీని ప్రతిభను గుర్తిస్తాం, ఆ తర్వాత దాన్ని లాగేసుకుంటాం.","At first, we find its shine, and then we take it away."
"38","00:02:19,056","00:02:20,432","**[NO TELUGU MATCH FOUND]**","[buzzing stops]"
"39","00:02:23,810","00:02:25,479","**[NO TELUGU MATCH FOUND]**","[sighs]"
"40","00:02:29,358","00:02:35,989","గుర్రాన్ని చూసి జనం ఎగబడి వచ్చేయరు కానీ, దాన్ని సులువుగా లొంగదీసుకోవచ్చు.","Now, a filly doesn't draw a crowd, but she's easier to break."
"41","00:02:39,576","00:02:42,204","నేను మళ్లీ వచ్చేదాకా, దీన్ని జాగ్రత్తగా ఉంచుకుంటావా?","Can you hold onto it for me until I come back?"
"42","00:02:43,163","00:02:44,456","నాకు ఇది అక్కర్లేదు.","I don't want it."
"43","00:02:53,799","00:02:55,217","నువ్వు తీసుకుంటావు.","You'll take it."
"44","00:02:57,094","00:02:58,762","అది ఎప్పుడూ జరిగేదే.","You always do."
"45","00:03:06,895","00:03:09,022","**[NO TELUGU MATCH FOUND]**","[door opens]"
"46","00:03:14,736","00:03:16,488","**[NO TELUGU MATCH FOUND]**","[door closes]"
"47","00:03:44,391","00:03:46,393","లారెన్ బ్యూక్స్ రచించిన నవల ఆధారంగా రూపొందించబడింది","**[NO ENGLISH MATCH FOUND]**"
"48","00:03:55,152","00:03:56,653","**[NO TELUGU MATCH FOUND]**","[meows]"
"49","00:04:10,125","00:04:12,586","ఏప్రిల్ 13, 1992","**[NO ENGLISH MATCH FOUND]**"
