"Index","Telugu Text","Mapped English Text"
"4","పదండి! పదండి!","[gunfire] [soldier] Go! Go! Keep moving!"
"5","క్యాంటిగ్నీ, ఫ్రాన్స్","[explosion] [grunts]"
"7","పదండి! పదండి!","[soldier 2] Go! Go! Keep moving!"
"8","మాస్కులు వేసుకోండి, మాస్కులు ధరించండి!","[soldiers screaming] [breathes heavily] Mask on, boys, mask on!"
"10","మాస్కులు వేసుకోండి!","[soldier] Mask on!"
"11","ఎక్కడికి వెళ్తున్నావు? ఎక్కడికి? నేను వెనక్కి వెళ్తున్నాను.","Where you going? Where you going? No, I'm going back."
"12","హేయ్. నేను సాయపడతా ఆగు. మాస్క్. లేదు, నేను వెనక్కి వెళ్లాలి.","Hey. Let me help you. Mask. No, I've gotta go back."
"13","మాస్క్! మాస్క్!","Mask! Mask!"
"14","సరే. నా పేరు లియో. నేను నీ వెనకే ఉంటా.","Okay. [breathes heavily] My name's Leo. I'll be right behind you."
"15","ముందుకు పద. ముందుకు పద. పద!","Keep forward. Keep forward. Go! Go! Go!"
"16","నేను నీ వెనకే ఉంటా.","I'll be right behind you."
"18","మాస్కులు వేసుకోండి!","[high-pitched ringing] [soldiers grunting] [soldier 2] Mask on! Mask!"
"20","మాస్కులు వేసుకోండి!","[soldier 2] Mask on!"
"21","మాస్కులు!","[soldier 2 speaks indistinctly] mask."
"23","నీ మాస్క్ ఏది?","[breathes heavily] Where's your mask?"
"25","నాకు తూటా గాయమైంది. నన్ను ఇక్కడి నుండి తీసుకుపో. ఇక్కడి నుండి తీసుకుపో.","I've been shot. Take me back. Take me back!"
"26","వద్దు. దయచేసి, ఇలా చేయకు!","Stop. Stop it, please!"
"35","శుభరాత్రి!","Bonne nuit! [chuckles]"
"37","నిన్ను కనుక్కోవడానికి ఒక నిమిషం పట్టింది.","[Harper] Took me a minute to find you."
"38","అవును, నేను నేను టీనీస్ నుండి వీలైనంత త్వరగా బయలుదేరి వచ్చేశా.","Yeah, I I left Teenie's as soon as I could."
"39","నువ్వు ఎప్పుడు వచ్చావు?","When did you get back?"
"40","కాసేపటి కిందనే.","Little while ago."
"41","నువ్వు ఏం చేస్తూ ఉన్నావు? ఉత్త డాన్స్ యేనా?","What have you been doing? Just dancing?"
"42","హా. అప్పుడప్పుడూ ప్రయాణం చేస్తూ ఉంటాను.","Yeah. [chuckles] I was traveling a bit."
"43","నేను ఒక ట్రూప్ తో డాన్స్ చేస్తున్నా. మేము ఆర్ఫియమ్ సర్క్యూట్ లో ప్రదర్శించాం.","I was dancing with a troupe. We did the Orpheum Circuit."
"44","వావ్. మరి నువ్వు? యుద్ధం ఎలా ఉంది?",", wow. [chuckles] And you? How was it?"
"45","అది పత్రికల్లో రాస్తున్నట్టు మాత్రం ఉండదులే.",", it's, [sighs] It's not like how they write in the papers."
"46","వాళ్లు ఎప్పుడూ సైనికులతో మాట్లాడరు. నేను మాట్లాడతాగా.","They never actually talk to any soldiers. [chuckles] , I do."
"47","ఇంటికి వచ్చేటప్పుడు అందరికీ పతకాలు ఇచ్చేస్తారటగా.","I hear they just hand out medals on the ride home."
"48","నీకెన్ని ఇచ్చారేంటి?","How many did you get?"
"49","నన్ను ఇక్కడికి తీసుకుచ్చోరాంతే.","I just got the ride. [chuckles]"
"50","అక్కడ అక్కడ పరిస్థితులు బాగాలేవటగా.","It sounded sounded bad over there."
"51","నేను నీకు లేఖలు రాశాను.","I wrote you."
"52","నేను టీనీస్ దగ్గరికి వెళ్లినప్పుడు, వాటిని నీకు పంపామని.",", when I stopped by Teenie's, they said that they, um."
"53","వాళ్లు చెప్పారు.","They sent my letters on."
"54","కానీ నాకు ఏవీ రాలేదే.","I never got any."
"56","మరి ఈ రాత్రి, నా డాన్స్ దేని గురించి అనుకున్నావు?","So tonight, what did you think my dance was about?"
"57","నేను దేని గురించీ అని అనుకోలేదే.","[scoffs] I didn't know it had to be about anything. [sighs]"
"58","అది నెపోలియన్ మొదటి భార్య అయిన జోసెఫిన్ కథ.","[chuckles] It was the story of Josephine, the first wife of Napoleon."
"59","ఆమె ఒసైరిస్ ని ప్రార్థిస్తోంది.","She's lighting a fire to Osiris."
"60","తనకి సంతానం ఇవ్వమని వేడుకుంటోంది. నీ ప్రదర్శన చూసిన వాళ్లకి ఆ విషయం అర్థం అయ్యుండదేమో.","She's begging him for a child. [mumbles] I don't know if anybody got that from what I saw."
"61","హా.","[chuckles] Yeah, um."
"64","ఈ పని ఎంత కాలంగా చేస్తున్నావు?","How long you been doing this?"
"65","ఇది నా మూడవ ప్రదర్శన. కానీ నేను బాలబన్ ని బుక్ చేసుకొనే అవకాశం ఉంది.","This is my third run, but I might book the Balaban."
"66","నిజంగా? నా ప్రదర్శనకు జనాలు వస్తున్నారుగా.","[Harper] Really? I've, , got the numbers just about."
"67","ఇక్కడ వచ్చింది తక్కువ మందేగా?","Kind of a small crowd, no?"
"68","వాళ్లకి కూడా కావలసింది అదే. వాళ్లే ఎక్కువ చెల్లిస్తారు.","That's how they like it. They pay more."
"69","నేను నీకు ఒకటి తెచ్చాను.","I brought you something back."
"70","అది నేనెందుకు తీసుకుంటాను?","What makes you think I want it?"
"71","నువ్వు ఇప్పుడు ఫ్రెంచి మాట్లాడుతూ పిస్తావి అయిపోవచ్చు, కానీ నీ గురించి నాకు తెలుసు.","Well, you can speak French now, but I still know you."
"73","ఇది ప్యారిస్ లోనిది.","[Harper] It's Parisian."
"74","ఇక్కడ ఏమైంది?","[dancer] What happened here?"
"75","నా పాకెట్ నైఫ్ కి తగిలి చినిగింది. నేను కుట్టాను.",", it caught on my pocketknife. I sewed it though."
"77","ప్యారిస్?","Paris?"
"78","నీకు ఇంత మంచి టేస్ట్ ఎప్పుడు వచ్చింది?","When did you get such good taste?"
"79","పర్వాలేదులే, ముందు చూడు.","It's fine, but j-just look."
"80","మనం ఇక్కడ ఉండకూడదు. హార్పర్, ఇప్పుడు నేను ఇలాంటివి చేయట్లేదు.","[dancer] We shouldn't be out here. Harper, I don't do this anymore."
"81","అబ్బా. చూడు. నీకే అర్థమవుతుంది.","[Harper] , come on. Just look. You'll know this."
"82","అవి దేనితో చేసుంటారు?","What are they made out of?"
"83","పట్టు?","Silk?"
"84","కాదు, రేయాన్.","Nah, rayon."
"85","లేదు, ఆమె అంత ధనవంతురాలు అది వాడదు. లేదు, చూడు. అవి అయిపోతున్నాయి.","No, she's too rich for that. No, look. They're running thin."
"86","అవి వాటిని చర్చికి వేసుకువెళ్తుంది.","She wears that pair to church."
