"Index","Telugu Text","Mapped English Text"
"1","మన సోదరుడు స్వర్గమునకు పయనమైనాడు, అతని ఆత్మశాంతికై ప్రార్థన చేసేందుకు మనం ఇక్కడికి వచ్చాము.","[priest] And that is why we are here today, to pray for our brother whose body lies here in rest."
"2","ఎలాగైతే యేసు ప్రభువు మరణించాక మరలా ఉదయించి, తన తప్పులను పునీతం చేసుకున్నాడో, ఈయన కూడా ప్రభువు చెంత… మరణించి మరలా ఉదయించినాడు.","He has passed from death to life in the company of Lord Jesus, who died and rose to a new life… and is purified in all his faults."
"3","ప్రభువు ఈయన్ని స్వర్గమునకు ఆహ్వానించి పావనుల చెంత చోటు ఇచ్చేలా ప్రార్థిద్దాం. తథాస్తు.","And we pray God welcome him among all the saints of heaven. Amen."
"4","తథాస్తు.","[funeral guests] Amen."
"5","**[NO TELUGU MATCH FOUND]**","[swallows, sighs]"
"6","**[NO TELUGU MATCH FOUND]**","[sand scrapes]"
"7","**[NO TELUGU MATCH FOUND]**","[grunts]"
"8","**[NO TELUGU MATCH FOUND]**","[sighs]"
"9","లేయ్, లారీ.","[grave digger] Get up, Larry."
"10","-గ్యారీని తీసుకెళ్లవచ్చు కదా? -హా, నేనే వస్తా కదా?","- Why can't Gary come? - Yeah, why can't I come?"
"11","పక్కలో ఒంటేలు పోసేది, నువ్వా, గ్యారీనా?","[grave digger] 'Cause Gary don't wet the bed."
"12","బయటకు రావోయ్. పదా.","Get your ass out the door. Come on."
"13","కాంకకీ, ఇల్లినాయి","**[NO ENGLISH MATCH FOUND]**"
"14","**[NO TELUGU MATCH FOUND]**","[door opens]"
"15","**[NO TELUGU MATCH FOUND]**","[adult sniffs]"
"16","**[NO TELUGU MATCH FOUND]**","[adult sighs]"
"17","**[NO TELUGU MATCH FOUND]**","[child sighs]"
"18","హేయ్, బుడ్డోడా.","Hey, pal. [sighs]"
"19","హేయ్, నాన్నా.","Hey, Dad."
"20","నీకు ఇంకా ఆడాలనుందా?","You still want to do this?"
"21","నువ్వు పనికి వెళ్లాలి కదా.","You had to work."
"22","ఇప్పుడు షిప్ట్ నుండి వచ్చా.","Just got off shift."
"23","మరి అలసటగా లేదా?","Aren't you tired?"
"24","పర్వాలేదులే.","I'm okay. [chuckles]"
"25","సరే, ఇక లేయ్.","All right, get up."
"26","**[NO TELUGU MATCH FOUND]**","[sighs]"
"27","**[NO TELUGU MATCH FOUND]**","[child grunting]"
"28","**[NO TELUGU MATCH FOUND]**","[grunts]"
"29","అంతే! బాగా పట్టుకున్నావు, జిమ్మీ.","There we go! Good adjustment, Jimmy."
