"Index","Telugu Text","Mapped English Text"
"2","మా అమ్మ ఎక్కడ ఉంది?","Where's my mom?"
"3","ఇక్కడకి రాలేదు.","Not here."
"3","ఆమెని పిలవను అని చెప్పావు కదా.","You told me we weren't inviting her tonight."
"4","నేను తనకి కాల్ చేయాలి.","I have to call her."
"5","ఒక్క నిమిషం.","Wait, wait."
"5","నువ్వు జెవెల్ సూపర్ మార్కెట్ కి వెళ్లలేదా?","You didn't hit up Jewel?"
"6","సరుకులు ఏవి?","Where's all the shit?"
"7","చీస్, బీర్మ్ కిర్బీ. ఏమైంది నీకు? మనం చాలా తేవాలి అనుకున్నాం కదా!","Um The cheese, the beer, the Kirby, I don't know. We made a whole list."
"8","అబ్బా, వచ్చేశారు.","Fuck, they're here."
"9","ఎవరు?","Who is?"
"10","సర్లే.","All right."
"10","ఇంట్లో సోడా ఉంది.","We have tonic."
"10","నేను పిజ్జా ఆర్డర్ చేస్తా.","I'll call Giordano's."
"11","నేను ఆర్డర్ చేస్తా.","I'll call them."
"11","నువ్వు తలుపు తీయ్.","You grab that."
"12","హేయ్, హలో. నేను ఆర్డర్ సరే.","Hey, hello. I wanna place Yeah. Okay."
"14","లక్ష్మీ అవాద్?","Lakshmi Awad?"
"14","ఇంటికొచ్చే వారిని పేరుపేరున పిలుస్తారా ఏంటి?","Are we announcing arrivals now?"
"16","హేయ్, నేను కూడా వస్తున్నా.","Hey, hold the door."
"16","హేయ్, కిర్బీ.","Hey, Kirby."
"17","హేయ్.","Hey."
"18","పుట్టినరోజు బాబు ఎక్కడ?","Where is the birthday boy?"
"19","హేయ్.","Hey."
"19","అది బెన్ డెస్క్ దగ్గరి నుండి పట్టుకోవచ్చావు కదా?","You steal that off Ben's desk?"
"20","ఇంకా తెరవలేదు కదా.","Barely cracked open."
"20","కాబట్టి కానుక లెక్కలోకే వస్తుంది.","Still counts as a gift."
"21","అయితే, ఇప్పుడు ఇంకా ఎవరెవరు వస్తున్నారు?","So, who else is coming tonight?"
"22","ఆఫీసు నుండా?","From the office?"
"23","జూల్స్ వస్తుందనుకుంటా.","I'm guessing Jules."
"23","మైల్స్ కి అర్జంట్ పని ఉంది.","Miles is on deadline."
"24","అవకాశం దొరికితే ఎగ్గొట్టాలని చూస్తాడు.","He'll bail the first chance he gets."
"25","వరద కథనాన్ని వీలైనంత త్వరగా ముగించమని ఏబీ అంటోంది.","Abby wants us to wind down on our flood story."
"26","దానితో ముడి పడి ఉన్న నా తప్పుడు క్లెయిమ్స్ కథనాన్ని తను వద్దు అనేసింది.","She killed my follow-up piece on padded claims."
"27","ఏంటి సంగతి?","What's going on?"
"27","నీకు, మార్కస్ కి మధ్య అంతా బాగానే ఉంది కదా?","You and Marcus okay?"
"28","బాగానే ఉందిలే.","I think so."
"29","మంచిది.","Good."
"30","ఇవాళ ఫోటోలు నేను తీయనా?","Want me to grab some photos tonight?"
"30","అతనికి కాస్త విరామం ఇద్దాం, ఏమంటావు?","Give him a break?"
"31","అతని కెమెరా ఏది?","Where's his camera?"
"32","తలుపును తెరిచే ఉంచు.","Just prop it open."
"33","హాయ్.","Hi."
"35","ఓరి దేవుడా.","! , my God."
"35","నిన్ను చూడటం బాగుంది.","Good to see you."
"36","వామ్మోయ్, ఆగవద్దు.","Whoa, don't wait."
"36","ఇక్కడికి రా.","Don't Get in here."
"37","ఇప్పుడు పండగ చేసుకోవాలి మరి.","You know you want to party tonight."
"37","ఉర్రూతలూగించాలి.","You know you want to party."
"38","మరీ అంత నిటారుగా నిలుచుంటే. డాన్స్ ఎలా వేస్తావు!","You're standing way too tall for getting down."
"39","కబ్స్ జట్టు మనల్ని నిరాశపరచడానికే ఉంది.","The Cubs are an institution built on letting us down."
"40","మనకి కూడా అదే మంచిదిలే.","That's what we deserve."
"41","జోర్డన్ చికాగో వాడు కాదు కదా? మార్కస్ కి జయహో!","Jordan's not from Chicago. Is he? We drink to Marcus!"
"43","ఒక్క నిమిషం.","Wait, wait, wait."
"43","కేకు ఎక్కడ?","Where's the cake?"
"43","అతను కొవ్వొత్తులు ఊదాలి కదా మరి.","He needs to blow out some candles."
"44","కేకు లేదు.",", there's no cake."
"44","మన్నించండి.","I'm sorry."
"44","నేను మన్నించాలి.","I I'm sorry."
"44","నాకు కేకు తెచ్చేంత సమయం లేకుండా పోయింది.","I didn't have time."
"44","పర్వాలేదులే.",", well, that's all right."
"45","నువ్వు అతని దగ్గరకి వెళ్లు.","You need to go in there."
"46","హేయ్.","Hey."
"46","నేను ఇక్కడికి ఎలా వచ్చానో అర్థం కావట్లేదు నిన్ను వివాహమాడటం అంతా కలలా ఉంది.",", I don't know how I got here and, um Being married to you just doesn't seem real."
"47","పుట్టినరోజు శుభాకాంక్షలు.","Happy birthday."
"50","మార్కస్.","Marcus."
"51","హా.","Yeah."
"51","వచ్చినందుకు సంతోషం.","Good to see you."
"59","కానివ్వు.","Come on."
"60","హేయ్, హోవర్డ్.","Hey, Howard."
"61","ఓడిపోయారు.","You lose."
"62","ఒక్క నిన్న రాత్రికే జరిగిన నేరాల సంఖ్యను చూశాను.","I saw last night's crime stats."
"63","నువ్వు బాగానే ఉన్నావా?","You okay?"
"64","హా. ఇప్పుడేగా వసంతం మొదలైంది. కొత్త చిగురు పూస్తుంది, జనాలు చంపుకుంటారు.","Yeah. First warm week of spring, Asters bloom, people kill each other."
"65","ఓడిపోయారు.","You lose."
"66","నీ స్నేహితురాలు ఎలా ఉంది?","How's your girl?"
"67","అదే, నువ్వు ల్యాబ్ కి తీసుకొచ్చావుగా, తను.","The one you brought by."
"68","తను నా సోర్స్.","My source."
"69","తన గురించి నువ్వు ఏమనుకుంటున్నావు?","What was your read on her?"
"70","నువ్వు తనని శవాలను భద్రపరిచే చోటుకు తీసుకురాకుండా ఉండాల్సింది.","That you shouldn't have brought her into a morgue."
"71","తనకి ఏం అభ్యంతరం లేదు అంది, గురూ.","She was fine with it, man."
"72","కానీ హడలెత్తించింది కదా.","Until she wasn't."
"73","తన గాయాలు, జూలియా మాద్రిగల్ గాయాలు ఒకేలా ఉన్నాయా?","Did her wounds match Julia Madrigal's?"
"73","అది చెప్పడం చాలా కష్టం.","You know, that's hard to say."
"73","తనవి చాలా పాత గాయాలు.","Her scars are pretty old."
"74","జూలీయా శవపరీక్ష రిపోర్టును నేను ఒకసారి చూడవచ్చా?","Can I check out Julia's autopsy report?"
"75","లేదు.","No."
"75","పోలీసులు అరెస్ట్ చేసేశారు.","Police made their arrest."
"75","నువ్వు చూడాలంటే వాళ్ల అనుమతి కావాలి.","They'd have to release it."
"76","తన లోపల ఏమైనా ఉండిందా?","Was anything left inside of her?"
"77","మట్టి, దుమ్ము.","Eh, mud, debris."
"77","సొరంగంలో ఎక్కడో లోపల ఉండింది కదా, ఆ మాత్రం ఉంటుంది.","I mean, she was pretty far down that pipe."
"78","ఇంకేమీ దొరకలేదా?","Nothing else?"
"79","అంటే ఎలాంటిది అంటున్నావు?","Like what?"
