Index,Telugu Text,Mapped English Text
6,"మేము ఇప్పుడే ముగించాం, బాబు. సారీ.","We just did last call, man. Sorry."
8,హేయ్.,Hey. Hey.
9,"నేను ఎవరో నీకు తెలుసు, కదా?","You know me, right?"
10,నాకు తెలియదు అనుకుంటా.,I don't think so.
11,"ఇలా చూడు, మ్యాట్.","Come on, Matt."
12,నేను నీకెలా తెలుసు? ఎందుకంటే నేను తరచూ ఇక్కడికి వచ్చేవాడిని.,How do you know me? 'Cause I come in here all the time.
13,"ఓహ్, కానీ, నేను నీకు ఎప్పుడూ సర్వ్ చేయలేదు. నేను జేసన్ ని. సరే. ఈ రాత్రి పార్టీ జరిగింది కదా, బాబూ.",", well, I've I've never served you. It's Jason. Okay. There was a party tonight, man."
14,నువ్వు మాకు మెకాలన్ రేర్ బాటిల్ ని సర్వ్ చేశావు కదా.,"You served us a bottle of the Macallan, , , Rare."
15,నీ ఉద్దేశం ఈ బాటిల్ నా? అవును. వారం రోజుల్లో ఈ బాటిల్ నుంచి ఒక చుక్క కూడా అమ్మలేదు.,"You mean this bottle? , yeah. I haven't sold a drop of that all week."
16,నువ్వు ఇందాకే నా ఫ్రెండ్ కోసం ఆ సీసా ఓపెన్ చేశావు. నా జీవితంలో ఇంతకుముందు ఎప్పుడూ నేను నిన్ను చూడలేదు.,You just You opened up the back for my friend. I've never seen you before in my life.
18,"మ్యాట్. ఇంక ఆపు, బాబూ, నువ్వు నన్ను బెదరగొడుతున్నావు, సరేనా? ఇంక పరాచికాలు ఆపు. నేను ఎవరో నీకు తెలుసు అని మాత్రం చెప్పు చాలు.","Matt. Fuck, man, you're freaking me out, okay? It's not funny. Just tell me you you know who I am."
19,సరే. నీకు నేను ఇదే చెబుతున్నాను.,Okay. Here's what I'm gonna tell you.
20,ముందు ఏ డాక్టర్ కయినా చూపించుకో ఇంకా ముందు నా బార్ నుండి బయటకి నడు. మైక్! నీకేం ఇబ్బంది లేదు కదా?,Go get some fucking help and get the fuck out of my bar. Mike! Is that gonna be a problem?
22,లేదు.,No.
25,మిస్టర్ డెస్సన్? ఏంటి? నా పేరు డాక్టర్ రాండాల్ఫ్. మీరు ఎమర్జెన్సీ వార్డులో ఎందుకు చేరారు?,Mr. Dessen? Yes? I'm Dr. Randolph. What brings you into the ER tonight?
26,"అంటే, నేను అనుకోవడం నా మెదడుకు ఏదో అయింది.","Well, I, I I think that there is something wrong with my mind."
28,అది ఏంటి?,What is that?
29,"లోరాజెపామ్, మీరు నిద్రపోవడానికి.","Lorazepam, to help you sleep."
34,నా దుస్తులు చెత్తలా ఉన్నాయి.,You're killing me.
35,"సరే, జేసన్.","All right, Jason."
36,మనం కాఫీ పొడిని ఎక్కడ ఉంచుతాం?,where do we keep our fucking coffee?
38,మిమ్మల్ని నిద్రలేపినందుకు సారీ.,Sorry to wake you.
40,మీరు ఎక్కడ ఉన్నారో మీకు తెలుసా?,Do you know where you are?
41,"జాన్ ఆఫ్ గాడ్ హాస్పిటల్ లో ఉన్నాను. చాలా మంచిది. మీ సి.టి. స్కాన్ రిపోర్టులు వచ్చాయి, మీ మెదడుకి ఎలాంటి ప్రమాదం జరగలేదు. ట్యూమర్లు లేవు.","at the John of God Hospital. Very good. I have the results from your CT scan, and there's no brain damage. No tumors."
42,కాస్త పైపైన గాయాలు తప్ప పెద్ద ప్రమాదం ఏమీ లేదు.,Some shallow bruising but nothing too serious.
43,మేము విషపూరిత పదార్థాల కోసం కూడా పరీక్షలు చేశాం.,We also ran a tox screen.
44,ఇంతకుముందు ఎప్పుడూ చూడని ఏదో పదార్థాన్ని కనుగొన్నాం. సైకోయాక్టివ్ మిశ్రమం.,We found something I've never seen before. A psychoactive compound.
45,"మీ కుటుంబం గురించి ఆరా తీయమని మీరు చెప్పారు. అవును. షికాగో మొత్తంలో డానియేలా డెస్సన్ పేరుగల వాళ్లు ఒక్కరు కూడా లేరు, అలాగే సెయింట్ పీటర్ హై స్కూల్లో చార్లీ డెస్సన్ పేరుతో కూడా ఎవరూ లేరు.","You asked us to find your family. Yeah. There isn't anyone named Daniela Dessen in all of Chicago, and no Charlie Dessen enrolled at St. Peter High School."
46,లేదు. నిన్న రాత్రి మీరు డాక్టర్ రాండాల్ఫ్ తో ఏం మాట్లాడారో దాని గురించి మనం చర్చించాలి. మీరు ఏం చెప్పారంటే.,"No, no. I'd like to talk about what you told Dr. Randolph last night. You said."
47,"""అది నా ఇల్లు కాదు. ఫర్నీచర్ అంతా మారిపోయింది. కిచెన్ పూర్తిగా మార్చేశారు."" అది నిజమని మీరు నమ్ముతున్నారా, జేసన్?","""It wasn't my house. The furniture had been changed. The kitchen was totally remodeled."" Do you really believe that, Jason?"
48,"""జేసన్ ఆష్లే డెస్సన్, అయోవాలోని డెనిసన్ లో జననం.","""Jason Ashley Dessen, born in Denison, Iowa."
49,"షికాగో యూనివర్సిటీలో బ్యాచిలర్ డిగ్రీ పూర్తయింది. అదే యూనివర్సిటీ నుండి పిహెచ్ డి చేశారు."" ఇంతవరకూ బాగానే ఉంది కదా?","Bachelor's degree from the University of Chicago. PhD from the same university."" So far so good?"
50,"అవును. ""హార్వార్డ్ లో ఇంకా ప్రిన్స్ టన్ యూనివర్సిటీలలో పోస్ట్ డాక్టరల్ ఫెలోషిప్స్ చేశారు. 2010లో పావియా ప్రైజ్ గెలుచుకున్నారు."" ఈ కథనం ప్రకారం, ఒక ఏడాది కాలంగా మీరు బయట ఎవరికీ కనిపించలేదు.","Yeah. ""Postdoctoral fellowships at Harvard and Princeton. Awarded the Pavia Prize in 2010."" And according to this article, you haven't been seen publicly in over a year."
59,మానసిక చికిత్స కోసం మీరు ఎప్పుడైనా హాస్పిటల్ లో చేరారా?,Have you ever been hospitalized for psychiatric care?
60,"కొన్ని ప్రత్యేకమైన హాస్పిటల్స్ ఉన్నాయి త్వరలో జరగబోయే ప్రదర్శనలు చిరునామా: 459 రైట్ వుడ్ ముఖ్యంగా ఏది వాస్తవమో, ఏది భ్రమో తేల్చుకోలేని వారి కోసం అక్కడ చికిత్సలు నిర్వహిస్తున్నారు. మిమ్మల్ని పూర్తిగా పరీక్షించి చికిత్స ప్రారంభించాలని అనుకుంటున్నాను. అది మీకు సమ్మతమేనా?",There are places specifically tailored to help people who are experiencing a little bit of a disconnect between what's real and what isn't. I'd like to start by having a full evaluation done. Is that something you'd be open to?
61,"పూర్తిగా. థాంక్యూ, డాక్టర్.","Absolutely. Thank you, Doctor."
64,"అతను అక్కడికే వెళ్లి ఉంటాడు, మన రహస్యాలన్నీ చెప్పేస్తూ ఉంటాడు.","He could be out there, spilling all our secrets."
65,"మనం పోలీసుల్ని ఆశ్రయించాలి. మనం నలుగురు మనుషుల్ని కోల్పోయాం, వెలాసిటీ మీద అందరి దృష్టీ ఇంకా పడాలంటావా? తను చెప్పింది సరైనదే.","We should go to the police. We've lost four people, and you want to bring more attention to Velocity? She's right."
66,"నువ్వు కూడా జేసన్ లాగా సైన్సు మేధావివి అయితే, నువ్వు ఎక్కడికి వెళతావు?","If you were a man of science like Jason, where would you go?"
67,హాస్పిటల్ కి.,Hospital.
70,డాక్టర్ హాలిస్.,Dr. Hollis.
71,"ఎక్స్ క్యూజ్ మీ, హాయ్. హాయ్.","Excuse me, hi. Um Hi."
72,"ఇక్కడ నాకు ఇదే మొదటి రోజు, ఇంకా, నేను మీ పెన్ను ఒకసారి తీసుకోవాలి అనుకుంటున్నాను. అలాగే, తప్పకుండా. ఇదిగోండి. నేను ఇప్పుడే ఇచ్చేస్తాను.","It's my first day here, and, , I was wondering if I could borrow a pen. Yeah, sure. Here you go. , I'll bring it right back."
73,"హేయ్, జేసన్.","Hey, Jason."
74,హాయ్.,hi.
78,థర్మోడైనమిక్స్ మొదటి సూత్రం.,The first law of thermodynamics.
79,సారీ. మీరు కొనసాగించండి. అయితే ఎవరైనా సమాధానం చెప్పగలరా?,Sorry. Keep going. So does anyone wanna take a shot?
80,నిజంగా? ఎవరూ లేరా? మీ ప్రశ్న ఏంటి? థర్మోడైనమిక్స్ సూత్రాలు.,"Really? No one? What was the question? Um, laws of thermodynamics."
81,థర్మోడైనమిక్స్ మొదటి సూత్రం ఏమిటంటే ఎనర్జీని పరిరక్షించడం గురించి. ఎనర్జీ సృష్టించబడదు లేదా నాశనం కాదు అని ఆ సూత్రం చెబుతుంది.,The first law of thermodynamics is the law of conservation of energy. It states that energy cannot be created or destroyed.
82,"ఇప్పుడు, నేను చెబుతున్న ఎనర్జీ అంటే అసలు ఏంటి?","Now, what do I mean when I say energy?"
83,ఎనర్జీని ఎలా వివరించవచ్చునంటే అది పని చేయగల సామర్థ్యం కలిగి ఉంటుంది ఆ పని థర్మోడైనమిక్స్ సూత్రాలు ఇక్కడ నుండి నేను చెబుతాను.,Energy can be described as the ability to do work where work I'll take over from here.
