File_Path,Original_Index_1,Original_Index_2,New_Timestamp,Merged_Dialogue_Start
1 tel.srt,30,31,"00:03:19,032 --> 00:03:22,744","ఇంటిని నాశనం చేయకుండా ఉండండి, ఈసారి తాళం వేయడం మర్చిపోకండి."
1 tel.srt,39,40,"00:04:03,493 --> 00:04:08,498","అలా నాకు ఎప్పుడైనా జరిగిందా అని ఎవరైనా అడిగితే, ఆ జరగడం ప్రారంభమైంది ఇక్కడి నుండే అని చెప్తాను."
1 tel.srt,45,46,"00:04:34,900 --> 00:04:39,321","పోయినసారి కలిసినప్పుడు, నీ మెడ ఊరకూరకే పట్టేస్తుందని అన్నావు కదా, నా మెడ కూడా పట్టేసేది."
1 tel.srt,55,56,"00:05:09,226 --> 00:05:13,730","తుపాకులకు వింత వింత రంగులు పూస్తారు, నిరసనల సమయంలో నిజమైన బుల్లెట్లను లోడ్ చేయకుండా,"
1 tel.srt,100,101,"00:07:44,256 --> 00:07:48,719","ఏదైనా పొరపాటు జరిగి ఉంటే, అందుకు నాకు పరిహారం లభిస్తుందని ఇక్కడికి వచ్చాను, కానీ ఏ పొరపాటూ జరగలేదు."
1 tel.srt,112,113,"00:08:23,670 --> 00:08:27,883","వాడి ప్రాణం ఖరీదు, నువ్వు ఎంత పోగొట్టుకున్నావో, దానికి మూడింతలు, ఎందుకంటే, నువ్వేమీ పోగొట్టుకోలేదు!"
1 tel.srt,172,173,"00:14:42,883 --> 00:14:49,348","కనీస శిక్షాకాలం విషయానికి వస్తే, నువ్వు నేరాన్ని అంగీకరిస్తే, రెండేళ్ళ శిక్ష పడుతుంది."
1 tel.srt,194,195,"00:15:47,573 --> 00:15:52,369","నువ్వు, అదే…"
1 tel.srt,215,216,"00:17:14,992 --> 00:17:19,080","మరి మిస్టర్ స్టయిన్బెక్, దేనికి అంగీకరిస్తున్నారో మీ క్లయింట్ కి పూర్తిగా తెలుసు కదా?"
1 tel.srt,223,224,"00:17:47,442 --> 00:17:53,657","కానీ నేడు మాదక ద్రవ్యాల అమ్మకానికి, వర్తకానికి పాల్పడుతున్నట్టు, అలాగే వాటికి కావలసిన సామాగ్రి మీ దగ"
