"Index","Telugu Text","Mapped English Text"
"1","ఎవరు నువ్వు?","Who are you?"
"2","చూడు, ఈ జనం...","Look, these people..."
"3","ఈ జనం ఎవ్వరూ నాకు ఏ మాత్రం ముఖ్యం కాదు. నాకు వీళ్లలో ఒక్కరు కూడా తెలియదు, కానీ వాళ్లు మిమ్మల్ని ఏదైనా చేయాలని ప్రయత్నిస్తే, మీలో ఎవరైనా వాళ్లలో ఒక్కరిని ఎదుర్కోలేకపోయినా, అప్పుడు ఈ మొత్తం విమానం నేల కూలిపోతుంది. - విమానం భద్రంగా ఉంది. - సరే. ప్రస్తుతానికి, భద్రంగా ఉంది, సరే.","these people don't mean anything to me. I don't know any of these people, but if they try something and one of you lot let off one of those, and then this plane goes down. The plane's secure. Yeah. Right now, it is, yeah."
"4","మాకు ఏ సాయం అవసరం లేదు. సరే, ఇప్పటికి మీకు అవసరం లేదు, కానీ మళ్లీ అంతా గందరగోళం అయితే ఏం చేస్తారు?","We don't need any help. Well, right now you don't, but what if it all goes wrong again?"
"5","- నువ్వు అసలు ఎవరు? - మీరు చాలా త్వరగా పని మొదలుపెట్టారు, కదా?","- Who the fuck are you? - You went too early, didn't you?"
"6","మరికొద్ది ప్రయాణం తరువాత మీరు ఈ పనిని చేయాలి అనుకున్నారు, కానీ ఆ పెద్దమనిషి హడావుడిగా ఫస్ట్ క్లాస్ లోకి పరిగెత్తుకొచ్చాడు ఆయన ఆందోళనగా కంగారుగా కనిపించాడు ఆ తరువాత నువ్వు అతనికి ఆకుపచ్చ టోపీ ఇచ్చావు. ఆ తరువాత మీకు తెలుసు, అంతా జరిగిపోయింది.","You was gonna do this later on in the flight, then that man came rushing into first class and he was worried and panicking and then you gave him a green hat. The next thing you know, it was all going off."
"7","అది మీ ప్లాన్ లో భాగం కాదు, కదా? వెళ్లి అతని పాస్ పోర్ట్ తీసుకో. అది మీ ప్లాన్ లో భాగం కాకపోవచ్చు.","That wasn't part of the plan, right? Go and get his passport. That can't have been... That can't have been part of the plan."
"8","చూడు, మొదటి గంటలోనే ఇంత గందరగోళం జరిగితే, తరువాత ఆరు గంటల్లో ఇంకెంత జరగచ్చో ఊహించండి.","Look, if it's all going wrong in the first hour, imagine what could happen in the next six."
"9","సరే.","Okay."
"10","అతను నీ వైపే వస్తున్నాడు, ఎడీ. హేయ్, ఓయ్. మీరు ఏం చేస్తున్నారు? నోరు మూయి.","He's coming down your side, Eddie. Hey, oi. What you doing? Shut up."
"11","నెల్సన్ - సామ్ బ్రిటీష్ పౌరుడు","**[NO ENGLISH MATCH FOUND]**"
"12","- ""సామ్ నెల్సన్."" - అవును.","- Sam Nelson. - Yeah."
"13","మేము మూర్ఖులం అనుకుంటున్నావా...","You think we're stupid..."
"14","సామ్ నెల్సన్? లేదు, నేను అనుకోను. నువ్వు మూర్ఖుడివి కాదనుకుంటా. చాలా తెలివైనవాడివి. కానీ...","Sam Nelson? No, I don't. I don't think you're stupid. I think you're very smart. But..."
"15","చూడు, నేనేం చెబుతున్నానో నీకు అర్థమవుతోంది అనుకుంటా.","Look, I think you get what I'm saying."
"16","ఇతనిని తన సీటు దగ్గరకి తీసుకువెళ్లు.","Take him back to his seat."
"17","దీన్ని ఓపెన్ చేయి.","Open it."
"18","వీళ్లని నువ్వు మళ్లీ చూడాలి అనుకుంటే, దీన్ని ఓపెన్ చేయి.","You wanna see them again, open it."
"19","మెసేజ్ లు మార్షా","**[NO ENGLISH MATCH FOUND]**"
"20","నేను విమానంలో తిరిగి వస్తున్నా. ఆటల ఆడకు.","**[NO ENGLISH MATCH FOUND]**"
"21","నా టేకాఫ్ 9.12 గంటలకి","**[NO ENGLISH MATCH FOUND]**"
"22","ఆ విమానం ఎక్కకు. చాలా ఆలస్యం అయింది ఇది అంతేనా?","Is that it?"
"23","ఇదే సమయం. నేను వెళ్తాను, నువ్వు అనుసరించు. సరేనా?","This is it. I go, and you follow. Yeah?"
"24","వద్దు!","No!"
"25","అతడిని పట్టుకో, ఎడీ! ఊపిరి ఆడనివ్వకు!","Grab him, Eddie! Strangle him!"
"26","కిందికి!","Down!"
"27","ఆ తుపాకి! తుపాకిని తన్ను!","The gun! Kick the gun!"
"28","కూర్చోండి. వెంటనే కూర్చోండి. ముందుకు కూర్చో! కదలద్దు!","Sit down. Sit the fuck down. Face forward! Don't fucking move!"
"29","గన్! గన్ ఎక్కడ ఉంది?","The gun! Where's the gun?"
