"Index","Start Time","End Time","Telugu Text","Mapped English Text"
"1","00:00:09,009","00:00:11,094","**[NO TELUGU MATCH FOUND]**","[BIRDS CHIRPING]"
"2","00:00:35,452","00:00:37,014","**[NO TELUGU MATCH FOUND]**","- [PUMPING] - [PUMPING]"
"3","00:01:19,037","00:01:20,956","వండరీ మరియు బ్లూంబర్గ్ పాడ్ కాస్ట్ ఆధారంగా రూపొందించబడింది","**[NO ENGLISH MATCH FOUND]**"
"4","00:01:32,342","00:01:34,344","**[NO TELUGU MATCH FOUND]**","[CHATTERING, LAUGHING]"
"5","00:01:38,307","00:01:39,308","మీకేమైనా తీసుకురానా?","Get you anything?"
"6","00:01:43,896","00:01:44,897","అలోహా.","Aloha."
"7","00:01:44,980","00:01:46,190","మహాలో.","Mahalo."
"8","00:01:47,149","00:01:48,525","-రాబై షర్మన్. -హలో, అబ్బాయ్.","- Rabbi Sherman. - Hello, boychick."
"9","00:01:48,609","00:01:50,837","-లేకపోతే నిన్ను పింగ్-పాంగ్ రాజు అని పిలవాలా? -అవును.","- Or should I say the king of Ping-Pong? - [MAN] It's true."
"10","00:01:50,861","00:01:52,672","-చూసుకో. అతను నింజాలా కదులుతాడు. -ధన్యవాదాలు.","- Watch out. He has ninja moves. - [MAN] Thanks."
"11","00:01:52,696","00:01:56,325","ఓహ్. థియా. నువ్వు పోడుగవుతున్నావు లేదా నేను పొట్టవుతున్నాను.","Oh. Thea? Either you're growing, or I'm shrinking. [CHUCKLES]"
"12","00:01:57,075","00:01:58,952","హే, నిక్ ఇంకా టోనీ కదా?","Hey, Nick and Toni's, right?"
"13","00:01:59,036","00:02:01,514","-బుధవారం రాత్రి. నీకు ఫోన్ చేస్తాను! -సరే.","- -Wednesday night. I'm calling you! -You got it. - -Wednesday night. I'm calling you! -You got it."
"14","00:02:01,538","00:02:02,664","మీకు కార్న్ నచ్చుతుంది.","You're gonna love the corn."
"15","00:02:02,748","00:02:09,713","రౌండ్ స్వామ్ప్ పొలంలోది. నేనే తెచ్చాను. ఇక్కడున్నావా! అందరూ, తప్పుకోండి!","- Round Swamp Farm's. - Oh. - I shucked it myself. There he is! - [BOTH LAUGH] Everybody, duck!"
"16","00:02:10,297","00:02:12,883","-అనద్దు. అనాలని కూడా అనుకోవద్దు. -ఏంటి?","- Don't say it. Don't even think it. - What?"
