"Index","Start Time","End Time","Telugu Text","Mapped English Text"
"1","00:00:12,346","00:00:15,724","- ఇంకో రెండు. - వెంటనే వస్తున్నా.","- [captains sigh] - [captain 1] Two more. [bartender] Coming right up."
"2","00:00:16,475","00:00:18,101","అదృష్టం అంతా బకీదే.","Bucky's got all the luck."
"3","00:00:18,977","00:00:20,103","అవును, తను అందంగా ఉంది.","Yeah, she's pretty."
"4","00:00:20,771","00:00:23,607","లేదు, అది కాదు. ఆ లక్కీ వెధవ రేపు బయలుదేరి వెళ్తున్నాడు.","No, not that. Lucky bastard's shipping out tomorrow."
"5","00:00:23,607","00:00:31,198","వాడు జర్మన్ వెధవలకి కూతవేటు దూరంలో ఉంటాడు, కానీ మిగిలిన మనమంతా నెబ్రాస్కా మీదుగా యుద్ధవిమానాలు నడపడం ప్రాక్టీసు చేస్తూ గడుపుతాం. కంగారుపడకు. చాలా త్వరలోనే మనం ఆ ప్రాంతం అంతా బాంబులు వేయబోతున్నాం.","He's gonna be a stone's throw away from the Krauts, while the rest of us will still be flying practice missions over Nebraska. Ah. Don't worry. We'll be over there dropping bombs soon enough."
"6","00:00:31,198","00:00:33,617","- అవును. - బకీ, తరువాత రౌండ్ ఖర్చు మాదే.","- Yeah. - Bucky, next round's on us."
"7","00:00:34,117","00:00:36,078","అతను గతంలో ఎప్పుడూ ఇలా చేయలేదు.","He's never done that before. [chuckles]"
"8","00:00:36,078","00:00:37,996","అయితే నువ్వు బకీ, ఇంకా బక్ అంటే అతనా?","So you're Bucky, and he's Buck?"
"9","00:00:37,996","00:00:39,831","అది చాలా పెద్ద కథ.","Uh, it's a long story."
"10","00:00:40,332","00:00:44,044","వాళ్లిద్దరూ మంచి జోడీ అవుతారు, కదా? నేను వాళ్లని ముందే పరిచయం చేయాల్సింది.","They make a nice pair, don't they? Oh, I should have introduced them earlier."
"11","00:00:44,795","00:00:45,879","అతను రేపు వెళ్లిపోతున్నాడు.","He's leaving tomorrow."
"12","00:00:46,380","00:00:48,465","ఇంటికి ఉత్తరాలు రాయడానికి ప్రతి ఒక్కరికీ ఒక తోడు కావాలి.","Everyone needs someone to write to back home."
"13","00:00:48,465","00:00:50,592","జాన్ ఈగన్ కలం స్నేహితుడి రకం అని నాకు తెలియదు.","I don't know if John Egan's the pen pal type."
"14","00:00:51,093","00:00:52,094","**[NO TELUGU MATCH FOUND]**","Hmm."
"15","00:00:53,136","00:00:57,182","సరే, బహుశా ఉత్తరం రాసేంత అందమైన అమ్మాయి అతనికి తారసపడి ఉంటే, అతను రాస్తాడు.","Well, maybe if he met a girl worth writing to, he would be."
"16","00:00:57,182","00:01:00,018","సరే, ఉత్తరం రాసేంత అందమైన అమ్మాయి దొరకడం చాలా కష్టం.","Ah. Well, a girl worth writing to is hard to find."
"17","00:01:00,018","00:01:02,396","కానీ ఎక్కడ వెతకాలో నీకు తెలియకపోతే తప్ప.","Not if you know where to look."
"18","00:01:03,438","00:01:06,859","నీ ఉద్దేశం నాకు అర్థమైంది.","- Ah. I see what you mean. - Mm-hmm."
"19","00:01:06,859","00:01:08,485","అయితే, నువ్వు నాకు ఉత్తరం రాస్తావా?","- Hmm. - So, you'll write me?"
"20","00:01:09,486","00:01:10,487","అంటే, నేను ఇప్పటికే రాశాను.","Well, I already have."
"21","00:01:12,114","00:01:13,365","నువ్వు నాకు ఉత్తరం రాశావా?","You wrote me a letter?"
"22","00:01:13,365","00:01:14,533","అవును.","Yeah."
"23","00:01:14,533","00:01:15,701","అందులో ఏం రాశావు?","What's it say?"
"24","00:01:15,701","00:01:19,496","అంటే, దాని కోసం ఎదురుచూసి అప్పుడు తెలుసుకోవాలి. మరి, అదెప్పుడు?","Well, you'll have to wait and find out. [chuckles] Well, when will that be?"
"25","00:01:20,080","00:01:23,250","నేను యుద్ధానికి వెళ్లినప్పుడు. రెండు లేదా మూడు వారాలు కావచ్చు.","Mmm. When I ship out. I'd say two or three weeks."
"26","00:01:28,630","00:01:30,090","నిన్ను ప్రతి క్షణం మిస్ అవుతాను.","I'm gonna miss you every second."
"27","00:01:31,758","00:01:33,802","సరే, సరే. జెంటిల్మెన్, టోస్ట్ చేద్దాం.","[captain 2] All right, all right. Gentlemen, a toast."
