Index,Telugu Text,Mapped English Text
6,నేను ఎప్పట్నుంచో వేచి చూస్తున్నా. తను రాత్రంతా లోపలే ఉంది.,[Rachel] I've been waiting for hours. She's been there all night.
7,ఒకసారి కిటికీ బయటకు చూడండి. సూర్యుడు కూడా వచ్చేస్తున్నాడు.,Look out the window. The sun is fucking coming up.
8,మన్నించాలి. మీరు కూర్చొనే ఉండాలి.,[nurse] I'm sorry. You're gonna need to take a seat.
9,డాక్టర్ ఎక్కడ? ఇంతకీ డాక్టర్ ఎక్కడ?,"Well, where's the doctor? Where's the doctor?"
10,నేను అతనితో మాట్లాడాలి. డాక్టర్ ఎక్కడ? ఆమె వస్తూ ఉంది.,I wanna talk to him. Where's the doctor? [nurse] She's on her way.
11,"ఒకసారి నా కూతురు, షారొన్ ని చూడనివ్వండి.",[Rachel] Just let me see my daughter Sharon.
12,"నేను తనని ఏం జరిగిందో కనుక్కోవాలి, సరేనా?","I'd like to actually get some answers, okay?"
13,దయచేసి కూర్చోండి. త్వరలోనే మేము మీకు సాయపడతాం.,[nurse] Please take a seat. We'll be able to help you soon.
14,మీ సూపర్వైజర్ ఎవరు? ఇది సరైన పని కాదు. ఇంటెన్సివ్ కేర్ యూనిట్ త్వరలోనే వచ్చేస్తాడు. నాకు నా కూతురిని చూపించండి.,[Rachel] Who's your supervisor? This is not okay. [nurse] He'll be here soon. [Rachel] I just wanna see her.
15,"మేడమ్, నేను అర్థం చేసుకోగలను. అవునవును. ఓరి నాయనోయ్.","[nurse] Ma'am, I understand. [Rachel] Yeah, yeah, yeah. Unbelievable."
16,"సర్, ఇక్కడికి మీరు రాకూడదు.","Sir, this is a restricted area."
18,మీరు కామెడీ చేస్తున్నారా?,Are you serious right now?
19,అక్కడ చాలా కుర్చీలు ఉన్నాయి కదా. వెళ్లి ఏదోక దానిలో కూర్చోండి.,There's a hundred other fucking chairs here. Pick one.
20,కానీ నేను ఇక్కడ కూర్చున్నాను కదా.,I'm already in this one.
22,ఇక్కడి నుండి వెళ్లిపో. నాకు మొదులే తల తిరిగిపోతోంది.,Just go away. I can't deal with whatever this is.
23,"అవును, నేను అర్థం చేసుకోగలనులే.","No, I understand."
24,వేచి చూడటం అంటే బుర్ర పగిలిపోయే పని.,Waiting's no fun.
25,"నర్సులు ఏమీ చెప్పరు, డాక్టర్లు అయితే ఏడు గంటలయ్యేదాకా రౌండ్లకు రారు.","Nurses don't tell you nothing, and the doctors don't do their rounds till 7:00."
26,దేవుడా.,", fuck."
27,మీరు ఎవరి కోసం వేచి ఉన్నారు?,Who you waiting for?
28,నా కూతురి కోసం.,My daughter.
29,తనకి ఏమైంది?,Why is she here?
30,ముందుగా అత్యవసర కేసులను చూస్తారు.,The critical cases get seen to first.
31,"కాబట్టి, మీ కూతురిని స్పెషలిస్ట్ చూడాలంటే, మీరు చాలా సేపు వేచి ఉండాల్సి వస్తుంది.","So, if your daughter needs a specialist, you'll be waiting here a while."
32,నువ్వు డాక్టర్ వా?,You a doctor?
33,"లేదు, నేను ఇది వరకు నేను కూడా మీలాగే ఇలా వేచి ఉండాల్సి వచ్చింది.","No, I, um [clicks tongue] Been on this side of it before."
34,అది విషయం తెలీకపోతే పిచ్చెక్కిపోతుంది.,"It's, um It's hard not knowing."
35,తను బీచ్ కి వెళ్లింది. అసలు తనకి అక్కడ ఏం పని?,She was on the beach. What the fuck was she doing on the beach?
36,మీ కూతురు బీచ్ కి వెళ్లిందా?,Your daughter was?
37,పోలీసులు అదే చెప్పారు.,That's what the cops said.
38,ఆ చెత్త కుక్కని ఇంకెక్కడికైనా తీసుకెళ్లి ఉండవచ్చు కదా.,She could've walked that shitty dog anywhere.
39,అది కూడా అర్ధరాత్రి. దేనికి? ఈత కొడదామని వెళ్లిందా ఏంటి?,It's the middle of the night. And what? She wants to go for a swim?
41,బహుశా ఏకాంతం కోసం వెళ్లిందేమో.,"Well, maybe she just wanted it to herself."
42,అందుకే బీచ్ కి వెళ్లిందేమో.,"You know, the beach."
43,తనకి ఏకాంతం ఎందుకట?,Why the fuck would she want that?
44,"ఎవరో తనని కోసి, అక్కడే వదిలేసి వెళ్లిపోయారు.","Someone cuts her open, just leaves her there."
45,అయ్యయ్యో.,I'm sorry.
46,నీ సానుభూతి అక్కర్లేదు. తనేమీ చావట్లేదు.,Don't be sorry. She's not dying.
47,"హేయ్, హేయ్! అలా మొహం చాటేసుకొని వెళ్లిపోవద్దు.","Hey, hey, hey! Don't walk away from me."
48,డాక్టర్ ఎక్కడ? చెప్పండి. డాక్టర్ ఎక్కడ?,Where's the doctor? Okay. Where's the doctor?
49,తను వస్తూ ఉంది అవునా?,[nurse] She's on her way [Rachel] She's on her way?
50,ఆ ముక్క మీరు చెప్పి యుగాలైంది. మీరు ఆమె వచ్చే దాకా ఆగాలి.,You said that hours ago. [nurse] You need to wait for her.
51,డాక్టర్ ఎక్కడ? నాకు తెలుసు. నేను చెప్పినట్టు.,[Rachel] Where's the doctor? [nurse] I know. Like I said.
52,ఇక్కడికి డాక్టర్ వచ్చేదాకా నేను ఎక్కడికీ కదలను.,[Rachel] I am not moving until the doctor comes here.
53,నేను అస్సలు కదలను. అసలేం జరుగుతోంది ఇక్కడ?,"I am not moving. I mean, what is going on?"
54,నేను అయిదు గంటల నుండి ఇక్కడ వేచి చూస్తున్నా. ఆమె షిఫ్ట్ ఎప్పుడు అవుతుంది?,[Rachel] I've been waiting for five hours. When is her shift done?
55,"ఇక్కడికి ఎలా వచ్చావు, షారొన్?","[Harper] How'd you get here, Sharon?"
56,హేయ్. మీరు అక్కడ ఉండకూడదు.,[nurse 2] Hey. You can't be in here.
57,ఒక గది అనుకొని వేరే గదికి వచ్చా. మన్నించాలి.,[heart rate monitor beeping] Wrong room. Sorry.
58,ఇక బయలుదేరండి!,"[nurse 2] Come on. Let's go, now!"
60,నేను 1987 చికాగో బుల్స్ గణాంకాల కోసం ఎదురు చూస్తున్నాను. అవి రోయికో దగ్గర ఉన్నాయి.,[reporter] I'm waiting on the '87 Bulls stats. It's under Royko.
61,"ఒక శవాన్ని బ్రాంజ్విల్ లో కనుగొన్నారు, ఇంకోదాన్ని ఎంగుల్వుడ్ లో కనుగొన్నారు.","One was found in Bronzeville, the other one in Englewood."
62,ఇప్పటిదాకా దూరంగా దొరికిన శవం అంటే బర్విన్ లో దొరికింది.,The furthest out was Berwyn.
63,ఏడుగురు మహిళలు ఉన్నారు.,[Lakshmi] There's seven women here.
64,ఇరవై ఏళ్ల వ్యవధిలో.,Over a 20-year spread.
65,ఇంకా ఎక్కువే ఉండవచ్చు కూడా.,And there's probably more.
66,"కొంపదీసి నీ సోర్స్, ఒక పోలీసు కాదు కదా.",Your source can't be CPD.
67,ఇంకా వాళ్లతో నేను వీటి గురించి మాట్లాడలేదు.,I haven't run any of this by them yet.
68,అయితే ఇంత ఖచ్చితంగా ఎలా చెప్పగలగుతున్నావు?,Then how can you be so sure?
69,జూలియా హత్యకు గురవ్వడానికి కొన్ని వారాల ముందు నుంచీ తనకు ఒకరు పదే పదే కాల్ చేశారు.,Someone had been calling Julia for weeks before her murder.
70,అతని మాటలను తను రికార్డ్ చేసింది.,She recorded him.
71,ఆ టేప్స్ నా దగ్గర ఉన్నాయి. ఇప్పుడు ఒక్క నిమిషం.,I got the tapes. And now [Bertie] Wait.
72,అవి నీ దగ్గర ఉన్నట్టు డిస్ట్రిక్ట్ అటార్నీకి తెలుసా?,Does the DA know you have them?
73,ఈ మధ్య ఆధారాలను దొంగిలించే పని కూడా ప్రారంభించామా?,[stammers] We're just stealing evidence now?
74,జూలియా రికార్డింగులలో ఉన్న గొంతును నా సోర్స్ గుర్తుపట్టింది.,And my source recognized the voice on Julia's recordings.
75,తనపై దాడి చేసిన వ్యక్తి గొంతే అది.,It's the same man who attacked her.
76,"ఒక్క నిమిషం, నీ సోర్స్ ఒక బాధితురాలా?","[Bertie] , wait, your source is a victim?"
77,దీన్నంతటి గురించి తనే నాకు చెప్పింది.,She's the one who brought the story to me.
78,తన పేరు ఆర్టికల్ లో ఉండటం తనకి ఇష్టం లేదు. అజ్ఞాతంగా కూడా తన ప్రస్తావన తీసుకురాకూడదట.,And she's refusing to be featured. Even if we keep her anonymous.
79,"ఏబీ, నాకు దాడి నుండి బయటపడిన వ్యక్తి పేరు అక్కర్లేదు.","Abby, I don't need a survivor."
80,"ఆధారాల సేకరణని నేనే చేసి, ఈ మహిళలందరి మధ్య లింక్ ఏంటో కనిపెడతాను. మన దగ్గర ఉన్న సాక్ష్యాలని నిరూపిస్తాను.",I'll do the legwork. I'll connect the women. And I'll confirm what we have.
81,నేనొకసారి ఆ ఫైలును చూస్తా.,[reporter] Let me see that file. Let me see.
82,ఇన్ని నేరాలు చేసి కూడా తప్పించుకున్నాడు. అర్థమైంది.,Look at what he's gotten away with. [reporter] I got it.
83,"వరద కథనాన్ని ముగించేసి, ఈ విషయంలో డాన్ కి సాయపడండి.",[Abby] Wrap up the flood. Help Dan on this.
84,నీ కోసం డేలీ సమావేశాన్ని నేను కవర్ చేస్తాను.,I can cover Daley's conference for you.
85,వద్దు. అక్కడ మనం ఉండాల్సిన అవసరం లేదు.,[Bertie] No. We don't need a presence there right now.
86,"మనం వెళ్లకపోతే, అతను గమనిస్తాడు, ఆ పగ తర్వాత తీర్చుకుంటాడు.","[reporter 2] If we don't go, he'll notice, and he'll punish us for it later."
89,"ఇదుగో, సమ్మర్ ఫ్రాన్సిస్ కి సంబంధించిన బ్యాక్ గ్రౌండ్ సమాచారాన్ని సంపాదించా.",[Kirby] Here. I pulled background on Summer Francis.
90,సమావేశం ఎలా సాగింది? నిన్ను బాగా ఆడుకున్నారా?,"How'd it go? Geez, they beat you up in there?"
91,బాగానే జరిగింది. చేయాల్సిన పని చాలా ఉంది.,All good. More work to do.
92,"సరే మరి, మనం గతంలో సమ్మర్ హత్యను కవర్ చేశాం. ఒక ఆర్టికల్ కూడా ప్రచురించాం.","Okay, so we covered Summer's murder. We did a feature."
93,"మార్కస్ నెగెటివ్స్ ని తీశాడు, సమ్మర్ లోపల ఉండే దానికి సంబంధించిన ఫోటో కనిపెట్టాడు.","Marcus pulled the negatives, and he found a shot of what was inside Summer."
94,"ఇదిగాక ఇంకేమైనా ఫోటోలు ఉన్నాయా? లేదు, ఇదే.",[Dan] You have any other ones? [Kirby] This was it.
95,ఉదయం నువ్వే మార్కస్ కి చెప్పావా?,You put Marcus up to this morning?
96,దేని గురించి అంటున్నావు? అతను సమావేశానికి వచ్చాడు.,Up to what? He came to the meeting.
97,అసలు మీ ఇద్దరూ ఏమీ మాట్లాడుకోరా?,[scoffs] You two just never talk?
98,చూడు.,Look.
99,ఆడ్లర్ ప్లానిటోరియమ్ లోని ఒక స్టాఫ్ లాకరుకు తాళం చెవి ఇది.,This is a key to a staff locker at the Adler Planetarium.
100,అక్కడ పని చేసే మహిళ ఇలాంటి దాన్నే పోగొట్టుకుంది.,A woman who works there lost the identical one.
101,ఇదంతా నువ్వు ఎప్పుడు కనుగొన్నావు?,When did you find all this out?
102,"నిన్న రాత్రి. నేను నీకు కాల్ చేశాను, కానీ నువ్వు ఎత్తలేదు.","Last night. I called you, but you didn't pick up."
