Source Filename,Original First Index,Original Last Index,Original First Timestamp,Original Last Timestamp,New Index,New Timestamp,Original Second Text,New Text (Full)
1 eng.srt,1,3,"00:01:21,790 --> 00:01:23,184","00:01:25,586 --> 00:01:29,006",1,"00:01:21,790 --> 00:01:29,006","about the butterfly flapping its wings in Africa,","[person] We've all heard that thing about the butterfly flapping its wings in Africa, and months later there's a hurricane in Miami."
1 eng.srt,28,29,"00:03:19,032 --> 00:03:21,034","00:03:21,118 --> 00:03:22,744",26,"00:03:19,032 --> 00:03:22,744",and remember to lock up this time.,"Try not to burn the place down, and remember to lock up this time."
1 eng.srt,36,37,"00:03:55,360 --> 00:03:58,280","00:03:59,156 --> 00:04:00,324",33,"00:03:55,360 --> 00:04:00,324",but it goes sideways?,"[Jimmy] You know those times where you think something's gonna go one way, but it goes sideways?"
1 eng.srt,38,39,"00:04:03,493 --> 00:04:05,120","00:04:06,205 --> 00:04:08,498",34,"00:04:03,493 --> 00:04:08,498",here's where it all started to go sideways for me.,"If I had to pick the moment, here's where it all started to go sideways for me."
1 eng.srt,55,58,"00:05:09,226 --> 00:05:10,936","00:05:14,940 --> 00:05:18,318",50,"00:05:09,226 --> 00:05:18,318","so they don't load live rounds during protests,","They trick the guns out with weird colors so they don't load live rounds during protests, kill some poor fucker who's just asking to be treated like a human being. [chuckles]"
1 eng.srt,81,82,"00:06:41,735 --> 00:06:43,487","00:06:45,572 --> 00:06:47,324",73,"00:06:41,735 --> 00:06:47,324","I stole your key, man.","- Tell him. - [Danny sniffles, groans] I stole your key, man."
1 eng.srt,96,97,"00:07:21,942 --> 00:07:25,404","00:07:25,487 --> 00:07:27,114",87,"00:07:21,942 --> 00:07:27,114",Not a bean bag.,"- Fuck, man! Oh! Okay. Okay. - [Danny sobbing] Not a bean bag."
1 eng.srt,103,104,"00:07:44,256 --> 00:07:47,509","00:07:47,593 --> 00:07:48,719",93,"00:07:44,256 --> 00:07:48,719",but there wasn't.,"I came here today to be compensated if there had been some kind of mistake, but there wasn't."
1 eng.srt,117,118,"00:08:23,670 --> 00:08:26,465","00:08:26,548 --> 00:08:27,883",106,"00:08:23,670 --> 00:08:27,883",because you lost nothing!,"[groans] His life is worth three times what you lost, because you lost nothing!"
1 eng.srt,130,131,"00:10:13,071 --> 00:10:15,574","00:10:17,993 --> 00:10:18,994",118,"00:10:13,071 --> 00:10:18,994",Rochelle.,Jesus. No. I'm sorry… Rochelle.
