"Index","Telugu Text","Mapped English Text"
"1","అటెన్షన్!","ten-hut!"
"2","కూర్చోండి, జెంటిల్మెన్.","At ease, gentlemen."
"3","సరిగ్గా ఏడాది కిందట ఇదే రోజు, ఎయిత్ ఎయిర్ ఫోర్స్ మొదటిసారిగా పూర్తి స్థాయిలో వాయుసేన దళాన్ని పంపించింది.","Exactly one year ago to the day, the Eighth Air Force sent up its first maximum effort."
"4","అది పన్నెండు బి-17 విమానాల సామూహిక దాడి.","It was a combined force of 12 B-17s."
"5","ఈ రోజు, ఎయిత్ ఎయిర్ ఫోర్స్ మళ్లీ పూర్తిస్థాయిలో మూడు ఎయిర్ టాస్క్ ఫోర్స్ లని పంపించబోతోంది.","Today, the Eighth will be sending up a max effort with three air task forces."
"6","అవును.","Yeah."
"6","మొత్తంగా 376 భారీ బాంబర్లనీ ఇంకా 240 ఫైటర్లని పంపించబోతోంది.","Totaling 376 heavy bombers and 240 fighters."
"7","తక్కువ కాదు, హా?","Not bad, huh?"
"7","అవును.","Yeah."
"8","ఇంత భారీ సంఖ్యలో యుద్ధవిమానాల సమూహం దాడికి దిగడం మానవజాతి చరిత్రలో ఇదే మొదటిసారి.","That's the largest air armada ever assembled in the history of mankind."
"9","అవును!","Yeah!"
"10","అవును!","Yes!"
"11","ఇప్పుడు, మనం మొదటి టాస్క్ ఫోర్స్ గా ఉండి రేగెన్స్ బర్గ్ లో మెసెర్ ష్మిట్ 109 ఇంజన్ అసెంబ్లీ కర్మాగారం లక్ష్యంగా దాడులు చేస్తాం.","Now, we will be in the first task force targeting the Messerschmitt 109 engine assembly plant in Regensburg."
"12","రెండవ, మూడవ టాస్క్ ఫోర్సులు ష్వయిన్ఫర్ట్ లో ఉన్న బాల్ బేరింగ్ కర్మాగారాలు లక్ష్యంగా దాడులు చేస్తాయి.","Second and third task forces will hit the ball bearing factories in Schweinfurt."
"13","బాల్ బేరింగులు లేకుండా ఏ యుద్ధవాహనాలూ కదలలేవు.","And no war machine moves without ball bearings."
"14","మనం గనుక విజయవంతంగా దాడులు చేస్తే, మనం జర్మన్ ఉత్పత్తుల్ని కొద్ది నెలల పాటు నిలిపివేయచ్చు.","If we succeed, we knock German production off line for months."
"15","మనం ఎందరి ప్రాణాలు కాపాడతామో ప్రత్యేకంగా చెప్పనక్కరలేదు.","There's no telling how many lives we could save."
"16","కార్పొరల్.","Corporal."
"17","ఓరి దేవుడా.","Dear God."
"17","ఓహ్, బాబూ.",", boy."
"18","ఇది రేగెన్స్ బర్గ్.","This is Regensburg."
"19","బహుశా మీరు ఏం ఆలోచిస్తుంటారంటే జర్మన్ భూభాగం మీదుగా చాలా దూరం విమానంలో ప్రయాణించాల్సి వస్తుందని అనుకుంటూ ఉండచ్చు.","And you're probably thinking that's a lot of flying time over Kraut territory."
"20","అది నిజం.","It is."
"21","మనం ఇంత లోపలికి జొరబడి దాడి చేయడం ఇదే ప్రథమం.","It's the deepest we've attempted to reach."
"22","కానీ శక్తిమంతమైన ఎయిత్ వాయుసేనకి ఒక ప్లాన్ ఉంది.","But the mighty Eighth has a plan."
"23","మేజర్ బోమన్?","Major Bowman?"
"24","వెళ్లి అదరగొట్టు, రెడ్.","Go get 'em, Red."
