Index,Telugu Text,Mapped English Text
14,నార్త్ పైన్ లో జరిగిన యవ్వారం గురించి విన్నావా?,You hear about that clusterfuck up on North Pine?
15,డచ్ స్టీవెన్స్ పిల్లోడి గురించే కదా.,[waiter] Dutch Stevens' kid.
16,రెండు టన్నుల బరువు ఉండే స్నో ప్లోని అసలెలా తిప్పాడు?,How the fuck do you flip a two-ton snow plow?
17,వెర్రి ఉంటే అంతే.,[waiter] With stupidity.
18,వాడి అమ్మానాన్నలు అలా ఉన్నారు మరి.,The apple don't fall far from the gutter.
19,మంచివాడివి అబ్బా నువ్వు.,"[customer] Well, that's kind of you."
20,ఇది ఫ్రీ.,[waiter] On the house.
21,థ్యాంక్యూ.,Thank you.
22,"హేయ్, రోజ్.","Hey, Rose."
23,ఇంకొంచెం పోయనా?,You want a refill?
24,ఎప్పుడు పోసినా కాదంటానా?,You can top me off anytime.
25,నీ కొత్త హెయిర్ స్టయిల్ నాకు నచ్చింది.,I like the new do.
27,అదిరింది.,Très chic.
29,హార్మనీ కొబెల్.,Harmony Cobel.
30,ఓరి నాయనోయ్.,"Well, flip my toboggan."
31,కాఫీ కావాలా?,You want coffee?
32,వద్దు.,No.
33,"ఈ టేబుల్స్, ఏమైనా తీసుకొని డబ్బులిచ్చే కస్టమర్ల కోసమని వేశాం.",Tables are for paying customers.
34,సరే. అయితే నాకు కాఫీ కోనివ్వు.,Fine. Then buy me a coffee.
35,ఈ ఊరు చాలా అంటే చాలా పాతది.,The town is older than I remember.
36,చాలా బలహీనంగా ఉంది.,Frailer.
37,"హా, కొన్నేళ్ల క్రితం మార్కెట్ లో ఒడిదుడుకులు చోటు చేసుకున్నాయి, వడ్డీ రేట్లు ఊరికే మారుతూ ఉన్నాయి, కాబట్టి కొందరు ప్రధాన ఇన్ఫ్రాస్ట్రక్చర్ పెట్టుబడిదారులు ఖర్చులు తగ్గించేశారు.","Yeah, well, with the market readjustment from a few years ago and the fluctuating interest rates, there was a retrenchment from some of the core infrastructure investments."
38,నువ్వు నాకొక పని చేసిపెట్టాలి.,I need a favor.
39,కానీ ఇక్కడ కాదు.,But not here.
40,ఫ్యాక్టరీ దగ్గర కలువు.,Meet me at the factory.
41,"హేయ్, డాట్. షాప్ నువ్వే బంద్ చేయి. అలాగే.","[waiter] Hey, Dot. Close up for me. [Dot] Sure."
47,నన్ను ఇక్కడికి రమ్మనడం ఎంత దారుణమైన పనో తెలుసా?,You know how fucked it is to ask me to come here?
48,నన్ను నువ్వు సిస్సీ ఇంటి దగ్గర దింపాలి.,I need you to drive me to Sissy's.
50,కుదరదు.,"No, thanks."
51,"వాళ్ళు ఇంటిపై ఓ కన్నేసి ఉంచుంటే, నా కారును గుర్తు పట్టేస్తారు.","If they're watching the house, they'll recognize my car."
52,ఎంత పెంటలో ఇరుక్కున్నావమ్మా నువ్వు?,How much trouble are you in?
53,చాలా.,Enough.
54,తను ఇంకా ఆ తొమ్మిది సూత్రాల ప్రకరామే నడుచుకుంటోందని తెలుసా?,You know she still lives by the nine?
55,తనలానే ఉంటుందని ఊహించా.,I assumed.
56,అలాంటప్పుడు తనని ఇక్కడ శత్రువుగా చూస్తారని నీకు తెలిసే ఉండాలి.,Then you know she's a fucking pariah here.
57,నువ్వు ట్రక్కులోనే ఉండు.,You can stay in the truck.
58,నేనొకటి తీసుకొచ్చుకోవాలి.,I need to get something.
59,అసలు నేనెందుకు నీకు సాయపడాలి?,Why would I help you with anything?
60,ఒకప్పుడు మనం ప్రాణ స్నేహితులం.,We were once chums.
61,పాత సహోద్యుగులైన మనం ఒకరికొకరు అండగా ఉండాలి కదా.,Old colleagues lift each other up.
62,సహోద్యోగులమా?,Colleagues?
63,బాల కార్మికులం.,Child fucking labor.
64,"కియర్, ఇమొజిన్లకి ఈథర్ మిల్ లోనే పరిచయమైంది, అది నీకు తెలుసా?","Kier and Imogene met at the Ether Mill, you know that?"
65,అప్పుడు తను విపరీతంగా దగ్గేదా?,Was she hacking up a lung at the time?
66,నీ ముఖం చూస్తేనే తెలిసిపోతోంది.,I can smell it on your breath.
67,నువ్వు వెధవ్వి అని.,Pathetic.
68,దొబ్బేయ్.,Fuck you.
69,"సాయపడు, లేదంటే లేదు.",You can help me or not.
70,కానీ నీకున్న చిరాకంతా నా మీద చూపించకు.,But I'll not be the punching dummy for your resentments.
73,ఎవరూ లేరు ఇక్కడ.,Coast is clear.
75,నువ్వు మామూలు మత్తులో లేవుగా.,You're higher than a bearded vulture.
77,తనకి గంగలో దూకమని చెప్పు.,Tell her to drop dead for me.
78,నువ్వు ఇక్కడికి రాకూడదు.,You are not welcome here.
79,అక్రమంగా వస్తున్నావు నువ్వు.,This is trespass.
80,పోలీసులకు కాల్ చేస్తా.,I have a mind to call the authorities.
81,నా ఇంటి ఆవరణలో వ్యసనపరుడు ఉండటం నాకు ఇష్టం లేదు.,I do not want that huff peddler on my property.
82,అతనికి డ్రగ్స్ అలవాటు చేసింది నువ్వే.,You gave him his thirst for it.
83,అబద్ధం చెప్పకు.,You've a liar's mouth. [breathes deeply]
86,"కిందకి వచ్చి, అసలు ఎందుకు వచ్చావో చెప్తావా?",[Sissy] Do you want to come down here and tell me what this is all about?
91,నా వస్తువులని ఏం చేశావు?,What have you done with my things?
92,పేదవారికి అమ్మేశా.,Sold. To the poor.
93,అవి నీవు కాదు అమ్మడానికి.,They weren't yours to sell.
94,ఇంట్లో ఉండేది నేను.,I sit in this house.
95,నువ్వు కాదు.,You do not.
96,ఇక్కడికి ఎవరైనా వచ్చారా?,Has anyone been here?
97,ఇక్కడికి ఎవరూ రారు.,No one comes here.
98,ఫోన్ చేశారా?,Or telephoned?
99,మిస్టర్ డ్రమ్మండ్ అంటూ ఒకడు చేశాడు.,A Mr. Drummond.
100,ఏం కావాలట?,And what did he want?
101,"ఏం చేశావు, పాల పిట్ట?","What have you done, little mouse?"
102,హార్మనీ!,Harmony!
103,నాకు అమ్మ గదికి తాళం చెవి ఇవ్వు.,I want the key to Mother's room.
104,"తనని గుర్తుచేసుకునే వాళ్ళందరూ కియర్ కి భక్తులు అవ్వాలి, అప్పటిదాకా ఆ గదికి తాళం వేసే ఉంటుంది.",That room stays shut until all who remember her sit with Kier.
105,అది నీకూ తెలుసు.,You know this.
106,తాళం చెవి ఇవ్వు.,Give me the key. [breathes heavily]
107,నీ వల్ల నాకు బాధ తప్ప ఇంకేం మిగల్లేదు.,Why do you bring nothing but woe into my life?
108,"లేదు, బాధతో ఈ ఇంటిని నింపింది నువ్వే.","No, it is you who cursed this house with woe."
109,ఈ విషయంలో గొడవపడాలని నాకు లేదు.,I will not have this quarrel.
