"Index","Telugu Text","Mapped English Text"
"1","డెవన్! లేదు, లేదు. వినండి, మేమేమీ ఆనందంగా లేము. మా బతుకులు దారుణంగా ఉన్నాయి. బర్ట్!","Devon! No, no, no. Listen, we're not happy. We're miserable. Burt!"
"2","వాళ్లు అక్కడ మాకు నరకం చూపిస్తారు! డెవన్! - మేము ఖైదీలం! - బర్ట్! తను బతికే ఉంది!","They torture us down there! Devon! - We're prisoners! - Burt! She's alive!"
"3","సంరక్షణ విభాగం","**[NO ENGLISH MATCH FOUND]**"
"4","మ్యాక్రోడేటా రిఫైన్మెంట్","**[NO ENGLISH MATCH FOUND]**"
"5","నీ పేరు మార్క్ ఎస్ అనుకుంటా.","I suppose you're Mark s."
"6","- నేను... - నా పేరు మార్క్ డబ్ల్యూ.","- I... - I'm Mark w."
"7","ఎవరు మీరు?","Who are you people?"
"8","మనిద్దరి పేర్లు ఒకేలా ఉన్నాయి కాబట్టి, గందరగోళాన్ని నివారించడానికి, నిన్ను వేరే పేరుతో పిలిచినా, నీకు పర్వాలేదా?","Would you be open to using a different first name to avoid confusion?"
"9","పునఃస్వాగతం, మార్క్ ఎస్.","Welcome back, Mark s."
"10","చాలా కాలమైంది నిన్ను చూసి.","Been a minute."
"11","ఎవరు వాళ్లు?","Where are they?"
"12","నీకు ఏవైనా ప్రశ్నలు ఉంటే, వాటిని మనం మేనేజ్ మెంట్ ఆఫీసుకు వెళ్లాక అడిగితే మంచిది. వాళ్లని ఉద్యోగంలోంచి తీసేశారా? బెలూన్లను నా పాత డెస్క్ దగ్గర ఉండే వాకిలిలో వదిలేయవచ్చు.","I think it's best to save any queries till we arrive at the management office. Were they fired? You can leave the balloons in the foyer by my old desk."
"13","మనం చాలా విషయాల గురించి మాట్లాడుకోవాలి, అవి ఉంటే నీ ఏకాగ్రతకు భంగం కలగవచ్చు. చెప్తున్నా కదా, వాటిని ఎవరూ తీసుకోరు. మిస్టర్ మిల్చెక్, దయచేసి చెప్పు. మీరందరూ అయిదు నెలల కిందట ఏవైతే చేశారో, వాటి వల్ల ఈ సంస్థకు ఎప్పుడూ ఎదురుకానంత గడ్డు పరిస్థితి ఎదురైంది. అయిదు నెలలా?","We've much to discuss, and I don't want them distracting you. I assure you, they won't be taken. Mr. Milchick, please. What you all did five months ago was one of the most painful moments in the history of this company. Five months?"
"14","నేను కూడా చాలా బాధపడ్డాను. కానీ కష్టాలు ఎదురైతేనే కదా, మనం ఇంకా బలంగా రాటుదేలగలిగేది? ఒక్క నిమిషం, నువ్వు ఇందాక నీ పాత ఆఫీసు అని అన్నావా?","I, too, was wounded by it. But we must be cut to heal, mustn't we? Wait, did you say your old office?"
"15","మార్క్, ఈమె మిస్ హ్వాంగ్. మిస్ హ్వాంగ్, ఇతను మార్క్ ఎస్. హలో.","Mark, this is miss huang. Miss huang, Mark s. Hello."
"16","మనం మాట్లాడుకుంటూ ఉన్నప్పుడు, నీ బెలూన్లను తను చూసుకుంటుందిలే.","She'll be happy to mind your balloons while we chat."
