"Index","Telugu Text","Mapped English Text"
"1","ప్రాదేశికంగా వేరుచేయబడిన జ్ఞాపకాలు మాత్రమే ఇప్పట్నుంచీ నాకు గుర్తు ఉంటాయని నేను అంగీకరిస్తున్నాను.","[Helly] I acknowledge that, henceforth, my access to my memories will be spatially dictated."
"2","లూమన్ సంస్థలోని ప్రత్యేకమైన బేస్మెంట్ అంతస్థులో ఉన్నప్పుడు, బయటి జ్ఞాపకాలు నాకు గుర్తు ఉండవు, అలాగే ఇక్కడి నుండి బయటకు వెళ్లినప్పుడు ఇక్కడి జ్ఞాపజాలు నాకు గుర్తు ఉండవు.","I will be unable to access outside recollections whilst on Lumon's severed basement floor, nor retain work memories upon my ascent."
"3","ఈ మార్పు అనేది సమగ్రమైనదని, అలాగే దీన్ని పూర్వ స్థితికి చేర్చడం సాధ్యం కాదని నాకు తెలుసు.","I am aware that this alteration is comprehensive and irreversible."
"4","ఈ ప్రకటనలను నేను నా ఇష్టానుసారమే చేస్తున్నాను.","I make these statements freely."
"5","అంతే అయిపోయింది.","[Mr. Milchick] Okay, that's a wrap."
"6","దయచేసి నాతో రండి.","Come with me, please."
"8","మీ పని అవతారం ఇంకాసేపట్లో ప్రత్యేకమైన అంతస్థులో మేల్కొంటుంది.","So your work personage will be waking in a few hours on the severed floor."
"9","కానీ మీరు ఈవిధంగా, వివేకంగా ఈ సాయంత్రం, లిఫ్ట్ నుండి బయటకు వచ్చేటప్పుడు ఉంటారు.","But the next time you yourself will be sentient will be this evening, in the elevator back up."
"10","సరే.","Okay."
"11","తల తిరిగినట్టు అనిపిస్తే పట్టుకోవడానికి, లిఫ్టులో చేతికి అందేలా ఒక హ్యాండిల్ ఉంది.","The elevator has a handrail at hip-level if you feel dizzy."
"12","ఓరి దేవుడా.",", man."
"13","ఆయన ముఖంపై సూర్య కిరణాలు పడినప్పుడు చూడటం నాకు చాలా ఇష్టం.","I love seeing the sunrise on his face."
"14","ఆయన ప్రతిరోజూ ఉదయం పాలతో పాటు మూడు పచ్చి గుడ్లు తినేవాడు తెలుసా?","You know he used to drink three raw eggs in milk each morning?"
"15","నేను కూడా విన్నాను.","I've heard."
"16","అతనికి చాలా ఇష్టమైన టిఫిన్ అది.","[chuckles] His favorite breakfast."
"17","మిమ్మల్ని ఇక్కడ సంసిద్ధం చేస్తాం.","We'll get you prepped in here."
"18","శుభోదయం, లారెన్స్.","Good morning, Lawrence."
"18","శుభోదయం.","Good morning."
"20","ఇది నొప్పి కలిగించదని అంటుంటారు.","They say it doesn't hurt."
"22","ప్రశాంతంగా ఉండండి.","[Mr. Milchick] Just relax."
"25","ఇప్పుడు కాస్తంత గిర్రుమంటున్నట్టు అనిపిస్తుంది.","[Mr. Milchick] Little vibration now."
"29","ఇదెలా జరిగిందో మీకు చెప్పడానికి నేను పైనే ఉంటాను.","I'll be upstairs after to let you know how it went."
"30","అప్పుడు పిచ్చిపిచ్చిగా ప్రవర్తిస్తే మన్నించండి.","Sorry if I freak out on you a little."
"31","కంగారుపడకండి.","Don't worry."
"31","మీరు ఎప్పుడెప్పుడు వస్తారా అని ఎదురుచూస్తుంటాను.","I'm very excited to meet you."
"36","హేయ్, హెల్లీ.","Hey, Helly."
"37","ఏం జరుగుతోంది?","Whoa, what's happening?"
"38","మిమ్మల్ని చూడటం చాలా బాగుంది.","Great to see you."
"39","మీపై జాయినింగ్ ఫార్మాలటీలన్నీ చాలా బాగా గడిచాయి.","Your orientation's been so much fun."
"40","ఇప్పుడు నేను ఎక్కడ ఉన్నాను?",", where am I?"
"41","సరే, అప్పుడప్పుడు కొత్తగా చేరిన ఉద్యోగి ప్రత్యేకమైన అంతస్థుకు అలవాటు పడుతున్నప్పుడు, మేము వారిని ఈ మెట్ల దగ్గరికి తీసుకువస్తాం, తద్వారా వారు మార్పును భావావేశపరంగా అనుభవించగలరు.","Okay, so sometimes when a new hire is adjusting to a severed space, we help by bringing them here to the stairwell, to experience the transition viscerally."
"42","అయ్యయ్యో.",", no."
"42","నేను వెళ్లిపోవడానికి ప్రయత్నిస్తున్నానా?","I'm trying to leave?"
"43","లేదు, లేదు.","No, no."
"44","ఇదంతా ప్రక్రియలో భాగమే.","It's all part of the process."
"45","మీరు తిరిగి వెనక్కి వెళ్లాలనుకుంటే నిశ్చింతగా ఆ పని చేయవచ్చు.","If you wanna spin around and head back in, that should be that."
"46","నమస్తే.","Hey, there."
"47","ఏం జరుగుతోంది?","What the hell?"
"47","మరేం పర్వాలేదు.","[chuckles] That's okay."
"48","అస్సలు సమస్యే కాదు.","Not a problem."
"49","మరోసారి ప్రయత్నించి చూస్తారా?","Wanna give it another shot?"
"50","ఇంకాస్త ఉత్సాహంతో ప్రయత్నించండి.","Maybe with a little oomph?"
"52","హాయ్.","Hi."
"53","నేను మెట్ల దగ్గర ఉన్నాను.","I'm at the stairwell."
"54","అంతా బాగానే జరుగుతోంది.","[inhales deeply] It's going fair."
"55","లేదు, తను ఓరి దేవుడా! అయ్యయ్యో, నేను మళ్లీ కాల్ చేస్తాను.","No, she's [shouts] , fuck! Ooh. Nah, I'ma call you back."
"56","వావ్.","Wow. [chuckles]"
"57","మీలో చాలా కుతూహలం ఉంది.","[exhales deeply] You're an inquisitive one."
"58","నాకు లోపలికి వెళ్లాలని లేదు కదా?","[sighs] I don't wanna be in there, do I?"
"59","మీకు ఉండాలనే ఉందని మీరు తెలుసుకుంటున్నారు.","You're learning that you do."
"60","హేయ్, మీరు ఇక్కడికి వస్తున్నారని మేము విన్నాక, అది మాకొక అద్భుతంలా అనిపించింది.","[sighs] Hey, when we heard you were coming here, it was like a miracle."
"61","మీరు ఏదైతే చేస్తున్నారో అది మామూలు విషయం కాదు.","It's amazing what you're doing."
"65","హేయ్, విధేయత గల ఉద్యోగి!","[Mr. Milchick] Hey, old-timer!"
"66","మొదటి రోజు గడిచిపోయింది.","One day down."
