Index,Telugu Text,Mapped English Text
2,ఏంటి సంగతి?,What is it?
3,డయానా టావెర్నర్ కింద వేచి చూస్తోంది.,Diana Taverner is downstairs.
4,ఐదు నిమిషాల్లో కిందకి వస్తానని చెప్పు.,Tell her I'll be down in five minutes.
5,వెంటనే దిగి రమ్మంటోంది.,"Um, she says to come straight down."
6,"ఏంటి, డార్లింగ్? ఏంలేదు, డార్లింగ్.","What's going on, darling? Nothing, darling."
7,మిగతా వాళ్లంతా ఏం చేస్తున్నారో అర్థం కావట్లేదు.,I wonder what the others are up to.
8,"నువ్వు మిన్, లూయిసాల ఫోన్లు పారేయకపోతే వాళ్లకి ఫోన్ చేసి ఉండేవాణ్ని.",Could have called them if you hadn't thrown away Min and Louisa's phones.
9,"ఏదైనా అడ్డదారిలో ప్లాస్టిక్ సర్జరీ చేయించుకుని రూపురేఖలు మార్చుకునే ప్రయత్నంలో లేకపోతే, ఇకపై వారిని వెంటాడబోవడం లేదని చెప్పాలి.","Should let them know they're not being hunted anymore, in case they're halfway through some dodgy backstreet plastic surgery."
16,ఉపగ్రహ నావిగేషన్ ని హ్యాక్ చేయలేకపోతున్నా.,Can't hack the satnav.
17,ఎందుకని? ఆ వెధవల దగ్గర అది లేదు కాబట్టి.,Because? Cheap bastards didn't hire one.
18,లేకపోతే ఆ బలిసినోళ్ళ దగ్గర సొంతంగా ఒకటి ఉందేమో.,Or the flash bastards had their own.
19,"మీ అల్పమైన మానవ జాతి ఊహించలేని ఒక పని చేశాను, ఆ వ్యాన్ లో ఉన్న థెఫ్ట్ రికవరీ ట్రాన్స్ మిట్టర్ని హ్యాక్ చేశాను.","What I have done, and which is beneath you puny mortals, is hack into the van's Theft Recovery Transmitter."
20,అయితే మనం దాన్ని ట్రాక్ చేయగలమా?,So we can track it?
21,"సిగ్నల్ సరిగ్గా లేదు, అందువల్ల వాహనం ఎక్కడుందో ప్రతి పది నిమిషాలకీ ఒకసారి తెలుసుకోవచ్చు.","Signal's intermittent, so you'll only get where the vehicle is or was every ten minutes."
22,వారు ఎ12 రోడ్లో తూర్పువైపు వెళ్తున్నారు.,But they're heading east on the A12.
23,చివరిసారి చెమ్స్ ఫోర్డ్ వద్ద ఒక పెట్రోల్ బంక్ వద్ద ఆగినట్లు తెలిసింది.,Last ping from a petrol station just outside Chelmsford.
24,ఏంటి? ఏం చేద్దాం మరి? పై అధికారులకు చెబుదాం.,"What? So what do we do with this? Well, we call it in."
25,పార్క్ కా? కిడ్నాప్ నేరాన్ని వాళ్లు మనపై రుద్దేందుకు ప్రయత్నిస్తుంటే?,To the Park? When they're trying to hang the kidnap on us?
26,అయితే ఇంకెవరికైనా చెప్పాలి.,Then we get it to someone else.
28,"డయానా, మా పనిమనిషి పడుకున్నట్లుంది, చిన్నా చితకా పనులు నేనే చేయాలి, ఏం తాగుతావు?","Diana. I'm afraid our maid is asleep, so it's me on char duty. What can I get you?"
29,"టీ ఇవ్వు. వీలైతే అస్సాం టీ, అది లేకపోతే బిల్డర్స్ టీ.","Tea, please. Assam if you have it, builder's otherwise."
30,"పాలు పొయ్యి, పంచదార వద్దు.","Milk, no sugar."
31,నేనెందుకు వచ్చానో తెలుసా? నాకు తెలియదు.,"So, you know why I'm here? I've no idea why you're here."
32,"నీకు తెలుసు. లేకపోతే, అడిగి ఉండేవాడివి.","I think you do. Otherwise, you'd have asked."
33,కొన్నిసార్లు కాక్ టెయిల్ పార్టీలో కలిసిన ఓ మహిళ ఇప్పుడు నాతో కిచెన్లో ఉంది.,I've a woman in my kitchen I've met a few times on the cocktail party circuit.
34,ఇదంతా నీ భార్యకు ఎలా చెప్పాలా అని ఆలోచిస్తున్నాను.,I'm more concerned with how I'm going to explain your presence to my wife.
35,నువ్వు సరేనంటే ఆమెకు క్లుప్తంగా చెబుతాను.,I can give her a précis if you like.
36,రాబర్ట్ హోబ్డెన్ నిన్న మధ్యాహ్నం నీకు అదే పనిగా ఫోన్ చేసినట్లు ఫోన్ రికార్డులను బట్టి తెలిసింది.,"We know from phone records that Robert Hobden called you yesterday afternoon, repeatedly."
37,"ఏ కాల్ కూడా 15 సెకన్లకుమించి లేదు, కాబట్టి నువ్వు అతనితో మాట్లాడలేదని తెలుస్తోంది.",None of the calls lasted more than 15 seconds so clearly he couldn't get through.
38,"చుట్టుపక్కల సిసిటివీలు చూసి, నాకు తెలిసిన విషయాన్ని నిర్ధారించుకోవచ్చు, కానీ నాకు అంత సమయం లేదు, అందుకే కదా, హోబ్డెన్ నేరుగా నీతోనే మాట్లాడదామని ఇక్కడకు వచ్చాడు.","Now, I could pull CCTV from surrounding streets to confirm what I already know but don't have the time to prove, which is that Hobden eventually turned up here, desperate to talk to you."
39,"అది నువ్వు నమ్ముతున్నావా? సరేగానీ, అస్సాం టీ పొడి లేదు.",", would you believe it? After all that, no Assam."
40,బిల్డర్ టీ తాగాల్సిందే.,Have to be builder's.
41,"అది సరేగానీ, ఇంతకీ అతని పేరు హోబ్డెన్ కదా?","By the way, um, what's his name, , Hobden?"
42,అతన్ని చాలా ఏళ్లుగా చూడనే లేదు.,Haven't seen him for years.
