"Index","Telugu Text","Mapped English Text"
"1","**[NO TELUGU MATCH FOUND]**","[breathes deeply, sighing]"
"2","- హాయ్! హాయ్, క్యూటీ. - హేయ్. అమ్మ ఇంటికి వచ్చేసింది!","- Hi! Hi, cutie. - Hey. Mom's home!"
"3","- మిమ్మల్ని మిస్ అయ్యాను. - హాయ్, అమ్మ.","- [Sylvia] I missed you. - Hi, Mom."
"4","- ఉద్యోగం ఎలా ఉంది? - అవును, బాగుంది.","- How was it? - Yeah, good."
"5","అద్భుతం. రెండు రోజుల్లోనే నువ్వు పనికి అలవాటు పడిపోయావు.","Amazing. And it only took you two days to get the hang of it."
"6","**[NO TELUGU MATCH FOUND]**","Oh."
"7","- మరి, దాని గురించి... - అవును.","- So, um, about that... - Yeah."
"8","అమ్మా, నీ కోసం ఒక సర్ ప్రైజ్ సిద్ధం చేశాను.","Mommy, I have a surprise for you."
"9","కూర్చో. - అవును, నువ్వు ఇది చూడాలి. - సరే.","- [Simon] Sit down. - [exclaims] - Yeah, you gotta see it. - Okay. [chuckles]"
"10","మా స్కూలులో ఒక హీరో గురించి ఒక స్లయిడ్ షో చేయాల్సి వచ్చింది, కానీ నేను నిన్ను ఎంపిక చేసుకున్నా.","We had to make a slideshow at school about our hero, and I chose you."
"11","**[NO TELUGU MATCH FOUND]**","Aw."
"12","**[NO TELUGU MATCH FOUND]**","[""Who Let the Dogs Out"" playing]"
"13","**[NO TELUGU MATCH FOUND]**","[Sylvia gasps] Oh."
"14","**[NO TELUGU MATCH FOUND]**","[Sylvia, Charlie chuckling]"
"15","మా అమ్మ ఉద్యోగం చేసే హీరో.","**[NO ENGLISH MATCH FOUND]**"
"16","**[NO TELUGU MATCH FOUND]**","[chuckles]"
"17","ఆమె ఇప్పుడు ఒక లాయర్ అచ్చు మా నాన్న లాగే. వావ్.","Wow. Oh. [chuckles]"
"18","చూడబోతే ఆడవారు, మగవారు సరిసమానులే.","**[NO ENGLISH MATCH FOUND]**"
"19","- ఓహ్, అమ్మకి ఇది నచ్చింది. - ఇది చాలా బాగుంది. థాంక్యూ, స్వీటీ.","- Oh. Oh, Mommy loves it. - It's so good. Thank you, sweetie."
"20","అవును. ఇది చాలా అందంగా ఉంది. నిజంగా ముద్దుగా ఉంది, బంగారం.","Yeah. It's beautiful. [sniffles] It's really sweet, honey."
"21","హేయ్, అయితే మాకు చెప్పు, నీ ఆఫీసులో రెండో రోజు ఎలా జరిగింది?","Hey, so tell us, how was day two?"
"22","అది... అది బాగా జరిగింది. ముందు రోజు జరిగిన విధంగానే ఉంది. అవును.","Um, it was... it was good. It was just the same. Yeah."
"23","**[NO TELUGU MATCH FOUND]**","- Aw. - Oh."
