Index,Telugu Text,Mapped English Text
4,నాన్నా.,Father.
5,చరిత్రలో నిలిచిపోయే రోజు ఇది.,A momentous day.
6,అవును.,Yes.
7,మీరు తినరా?,Won't you eat?
8,"నువ్వు తింటూ ఉండు, నేను చూస్తా.",I'll watch.
11,మిస్టర్ బెయిలిఫ్ సంగతి చూసుకుంటున్నాం.,We're seeing to Mr. Bailiff.
12,పచ్చి గుడ్లు తిను.,I wish you'd take them raw.
13,ముసుగు తీయ్.,Unveil.
14,యూస్టిస్ హ్వాంగ్.,Eustice Huang.
15,నేటితో నీ వింటర్ టైడ్ ఫెల్లోషిప్ ముగుస్తుంది.,Today marks the end of your Wintertide Fellowship.
16,అభినందనలు.,Congratulations.
17,"నీ బెడ్ మీ తల్లిదండ్రుల ఇంటి నుండి జేమ్ ఈగన్ వింటర్ టైడ్ ఫెల్లోషిప్ యూస్టిస్ హ్వాంగ్ స్వాల్బార్డ్ లోని గన్నెల్ ఈగన్ ఎంపతీ సెంటరుకి తరలించబడుతుంది, అక్కడ ప్రపంచ సంస్కరణల పర్యవేక్షణను నువ్వు చూసుకోవచ్చు.","Your bed will be moved from your parents' home to the Gunnel Eagan Empathy Center in Svalbard, where you will work to steward global reforms."
18,ఈ క్వార్టర్ అయ్యేదాకా ఇక్కడ ఉండే అవకాశం లేదా?,I thought I'd be finishing the quarter.
19,"సానుభూతితో సంస్కరణలు చేయాల్సిన సమయం వచ్చేసింది, హ్వాంగ్.","Empathy awaits, fellow Huang."
20,ఇవాళ్టి విధులను నిర్వర్తించేయి.,You may resume your duties for the day.
21,సాయంకాలం ఒక బండి వచ్చి నిన్ను పికప్ చేసుకొని వెళ్తుంది.,A shuttle will pick you up at dusk.
22,కానీ ముందుగా.,But first.
23,గేమ్ ని టేబుల్ పై పెట్టు.,lay the game on the table.
24,"ఒక వస్తువుని త్యాగం చేసి, ఈ పదోన్నతిని స్వీకరించి గౌరవించాలని హ్యాండ్ బుక్ చెప్తోంది.",The handbook requires that you mark this betterment with a material sacrifice.
