"Index","Telugu Text","Mapped English Text"
"1","డయాన్ కొన్ని కొత్త ఇళ్ల వివరాలు పంపించింది.","Diane sent a listing that looks promising."
"1","మనం వెళ్లి చూసి వద్దామా?","Should we go check it out?"
"2","నాకు ఈ రోజు కుదరదు.","I can't today."
"3","పోనీ రేపు వెళదామా, లేదా నీకు కుదిరితే ఈ వారంతంలో వెళదామా?","Or we could go tomorrow, or on the weekend if you like?"
"4","నీకు ఒక విషయం చెప్పనా?","You know what?"
"4","నేను ఆఫీసులో చాలా బిజీగా ఉన్నాను, కాబట్టి నువ్వు విల్ ని అడగచ్చు కదా?","I'm really swamped at work, so, , why don't you, , ask Will?"
"5","హేయ్.","Hey."
"5","నా ఉద్యోగం పోయిందని నీకంటే ముందు అతనికి చెప్పినందుకు సారీ.","I am sorry that I told him I was fired before I told you."
"6","నేను సారీ.","I am sorry."
"6","సారీ.","I'm sorry."
"6","సారీ!","I'm sorry!"
"7","నేను తప్పు చేశాను.","I made a mistake."
"7","సారీ, బేబీ.","I'm sorry, baby."
"7","సారీ!","I'm sorry!"
"8","నేను ఇలా ఎన్నిసార్లు చెప్పాలి?","How many times do I have to say it?"
"9","కానీ, నువ్వు ఇలా అరిచావంటే, అది క్షమాపణ కింద లెక్క కట్టలేము.","Okay, if you yell, it doesn't count as an apology."
"10","నేను సారీ.","[whispers] I'm sorry. I'm sorry. I'm sorry."
"11","సరే.","Okay."
"12","ఈ అలక ఇంకా ఎంత కాలం ఉంటుంది?","How long is this gonna go on for?"
"13","నాకు తెలియదు.","I don't know."
"13","భవిష్యత్తు గురించి చెప్పే క్రిస్టల్ బంతి నా దగ్గర లేదు.","I don't have a crystal ball."
"14","అయితే, రాత్రి విందు వేళకి ఇంటికి వచ్చేస్తావుగా?","So, I'll see you at home for dinner?"
"15","రావచ్చు.","Maybe."
"15","రాకపోవచ్చు.","Maybe not."
"16","నిజానికి, లేదు.","Actually, no."
"16","నేను తన హోమ్ వర్క్ కి సాయం చేస్తానని ఫ్రాన్సిస్ కి చెప్పాను, కాబట్టి రాత్రి తొమ్మిది గంటల లోపే వస్తాను.","I-I-I told Frances I would help her with her homework, so I'll be back no later than 9:00."
"17","సరే.","Okay."
"17","సరే.","Okay."
"18","సరే.","[Sylvia] Okay."
"21","సరే, చూడబోతే మనం రెండు వందల గంటలుగా పని చేస్తున్నట్లు అనిపిస్తోంది.","Well, this is easily 200 billable hours."
"21","నాకు ఆకలి వేస్తోంది.","I am hungry."
"22","మనం బహుశా ఆరు నిమిషాల పాటు విందు చేస్తూ ఇంక్రిమెంట్లు పొందాలి.","We should probably spend some six minute increments having dinner."
"23","వెనెసా, ఏం చేద్దాం?","Vanessa, what will it be?"
"23","సీఫుడ్ తిందామా లేదా మాంసం తిందామా?","Surf or turf?"
"24","నాకు తెలియదు.","Um, I don't know."
"24","డ్యూపాంట్ మనకి డబ్బులు ఇస్తాడు కాబట్టి, రెండూ తెప్పించుకుందామా?","Since Dupont's paying for it, what if we did both?"
"24","సీఫుడ్ ఇంకా మాంసం కూడా.","Ooh, surf and turf."
"25","చార్లీ, నీ పనిని మీ ఇంట్లో పూర్తి చేస్తావు అనుకున్నాను?","Charlie, I assume you'll be finishing your work at home?"
"26","మీకు ఒక విషయం చెప్పనా?","You know what?"
"26","నేను ఈ రాత్రి మీతో కలిసి ఈ పని పూర్తయ్యే వరకూ ఉంటాను.","I am gonna stay and push through with you guys tonight."
"27","ప్లాస్టిక్ ఫోర్క్ తో స్టీక్ మాంసం తినడాన్ని నేను మిస్ అవుతున్నాను.","I miss eating steak with a plastic fork."
"27","ఈ రోజు ఏదైనా ప్రత్యేకమైన సందర్భమా?","special occasion, anyone? Ooh?"
"28","ఇలా చూడు.","Come on."
"28","ఈ రాత్రి చార్లీ మనతో ఉంటున్నాడా?","We get Charlie tonight?"
"28","ఆఫీసులో ఆలస్యంగా ఉండవు కదా.","[chuckling] You never stay late."
"29","సాధారణంగా కుటుంబాన్ని ప్రేమించే మనిషిగా నీ పనిని ఇంట్లోనే పూర్తి చేస్తుంటావుగా.","Normally you finish your work at home like someone who loves his family."
"30","అవును, కానీ ఈ రాత్రికి అలా కాదు.","Well, not tonight."
"31","ఓహ్, సరే!",", yeah!"
"32","నిజమే.","Preach."
"32","నిజమే, సోదరా.","Preach, brother."
"33","అర్ధరాత్రి చార్లీ.","[laughs] Late-night Charlie."
"33","ఇది నాకు నచ్చింది.","I love it."
"34","నీకు ఒక మాట చెప్పనా?","You know what?"
"34","తనకి ఉద్యోగం పోయిందన్నా నేను పెద్దగా పట్టించుకోలేదు.","I don't even care that she lost her job."
"34","పొరపాట్లు జరుగుతుంటాయి.","Shit happens."
"35","సమస్య ఏమిటంటే తను ఆ విషయం నీకు మొదట చెప్పలేదు.","The problem is that she didn't tell you first."
"36","అటువంటి విషయాల్ని ఫోటో లైబ్రరీ ద్వారా తెలుసుకోకూడదు.","A guy shouldn't learn something like that from his photo library."
"36","చాలా మామూలు పొరపాటు అది.","Rookie mistake."
"37","డోగ్ ఎప్పుడు ప్రయాణం చేసినా, నా ఫోటోల్ని ప్రతి 15 నిమిషాలకు ఒకసారి చెక్ చేసుకుంటాను.","Whenever Doug travels for work, I check my photos every 15 minutes."
"38","నిజంగానా?","Really?"
"38","మరీ అంత జాగ్రత్తగా ఉండలేము.","Can't be too careful."
"39","ఒక విషయం చెప్పనా?","You know what?"
"39","వదిలేయ్.","Screw it."
"39","అర్ధరాత్రి చార్లీ.","Late-night Charlie."
"39","సరే, మిత్రులారా.","All right, guys."
"39","నేను వెళ్లి కలుసుకోవాలి","I gotta go meet a"
"39","""ఫ్రెండ్"" అందాము.","Let's say ""friend."""
"40","ఎక్స్ క్యూజ్ మీ.","Excuse me. Ooh."
"41","నిన్ను చూడు.","[Vanessa] Look at you."
"41","నువ్వు ఒక జంతువువి, హా?","You are an animal, huh?"
"42","సరే.","Okay."
"42","ఇది నా హాలిడే గిఫ్ట్ గా వచ్చిన వైన్.","That's it for my holiday gift wine."
"43","నీ దగ్గర ఏదైనా ఉందా?","You got anything around here?"
"43","నీకు ఒక విషయం చెప్పనా?","You know what?"
"44","నా దగ్గర ప్రత్యేక సందర్భాల కోసం తాగే స్కాచ్ బాటిల్ ఉంది.","I have a bottle of display Scotch."
"45","సరే.","Okay."
"45","ఇప్పుడు మనం మాట్లాడుకోవచ్చు.","Now we're talking."
"45","సరే.","Okay."
"45","అవును.","Yes."
"45","చాలా బాగుంది.","Ooh. Very nice."
"46","నేను తాగచ్చా?","May I?"
"47","ఫ్రాంక్ ని అనుకరించు.","Do Frank."
"47","ఫ్రాంక్ లా మాట్లాడు.","Do Frank."
"48","నీ పేరు ఏంటి?","What's your name?"
"49","అతనికి ఎవ్వరి పేర్లు గుర్తుండవు.","He doesn't know anyone's name."
"49","లేదు.","No."
"52","ఆల్బర్ట్ ఆఫీసులో స్కాచ్ ఉంటుంది.","Albert has Scotch in his office."
"52","దాన్ని అతను ఎప్పుడూ ముట్టుకోడు.","He never touches it."
"53","ఆల్బర్ట్ అలాగే ఉంటాడు.","That is so Albert."
"53","మనం దాన్ని దొంగిలిద్దామా?","[chuckles] Should we steal it?"
"54","నువ్వు చాలా చెడ్డవాడివి.","[gasps] You're so bad."
"54","అవునా?","Yeah?"
"55","నువ్వు చాలా చెడ్డవాడివి.","You're so bad."
"55","వెళదాం పద.","Let's go."
"55","పద కొట్టేద్దాం.","Let's do it."
"55","అర్ధరాత్రి చార్లీ.","Late-night Charlie."
"59","ఇది చాలా తప్పు.","So bad."
"59","ఆల్బర్ట్ భలే మనిషి.","[breathing heavily] Albert's cool."
"60","పద.","Go, go, go, go, go."
"62","ఇది నిజంగా చాలా బాగుంది.","! That's really good."
"62","ఇది ఇక్కడ బాగుంటుంది.","This is where it gets."
"63","లేదు.","No, no, no."
"63","ఆగు.","Wait, wait, wait, wait."
"63","ఇప్పుడు నేనే డిజెని.","I'm the deejay now."
"64","సరే.","Okay."
"64","అలాగే.","All right."
"64","నేను ఇప్పుడు డిజెని.","I'm the deejay now."
"64","సరేనా?","Okay?"
"67","అదీ!","[Charlie] Yeah!"
"68","అదీ.","[Vanessa laughing] [chuckling] Yeah."
"70","ఓహ్, దేవుడా.","my God."
"70","నేను బహుశా వెళ్లాలి.","I should prob I should go."
"70","అవును.","Yeah."
"70","నేను కూడా వెళ్లాలి.","me too."
"71","నేను ఇంక వెళ్లాలి.","I should go."
"71","అవును.","I should go. Yes."
"74","మీరు సరసాలు ఆడుతూ డాన్స్ చేశారా?","You were dirty dancing?"
"74","అది ఏంటి?","What-What is that?"
"75","అంటే, అదీ, మూవీలో మాదిరి డాన్స్ చేశాం.","Sort of, like, dancing from the movie."
"76","ఏంటి నీ ఉద్దేశం డర్టీ డాన్సింగ్ మూవీలోదా?","[stutters] Wha You mean the movie Dirty Dancing?"
"77","నేను చేసిన పని సరైనది కాదు, అందుకు పశ్చాత్తాపపడుతున్నాను అని చెబుతున్నాను.","I'm just saying it was inappropriate, and I regret it."
"78","సరే, నువ్వు ఏం చేశావో నాకు చూపించు.","Well, show me what you did."
"78","ఫర్వాలేదు.","That's okay."
"79","లేదు.","No, no."
"79","నాకు నిజంగా, ఏం జరిగిందో తెలుసుకోవాలని ఉంది.","[stutters] I actually, I would like to know what happened."
"80","నాకు అది ఎలా చేశావో చూపించు.","Take me there."
"81","నేను కొద్దిగా తాగేసి ఉన్నాను.","I was a little drunk."
"81","నాకు సరిగ్గా గుర్తులేదు.","I don't really remember."
"82","ఏంటి?","What?"
"82","నువ్వు ఆఫీసులో తాగావా?","You were drunk at work?"
"83","అవును ఆఫీసులో కొద్దిగా డ్రింక్ దొరికింది.","Ye We had a little to drink at work."
"83","స్టివర్ట్ కూడా ఉన్నాడు.","Stewart was there."
"84","ఏంటి?","What?"
"84","అతను కూడా డర్టీ డాన్సు చేశాడా?","Was he dirty dancing too?"
"84","నీ ఉద్దేశం ఏంటి?","What do you mean?"
"85","లేదు, ఆ సమయానికి అతను వెళ్లిపోయాడు.","No, he had left by-by that time."
"86","నువ్వు ఖచ్చితంగా ఏం చేశావో నేను చూడాలి అనుకుంటున్నాను.","I would like to see exactly what you did."
"88","""ఐ హావ్ హాడ్ ద టైమ్ ఆఫ్ మై లైఫ్"" పాట పెట్టమంటావా?","Would you like me to put the song, ""I've Had the Time of My Life"" on?"
"89","అది నీకు గుర్తు రావడానికి సాయపడుతుందా?","Would that help you remember?"
"90","అది నిజానికి ఆ పాట కాదు.","It actually wasn't that song."
"91","మరి అది ఏం పాట?","What song was it?"
"92","""రెడ్ రెడ్ వైన్.","""Red Red Wine."
"92","""",""""
"93","యుబి40 పాటా?","UB40?"
"93","అవును.","Yep."
"94","యుబి నిజంగానా?","UB-serious?"
"94","ఓహ్, దేవుడా.",", my God."
"94","నువ్వు సిగ్గుపడే పని చేసినందుకు నాకు ఒళ్లంతా వణుకుపుడుతోంది.","[gags] [sighs deeply] I just got full body chills from embarrassment for you."
"94","వావ్.","Wow."
"95","మేము ఒక ఎనిమిది నుండి పది సెకన్ల వరకు దుస్తుల మీదనే సరసాలు ఆడాము.","We also dry humped for eight to ten seconds."
"96","ఏంటి?","What?"
"96","నేను.","I."
"97","ఓహ్, దేవుడా ఆమెకి ముద్దు పెట్టావా?",", my [gasps] Did you kiss her?"
"97","లేదు.","No."
"98","తనని ప్రేమిస్తున్నావా?","Do you love her?"
"98","లేదు.","No."
"99","మీకు ఒకళ్ల మీద ఒకళ్లకి పరస్పరం రహస్యమైన ప్రేమలు ఏమైనా ఉన్నాయా?","Were you guys harboring secret feelings for one another?"
"100","ఖచ్చితంగా లేవు.","Absolutely not."
"100","నాకు వెనెసా మీద ఎలాంటి ఫీలింగ్స్ లేవు.","I-I have no feelings for Vanessa."
"100","తను చాలా బోరింగ్ మనిషి.","She's so boring."
"101","అది నాకు ఏమీ మంచిగా అనిపించదు.","That doesn't make me feel any better."
"101","తనకి నలుగురు పిల్లలు ఉన్నారు.","She's got four kids."
"102","తను పిల్లలు పుట్టించే ఫ్యాక్టరీలా ఉంటుంది.","She's like a fertility factory."
"102","తను బహుశా నీకు పుట్టే కవలలతో గర్భవతి కూడా అయి ఉండచ్చు.","She's probably pregnant with your twins already."
"103","ఖచ్చితంగా కాదు.","Absolutely not."
"103","నేను స్కలనానికి కనీసం దగ్గరగా కూడా లేను.","I was nowhere even near ejaculation."
"104","ఆ మాట మాట్లాడకు.","Ew! Don't say that word."
"104","అది వినడానికి అసహ్యంగా ఉంది ఆ మాటలు ఆపు.","That's disgus Stop talking."
"105","అయితే, నువ్వు, అంటే, త్వరగా పైపైన శృంగారం చేసుకున్నారా?","So, you just had, like, a quick dry hump?"
"105","ఏంటి?","What?"
"105","అది వినడానికి చాలా చెత్తగా ఉంది.","That's so tacky."
"106","నేను బహుశా చెడ్డగా ప్రవర్తించానేమో ఎందుకంటే నువ్వు అస్తమాను విల్ తోనే గడుపుతున్నావన్న కోపంతో చేశానేమో.","I-I think maybe I was acting out because of all the time you've been spending with Will."
"106","అది నా పొరపాటు అంటావా?",", it's my fault?"
"106","ఇది పెద్ద కుట్రలాగా ఉంది.","That's so manipulative."
"107","నా ప్రవర్తనకి నేను సాకు చెప్పడం లేదు.","I'm-I'm not trying to excuse my behavior."
"108","నేను ఎలా ఫీల్ అవుతున్నానో నీకు తెలియాలని చెబుతున్నాను.","I just want you to know how I've been feeling."
"108","నేను చాలా సారీ.","I am so sor."
"109","ఖచ్చితంగా అవసరం లేదు! అక్కడే ఉండు.","Absolutely not! Stay back there."
"110","సారీ.","Sorry."
"110","అవును, నిజం.","Yes, of course."
"110","సారీ.","Sorry."
"110","నేను కేవలం.","I'll just."
"111","వెనెసా.","Vanessa."
"111","తను నీరసంగా నవ్వడం కూడా రానట్లు ఉంటుంది.","She's so dull and humorless."
"111","తనకంటూ ఒక వ్యక్తిత్వం లేనిది.","She's like wallpaper."
"112","నేను వచ్చి అక్కడ పడుకుంటే ఫర్వాలేదా?","Is it okay if I come and sleep here?"
"115","హాయ్.","Hi."
"115","గుడ్ మార్నింగ్.","Morning."
"116","మార్నింగ్, అమ్మా.","[Maeve] Morning, Mommy."
"116","హాయ్.","[Simon] Hi."
"117","మార్నింగ్.","Morning. Morning."
"117","పిల్లలు తిని, ముస్తాబయ్యారు, వాళ్ల తలలు దువ్వాను.","Kids are fed and dressed, and their hair is brushed."
"117","వాళ్లని స్కూలులో దిగబెడతాను.","I'm gonna drop them off."
"118","నేను వాళ్లని తీసుకువస్తాను కూడా.","I'm also gonna pick them up."
"118","నీ కోసం కోడి గుడ్లు ఒలిచి పెట్టాను.",", I made you poached eggs."
"118","అవి వంట గదిలో ఉన్నాయి.","They're in the kitchen."
"119","అవి చల్లగా అయిపోతే, నీ కోసం కొత్తగా, ఇంకొన్ని ఉడకబెడతాను.","If they're cold, I'm happy to make you, , new ones."
"121","అవును.","[door knocks] [Charlie]"
"122","థాంక్యూ, సర్.","Thank you, sir."
"123","ఇది ఓట్ మిల్క్ లాటే.","This is, , oat milk latte."
"124","ఇది గనుక చల్లబడిపోతే, నేను నీకు ఇంకొకటి ఆర్డర్ ఇస్తాను.","If it's cold, I can I can order you another one."
"125","నాకు బాగానే ఉంది.","I'm good."
"125","మంచిది.","Good."
"125","ఈ రోజు ఏం చేయబోతున్నావు?","What are you gonna do today?"
"125","నాకు ఏది నచ్చితే అది చేస్తాను అనుకుంటా.","[inhales sharply] , I think whatever I want."
"126","మంచిది.","Good."
"126","సరే, కానివ్వు.","Yeah, great."
"127","బై, పిల్లలూ.","[Sylvia] Bye, guys."
"127","బై.","Bye."
"128","అమ్మ నీ వైపు అలా ఎందుకు చూస్తోంది?","Why is Mommy looking at you like that?"
"128","నువ్వు ఏమైనా తప్పు పని చేశావా?","Did you do something bad?"
"129","లేదు.","[chuckles] No."
"129","సరే.","Okay."
"129","సరే.","Okay."
"129","పరుగు పరుగు.","Chop-chop."
"129","పదండి వెళదాం.","Let's go."
"130","వెళదాం పద.","Let's go."
"130","అలాగే.","All right."
"130","మంచిది.","Good, good."
"130","తను ఇంకా అలాగే చూస్తోంది.","[Simon] She's still doing it."
"131","లక్కీ పెన్నీ బ్రూయింగ్ కంపెనీ నీకు ఏమైనా పిచ్చి పట్టిందా?","[Reggie] Dude, are you fucking crazy?"
"132","నాకు ఏ మాత్రం పిచ్చిపట్టలేదు.","I'm not crazy at all."
"133","నేను లేకుండా ఆ కాంబూచా వ్యాపారం నడవనే నడవదు.","That kombucha business would not exist without me."
"134","నేను ఈ బార్ ని ఈ స్థాయికి తెచ్చాను కనుకనే మీకు పెట్టుబడిదారులు దొరుకుతున్నారు.","You are only able to get investors because of what I built in this bar."
"135","ఆ వ్యాపారంలో వాటా తీసుకునే అర్హత నాకు ఉంది.","I'm entitled to a piece of that business."
"135","నువ్వు ఇప్పుడు చాలా దుర్మార్గంగా మాట్లాడుతున్నావు.","You sound fucking insane right now."
"136","ఇందులో దుర్మార్గం ఏం ఉంది?","Why is this insane?"
"136","మనం దాని గురించి శాన్ డియాగోలో మాట్లాడుకున్నాం.","We talked about it in San Diego."
"136","నువ్వు దానికి సిద్ధం అన్నావు.","You were open to it."
"137","అవును.","Yeah."
"137","అది నువ్వు జానీ 66 ఒప్పందాన్ని నాశనం చేయడానికి ముందు చెప్పిన మాట, బాబు.","That was before you blew the Johnny 66 deal, ass."
"138","నైతికమైన కారణాల వల్ల ఆ ఒప్పందాన్ని పాడు చేశాను.","I fucked up that deal for moral reasons."
"139","దానికీ, నా వ్యాపార తెలివికీ ఎలాంటి సంబంధం లేదు, అది చాలా విస్తారమైనది.","That had nothing to do with my business acumen, which is vast."
"140","నన్ను వారెన్ బఫే అంత మేధావిగా పరిగణిస్తారు!","I have been described as a regular Warren Buffett!"
"141","అది ""బఫెట్"".",", it's ""Buffett""."
"141","కానీ కొనసాగించు నువ్వు ముందు నోరు మూయి.","But go off You shut the fuck up."
"142","సరేనా?","Okay?"
"142","నాకు సరిగ్గా గుర్తుంది, నేను జోక్యం చేసుకోకపోతే ఆ ఒప్పందం అప్పుడే రద్దయ్యేది కానీ నేను కాపాడాను.","And if I remember correctly, that deal was tanking until I stepped in and saved it."
"143","సరే, నిన్ను ఒక విషయం అడుగుతాను, ఈ పరిస్థితిలో నీకు ఎంత వాటాకి అర్హత ఉందని అనుకుంటున్నావు?","Well, let me ask you this, how much do you think you deserve in this situation?"
"144","మంచి ప్రశ్న.","Good question."
"145","ఎందుకంటే, మీ ఇద్దరు మర్యాదస్తులు నన్ను దారుణంగా మోసం చేయడం నాకు ఇష్టం లేదు, 51 శాతం కావాలి.","Because I do not wanna get so brutally fucked over by you two gentlemen, 51%."
"146","ఓహ్, దేవుడా.",", my God."
"146","నీకు బుర్ర పని చేయడం లేదు.","You're fucking out of your mind."
"147","యాభై రెండు శాతం.","Fifty-two percent."
"148","ఓహ్, దేవుడా.",", my God."
"148","ఏంటి.","What Y."
"149","నీకు ఎలాంటి అవకాశం లేదు, మనం ఏమీ చర్చలు జరపడం లేదు.","You have no leverage, and this is not a negotiation."
"150","నువ్వు కేవలం డబ్బు కోసం అడుగుతున్నావు.","You're just asking for money."
"150","యాభై మూడు శాతం వాటా.","Fifty-three percent."
"151","లేదు, మిత్రమా.","No, dude."
"151","నేను తీవ్రవాదులతో చర్చలు జరపను.","I don't negotiate with terrorists."
"152","యాభై నాలుగు శాతం.","Fifty-four percent."
"153","ఒమర్ కి అర్థమైంది.","Omar gets it."
"153","విల్, ఇదంతా జరిగే పని కాదు.","Will, this is not happening."
"154","నువ్వు లేకుండానే మేము డా బూచ్ కోసం మొత్తం పని అంతా చేశాము.","We built the entire groundwork of Daa Booch without you."
"155","మీరు గొప్ప వాళ్ల భుజాల మీదకెక్కి కూర్చున్నారు.","You stood on the shoulders of giants."
"156","సారీ.","I'm sorry."
"156","ప్రస్తుత పరిస్థితిలో ఆ ""గొప్పవాడివి"" నువ్వేనా?","Are you ""giants"" in this situation?"
"157","నేను ఖచ్చితంగా గొప్పవాడినే.","I sure am giants."
"158","నేను చాలాకాలంగా నీ చెత్తనంతా భరిస్తున్నాను.","I put up with your shit for so fucking long."
"159","నువ్వు నా కళ్లలోకి చూడాలి ఎందుకంటే ఇదంతా జరగదని నీకు అర్థం అవుతుంది!","I want you to look me in the eye so you can hear that this is not fucking happening!"
"160","నీకు ఒక అవకాశం కావాలా?","You want some leverage?"
"160","నాకు ఉన్న అవకాశాన్ని నీకు చూపిస్తాను.","I'll show you my fucking leverage."
"161","నేను నా అవకాశాన్ని నీ ముఖాన కొడతాను.","I'm gonna squirt leverage in your fucking face."
"161","నేను సమ్మెకి దిగుతున్నాను!","I'm going on strike!"
"162","ఏదైనా చేసుకో, బ్రదర్.","[Reggie] Fuck you, bro."
"162","నువ్వు సమ్మె చేస్తావా?",", you're going on strike?"
"163","నీ వ్యాపారం మీదనే నువ్వు సమ్మె చేస్తావా?","You're going on strike on your business?"
"164","నేను ఖచ్చితంగా సమ్మె చేస్తున్నాను.",", I sure as fuck am."
"164","నేను లేకుండా ఈ దుకాణం ఎలా నడుస్తుందో చూద్దాం, హా?","Let's see how well this place runs without me around, huh?"
"165","డా బూచ్ వ్యాపారంలో నాకు వాటా ఇచ్చాకే నేను తిరిగొస్తాను.","I will return when I am cut into Daa Booch."
"166","అన్నట్లు, మెజారిటీ షేర్లు ఉన్న యజమానిగా నేను ఇచ్చే మొదటి ఆదేశం, ఆ చెత్త పేరుని నేను మార్చేయబోతున్నాను.","And by the way, my first order of business as majority shareholder, I'm changing that fucking name."
"167","వెళ్లు.","[Reggie] Dick."
"168","అతను తిరిగి వచ్చేస్తాడు.",", he'll be back."
