"Index","Telugu Text","Mapped English Text"
"14","మా కస్టమర్లకు గమనిక: మేనేజ్మెంట్ మీ యూనిట్లను తెరవాల్సి వచ్చింది.","To all of our customers: Management was obligated to open your units."
"15","నష్టపరిహారం ఇవ్వబడుతుంది.","Restitution will be made."
"15","క్షమించండి.","Apologies."
"23","హలో, సర్.","Hola, señor."
"24","మే యామో.","Me llamo"
"26","ఓలా, యో సోయ్ కారోల్ స్టుర్క.","Hola, yo soy Carol Sturka."
"27","ఎస్టోయ్ దే లోస్ యునైటెడ్ స్టేట్స్ నన్ను వదిలేయండి, వెధవల్లారా!",", estoy de los United States Leave me alone, you sons of bitches!"
"29","పోయి చావరా, పోరంబోకు!","Fuck your mother, asshole!"
"38","హాయ్, కారోల్.","Hi, Carol."
"39","మా మాట వినిపిస్తుందా?","Can you hear us?"
"40","నీకు స్పందించాలి అనిపిస్తే, నువ్వు నీ హ్యాండ్ సెట్ తీసి మాట్లాడితే సరిపోతుంది.","If you feel like responding, all you have to do is pick up the handset and speak into it."
"41","దానికి పక్కన మాట్లాడటానికి నొక్కే బటన్ ఒకటి ఉంటుంది.","It's got a push-to-talk button on the side."
"42","హేయ్, కారోల్!","Hey, Carol!"
"43","అచ్చం ఆడమ్-12 లో చూసినట్టే పని చేస్తుంది.","Works just like on Adam-12."
"43","నీకు ఆ షో చాలా ఇష్టం ఉండేది గుర్తుందా?","Remember how you used to love that show?"
"44","ఏంటి?","What?"
"45","ఓహ్, హాయ్, కారోల్.",", hi, Carol."
"46","నువ్వు హాస్పిటల్ నుండి కొంచెం ముందే వెళ్ళిపోయావు.","You left the hospital kind of quickly."
"46","అంతా బానే ఉందా?","Is, , everything okay?"
"47","అవును.","Yep."
"47","ఉంది.","Yes."
"47","హేయ్, కారోల్!","Hey, Carol!"
"48","నేను నేను ఇంటికి వెళ్తున్నాను.","Just Just headed home."
"49","నువ్వు రేంజ్ రోవర్ లో ప్రయాణిస్తే ఇంకొంచెం సౌకర్యంగా ఉంటుందేమో?","Would you be more comfortable in your Range Rover?"
"50","దాన్ని మేము నీకు డెలివర్ చేయగలం.","We can deliver it to you."
"51","అంతేకాక, నీ వాహనంలో మద్యం ఇంటర్లాక్ పరికరాన్ని సంతోషంగా తీసేయగలం.","Also, we're happy to remove the alcohol interlock device."
"52","వద్దు.","No."
"53","హేయ్, కారోల్.","Hey, Carol."
"54","మీరు ఇక్కడేం చేస్తున్నారు?","What are you doing here?"
"55","మీరు నా ఇంట్లో ఉన్నారే?","You're in my house?"
"55","నా ఇంట్లో మీ అందరికీ ఏం పని?","What the hell are you doing inside my house?"
"56","బాంబు ధాటికి పడిన రంధ్రాల్ని పూడుస్తున్నాం.","Patching shrapnel holes."
"57","అంతేకాక ఇక్కడ శుభ్రం చేయాల్సిన గాజు ముక్కలు చాలా ఉన్నాయి.","Plus, there was a lot of broken glass to clean up."
"58","సరే, కానీ నా ఇంట్లోకి రావడానికి మీకు అనుమతి ఎవరు ఇచ్చారు?","Well, who gave you permission to be in my house?"
"59","నువ్వే.","You did."
"60","గుర్తుందా?","Remember?"
"60","నువ్వు మాతో కలిసి అంబులెన్స్ లో వెళ్తున్నప్పుడు మేము జోసియ వీపు మీద బ్యాండేజ్ తో ఒత్తిడి పెట్టాం కదా.","When you were riding with us in the ambulance and we were applying a pressure bandage to Zosia's back."
"61","అప్పుడు నీ ఇంటిని కొంచెం శుభ్రం చేయొచ్చా అని అడిగితే నువ్వు మెల్లిగా తల ఊపావు.","And we asked you if you'd like us to tidy up your house a little bit and you sort of nodded absently."
"62","సరే.","Okay."
"62","దేవుడా, పోనిలే.","Jesus, fine."
"62","ఏదోకటి.","Whatever."
"62","అందరూ బయటకు వచ్చారా?","Is everyone out now?"
"63","అవును.","Yes."
"63","మా పని దాదాపుగా అయిపోయింది, కారోల్.","And we're almost done here, Carol."
"64","కానీ మేము నీకు కావాలంటే శుభ్రం చేసే పని తర్వాత పెట్టుకుంటాం.","But we could leave the finishing touches for later and clear out now if you'd like."
"65","నువ్వు కాసేపు ఒంటరిగా ఉండొచ్చు.","Give you some space."
"66","నువ్వు నాకు తెలుసా?","Do I know you?"
"67","హాయ్.","Hi."
"68","నువ్వు మేయర్ వి.","You're the fucking mayor."
"69","నీ ఓటుకు థాంక్స్.","Thank you for your vote."
"76","నాకు ఒక వాలంటీర్ కావాలి.","I need a volunteer."
"77","రాజకీయ నాయకుడు కాదు.","Not a politician."
"78","నువ్వు.","You."
"78","పొట్టోడా.","Shorty."
"79","మిగిలిన వాళ్ళు కావాలంటే కాఫీ బ్రేక్ తీసుకోండి, లేదా ఏది చేయాలనుకుంటే అది చేయండి.","Rest of you just take a coffee break, or whatever floats your boat."
"80","నాతో రా.","Come with me."
"81","సంతోషంగా.","Happy to."
"82","కూర్చో నీ పేరు ఏంటి?","Have a seat, What's your name?"
"83","నీ పేరు?","Your name?"
"84","అంటే ఈ వ్యక్తి ఒకప్పుడు లారెన్స్ జే.",", well This individual went by Lawrence J."
"84","క్లెస్ అని పిలవబడేవాడు.","Kless."
