"Index","Telugu Text","Mapped English Text"
"1","సరే.","Okay."
"2","మనం బయటికి చెప్పాలేమో.","We should say it out loud."
"3","సరే.","Okay."
"4","నేను క్షేమంగా ఇంకా సంతోషంగా ఉన్నా అనిపిస్తోంది.","I'm feeling safe and happy."
"6","అలాగే ఆత్మీయంగా ఉన్నాను.","And warm."
"7","ఇంక నాకు ఇంటికి వెళ్లాలని ఉంది.","And I just wanna go home."
"12","ఆ తలుపు తెరిచినప్పుడు నిజంగా ఏం ఆలోచిస్తున్నావు?","How were you actually feeling when you opened that door?"
"13","నేను చాలా ఉద్వేగానికి లోనయ్యాను.","I was feeling overwhelmed."
"14","ఆ ఒత్తిడి చెత్త.","The pressure Fuck."
"14","నాకు అర్థమైంది.","I get it."
"15","నాకు అర్థమైంది.","I get it."
"15","సరే, మనం ఇక్కడి నుండి వెళదాం.","All right, let's let's move on."
"15","నువ్వు తరువాత తలుపు ఎంచుకో.","You pick the next door."
"16","లేదు.","No."
"16","నేను ఇప్పుడు ఏ తలుపునీ ఎంచుకోవడం లేదు, అలాగే నువ్వు కూడా ఎంచుకోవద్దు.","I'm not picking anything right now, and neither are you."
"16","నా వైపు చూడు.","Look at me."
"17","మనం ఇదంతా సమసిపోయే వరకూ వేచి ఉందాం.","We need to wait this out."
"17","అలాగయితే రెండు ఆంప్యూల్స్ మందులు వృథా అవుతాయి.","That's a waste of two ampoules."
"17","లేదు.","No."
"17","లేదు.","No."
"17","మన భావోద్వేగాలను నియంత్రించుకోవడానికి మనం సమయం తీసుకోవడం అనేది మన ఇద్దరం జీవించి ఉండటం కోసం మనం ఆచితూచి చేసే పెట్టుబడి.","Taking time to emotionally regulate ourselves is a calculated investment in both of us continuing to live."
"17","నువ్వు ఈ పెట్టెకి అబద్ధం చెప్పలేవు.","You can't lie to this thing."
"17","దానికి తెలిసిపోతోంది.","It knows."
"19","ఎల్.","L."
"20","ఓ.","O."
"20","ఎస్.","S."
"21","ఇ.","E."
"22","దేవుడా.","Jesus Christ."
"23","నేను నువ్వు ""దారి తప్పాం"" అంటున్నావేమో అనుకున్నాను.","I was I thought you were going for ""lost."""
"24","ఈ ఆటని ఇంత బాగా ఎలా ఆడగలుగుతున్నావు?","How are you so good at this game?"
"25","నన్ను ఇంకా మా అన్నయ్యని మా ఆంటీ చూసుకోలేని ప్రతిసారీ, మా అమ్మ మమ్మల్ని తనతో పాటు పనికి తీసుకువెళ్లేది.","Um every time my auntie couldn't watch my brother and I, my mom would take us to work with her."
"26","అక్కడ చేయడానికి ఏమీ ఉండేది కాదు, దానితో మేము దాగుడుమూతలు ఆట ఆడుకునే వాళ్లం.","There wasn't much to do, so we played ghost."
"27","మీ అమ్మతో నువ్వు సన్నిహితంగా ఉండేదానివా?","Were you close with your mom?"
"28","కొద్దిగా ఉండేదాన్ని.","Sort of."
"29","ఆమె కూతురిగా ఉండటం అంత తేలిక కాదు.","Wasn't easy being her daughter."
"30","ఆమెకి బైపోలార్ వ్యాధి ఉందనే విషయాన్ని ఎవరూ గుర్తించలేదు.","She had undiagnosed bipolar disorder."
"31","ఆమెని తరచు కలుస్తుండేదానివా?","Do you see her much?"
"32","అవును, ఆమె ఇప్పటికీ సిటీలోనే నివసిస్తోంది.","Yeah, she still lives in the city."
"32","మా అమ్మ కోసం నేను ఎదురుచూసే సమయంలో, పరిచయం లేని కొత్త వ్యక్తుల్ని బోల్తా కొట్టించి చిల్లర కొట్టేసే వాడిని.","When I used to wait for my mom, I used to hustle for change from strangers."
"33","ఆమె కీమో చికిత్స చేయించుకునే రోజుల్లోనా?","When she was doing chemo?"
"35","నా గురించి నీకు ఇన్ని విషయాలు తెలియడం నాకు నచ్చదు.","I don't like that you know so much about me."
"36","నా గురించి నీకు ఏమీ తెలియకపోవడం నాకు నచ్చదు.","I don't like that you know nothing about me."
"37","నువ్వు చిల్లర కోసం ఎందుకు ఆశపడేవాడివి?","Why did you ask for change?"
"38","హాస్పిటల్ లో ఒక వెండింగ్ మెషీన్ ఉండేది, అందులో ఒక చాక్లెట్ ఉండేది, అది ఇంకెక్కడా దొరికేది కాదు.","There was a vending machine at the hospital, and it had a candy in it that I didn't know where to get anywhere else."
"38","అది చాలా రుచిగా ఉండేది.","And it was just so good."
"39","మీ అమ్మ దానిని తిననిచ్చేది కాదా?","Your mom wouldn't let you have it?"
"39","అవును.","Yeah."
"39","లేదు, ఆమె నన్ను తిననిచ్చేది, కానీ ఒక్కటి మాత్రమే.","No, she'd let me, but just one."
"40","నేను పరిచయం లేని వ్యక్తుల దగ్గర చిల్లర సంపాదించగలిగితే, నాకు కావాల్సినన్ని చాక్లెట్లు నేను తినచ్చు, ఇంకా ఆ విషయం ఆమెకి తెలియదు.","If I got change from strangers, I could have as many as I wanted, and she didn't know."
"41","అది తెలివైన పని.","That's smart."
"42","అది ఏ చాక్లెట్?","What was the candy?"
"42","దానికి పసుపుపచ్చ చెమ్కీల కాగితం చుట్టి ఉండేది ఇంకా దాని మీద, అంటే, చాలా రంగులు ఉండేవి.","It had a yellow wrapper with lots of colors on it, like, , confetti."
"43","బటర్ఫింగర్.","Butterfinger."
"43","కాదు.","No."
"43","డాట్స్?","Dots?"
"43","కాదు, ఖచ్చితంగా కాదు.","No, definitely not."
"43","పీనట్ ఎమ్ అండ్ ఎమ్ చాక్లెట్లా?","Peanut M&M's?"
"44","కాదు.","No."
"44","అవంటే నాకు ఇష్టం, కానీ నేను వాటిని తినలేను ఎందుకంటే చార్లీకి అవి అంటే ఎలర్జీ.","I love that, but I can't have them around 'cause Charlie has an allergy."
"45","డేర్స్?","Dares?"
"45","డేర్సా?","Dares?"
"46","లేదు, మా ప్రపంచంలో అలాంటి చాక్లెట్లు లేవు.","No, we don't have that in my world."
"47","హేయ్, నీ జేసన్ కంటే ముందు ఎవరు దీని గుండా వెళ్లారు?","Hey, who went through before your Jason did?"
"48","ఆమె పేరు బ్లెయర్.","Um, her name was Blair."
"49","బాక్స్ ప్రయోగానికి ఆమె లీడ్ ఇంజినీర్ గా ఉండేది.","She was our lead engineer for the box."
"50","అవును.","Yeah."
"50","అది ఆన్ లైన్ అయిన రోజే ఆమె స్వచ్ఛందంగా అందులోకి వెళ్లింది, ఆ తరువాత జేసన్ వెళ్లాడు, ఆ తరువాత మేము ఇచ్చిన పిలుపు మేరకు ఇద్దరు అనామకులైన అభ్యర్థులు ఈ ప్రయోగంలో పాల్గొన్నారు, సెలామ్ ఇంకా అలెక్స్.","She volunteered the day it went online, then Jason, then two people we found through our anonymous call for participants, Selam and Alex."
"50","మీరు అంతా దగ్గరగా ఉండేవాళ్లా?","Were you all close?"
"51","అవును.","Yeah."
"52","కానీ, బహుశా వాళ్లు తమ కలల ప్రపంచాల్ని కనుగొని ఉంటారు.","Well, maybe they found their dream worlds."
"54","ఎస్.","S."
"55","టి.","T."
