Index,Details,Telugu,English,Status
41,t(5)-e(4) | ..... vs ....,"జాన్ ఆఫ్ గాడ్ హాస్పిటల్ లో ఉన్నాను. చాలా మంచిది. మీ సి.టి. స్కాన్ రిపోర్టులు వచ్చాయి, మీ మెదడుకి ఎలాంటి ప్రమాదం జరగలేదు. ట్యూమర్లు లేవు.","at the John of God Hospital. [doctor] Very good. I have the results from your CT scan, and there's no brain damage. No tumors.",MISMATCH
45,t(3)-e(4) | ... vs ....,"మీ కుటుంబం గురించి ఆరా తీయమని మీరు చెప్పారు. అవును. షికాగో మొత్తంలో డానియేలా డెస్సన్ పేరుగల వాళ్లు ఒక్కరు కూడా లేరు, అలాగే సెయింట్ పీటర్ హై స్కూల్లో చార్లీ డెస్సన్ పేరుతో కూడా ఎవరూ లేరు.","You asked us to find your family. [inhales deeply] Yeah. There isn't anyone named Daniela Dessen in all of Chicago, and no Charlie Dessen enrolled at St. Peter High School.",MISMATCH
127,t(10)-e(11) | .....?.?.. vs .....?..?..,"రేయన్? అవును. సరే. వెళ్తున్నాము. సారీ, ఫ్రెండ్స్. నేను మంచిగా ఆతిథ్యం ఇవ్వాలి, కానీ ఈ ప్రదర్శన అయ్యాక మా ఇంట్లో చిన్న పార్టీ ఉంది. వస్తావా? అలాగే. నువ్వు జేసన్? అలాగే. నేను మిస్ కాను.","Ryan? Yes. Okay. Going. Um, sorry, guys. I have to go be a good host, but, um, I'm having a much smaller thing at my place after. Will you come? Yeah. Yeah. Jason? Yeah. I wouldn't miss it.",MISMATCH
140,t(3)-e(4) | ... vs ....,"హాయ్. సారీ. హాయ్, అందరూ వినండి, ఒక్క నిమిషం మీతో మాట్లాడాలి.","[Daniela] Hi. [chuckles] Sorry. Hi, everyone. If I could just, um, have a moment.",MISMATCH
179,t(3)-e(2) | ... vs ..,అలాగే. థాంక్స్. సరే.,"Yeah, thanks. Yeah.",MISMATCH
181,t(2)-e(3) | ?? vs ???,అది ఏంటి? ఏంటి?,[chuckling] What was that? [chuckles] What? What?,MISMATCH
202,t(4)-e(3) | .... vs ...,"బ్రెయిన్ ట్యూమర్, తలకి గాయం లాంటివా? సి.టి. స్కాన్ లో అలాంటివి కనిపించలేదు. బహుశా అది ఒక రకమైన వివిధ దశలతో ఉండే నిజమని భ్రమింపజేసే జోక్ లాంటిది కావచ్చు. ఐదు గంటలలోగా, అతని ఇంట్లో వస్తువులన్నీ పూర్తిగా మారిపోయాయి.",", brain tumor, head trauma? CT scan says no. Maybe it's like some kind of multitiered deepfake punking. Within five hours, the entire inside of his house is renovated.",MISMATCH
222,t(2)-e(3) | ?. vs ??.,ఏంటి? నాకు తెలిసింది ఇదే.,What? What? [Jason] This is what I know.,MISMATCH
226,t(10)-e(11) | ......?... vs .......?...,"నీకు తెలుసా, జే, నాకు ఏం అనిపిస్తోందంటే నీ పిచ్చిని తగ్గించుకోవాలి. ముందుగా నీకు తగిన వైద్యం సిద్ధం చేసి, తరువాత వేడివేడిగా వాటిని నీ నోట్లోకి కూరతాను. చెత్తవెధవవి. నిజంగా అంటున్నా, బాబు. రేయన్, విను, మిత్రమా. రేయన్! నేను నీకు అబద్ధం చెప్పడం లేదు. ఏంటి? నేను మతిలేకుండా మాట్లాడటం లేదు. ఒట్టు. నీ మాట వింటున్నాను.","You know, , Jay, what I think is that, , you should eat a bag of dicks. And please let me microwave them for you first, so they're nice and fucking hot for your mouth. Fuck you. Honestly, man. Ryan. Ryan, l-listen, man. Ryan! I'm not fucking with you. [Ryan] What? I have not lost my mind. I swear. I hear you.",MISMATCH
270,t(6)-e(7) | ...... vs .......,"సరేనా? నువ్వు కాదంటున్నావు సరే. మరి సరే, ఘోరం, బాబు. నేను ఏమైనా హద్దు మీరితే సారీ. అవును, అంటే, నువ్వు కాస్త హద్దు మీరావు. లేదు, బాబు. వదిలేయ్.","Okay? That's a n Okay. Okay. So Um Well, shit, man. , I'm sorry I overstepped. Yeah, well, you kind of fucking did. Shit, man. Okay.",MISMATCH
399,t(7)-e(8) | .....?. vs ......?.,"హేయ్. విను, దయచేసి కాల్చకు. నేను నీతో పాటు వస్తాను. దీనితో ఆమెకు సంబంధం లేదు. ఆ ఫోన్ కింద పడేయ్. నేను ఏం చెప్పాను? డానియేలా,ఆమె చెప్పినట్లే చేయి.","[gunshot] [gasps] [Jason] Hey. Hey. Listen, please don't. I-I-I'll go with you. She has nothing to do with it. Drop the phone. What did I say? Daniela, do do exactly what she says. [stammers] [gunshot] [Daniela gasps]",MISMATCH
