File_Path,Original_Index_1,Original_Index_2,New_Timestamp,Merged_Dialogue_Start
1 tel.srt,35,36,"00:03:15,362 --> 00:03:20,242","పల్స్ లు అన్నిటి వ్యవధి ఒకేలా ఉంది, కానీ నాలుగు వేర్వేరు ఫ్రీక్వెన్సీలలో ఏర్పాటు చేయబడి ఉన్నాయి."
1 tel.srt,51,52,"00:04:07,789 --> 00:04:12,878","ఒక మెసేజ్ పంపడానికి అంత కష్టపడ్డారు అంటే, ఖచ్చితంగా అది కేవలం ""హలో"" అయి ఉండదు."
1 tel.srt,62,63,"00:05:29,955 --> 00:05:36,003","ఆమె రక్తంతో నిండిన మెర్కేటర్ పడవ పై భాగంలో నడుస్తోంది, రబాన్ మీద నుండి తన దృష్టిని మళ్లించగలది ఏదైనా"
1 tel.srt,65,66,"00:05:41,466 --> 00:05:47,723","అతను మోకాళ్ళ మీద ఆని తుడుస్తూ శుభ్రం చేస్తున్నాడు, అతని బలమైన చేతులు చాచి ఆ రోజు జరిగిన పోరాటానికి స"
1 tel.srt,74,75,"00:06:17,085 --> 00:06:21,924","రబాన్ జ్ఞాపకాలు ఆమె మదిలో మెదిలినప్పుడు, ఆమె తన టాప్ కోట్ ని బిగించుకుని, కోటు ఉన్నిని వేళ్ళతో దువ్వ"
1 tel.srt,76,77,"00:06:22,007 --> 00:06:27,137","ఆ కోటును అతనే మొదటిసారి ఆమెకు తొడుగుతూ, ఆమె చెవిలో ఇలా అన్నాడు,"
1 tel.srt,79,80,"00:06:33,185 --> 00:06:40,192","అంతటితో, రబాన్, గర్వంగా, అహంకారంతో ఉండే రబాన్, చెక్క మీద నిలబడి కంటికి కనిపించకుండా దూకేసాడు."
1 tel.srt,83,84,"00:06:58,085 --> 00:07:05,926","ఊహాజనిత చారిత్రాత్మక ప్రేమకథ సాహిత్య ప్రేమికులకు గమనిక, బెస్ట్ సెల్లింగ్ రచయిత, కారోల్ స్టుర్క ఇప్పు"
1 tel.srt,119,120,"00:08:23,086 --> 00:08:27,382","రబాన్ ఇంకా ఎల్డ్ గామెల్ కార్గో కంటైనర్ లో పడినప్పుడు, అందులో ఏముందో మీకు గుర్తుందా?"
1 tel.srt,135,136,"00:08:58,747 --> 00:09:03,544","రెండు: మీరు స్లిప్ సాండ్ ని చేయడానికి ఐఎల్ఎం వాడాలి, లేదంటే అది మెర్డేలా ఉంటుంది, ఫ్రెంచ్ మాట్లాడినం"
1 tel.srt,137,138,"00:09:03,627 --> 00:09:12,052","అలాగే మూడు: చిన్నదే అయినా కీలకమైన పాయింట్, రెండు స్తంభాల షూనర్ పడవ కాబట్టి, మెర్కేటర్ కి వెనుక వైపు "
1 tel.srt,157,158,"00:10:31,507 --> 00:10:36,762","తీసుకోండి. నాకు తెలిసి దాదాపుగా అన్నీ గ్లేజ్ చేసినవే, కానీ ఒక బాక్సులో స్ప్రింకిల్స్ వేసినవి, పౌడర్ "
1 tel.srt,343,344,"00:25:48,590 --> 00:25:54,263","""కారోల్, నా భర్త నేను రబాన్ తో గడపొచ్చు అంటున్నాడు, కానీ రబాన్ నిజమైన వ్యక్తి కాదు కాబట్టి అది నాకు "
1 tel.srt,473,474,"00:49:24,214 --> 00:49:28,802","అలాగే ఇది పూర్తిగా నీ ఇష్టమే అనుకో, కానీ రానున్న కొన్ని రోజులు నువ్వు ఇంటి దగ్గరే ఉండటం మంచిది."
1 tel.srt,490,491,"00:50:17,893 --> 00:50:23,815","అయితే నా మొదటి ప్రశ్న ఏంటంటే, అసలు ఏం జరుగుతోంది?"
1 tel.srt,519,520,"00:51:31,300 --> 00:51:39,349","ఈ సిగ్నల్ లో నాలుగు టోన్స్ ఉన్నాయి, గ్వానైన్, యురేసిల్, అడెనైన్ మరియు సైటోసిన్లను సూచించేవి."
1 tel.srt,534,535,"00:52:20,265 --> 00:52:25,771","కానీ ప్రస్తుతం నువ్వు ప్రపంచంలో ఉన్న ప్రతీ వ్యక్తితో మాట్లాడుతున్నావు, డేవిస్ టాఫ్లర్ తో సహా."
2 tel.srt,5,6,"00:12:23,785 --> 00:12:30,375","మేము ఇలా చెప్పాబెట్టకుండా రావాలనుకోలేదు కానీ, నువ్వు ఏమీ అనుకోనంటే ఒక మాట, నువ్వు కాసేపు ఆగి విశ్రాం"
2 tel.srt,34,35,"00:13:56,378 --> 00:14:02,968","ఏదేమైనా, నీకు ఇప్పుడు వడదెబ్బ తగిలేంతగా అలసిపోయావు, ప్రస్తుతం భూమి మీద ఉన్న ప్రతీ డాక్టర్ అభిప్రాయం "
2 tel.srt,58,59,"00:16:28,405 --> 00:16:36,413","కారోల్, నీకు ఇది నమ్మడానికి కష్టంగా ఉండొచ్చు, కానీ నిన్న మానవ చరిత్రలోనే అత్యంత గొప్ప రోజు."
2 tel.srt,63,64,"00:16:42,878 --> 00:16:46,590","ఆమె పోయింది కానీ ఆమె ఆలోచనలు, ఆమె జ్ఞాపకాలు, అన్నీ ఇక్కడ ఉన్నాయి."
2 tel.srt,230,231,"00:34:34,658 --> 00:34:38,370","ప్రపంచాన్ని పేల్చేయగల వస్తువు ఏదైనా సరే దానికి కొంత బరువు ఉండాలి, ఏమంటారు?"
2 tel.srt,252,253,"00:36:20,389 --> 00:36:24,059","నిజానికి, మీరు ఆలోచిస్తే, హ్యరీసన్ ఫోర్డ్ ఎప్పుడూ ఎస్కెప్ పాడ్ లో ప్రయాణించలేదు"
2 tel.srt,255,256,"00:36:25,936 --> 00:36:29,690","- అతను కార్గో హోల్డ్ లోనే ఉండేవాడు. - సరే, మనం ఈ విషయమై ఏం చేయాలి?"
2 tel.srt,278,279,"00:38:06,161 --> 00:38:14,962","లేక మనల్ని మేపడానికి లేదా సుఖపెట్టడానికి ఎంత మంది సూపర్ మెడల్స్ ని పంపినా, జరుగుతున్నది ఏదీ కరెక్టు "
2 tel.srt,294,295,"00:39:03,343 --> 00:39:08,765","కానీ నీకోసం బయట ఎదురుచూస్తున్న కుటుంబం ఉంది చూడు, నువ్వు వాళ్ళని కూడా కోల్పోయావు."
2 tel.srt,306,307,"00:39:30,913 --> 00:39:37,794","అలాగే వాడు నీ ప్రధానమంత్రి కూడా, అలాగే నువ్వు హై స్కూల్ లో డేట్ చేసిన ఒకడు, నీ గైనకాలజిస్ట్ కూడా. ఒక"
2 tel.srt,329,330,"00:41:07,801 --> 00:41:12,806","అలాగే సింహాలు ఇంకా పులుల విషయానికి వస్తే, చాలా మందిపై దాడులు జరిగాయి అంట."
2 tel.srt,339,340,"00:41:40,584 --> 00:41:44,713","చూడు, నీకు ఇప్పుడు…"
2 tel.srt,344,345,"00:42:01,271 --> 00:42:08,195","కానీ నిన్ను నిన్నుగా చేసే ప్రతీ విషయం, నీకున్న ప్రతీ వ్యక్తిగతమైన, అలాగే ప్రత్యేకమైన ఇంకా వ్యత్యాసమై"
2 tel.srt,461,462,"00:49:35,392 --> 00:49:41,440","గూగెన్హైమ్ కి వెళ్ళండి, డిస్నిల్యాండ్ పారిస్ కి వెళ్ళండి, ఆ తర్వాత ఈ వెర్రెక్కిన పిచ్చి ముఠా మిమ్మల్"
2 tel.srt,535,536,"00:56:06,825 --> 00:56:11,246","వాళ్ళు బుర్ర పాడైన చేతకాని పిచ్చోళ్ళు, కానీ నువ్వు వాళ్లతో సెక్స్ చేయకుండా ఉండలేకపోతున్నావు."
2 tel.srt,547,548,"00:57:02,714 --> 00:57:10,514","ఇక్కడ ఉన్న కాసనోవా మెక్బోనర్ నిన్ను తన ఉంపుడుగత్తెల్లో చేర్చుకోవాలి అనుకుంటున్నాడు, అందుకు నేను అనుమ"
3 tel.srt,1,2,"00:00:47,714 --> 00:00:53,219","ఇది మీకు తెలిసిన విషయమే, మానవజాతి మంచు యుగంలో గ్లేసియర్లతో పాటు అభివృద్ధి చెందింది."
3 tel.srt,5,6,"00:01:00,394 --> 00:01:06,817","మేము ఈ హోటల్ ని నిర్మించడానికి 300 టన్నులకు పైగా ఐసు వాడాం, అలాగే ఎంత మంచో తెలిసి అతిథులు ఆశ్చర్యపోత"
3 tel.srt,11,12,"00:01:18,245 --> 00:01:26,837","మంచు గడ్డకడుతున్నప్పుడు జాగ్రత్తగా సానబట్టి తయారు చేసాం, తర్వాత దగ్గరలోని గుహలో స్టోర్ చేయడానికి సేక"
3 tel.srt,14,15,"00:01:32,134 --> 00:01:39,516","ప్రతీ ఏడాది దీన్ని తిరిగి నిర్మించడానికి వేర్వేరు కళాకారులు, నిపుణులు మాకు సహకరిస్తుంటారు, కాబట్టి ప"
3 tel.srt,35,36,"00:02:37,991 --> 00:02:43,913","- మంచాన్ని ఐస్ తో చేశారు. - దీన్ని స్థానికంగా దొరికే ఐస్ వైన్ నుండి డిస్టిల్ చేస్తాం, రుచి చాలా స్పె"
3 tel.srt,37,38,"00:02:43,914 --> 00:02:48,335","- ఈ జూలు చాలా మందంగా... - ఐస్. హెలెన్, మనం ఒక ఐస్ మంచం మీద పడుకుంటున్నాం."
3 tel.srt,42,43,"00:02:57,511 --> 00:03:02,099","అలాగే మీరు అదే దిశలో వెళితే, నిరంతరం ఓపెన్ లో ఉండే మా హాట్ టబ్ డెక్ ఉంటుంది."
3 tel.srt,70,71,"00:04:25,557 --> 00:04:28,852","ఇలా రా. ఈ దుప్పట్ల క్రిందకి వచ్చెయ్, - ఇవి చాలా మెత్తగా ఉన్నాయి. - నువ్వు వాల్ తో మాట్లాడావా?"
3 tel.srt,90,91,"00:05:17,901 --> 00:05:22,906","ఒకసారి కెనడాలో కొంచెం చూసాను, కానీ ఇది నేను ఊహించినదానికన్నా చాలా బాగుంది."
3 tel.srt,109,110,"00:07:12,599 --> 00:07:17,729","ఇక నుండి ప్రయాణం సాఫీగా సాగుతుంది, కాబట్టి ఇక సీట్ బెల్టు పెట్టుకోండి అనే సంకేతాన్ని ఆఫ్ చేస్తున్నాం"
3 tel.srt,226,227,"00:19:03,477 --> 00:19:09,899","నీ ఇంట్లో సోడా, ఇంకా కొంచెం ఓట్ మిల్క్, ఒక జారు నిండా పచ్చని ఆలివ్స్, ఒక జారుడు నల్లని ఆలివ్స్, ఒక జ"
3 tel.srt,291,292,"00:27:50,170 --> 00:27:56,050","ప్రస్తుతం నిరోధించడానికి నేరాలు ఏం జరగడం లేదు, అలాగే రాత్రుళ్ళు మేము పని చేయడం లేదు కదా. నిత్యావసర స"
3 tel.srt,307,308,"00:29:26,350 --> 00:29:31,979","ఆ సందర్భంలో ఉత్సాహం ఎక్కువై అలా అయ్యుండొచ్చు, కానీ పేలుడు సంభవించకుండా ఆపడానికి ఉన్న ఒకే ఒక్క మార్గం"
3 tel.srt,315,316,"00:30:26,535 --> 00:30:30,497","నువ్వు వెటకారంగా అన్నావేమో అనుకున్నాం, కానీ ఒకవేళ నిజంగా అనుంటే నిరాశపెట్టకూడదు అనుకున్నాం."
3 tel.srt,362,363,"00:33:43,899 --> 00:33:48,904","నువ్వు నది పక్కన నడుస్తున్నప్పుడు, ఎవరైనా మునిగిపోవడం చూసావనుకో, వారి ప్రాణాలు కాపాడగల వస్తువుని వాళ"
3 tel.srt,377,378,"00:34:43,500 --> 00:34:52,466","అంటే మీరు అడవిలో నడుస్తున్నప్పుడు, వెచ్చగా వర్షం పడినట్టు, అలాగే మీరు ఎంత ఎత్తుగా ఉన్నాయో కూడా చూడలే"
3 tel.srt,379,380,"00:34:52,467 --> 00:34:59,223","లేదా ఆమ్స్టర్డామ్ లోని కొలనుల దగ్గర కాఫీ తాగుతున్నట్టు, అలాగే ఒక కాఫీ యాడ్ లో ఉన్నట్టు ఉంటుంది."
3 tel.srt,429,430,"00:40:12,996 --> 00:40:21,754","నీకు నిజంగా ఒక అణుబాంబు కావాలంటే, నీకు దాని వల్ల ఉండే లాభనష్టాలను తెలిసేలా చేస్తాం."
4 tel.srt,13,14,"00:12:09,938 --> 00:12:16,570","నీకు స్పందించాలి అనిపిస్తే, నువ్వు నీ హ్యాండ్ సెట్ తీసి మాట్లాడితే సరిపోతుంది."
4 tel.srt,75,76,"00:16:51,553 --> 00:16:57,601","నీ మొదటి నవలలో, రెండవ పేజీలో లూకేసియా వేసుకున్న గౌన్ ను నువ్వు వివరించిన విధానం మాకు చాలా ఇష్టం."
4 tel.srt,77,78,"00:16:58,852 --> 00:17:07,736","""అత్యుత్తమ శ్రేణి షాంగ్ పట్టుతో నేసిన సన్నని దారాలు కరిగించిన బంగారంలా మెరిసిపోయాయి, సూర్యుడే స్వయంగ"
4 tel.srt,127,128,"00:20:13,505 --> 00:20:18,135","అలాగే మీరిద్దరూ పంచుకున్న అందమైన జీవితానికి ఆమె ఎంతో సంతోషపడింది, వైకారో కారణంగా సాధ్యమైన జీవితానికి"
4 tel.srt,157,158,"00:23:17,648 --> 00:23:21,276","ఒక సరదా విషయం చెప్తా, ఆ వాహనాన్ని నడిపిన పోలీస్ ఆఫీసర్"
4 tel.srt,302,303,"00:39:49,932 --> 00:39:55,896","అంటే, ప్రస్తుతం 27.778 డిగ్రీల సెల్సియస్ ఉంది, లేదా 82 డిగ్రీల ఫారెన్ హీట్."
5 tel.srt,62,63,"00:11:30,774 --> 00:11:36,488","ప్రపంచం ఇలా ఉండటమే బాగుంది అనిపించవచ్చు, ఉన్నట్టుండి మీకు దొరికిన ప్రశాంతత, ప్రేమ అలాగే అర్థం చేసుకు"
5 tel.srt,91,92,"00:13:13,001 --> 00:13:18,006","అలాగే ఇంగ్లీష్ మాట్లాడని వారి విషయానికి వస్తే, ప్రతీ అక్షరాన్ని ఉన్నది ఉన్నట్టు సబ్ టైటిల్ రాసి పంపం"
5 tel.srt,125,126,"00:20:36,987 --> 00:20:42,367","నువ్వు నీ చెత్తని బ్యాగ్ లో వేసి ఉంచితే మేము వచ్చి తీసుకెళతాం, ఒక్కొక్క బ్యాగ్ 7.7 కిలోలకు మించకుండా"
5 tel.srt,147,148,"00:28:07,813 --> 00:28:13,443","ఇవి పాల డబ్బాలు, ఎలిమెంటరీ స్కూల్స్ లో చిన్నపిల్లలకు ఇచ్చే సైజువి."
5 tel.srt,153,154,"00:28:23,370 --> 00:28:27,749","కానీ విషయం ఏంటంటే, వీటిలో ఎందులోనూ పాలు లేవు."
5 tel.srt,158,159,"00:28:45,142 --> 00:28:49,771","ఎందుకంటే మీకు నా గత వీడియోలో చెప్పా కదా, వాళ్ళు ఇక్కడ అన్నీ ఆపేసి నన్ను పూర్తిగా వదిలేసి పోయారు."
5 tel.srt,170,171,"00:29:24,806 --> 00:29:29,520","బహుశా మీరు ఉన్న ప్రదేశంలో ఇది కార్టన్ లో కాకుండా క్యాన్ లో ఉంటుందేమో, కానీ ఎలాగైనా సరే, అది ఇలా ఉంటు"
5 tel.srt,183,184,"00:30:08,559 --> 00:30:13,021","నేను దీని పీహెచ్ టెస్ట్ చేశాను. ఇది 7.1 ఉంది, దానర్థం…"
