"Index","Start Time","End Time","Telugu Text","Mapped English Text"
"1","00:00:02,836","00:00:18,727","రెండు వైపులా చూడండి అబ్బా. సరే, జాగ్రత్తగా కాలు పెడదాం. అబ్బా, ఇది... బన్హిల్ ఫీల్డ్స్ చారిత్రక నేపథ్యాన్ని పరిరక్షించడంలో మాకు సహకరించండి","- [clanking] - [Min grunting] Fuck. Hang on. [Grunting] Oh, fuck it's..."
"2","00:00:19,311","00:00:20,604","ఛ.","Shit. Give me your hand."
"3","00:00:22,648","00:00:29,029","ఇది చాలా ఎత్తుగా ఉంది. జాగ్రత్త. - మరీ అంత ఎత్తేమీ కాదులే. - జాగ్రత్త. సరే, మిన్. పర్వాలేదు. మరీ అంత కష్టమేమీ కాదులే.","- It's higher than it looks. Be careful. - It's not that high. Just be careful. All right, Min. It's fine. It's not that hard."
"4","00:00:29,029","00:00:31,573","ఇది చాలా ఎత్తులో ఉంది. సిద్దమా?","[Min] It's just higher than it looks. Ready?"
"5","00:00:33,408","00:00:35,160","చేతులను తీయ్, మిన్.","Hands off, Min."
"6","00:00:36,703","00:00:37,788","ఛ.","[Min] Shit."
"7","00:00:40,123","00:00:44,002","- అబ్బా. - ఇప్పుడు ఎందుకు గొణుక్కుంటున్నావు?","Ah, for fuck's sake. What are you moaning about now?"
"8","00:00:44,086","00:00:46,129","నా కోటు చినిగిపోయింది.","- Fucking ripped my coat. - Huh?"
"9","00:00:46,213","00:00:48,048","నా కోటు పూర్తిగా చినిగిపోయింది.","I've ripped my coat completely."
"10","00:00:49,341","00:00:51,969","- నువ్వు బాగానే ఉన్నావు కదా? - హా, బాగానే ఉన్నా. ఎందుకలా అడిగావు? ఎవరైనా ఉన్నారా?","- You okay? - Yeah, I'm fine. Why? You see anyone?"
"11","00:00:51,969","00:00:55,931","లేదు, నీకు ఎవరైనా కనిపిస్తున్నారా? కవి, చిత్రకారుడు అయిన విలియమ్ బ్లేక్ సమాధి","- [Min] No, can you? - [Louisa] No."
"12","00:01:02,145","00:01:03,397","**[NO TELUGU MATCH FOUND]**","[Jackson sighs]"
"13","00:01:06,149","00:01:07,526","టావెర్నర్ వాయిస్ మెయిల్.","Taverner's voice mail."
"14","00:01:07,526","00:01:09,736","కారులో నాకు చెప్తానని చెప్పావు కదా.","In the car you said you'd tell me."
"15","00:01:09,820","00:01:12,364","మరి, చార్ల్స్ మరణం గురించి తను ఏం అంటోంది?","So, what... what did she mean about Charles's death?"
"16","00:01:12,364","00:01:15,534","ఇక్కడ పరిస్థితి గమనించావా? అడగాల్సిన సమయం ఇదేనా?","Read the room, will you? Is now really the time?"
"17","00:01:26,170","00:01:27,254","ల్యాంబ్ ఉన్నాడు.","Ah, it's Lamb."
"18","00:01:27,337","00:01:28,338","**[NO TELUGU MATCH FOUND]**","[Jackson] Ah."
"19","00:01:29,006","00:01:30,716","ప్రేమ పావురాలు.","Ah, ""Minuisa."""
"20","00:01:33,260","00:01:34,261","మీ దగ్గర కీ ఉందా?","You've got a key?"
"21","00:01:34,344","00:01:38,473","స్ట్రువన్ ఏమైపోయాడు? స్ట్రువన్ ని తీసుకురమ్మని మీకు చెప్పా కదా.","[stammers] Where the... Where the fuck is Struan? I told you to get Struan."
"22","00:01:38,557","00:01:40,392","మా కన్నా ముందే వాళ్లని డాగ్స్ స్క్వాడ్ తీసుకెళ్లిపోయింది.","The Dogs got to him just before us."
