Source Filename,Original First Index,Original Last Index,Original First Timestamp,Original Last Timestamp,New Index,New Timestamp,Original Second Text,New Text (Full)
1 eng.srt,6,7,"00:00:23,607 --> 00:00:25,400","00:00:25,400 --> 00:00:27,903",6,"00:00:23,607 --> 00:00:27,903",while the rest of us will still be flying practice missions over Nebraska.,"He's gonna be a stone's throw away from the Krauts, while the rest of us will still be flying practice missions over Nebraska."
1 eng.srt,57,59,"00:02:31,151 --> 00:02:34,488","00:02:38,534 --> 00:02:39,993",56,"00:02:31,151 --> 00:02:39,993","and says that I remind him of a guy back home in, uh, Wisconsin,","First day of basic training, this fella walks up to me and says that I remind him of a guy back home in, uh, Wisconsin, goes by the name of Buck."
1 eng.srt,61,62,"00:02:43,372 --> 00:02:44,915","00:02:44,915 --> 00:02:47,125",58,"00:02:43,372 --> 00:02:47,125","But Bucky here, he's not deterred.","- [both chuckle] - And, uh-- But Bucky here, he's not deterred."
1 eng.srt,65,66,"00:02:53,799 --> 00:02:55,175","00:02:55,175 --> 00:02:57,845",61,"00:02:53,799 --> 00:02:57,845",the whole damn Eighth Air Force is calling me Buck. So...,"[chuckles] Before I know it, the whole damn Eighth Air Force is calling me Buck. So..."
1 eng.srt,70,72,"00:03:03,892 --> 00:03:06,270","00:03:09,606 --> 00:03:11,650",65,"00:03:03,892 --> 00:03:11,650",and it's not my fault you look exactly like Buck,"- For giving me the same name as you? - It's not exactly the same name, and it's not my fault you look exactly like Buck - from Manitowoc, Wisconsin. - From Manitowoc."
1 eng.srt,75,76,"00:03:16,864 --> 00:03:18,740","00:03:18,740 --> 00:03:23,328",68,"00:03:16,864 --> 00:03:23,328",Mmm. Buck. You're gonna dance with me before this night is through.,"Okay. Don't go away, Gale-- Mmm. Buck. You're gonna dance with me before this night is through."
1 eng.srt,80,81,"00:03:30,252 --> 00:03:32,629","00:03:32,629 --> 00:03:37,092",72,"00:03:30,252 --> 00:03:37,092","Hey. You know, I am amazed that we're friends.","- Artie Shaw, Benny Goodman. - [Marge laughs] Hey. You know, I am amazed that we're friends."
1 eng.srt,97,98,"00:04:23,055 --> 00:04:26,808","00:04:26,808 --> 00:04:29,228",88,"00:04:23,055 --> 00:04:29,228",and I'm flying with those boys until you guys show up.,"Look, I, uh-- I had a conversation with the CO over at the 389th, and I'm flying with those boys until you guys show up."
1 eng.srt,101,102,"00:04:35,234 --> 00:04:37,277","00:04:37,778 --> 00:04:39,321",91,"00:04:35,234 --> 00:04:39,321",tell you what it's really like up there.,"Well, someone's gotta taste a little combat, tell you what it's really like up there."
1 eng.srt,108,109,"00:05:03,637 --> 00:05:07,391","00:05:08,642 --> 00:05:09,685",97,"00:05:03,637 --> 00:05:09,685",Harder!,- Pull! Pull up! Up! - [pilot shouting] Harder!
1 eng.srt,127,128,"00:06:01,570 --> 00:06:03,405","00:06:07,784 --> 00:06:08,911",115,"00:06:01,570 --> 00:06:08,911",I'm right here.,"- Stay with me, Duval! - [grunting] I'm right here."
1 eng.srt,135,136,"00:06:24,593 --> 00:06:27,679","00:06:27,679 --> 00:06:29,598",122,"00:06:24,593 --> 00:06:29,598","[pilot] Fighters, 12:00!","- Breathe, breathe, breathe! - [breathing heavily, grunts] [pilot] Fighters, 12:00!"
1 eng.srt,141,142,"00:06:48,492 --> 00:06:50,118","00:06:50,869 --> 00:06:52,788",127,"00:06:48,492 --> 00:06:52,788",- [Bucky] We're headed home. - Yeah. Yeah.,- Come on. Stay with me. - [Duval grunts] - [Bucky] We're headed home. - Yeah. Yeah.
1 eng.srt,152,153,"00:10:02,311 --> 00:10:06,356","00:10:06,356 --> 00:10:10,694",137,"00:10:02,311 --> 00:10:10,694",to join the US Army's Eighth Air Force in its battle against Nazi Germany.,[crew member] The 100th bomb group was sent to England in the spring of 1943 to join the US Army's Eighth Air Force in its battle against Nazi Germany.
1 eng.srt,169,170,"00:10:57,574 --> 00:10:59,910","00:10:59,910 --> 00:11:01,703",153,"00:10:57,574 --> 00:11:01,703",let alone flown in an airplane.,"[crew member] Most of us had never traveled far from home, let alone flown in an airplane."
1 eng.srt,171,172,"00:11:02,663 --> 00:11:05,874","00:11:07,334 --> 00:11:09,336",154,"00:11:02,663 --> 00:11:09,336",to bring the war to Hitler's doorstep.,"We came from every corner of the country, with a common purpose: to bring the war to Hitler's doorstep."
