"Index","Telugu Text","Mapped English Text"
"1","అబ్బా, కార్ట్ రైట్.",", for fuck's sake, Cartwright."
"1","ఇప్పుడు కాదు.","Not now."
"2","నీ ఫోన్ ఇలా ఇవ్వు.","Here, give me your phone."
"3","నీ ఫోన్ ఇవ్వు!","Huh? Give me your phone!"
"4","ఫోన్.","Phone."
"4","దేనికి?","For what?"
"5","మారు మాట్లాడకుండా ఫోన్ ఇవ్వు.","Just give me your phone."
"6","హార్పర్ ఎక్కడ?","Where's Harper?"
"7","బాబో!","What the fuck?"
"7","లోపల ఎవరు?","Who's th"
"7","హేయ్. ఫోన్ ఇవ్వు.","Hey. Phone."
"8","నా ఫోన్ ఆ?","My phone?"
"8","అవును!","Your phone!"
"9","ఇవ్వను.","Fuck off."
"9","నా పిల్లలతో నేను దీని ద్వారానే వీడియో కాల్ లో మాట్లాడతాను.","I FaceTime my kids on this."
"10","నువ్వు దానితో సరసాలాడినా నాకు అనవసరం.","I don't care if you ArseTime the Pope on it."
"10","నీ ఫోన్ ఇవ్వు.","Give it to me."
"11","సర్వీస్ ఫోన్స్ లో ట్రాకింగ్ ఆన్ లో ఉంటుంది.","Service phones have tracking enabled."
"12","మనం అదృశ్యమైపోవాలి.","We need to disappear."
"12","మీ ముగ్గురూ వెళ్లి హో, ఇంకా లాయ్ ని తీసుకురండి.","Now, you three, go fetch Ho and Loy."
"13","త్వరగా కానివ్వండి, లేదంటే డాగ్స్ స్క్వాడ్ వచ్చి మీ తుక్కు రేగ్గొడతారు.","And you better move it unless you want the Dogs to bite your cocks off."
"14","సరే, ఒక్క నిమిషం వాళ్లు ఎక్కడ ఉంటారో మాకు తెలీదు.","Yeah, hold We don't know where they live."
"15","423 మిడిల్ సెక్స్ కోర్ట్, హాక్నీ.","423 Middlesex Court, Hackney."
"16","16 మెర్వన్ రోడ్, బ్రిక్స్టన్.","16 Mervan Road, Brixton."
"17","పిన్ కోడ్లని మీరే కనిపెట్టగలరు కదా.","You can figure out the fucking postcodes yourselves."
"18","ఆ తర్వాత ఎక్కడికి రావాలి?","Then where?"
"18","అది మీకు తెలుసు కదా.","You know where."
"19","ఎక్కడికి?","Where?"
"20","బ్లేక్ సమాధి దగ్గరకి.","Blake's grave."
"21","ఏంటి, ఎక్కడ అది?","W-Wait, where?"
"23","నేను అతడిని ఇదివరకు ఎక్కడో చూశాను.","I've definitely seen him before."
"23","నేను అతడిని గుర్తుపట్టాను.","I recognized him."
"24","ఎవరిని?","Who?"
"24","ఆ తలని.","The head."
"25","అతను కూడా మనలో ఒకడు.","He's one of us."
"26","అంటే, ఇప్పుడు కాదనుకో.","Was one of us."
"28","నువ్వు ఏం చేశావు?","What did you do?"
"28","అసలేం జరిగింది?","What the fuck just happened?"
"29","వాడు మనల్ని మోసం చేశాడు.","He was a traitor."
"30","ఒక ఏజెంట్.","A spook."
"31","నేను సిమ్మండ్స్ తో మాట్లాడాను.","I spoke to Simmonds."
"32","ఎప్పుడు?","When?"
"33","నా దగ్గర ఒక ప్రీపెయిడ్ ఫోన్ ఉండింది.","I had a prepaid."
"33","దాన్ని ట్రాక్ చేయలేములే.","Can't be traced."
"34","చూడండి, వాడిని కనుక చంపకుండా ఉండుంటే, మనం అక్కడే ఉండేవాళ్లం, ఈలోపు పోలీసులు వచ్చుండేవాళ్లు.","Look, if I hadn't dealt with that scum, we'd still be sitting there waiting for the cops to show up."
"35","లేదా స్పెషల్ ఫోర్స్ వాళ్లు వచ్చేవారేమో.","Or the SAS."
"36","వాళ్లు మనల్ని చంపి ఉండేవాళ్లు.","And those bastards shoot to kill."
"37","నేను ఆత్మ రక్షణ కోసమే అలా చేయాల్సి వచ్చింది.","What I did was self-defense."
"38","ఆత్మ రక్షణ కోసమా?","Self-defense?"
"38","వాడి దగ్గర అసలు ఆయుధమే లేదు కదా.","He was unarmed."
"39","వాడు మనకి కూడా అదే గతిని పట్టించి ఉండేవాడు.","He'd have done the same to us."
"39","ఎలా?","The same to us how?"
"40","మనల్ని జైల్లో మగ్గేలా చేయడం ద్వారా!","He'd have slung us in jail, that's how!"
"41","మనం అక్కడ ఎంత కాలం బతకగలం అనుకుంటున్నారు?","How long do you think we'd last in there?"
"42","టెర్రరిస్ట్ కార్యకలాపాలకు పాల్పడినందుకు చిత్రహింసలకు గురి చేస్తారు, ఎంతో కాలం బతకం.","Bleeding out in the corner from some terrorist shank."
"43","నేను అయితే అలా చస్తాను.","I ain't going out like that."
"43","లేదు, లేదు.","No, mate."
"43","ఇదంతా అసలు అర్థవంతంగా లేదు, అతనే కదా ఇదంతా ఏర్పాటు చేసింది?","That doesn't make any sense because he organized it, didn't he?"
"44","గుర్తుందా?","Remember?"
"45","అతనే మన దగ్గరకు వచ్చాడు.","He came to us, yeah?"
"46","ఆ తర్వాత మనందరం ఆ ప్లాన్ ని సిమ్మండ్స్ కి చెప్పాం.","And then we all took the plan to Simmonds."
"47","అతను మనల్ని మోసం చేశాడు!","He set us up!"
"48","లేదు.","Nah."
"48","అతను మరీ అతిగా, మరీ కఠినంగా ప్రవర్తించాడు.","He was too keen, too hard-line."
"49","అసలు అతను అనుకున్న పని చేసి ఉండేవాడే కాదు.","He'd never have gone through with it."
"50","హేయ్. మన ప్లాన్ అదే కదా.","We weren't supposed to see it through."
"51","ఎవరూ చావకూడదు.","No one was supposed to die."
"52","అదే కదా అసలు విషయం! ఇప్పుడు మనం ఏం చేయాలి?","That was the point. What are we gonna do?"
"53","అతను ముక్కలాట ఆడుతున్నాడు, నువ్వేమో అతని తలని నరికేశావు!","He's playing cards, and you cut his fucking head off!"
"54","ఇప్పుడు మనం ఏం చేయాలి?","What the fuck are we gonna fucking do?"
