File_Path,Original_Index_1,Original_Index_2,New_Timestamp,Merged_Dialogue_Start
1t.srt,1,2,"00:00:09,134 --> 00:00:15,682","మర్రకేష్ కి బయలుదేరనున్న లూసిట్ ఏయిర్వేస్ విమానం, ఎల్ ఎల్ టీ54కి బోర్డింగ్ ప్రక్రియ మొదలవ్వనుంది."
1t.srt,24,25,"00:01:37,681 --> 00:01:43,437","మర్రకేష్ కి బయలుదేరనున్న లూసిట్ ఏయిర్వేస్ విమానం, ఎల్ ఎల్ టీ54కి బోర్డింగ్ ప్రక్రియ మొదలయింది."
1t.srt,29,30,"00:01:52,905 --> 00:01:56,992","సరే, మళ్లీ మనకి కావలసిన వ్యక్తి కనిపిస్తున్నాడు, కానీ ఆ బ్యాగు నుండి ఒకటి బయటకు వెళ్లడం కానీ, ఒకటి ల"
1t.srt,64,65,"00:03:37,885 --> 00:03:41,597","- మేడమ్? - అతను వేరే అనుమానితుని వెంట పడ్డాడు, లేదా మనకి వచ్చిన సమాచారం తప్పు అయ్యుండాలి, కానీ ఆ ప్ర"
1t.srt,88,89,"00:04:41,532 --> 00:04:45,911","బాబోయ్! మీ వాళ్లు అక్కడికి చేరుకోలేకపోతే, కనీసం యాంటీ టెర్రరిస్ట్ స్క్వాడ్ ని అయినా రంగంలోకి దింపు."
1t.srt,178,179,"00:14:16,231 --> 00:14:22,529","బ్రాడ్ఫర్డ్ డ్రైవింగ్ లైసెన్స్ దరఖాస్తులు, చిరునామాలు, కౌన్సిల్ పన్ను రికార్డులు. అన్నీ సరిగ్గా ఉన్న"
1t.srt,190,191,"00:14:45,469 --> 00:14:51,683","క్యాథరిన్, వెళ్లే ముందు ఓ విషయం, ఈ ఇద్దరు చవటలు, పబ్ క్విజ్ టీమ్ గా ఏర్పడదామంటే అస్సలు ఒప్పుకోవడం లే"
1t.srt,204,205,"00:15:31,098 --> 00:15:35,853","దీనికి ఒక ఆల్గారిథమ్ ని రాసి, మిగతా తొమ్మిది గంటల సమయాన్ని ఖాళీ సమయంగా భావిస్తాను."
1t.srt,216,217,"00:16:02,588 --> 00:16:08,343","కానీ అది ఎవరో తెలుసుకుందామని ఆగుతున్నాను, కానీ అది బయటపడ్డాక, నా 2,000 పదాల ఆర్టికల్ ని ప్రచురిస్తావ"
1t.srt,221,222,"00:16:23,775 --> 00:16:31,533","మన్నించాలి, నేను ఇంతకు ముందు మీకు ఆ పేరు ఎందుకు చెప్పానంటే, గ్రీస్ లో నేను ఒక ఏడాది పాటు చదివాను, ఆ "
1t.srt,257,258,"00:18:23,729 --> 00:18:27,357","మనం దేని కోసమైనా వెతుకుతున్నామా, లేదా మనం వెతుకుతున్నామని అతనికి తెలిసేలా చేయాలనుకుంటున్నామా?"
1t.srt,268,269,"00:18:50,464 --> 00:18:57,012","భలే... భలే మాట చెప్పావులే, కానీ కిందటి సారి నీకు బాధ్యత అప్పగించినప్పుడు,"
1t.srt,272,273,"00:19:00,641 --> 00:19:06,480","అది నీకు విసుగు తెప్పించినా నేనేమీ చేయలేను, కార్ట్ రైట్, కానీ అది నువ్వు అనుకున్నంత చిన్న పొరపాటు కా"
1t.srt,275,276,"00:19:10,901 --> 00:19:19,076","నీ వల్ల ఏం జరిగింది? 149 మంది చనిపోయారు, 212 మంది గాయపడ్డారు, ముప్పై కోట్ల ఆస్తి నష్టం, 4,000 కోట్ల "
1t.srt,278,279,"00:19:20,744 --> 00:19:27,918","ఉదాహరణకు, ఒక పైలట్, శిక్షణలో ఉన్నప్పుడు పేలవమైన ప్రదర్శనను కనబరిచి, ""మన్నించాలి, ఇది కేవలం ప్రాక్టీస"
1t.srt,284,285,"00:19:43,934 --> 00:19:50,190","ఈ ఆఫీసులో నా చుట్టూరా ఎందుకూ పనికి రాని దద్దమ్మలు ఉన్నారు, కానీ నువ్వు వాళ్లకి దేవుడిలాంటి వాడివి."
1t.srt,305,306,"00:20:49,041 --> 00:20:53,337","అదా? నువ్వే చేయ్. ఆ పని అయ్యాక, ఆ చెత్తనంతటినీ డస్ట్ బిన్ లో పడేయ్, నన్ను అడగాల్సిన పని కూడా లేదు."
1t.srt,310,311,"00:20:59,635 --> 00:21:03,639","హేయ్, నేను ఫోన్ చేయాలి, కాబట్టి మీరిద్దరూ ఇక్కడి నుండి దయచేస్తారా!"
1t.srt,399,400,"00:28:21,243 --> 00:28:24,705","- నిజంగా? - అవును, అది నీకు కంటగింపుగా మారింది, నీకు అస్సలు నచ్చలేదు, కదా?"
1t.srt,422,423,"00:29:27,935 --> 00:29:33,857","ఎందుకంటే, అది ఇక్కడి నుండి మూడు మైళ్ల దూరంలోనే ఉండుండవచ్చు, కానీ సీక్రెట్ సర్వీ స్ విషయానికి వస్తే,"
1t.srt,455,456,"00:32:48,427 --> 00:32:56,560","మనం లుత్ వాఫాని చిత్తుచిత్తుగా ఓడించాం, అయినా కానీ, ఇంగ్లీష్ ఛానెల్ ద్వారా బుల్లి పడవల్లో ఇక్కడికి వ"
1t.srt,484,485,"00:34:10,384 --> 00:34:14,804","ఎప్పుడూ రాజకీయవేత్తలతో చెట్టాపట్టాలేసుకుంటూ తిరుగుతుంటాడు, మరోవైపు వలసదారుల ఇళ్లు తగలబడి పోతుంటాయి."
1t.srt,503,504,"00:34:58,432 --> 00:35:05,981","సాయంత్రం అయిదు దాటాక కూడా, ఇక్కడ గడపడానికి జనాలు సుముఖంగా ఉన్నారంటే, నా పనిని నేను సరిగ్గా చేయట్లేదన"
1t.srt,511,512,"00:35:32,466 --> 00:35:42,726","మీరు ఏ రాచకార్యాలైనా వెలగబెట్టారనుకోండి, అప్పుడు మీరు ఎందుకు పుట్టాంరా బాబూ అని అనుకొనేలా చేస్తాను."
1t.srt,565,566,"00:40:20,921 --> 00:40:26,176","అవును, కానీ మనం 21వ శతాబ్దంలో ఉన్నాం, కాబట్టి అత్యంత ఆధునిక ఆహార పరిరక్షణా పద్ధతులను మనం ఉపయోగించుకో"
1t.srt,599,600,"00:42:26,213 --> 00:42:30,676","ఇప్పుడు ""మతం"" అనే పదమే మాట్లాడే పరిస్థితి ఉన్నట్టు లేదు, ఎవరోకరు ఎక్కడోక్కడ నొచ్చుకుంటూనే ఉన్నారు."
1t.srt,640,641,"00:44:48,856 --> 00:44:52,943","ఈ పని వాళ్లు స్లౌ హౌస్ చేత చేయిస్తున్నారంటే, అనుకోనిది ఏమైనా జరిగితే, వాళ్లకి చెడ్డ పేరు రాకూడదని అల"
1t.srt,651,652,"00:45:25,893 --> 00:45:29,855","చూడటానికి, అతను 35 ఏళ్ల వ్యక్తిలా అనిపిస్తాడు, ఆ వయస్సులో కూడా తన మ్యూజిక్ బ్యాండ్ ఇరగదీస్తుందని అను"
1t.srt,710,711,"00:49:35,434 --> 00:49:40,314","- అవును. ఇంకా దాని పర్వవసానాలను అనుభవిస్తున్నా. - నీకేదైనా పనికి వచ్చేది చేయాలనుంటే, ఇంకా మన ఆఫీసులో"
