Index,Telugu Text,Mapped English Text
6,"""వై యొక్క కొసైన్ ఎక్స్ తో సమానం, అప్పుడు ఎక్స్ యొక్క ఆర్క్ కొసైన్ ఏ విలోమ విలువకి సమానం అంటే"" కొసైన్, ఎక్స్ విలువ మీద ఆధారపడి ఉంటుంది, అది వై విలువకి సమానం. ఆహ్ హా.","""Cosine of Y is equal to X, then the arc cosine of X is equal to the inverse"" Cosine, function of X, which is equal to Y."
7,ట్రిగనామెట్రీని కనిపెట్టనవాడు ఎవడో కానీ చాలా దుర్మార్గుడు.,"You know, a very bad person invented trigonometry."
8,"హేయ్, ఈ రోజు స్కూల్ కి కారు డ్రైవ్ చేసుకుని వెళ్లచ్చా? అబ్బో.","Hey, can I, Can I drive to school today? Yikes."
9,"ఏంటి? నేను మంచి డ్రైవర్ ని. సరే. గుడ్ డే. నువ్వు తీసుకువెళ్లడానికి కాఫీ. ఏంటి? థాంక్యూ. ఓహ్, దేవుడా. నువ్వే నా హీరోవి. మజా చేయి. సరే మళ్లీ కలుద్దాం.","What? [stammers] I'm a good driver. [chuckling] Okay. [kisses] [chuckles] Have a good day. Coffee to go. [gasps] What? Thank you. [kisses] , my gosh. You're my hero. [chuckles] Have fun. See you guys later."
10,నిన్ను డ్రైవింగ్ చేయనిస్తాలే. థాంక్స్.,I'll let you drive. Thanks. [chuckles]
11,"హేయ్, రెడ్ లైట్. రెడ్ లైట్ రెడ్ లైట్! చార్లీ! హా. సారీ, నాన్నా. మరేం ఫర్వాలేదు.","Hey, red light. Red ligh Red light! [grunting] [parent] Charlie! [horn blaring] [breathes shakily] Yeah. [Charlie] Sorry, Dad. It's okay."
12,"హేయ్, అయితే, స్కూల్ అయ్యాక క్లయింబింగ్ కి వెళ్తావా?","Hey, so, you wanna go for a climb after school?"
13,"అవును, నేను స్కూల్ అయ్యాక బ్రూక్స్ ఇంటికి వెళితే ఎలా ఉంటుందని ఆలోచిస్తున్నా. అన్నట్లు, ఆమెతో స్నేహం ఎలా ఉంది?","Yeah, I was, , kinda thinking I might go over to Brooke's after school. How's that going with her, by the way?"
14,నాకు తెలియదు. ఆమెకి చెప్పేయచ్చు కదా?,I don't know. Why don't you just tell her?
15,తనంటే నీకు ఇష్టం అన్న సంగతి అయినా బ్రూక్ కి తెలుసా? కానీ ఆమె డ్రూని ఇష్టపడితే ఏం చేయాలి?,Does Brooke even know that you like her? What if she likes Drew?
16,"అప్పుడు తనకి మంచి అభిరుచి లేదన్న విషయం నీకు అర్థం అవుతుంది. హేయ్. రేయన్ హోల్డర్ హేయ్, ఎక్కడ ఉన్నావు? ఇది చూడు. చార్లీ ఓ ఆండ్రెటీ. మీ నాన్నని కారులో తిప్పుతున్నావా? అవును, నేను స్కూలుకి డ్రైవ్ చేసుకుంటూ వెళ్తున్నా.","Then you know the score, that she has bad taste. [both chuckling] [phone ringing] [phone chimes] Hey. Hey. Where are you? [dad] Have a look. [Ryan] Ooh, Charlie-o Andretti. [chuckles] You driving your old man around? [chuckling] Yeah, I was driving myself to school."
17,"ఓహ్, దేవుడా. జేసన్, ఇది చెప్పడానికి కాస్త ఇబ్బందిగా ఉంది, కానీ నేను పావియా విజేతగా నిలిచాను. ఏంటి? నిజానికి నువ్వు గెలవాలి. అది నీకూ తెలుసు. నాకు తెలుసు లేదు. ఇలా చూడు, బాబూ. నువ్వు గెలిచినందుకు సంతోషంగా ఉంది. ఓహ్, చెత్త. నేను వేరే ఫోన్ మాట్లాడాలి, కానీ నీతో మళ్లీ మాట్లాడతాను, ఈ రాత్రి మనం వేడుక చేసుకుందాం. సరే. అలాగే. ఓహ్, ఛ.",", God. Jason, this is a little bit weird, but I won the Pavia. What? It should be you. You know this. I know this Nah. Come on, man. I'm so happy for you. , shit. I gotta take this call, but I'm gonna hit you back, and we're gonna celebrate tonight. Okay. Yeah. [phone chimes] [car horn honking] , sh."
18,వాళ్ల గురించి కంగారుపడకు. కేవలం నీ పని నువ్వు చేసుకో.,Don't worry about them. Just You do you.
19,చెత్తవెధవ. అవును.,Asshole. [Charlie] Yeah.
23,అది ఏ బొమ్మ?,[student 1] What's that supposed to be?
25,"ఇది పిల్లి. ఒక సీల్డ్ బాక్సులో పిల్లి ఉంది. అలాగే ఆ బాక్స్ లో, ఒక విషపు సీసా కూడా ఉంది, ఒక సింగిల్ రేడియోధార్మిక అణువు ఇంకా.","It's a cat. [students chuckling] You have a cat in a sealed box. And also in the box, we have a vial of poison, a single radioactive atom , and."
26,ఒక గైగర్ కౌంటర్ ఉన్నాయి.,a Geiger counter.
