"Index","Telugu Text","Mapped English Text"
"1","బ్రిటీష్ ఏషియన్ యువకుడు అయిన హసాన్ అహ్మద్ ని కాపాడటానికి ప్రయత్నాలు ముమ్మరంగా జరుగుతున్నాయి, ఇతడిని సన్స్ ఆఫ్ ఆల్బియన్ అనే ఛాందసవాదుల ముఠా అపహరించి ఒకచోట బంధించారు.","Well, the race is on to save a young, British Asian man, Hassan Ahmed, who has been kidnapped by members of a far right group calling themselves the Sons of Albion."
"2","కిడ్నాపర్లు ఇప్పటిదాకా ఏ డిమాండ్లూ చేయలేదు ఓరి దేవుడా.","The kidnappers have made no demands Jesus."
"3","అధికార యంత్రంగానికి ఆ యువకుని ఆచూకీ తెలిసినట్టుగా అయ్యయ్యో.","and it appears the authorities are no closer Shit."
"3","అనిపించడం లేదు.","to discovering his whereabouts."
"3","చాలా దారుణం.","So bleak."
"3","అవును.","Yeah."
"4","మనం తెర వెనుక ఉన్నాం, మనకి ఏమీ తెలీదు.","I mean, we're behind the scenes, and we know nothing."
"4","ఆ వెధవులు అతడిని చంపేస్తారన్నది మాత్రం మనకి తెలుసు కదా.","[BREATHES DEEPLY] Well, we know the bastards are gonna kill him."
"5","అవును, ఎందుకంటే వాళ్లు ఇంకా ఏ డిమాండ్లూ చేయలేదు, అవును.","Yeah, because they haven't made Made any demands, yeah."
"6","జాతీయత కారణంగానే అతడిని అపహరించారా లేదా ఇంకేదైనా కార?","how and, indeed, why he was targeted beyond his ethnic background."
"7","ఇదంతా ల్యాంబ్ కి తెలుసు అంటావా?","Do you think Lamb knows what's going on?"
"8","తెలుసుకోవాలనుకుంటే అతనికి ఎంత సేపులే.","Well, I'm sure he could find out if he wanted to."
"9","కానీ అతను పట్టించుకోడు అనుకుంటా.","I'm not sure he cares."
"10","ల్యాంబ్ పాస్ వర్డ్, ""పాస్ వర్డ్"" అని తెలుసా?","You know, Lamb's password is ""password."""
"11","""పాస్ వర్డ్"" ఆ?","""Password""?"
"12","అది నీకెలా తెలుసు?","How do you know?"
"12","హో చెప్పాడు.","Ho told me."
"13","ఏం ఇస్తే చెప్పాడేంటి?","And what did that cost you?"
"13","ఏమీ ఇవ్వకుండానే చెప్పాడు.","Nothing. [CHUCKLES]"
"14","ఇలాంటివి ఎవరికో ఒకరికి చెప్తేనే కదా మనోడు తెలివిమంతుడ??","He just wanted to tell someone, didn't he? To prove how clever he is."
"16","ల్యాంబ్ కి పార్క్ వాళ్లు వీటి గురించి ఏవైనా చెప్తారా?","How much do you think the Park's gonna be telling Lamb?"
"17","మనం కనిపెట్టవచ్చు. లైవ్ ఆపరేషన్స్ జరిగేటప్పుడు అతనికి ?","I mean, we could find out. He's bound to be copied in on updates for live ops."
"19","కానీ మనం ఇందులో దూరకుండా ఉంటేనే మంచిదిలే.","But probably shouldn't."
"20","నీకు ఇంకో డ్రింక్ ఏమైనా కావాలా?","Um, do you want another drink?"
"21","అలాగే.","Yeah, maybe."
"21","లేకపోతే ఏమో మరి.","Or [INHALES DEEPLY] I don't know."
"21","ఆఫీసుకు వెళ్లాలనిపిస్తోంది.","Maybe back to the office."
"23","అవును.","Yeah."
"23","అంటే, ఇక్కడ తాగడం కన్నా అక్కడికి వెళ్లడమే మంచిది ?","Okay. Well, I mean, it's better than getting pissed here, isn't it?"
"24","ఇక్కడ ఉండి ఏం లాభం?","Not helping, are we?"
"24","అంతే కదా.","Exactly. No."
"25","అవును.","Yeah."
"25","బార్ మూసేస్తున్నాం, ఆర్డర్ చేయాలంటే చేసేయండి.","Last order at the bar, guys."
"26","సరే, థ్యాంక్స్.","Okay, thanks."
"26","ఇంకో డ్రింక్ కావాలా?","Another drink?"
"27","సరే, త్వరగా తాగగలిగేది ఏదైనా ఇవ్వండి.","Okay, but something quick."
"27","షాట్స్ ఇవ్వండి.","Shots."
"28","ఓరి దేవుడా.","[LAUGHING, CHATTERING INDISTINCTLY] [LOUISA] , my God."
"28","ఏమో త్వరగా తెరవవా?","I don't know Can you hurry up?"
"29","పోనీ నేను చేయనా?","Can I just do it?"
"29","అలాగే.","Here."
"30","ఎందుకంటే నేను చూడలేకపోతున్నాను.","'Cause it's really painful to watch."
"30","కానివ్వు.","Go on."
"31","సరే.","All right."
"31","సిద్ధంగా ఉన్నావా?","Are you ready?"
"31","సిద్ధంగానే ఉన్నా.","Yeah."
"32","నేను పనిలో ఉంటే ఎలా ఉంటుందో చూస్తావా?","Want to see my technique in action?"
"32","అవును.","Yeah."
"33","సరే మరి.","Okay. [EXHALES]"
"34","అయ్యయ్యో.","[LOUISA LAUGHS] Ow. Arse."
"35","నువ్వు అదే సమయంలో హ్యాండిల్ ని కూడా తిప్పాలి.","You have to turn the handle at the same Shh!"
"36","నీకు ఇంకా ఈ తలుపును తెరవడం ఎలాగో తెలీదా?","How have you still not learned how to open the fricking door?"
"37","కానీ చాలా బాగా తెరిచా కదా. ఆహా.","But that was smooth."
"38","చాలా తేలిగ్గా తెరిచేశాను.","That was smooth as you like."
