Index,Details,Telugu,English,Status
12,t(2)-e(3) | .? vs ..?,మరెక్ కి అయితే అది అస్సలు నచ్చదు. మరెక్ ఎవడు?,", Marek wouldn't like that. , Marek wouldn't like that. Who's Marek?",MISMATCH
55,t(3)-e(5) | ??? vs ?????,వాడు మాట్లాడే స్థితిలో లేడు కదా? అయినా వాడి గురించి ఎందుకంత పట్టించుకుంటున్నావు? వాడికి గుండె పోటు లాంటిది వస్తే బాగోదు కదా?,"Can't fucking talk, can he? Why do you care so much? Can't fucking talk, can he? Why do you care so much? Well, you wouldn't want him to have an heart attack, would you?",MISMATCH
98,t(2)-e(3) | .. vs ...,"యూనివర్సిటీలో చేరే ముందు, అక్కడ స్థానికంగా ఉన్న ఒక మసీదుకు వెళ్లాడు, ఆ మసీదుపై మన నిఘా ఏమీ లేదు. అతను ఇప్పుడు ఆ మసీదుకు వెళ్తున్నట్టు లేడు, కానీ అతని కుటుంబం వెళ్తోంది.","And before going to university, he attended the local mosque, which is not on any of our watch lists. Which is not on any of our watch lists. , he no longer appears to attend, but his family still go.",MISMATCH
151,t(3)-e(4) | ... vs ....,"లేదు, నేనేమీ చెప్పలేదు. చెప్పేశావు. చెప్పేశావు.","No, I I didn't. I didn't. , yes, you did. Yes, you did.",MISMATCH
187,t(3)-e(5) | ... vs .....,"అలాగే, తప్పకుండా. నాకు నన్ను ఒక సాంకేతిక సమస్య వేధిస్తోంది, ఆ విషయంలో నాకు రాడీ సాయపడుతున్నాడు. నా ఈమెయిళ్ళు సింక్ అవ్వడం లేదు.","Sure, yeah. I've just, um I've got a bit of an IT issue that Roddy is helping me with. My, um, emails aren't syncing. That Roddy is helping me with. My, um, emails aren't syncing.",MISMATCH
206,t(2)-e(3) | .. vs ...,అవును మరి. సరే.,Right. Of course. Yeah.,MISMATCH
219,t(2)-e(3) | .. vs ...,"అవునా, ఆ విషయం నాకు తెలీదు. ఈ ఆన్ లైన్ వేదికలో మాత్రం, నేను దేవుడితో సమానమైన వాడిని, నాకు తిరుగే లేదు.",", right, I didn't know that. And in the online arena, I am somewhere between an emperor and a god. I am somewhere between an emperor and a god.",MISMATCH
325,t(2)-e(3) | .? vs ..?,"నీ యెంకమ్మ ఇంకా తెలీలేదు. చెప్పాలంటే ఈ పని పూర్తయ్యాక, మనం దీని గురించి పూర్తిగా మర్చిపోయినట్టే ఉండాలని నీకు తెలుసు కదా?","Fucking [Derek] We don't. Now, it might be Fucking [Derek] We don't. Now, it might be [Moe] You know you can't say a word about this once it's done, yeah?",MISMATCH
347,t(3)-e(4) | .?. vs ..?.,"ముందడుగు అని చెప్పలేను, మేడమ్, కానీ అతడిని లండన్ లో బంధించారని అనుకుంటున్నాం. దానికి కారణం ఏంటి? బేస్మెంట్ లో లండన్ లో వాడే ఇటుక కనిపిస్తోంది.","Well, not quite a breakthrough, ma'am, but we think he's being held in London. Well, not quite a breakthrough, ma'am, but we think he's being held in London. Because? It's London brick, in the basement.",MISMATCH
455,t(2)-e(4) | .. vs ....,సరే మరి. పోయిన సారి డ్రింక్స్ కి వెళ్లినప్పుడు చాలా సరదాగా గడిపాం.,Very well. We had such a laugh last time we went for a drink. Very well. We had such a laugh last time we went for a drink.,MISMATCH
469,t(3)-e(5) | ... vs .....,బహుశా టావెర్నర్ ని ఫాలో చేసిన ఘనుడివి నువ్వు అని నీ గురించి చెప్పుకొనేదంతా కట్టుకథే ఏమో. అది అదేమీ కట్టుకథ కాదు. నేను నిజంగానే ఫాలో చేశాను.,"Maybe that story about you tailing Taverner is just a myth. Maybe that story about you tailing Taverner is just a myth. That [stammers] , no. Not a myth, actually. That really did happen.",MISMATCH
500,t(2)-e(3) | .? vs ...,"సరే. నేనే రాడీ హో అనుకో, నాతో పని చేసిన వాళ్లెవరూ నాతో వేగలేకపోయారు అని, అందుకే నన్ను స్లౌ హౌస్ కి పంపేశారని చెప్తావా?","Okay. Pretend I'm Roddy Ho, and you tell me that the reason Okay. Pretend I'm Roddy Ho, and you tell me that the reason I've been shipped out to Slough House is because I'm an insufferable prick.",MISMATCH
567,t(3)-e(5) | ... vs .....,"నువ్వేమో నీ కుటుంబ జీవితం బాగున్నట్టు మా ముందు ప్రవర్తించేవాడివి. అవును. అంటే, నేను ఆ నిజాన్ని తట్టుకోలేకపోయా, అందుకే అలా మీ ముందు నటించేవాడిని.","And you let us all think you had a home life. Well, yeah. I mean, I keep up the lie partly because I don't want to accept it. Well, yeah. I mean, I keep up the lie partly because I don't want to accept it.",MISMATCH
575,t(5)-e(3) | ..... vs ...,"""పెయింట్ బాలింగ్ ఆడదాం."" ""వెళ్లి "" అంటూనే ఉంటాడు. కాబట్టి అతడిని అపహరించిన వారికి నేను ఒకటి మనవి చేసుకుంటున్నాను, ""అతను మీకు ఏ అపకారమూ తలపెట్టలేదు. అతడిని వదిలేయండి."" బందీ తల్లిదండ్రులు అతడిని విడిచిపెట్టమని అభ్యర్థిస్తున్నారు.","""Let's go paintballing."" ""Let's "" [Hassan's parent] So I guess we'd say to those who have taken him Please, he's done no harm to you. Just Just let him go.",MISMATCH
608,t(2)-e(7) | .. vs .......,"కాబట్టి నీ వ్యక్తిగత జీవితంలో ఏదో జరిగి ఉంటుంది, దాని గురించి నాకు తెలియాల్సిన పని లేదు. లేదు, రివర్, నీకు ఖచ్చితంగా తెలియాలి, నేను.","So it's obviously something to do with your personal life, which is none of my business. No. River, it is your business. I Which is none of my business. No. River, it is your business. I.",MISMATCH
