Source Filename,Original First Index,Original Last Index,Original First Timestamp,Original Last Timestamp,New Index,New Timestamp,Original Second Text,New Text (Full)
10e.srt,28,29,"00:03:54,443 --> 00:03:57,154","00:03:58,739 --> 00:04:00,991",28,"00:03:54,443 --> 00:04:00,991",but he left her as she grew.,"I used to see Kier in her, but he left her as she grew."
10e.srt,44,45,"00:05:03,428 --> 00:05:06,347","00:05:06,348 --> 00:05:10,768",43,"00:05:03,428 --> 00:05:10,768","they do a test, and then th-they kill her?","So... [sighs] ...wait, when I finish Cold Harbor, they do a test, and then th-they kill her?"
10e.srt,46,47,"00:05:10,769 --> 00:05:16,357","00:05:16,358 --> 00:05:18,317",44,"00:05:10,769 --> 00:05:18,317",then down to the testing floor.,"Once that file is done, you'll need to quickly get to the black hallway, then down to the testing floor."
10e.srt,60,62,"00:05:57,649 --> 00:05:59,942","00:06:03,947 --> 00:06:05,449",57,"00:05:57,649 --> 00:06:05,449","if we can prove that they fucking kidnapped her,","But if we can prove that she is alive, if we can prove that they fucking kidnapped her, it will end them."
10e.srt,87,88,"00:08:30,427 --> 00:08:33,347","00:08:33,931 --> 00:08:36,725",82,"00:08:30,427 --> 00:08:36,725",you know what it is that we're asking.,- Um... So y... - [chuckles] you know what it is that we're asking.
10e.srt,89,90,"00:08:38,644 --> 00:08:40,729","00:08:41,230 --> 00:08:45,526",83,"00:08:38,644 --> 00:08:45,526",is that I am so sorry.,But the first thing I need to say to you is that I am so sorry.
10e.srt,92,94,"00:08:53,450 --> 00:08:57,245","00:08:59,331 --> 00:09:01,708",85,"00:08:53,450 --> 00:09:01,708","and because I took their word for it,","Lumon told me you'd be happy, that innies are content, and because I took their word for it, you've been living a nightmare for two years."
10e.srt,97,98,"00:09:14,388 --> 00:09:18,516","00:09:18,517 --> 00:09:22,104",88,"00:09:14,388 --> 00:09:22,104",that you'll give me that chance.,"And I hope, uh, now with all we have in common, that you'll give me that chance."
10e.srt,103,104,"00:10:55,030 --> 00:10:59,993","00:11:01,828 --> 00:11:02,829",93,"00:10:55,030 --> 00:11:02,829",Thank you.,"- Um, let alone get an apology, so, uh... - [chuckles] Thank you."
10e.srt,107,108,"00:11:15,884 --> 00:11:17,469","00:11:19,137 --> 00:11:21,682",96,"00:11:15,884 --> 00:11:21,682",which is why what you're asking scares me.,"to feel whole, which is why what you're asking scares me."
10e.srt,110,111,"00:11:26,603 --> 00:11:29,857","00:11:30,440 --> 00:11:33,402",98,"00:11:26,603 --> 00:11:33,402",and we don't want it to end.,"[stammers] ...it's all we have, and we don't want it to end."
10e.srt,117,118,"00:12:10,606 --> 00:12:14,985","00:12:16,904 --> 00:12:20,991",104,"00:12:10,606 --> 00:12:20,991",Lumon doesn't have to be your whole life.,"I'd say the same thing in-in your position, however, Lumon doesn't have to be your whole life."
10e.srt,124,125,"00:12:40,385 --> 00:12:44,138","00:12:44,139 --> 00:12:48,852",110,"00:12:40,385 --> 00:12:48,852","and once my wife is free, I swear I will finish the process.","I started this because I see now how unfair this all is to you, and once my wife is free, I swear I will finish the process."
10e.srt,138,139,"00:13:29,476 --> 00:13:34,480","00:13:34,481 --> 00:13:36,650",123,"00:13:29,476 --> 00:13:36,650","but, like, you know, the good stuff too.","Like, my memories and yours, and my trauma and yours, but, like, you know, the good stuff too."
10e.srt,141,143,"00:13:42,698 --> 00:13:47,159","00:13:51,456 --> 00:13:55,002",125,"00:13:42,698 --> 00:13:55,002","so whoever this new hybrid person is,","I mean, you've been alive for, what, 20 times longer, so whoever this new hybrid person is, it seems like he'd be way more you than me."
10e.srt,161,165,"00:15:42,401 --> 00:15:47,113","00:15:57,833 --> 00:16:01,502",143,"00:15:42,401 --> 00:16:01,502","like, what you and Heleny have","[stammers] So, now... [stammers] ...you could imagine, like, what you and Heleny have but multiply, like, thousands of days of, like, joy, and arguments, and passion, then you can see why I have to get my wife back."
10e.srt,168,169,"00:16:31,116 --> 00:16:32,910","00:16:33,744 --> 00:16:36,954",146,"00:16:31,116 --> 00:16:36,954",which you'd know if you'd ever taken an interest in my life.,"It's the person I'm in love with, which you'd know if you'd ever taken an interest in my life."
10e.srt,171,173,"00:16:41,335 --> 00:16:45,338","00:16:52,721 --> 00:16:54,473",148,"00:16:41,335 --> 00:16:54,473","'cause you know as well as I do that her outie won't, like, reintegrate,","She's the person I'll lose if I do what you say 'cause you know as well as I do that her outie won't, like, reintegrate, assuming that's even real."
10e.srt,178,179,"00:17:09,820 --> 00:17:13,574","00:17:13,575 --> 00:17:16,369",153,"00:17:09,820 --> 00:17:16,369",I won't abandon you. I promise.,"I mean, I can't abandon her, and if you help me, I won't abandon you. I promise."
10e.srt,180,181,"00:17:17,663 --> 00:17:20,539","00:17:20,540 --> 00:17:22,416",154,"00:17:17,663 --> 00:17:22,416",you forget I ever existed.,"You know what I think? I think the second you get your wife back, you forget I ever existed."
10e.srt,240,242,"00:21:50,352 --> 00:21:52,854","00:21:54,481 --> 00:21:57,441",213,"00:21:50,352 --> 00:21:57,441","had better be the severed floor,","Well, then you tell him that the next thing I see had better be the severed floor, or I swear he will never see his wife again."
10e.srt,258,259,"00:26:06,358 --> 00:26:10,403","00:26:10,404 --> 00:26:14,116",229,"00:26:06,358 --> 00:26:14,116",and that today is a special day.,"He said some cryptic shit about the fire of Kier being in me, and that today is a special day."
10e.srt,290,292,"00:30:43,719 --> 00:30:47,139","00:30:49,433 --> 00:30:52,102",260,"00:30:43,719 --> 00:30:52,102","and as I'm duly swamped,","As it may yield an embarrassing emotional response in you, and as I'm duly swamped, I shall leave you to read it in solitude."
10e.srt,293,294,"00:31:18,921 --> 00:31:20,172","00:31:21,924 --> 00:31:26,053",261,"00:31:18,921 --> 00:31:26,053",I've read your request and organized my response into three points.,"""Dear innie, I've read your request and organized my response into three points."
10e.srt,296,297,"00:31:33,185 --> 00:31:35,812","00:31:36,980 --> 00:31:40,442",263,"00:31:33,185 --> 00:31:40,442",and your actions with her were deeply fucking indecorous.,"Gretchen is my wife and my beloved, and your actions with her were deeply fucking indecorous."
10e.srt,298,299,"00:31:43,278 --> 00:31:45,030","00:31:47,449 --> 00:31:48,534",264,"00:31:43,278 --> 00:31:48,534",I get it.,Point two: I get it.
10e.srt,302,304,"00:32:01,547 --> 00:32:05,425","00:32:14,101 --> 00:32:15,185",267,"00:32:01,547 --> 00:32:15,185","so when Gretch told me that you're, like, this self-assured badass,","I've never been an impressive person, so when Gretch told me that you're, like, this self-assured badass, I don't know."
10e.srt,306,307,"00:32:20,148 --> 00:32:22,150","00:32:23,902 --> 00:32:29,157",269,"00:32:20,148 --> 00:32:29,157",I hope someday she sees in me what she sees in you.,"So I guess, point three is: I hope someday she sees in me what she sees in you."
10e.srt,308,309,"00:32:31,743 --> 00:32:36,248","00:32:38,333 --> 00:32:40,043",270,"00:32:31,743 --> 00:32:40,043",I guess I like knowing you're there.,"In the meantime... [sighs] if I'm being really honest, I guess I like knowing you're there."
10e.srt,328,332,"00:37:27,372 --> 00:37:29,166","00:37:46,058 --> 00:37:50,562",289,"00:37:27,372 --> 00:37:50,562","in completing your 25th Macrodata file,","[Kier] Mark S., in completing your 25th Macrodata file, you have drawn my grand agendum nearer to fulfillment, thus making you one of the most important people in history."
10e.srt,333,335,"00:37:52,481 --> 00:37:56,485","00:38:01,365 --> 00:38:03,575",290,"00:37:52,481 --> 00:38:03,575","and hail your earthbound steward,","Revel now in the fruit of your labors, and hail your earthbound steward, your very own..."
10e.srt,341,342,"00:38:28,767 --> 00:38:31,644","00:38:31,645 --> 00:38:34,982",296,"00:38:28,767 --> 00:38:34,982",if not for my favorite core principle.,"I'd say the same of you, if not for my favorite core principle."
10e.srt,347,348,"00:38:44,658 --> 00:38:50,163","00:38:50,664 --> 00:38:54,000",301,"00:38:44,658 --> 00:38:54,000","so sapient, so magnanimous...","[Mr. Milchick] Well, it's truly special to host a man so illustrious, so sapient, so magnanimous..."
10e.srt,363,364,"00:40:03,529 --> 00:40:07,698","00:40:07,699 --> 00:40:13,705",316,"00:40:03,529 --> 00:40:13,705",may I introduce Choreography and Merriment!,"And now, lady and gentleman of MDR, may I introduce Choreography and Merriment!"
10e.srt,376,377,"00:42:10,989 --> 00:42:13,075","00:42:14,618 --> 00:42:15,619",328,"00:42:10,989 --> 00:42:15,619",and Gunnel.,with the Ballad of Ambrose and Gunnel.
10e.srt,414,415,"00:49:54,369 --> 00:49:59,958","00:50:00,959 --> 00:50:04,630",365,"00:49:54,369 --> 00:50:04,630",whose spirit it must guide to Kier's door.,"This beast will be entombed with a cherished woman, whose spirit it must guide to Kier's door."
10e.srt,426,427,"00:51:27,671 --> 00:51:30,299","00:51:31,300 --> 00:51:33,927",376,"00:51:27,671 --> 00:51:33,927",and his eternal war against pain.,"[Drummond] We commit this animal to Kier, and his eternal war against pain."
10e.srt,441,442,"00:53:22,828 --> 00:53:24,161","00:53:24,162 --> 00:53:25,705",390,"00:53:22,828 --> 00:53:25,705","I'm leaving, okay?","- Wrong door. - [grunts] I'm leaving, okay?"
10e.srt,489,490,"00:57:40,377 --> 00:57:43,337","00:57:43,338 --> 00:57:46,008",437,"00:57:40,377 --> 00:57:46,008",- and then you are gonna take him to... - [elevator bell dings],"Now, in a second I'm gonna change to my outie, - and then you are gonna take him to... - [elevator bell dings]"
10e.srt,507,508,"01:00:14,990 --> 01:00:16,700","01:00:17,201 --> 01:00:18,801",454,"01:00:14,990 --> 01:00:18,801",and they want our whole department gone.,"Our friend Irving is gone, and they want our whole department gone."
10e.srt,578,579,"01:06:32,784 --> 01:06:34,452","01:06:34,453 --> 01:06:35,912",524,"01:06:32,784 --> 01:06:35,912",You'll kill them all!,- No. - [Mark grunts] You'll kill them all!
10e.srt,586,587,"01:07:09,196 --> 01:07:10,697","01:07:12,491 --> 01:07:13,492",531,"01:07:09,196 --> 01:07:13,492",Come on.,- Um... - [elevator bell dings] Come on.
10e.srt,603,604,"01:08:32,362 --> 01:08:34,238","01:08:39,578 --> 01:08:42,038",547,"01:08:32,362 --> 01:08:42,038","Fuck you, Mr. Milchick.","- Go. Go. - [straining, pants] Fuck you, Mr. Milchick."
10e.srt,614,615,"01:09:15,863 --> 01:09:17,490","01:09:17,491 --> 01:09:20,577",557,"01:09:15,863 --> 01:09:20,577","Mark, come on. Mark, open the door.","- Mark. - [pants] Mark, come on. Mark, open the door."
10e.srt,617,618,"01:09:25,207 --> 01:09:27,876","01:09:32,923 --> 01:09:34,508",559,"01:09:25,207 --> 01:09:34,508",Mark!,- [Helly] Mark. [panting] - [pants] Mark!
10e.srt,628,629,"01:10:19,094 --> 01:10:21,430","01:10:22,181 --> 01:10:26,435",569,"01:10:19,094 --> 01:10:26,435",Mark! Open the door! Mark!,- Mark. - [mutters] Mark! Open the door! Mark!
1e.srt,11,12,"00:03:53,440 --> 00:03:55,536","00:03:55,560 --> 00:03:57,110",11,"00:03:53,440 --> 00:03:57,110",to avoid confusion?,Would you be open to using a different first name to avoid confusion?
1e.srt,16,17,"00:04:15,880 --> 00:04:17,936","00:04:17,960 --> 00:04:19,816",15,"00:04:15,880 --> 00:04:19,816",till we arrive at the management office.,I think it's best to save any queries till we arrive at the management office.
1e.srt,23,24,"00:04:30,430 --> 00:04:32,206","00:04:32,230 --> 00:04:34,956",21,"00:04:30,430 --> 00:04:34,956",was one of the most painful moments in the history of this company.,What you all did five months ago was one of the most painful moments in the history of this company.
1e.srt,41,42,"00:05:29,280 --> 00:05:33,056","00:05:33,080 --> 00:05:34,330",38,"00:05:29,280 --> 00:05:34,330",just as you did.,"Helly r. And Irving b. Both successfully made contact with persons on the outside, just as you did."
1e.srt,47,48,"00:05:50,220 --> 00:05:53,366","00:05:53,390 --> 00:05:54,980",43,"00:05:50,220 --> 00:05:54,980",to keep you in mdr.,"Shortly before your mutiny, we installed security doors to keep you in mdr."
1e.srt,53,54,"00:06:14,080 --> 00:06:15,057","00:06:15,081 --> 00:06:17,500",48,"00:06:14,080 --> 00:06:17,500",I'll carry that knowledge the rest of my life.,"As an unsevered man, I'll carry that knowledge the rest of my life."
1e.srt,55,57,"00:06:19,790 --> 00:06:20,936","00:06:23,960 --> 00:06:26,550",49,"00:06:19,790 --> 00:06:26,550",we've been asking how a sadist like Harmony cobel,"But for the past five months, we've been asking how a sadist like Harmony cobel could take fertile root in lumon soil."
1e.srt,59,60,"00:06:30,840 --> 00:06:34,366","00:06:34,390 --> 00:06:35,850",51,"00:06:30,840 --> 00:06:35,850",when you awoke there.,We also know Ms. Cobel was at your sister's home when you awoke there.
1e.srt,62,64,"00:06:40,770 --> 00:06:43,230","00:06:46,150 --> 00:06:48,070",53,"00:06:40,770 --> 00:06:48,070",and had plans to pursue both you and your outie,"We believe she'd developed an erotic fixation on you and had plans to pursue both you and your outie in what might be termed ""a throuple."""
1e.srt,80,81,"00:08:23,210 --> 00:08:26,146","00:08:26,170 --> 00:08:27,646",69,"00:08:23,210 --> 00:08:27,646",but I love the green carpet.,"It's a little cramped compared to our old mdr, but I love the green carpet."
1e.srt,84,85,"00:08:31,171 --> 00:08:33,736","00:08:33,760 --> 00:08:34,906",72,"00:08:31,171 --> 00:08:34,906",and I hate sweets.,"No. They were puce. I know because it makes me nauseous, and I hate sweets."
1e.srt,96,97,"00:09:13,550 --> 00:09:16,106","00:09:16,130 --> 00:09:18,550",83,"00:09:13,550 --> 00:09:18,550",but I was distracted by my brother-in-law.,"- What, you didn't see it? - Well, I went outside for a second, but I was distracted by my brother-in-law."
1e.srt,112,113,"00:10:01,850 --> 00:10:03,720","00:10:04,310 --> 00:10:05,480",98,"00:10:01,850 --> 00:10:05,480",my name is miss huang.,"Okay. So, my name is miss huang."
1e.srt,120,121,"00:10:40,590 --> 00:10:43,326","00:10:43,350 --> 00:10:45,350",105,"00:10:40,590 --> 00:10:45,350",where I worked with Gwendolyn y.,"I'm from the mdr department of branch 5x, where I worked with Gwendolyn y."
1e.srt,122,123,"00:10:47,310 --> 00:10:51,206","00:10:51,230 --> 00:10:52,980",106,"00:10:47,310 --> 00:10:52,980",when my branch shut down.,Kind of a fun fact about me is that I thought I'd be permanently retired when my branch shut down.
1e.srt,133,134,"00:11:57,840 --> 00:12:00,170","00:12:01,470 --> 00:12:02,550",116,"00:11:57,840 --> 00:12:02,550",not a friend.,"But I have to remind you that I'm a supervisor, not a friend."
1e.srt,163,166,"00:15:38,390 --> 00:15:39,520","00:15:46,110 --> 00:15:48,070",145,"00:15:38,390 --> 00:15:48,070","I don't know if this will reach you, but I'm writing to alert you","""Dear outie, I don't know if this will reach you, but I'm writing to alert you of the heinous conditions in the severed office to which you have transferred me."
1e.srt,170,171,"00:16:01,330 --> 00:16:05,566","00:16:05,590 --> 00:16:11,130",149,"00:16:01,330 --> 00:16:11,130",so that I may explode both milkshake and the very spirit of kier eagan.,"If you must continue to send me here, please consider strapping a bomb to me, so that I may explode both milkshake and the very spirit of kier eagan."
1e.srt,184,185,"00:17:11,570 --> 00:17:16,006","00:17:16,030 --> 00:17:19,990",162,"00:17:11,570 --> 00:17:19,990","which will be transferred to your intended victim, Mark w.","Mark s., at this time, I revoke your status as department chief, which will be transferred to your intended victim, Mark w."
1e.srt,187,188,"00:17:24,290 --> 00:17:26,226","00:17:26,250 --> 00:17:29,250",164,"00:17:24,290 --> 00:17:29,250",and must check in regularly as to your progress.,You will be relegated to the office and must check in regularly as to your progress.
1e.srt,199,200,"00:18:36,030 --> 00:18:39,756","00:18:39,780 --> 00:18:42,676",175,"00:18:36,030 --> 00:18:42,676",- which is why I need to see my team again. - Mark!,"Now, I know that you want to do the right thing for severed people, - which is why I need to see my team again. - Mark!"
