Index,Telugu Text,Mapped English Text
2,మొదటి వారం ఎలా గడిచింది?,How was week one?
3,నీ యెంకమ్మ!,Motherfucker!
5,ఏమీ అర్థం కావట్లేదు.,Disorienting.
6,పునరాలోచనలో పడ్డావా?,You having second thoughts?
7,అవును.,Nothing but.
8,నా పరిస్థితి కూడా అదే.,"Well, we're in the same boat."
9,కానీ లారీ హాల్ స్థానం ఈ జైలే అని నాకు తెలుసు.,But I know the place for Larry Hall is here.
10,అతను విడుదల కాకూడదు.,Never back out there.
11,"హాల్ ఉన్న యూనిట్ లోనే, అతని సెల్ కి ఎదురుగా ఉన్న సెల్ ని నీకు కేటాయించాను.",I've had you placed in Hall's unit. Directly across from his cell.
12,ఆ యూనిట్ లో ఉన్న అందరూ ఏదోక మందులు వాడుతుంటారు.,Everyone in that unit is medicated.
13,నీకు మనస్థాపాన్ని తగ్గించే మందును రాసిస్తున్నా.,I'm prescribing you an antidepressant.
14,"లేదంటే, నీపై అనుమానం కలుగుతుంది.","Otherwise, you'll arouse suspicion."
15,నాకు ఏ సమస్యా లేదు.,There's nothing wrong with me.
16,అందుకేనా జైల్లో ఉన్నావు!,"Hence, prison."
17,సరే. ఆ మాత్రలేవో ఇవ్వండి.,Fine. I'll take the fucking pills.
18,"ఇంకో విషయం, ఇక్కడికి అప్పుడప్పుడూ మాత్రమే వస్తూ పోతూ ఉండు.","Otherwise, you keep your visits to a minimum here."
19,మరీ ఎక్కువ సార్లు వస్తే అనుమానం కలుగుతుంది.,Too many drop-ins will also arouse suspicion.
21,"అత్యధిక శాతం జైళ్ళలో, కాలం గడిచేకొద్దీ ఏది ఎలా ఉంటుందో చెప్పేయవచ్చు.",Most prisons grow predictable with time.
24,అన్నిట్లో ఓ పద్ధతి ఉంటుంది.,They have a rhythm.
27,స్ప్రింగ్ ఫీల్డ్ లో ఉండే ఏకైక పద్ధతి ఏంటంటే ఎప్పుడు ఏం జరుగుతుందో చెప్పలేకపోవడం.,Springfield's only rhythm is unpredictability.
29,అది నీకు చికాకును కలిగిస్తుంది. నీకు నిద్రను దూరం చేస్తుంది.,It'll wear on you. Affect your sleep.
30,నీకు మనశ్శాంతి లేకుండా చేస్తుంది.,Your peace of mind.
31,నా సెల్ లో ఇంతకు ముందు ఉన్న వ్యక్తికి అదే జరిగిందా?,Is that what happened to the guy who was in my cell before me?
32,అతనికి స్వీయ హాని చేసుకొనే ఆలవాటు ఉంది.,Previous inmate had a predisposition to self-harm.
34,"హేయ్, హేయ్! ఏం చేస్తున్నావు, బాసూ?","Hey, hey, hey! Come on, man!"
35,సరే. ఇక నువ్వు బయలుదేరవచ్చు.,All right. That's all our time for today.
36,ఆగండి.,Wait.
37,"ఎప్పుడైనా పరిస్థితులు పూర్తిగా తలకిందులైపోతే, మిమ్మల్ని కానీ, వార్డెన్ ని కానీ సంప్రదించడం ఎలా?","If things go completely south someday, how do I reach you or the warden?"
38,నాతో మాట్లాడాలని అడిగేయ్.,You just demand to speak to me.
39,మేము గార్డులను అడగడం వాళ్లకి నచ్చదు.,Guards don't like demands much.
40,నీకు మంచి జ్ఞాపక శక్తి ఉందా?,How's your memory?
41,నా జ్ఞాపక శక్తి సూపర్.,Top-notch.
42,612-5711.,612-5711.
43,అది నా ఇంటి ఫోన్ నంబర్.,That's my home number.
44,"అది నీకు తెలిసిందంటే, నేనే స్వయంగా నీకు ఇచ్చానని అర్థం.",You could only know that if I gave it to you.
45,"అది ఏ గార్డుకైనా అర్థమయ్యి, నన్ను సంప్రదిస్తారు.",That should be enough to convince any guard to reach out to me.
46,612-5711.,612-5711.
47,612-5711. 612-5711.,612-5711. 612-5711.
49,రా. తెరువు.,Here you go. Open.
51,తర్వాతి వాళ్లు రావాలి.,Next.
52,"కదలండి, కదలండి.",Keep it moving.
53,సూపర్.,Awesome.
54,తెరువు.,Open.
55,తర్వాతి వాళ్లు రావాలి.,Next up.
56,ఎలా ఉన్నావు?,How you doing?
57,తెరువు.,Open.
58,తెరువు. నీకు ఏ మాత్రలు ఇచ్చారు?,Open. What pills they give you?
59,కానివ్వు.,Come on.
60,తెరువు.,Open.
61,నీతో మాట్లాడటం బాగుంది.,Good chatting.
62,తాగు బాబూ. తెరువు.,"Let's go, inmate. Open."
63,తెరువు.,Open.
64,హాల్ దగ్గరికి ఎవరిని పంపావు?,Who's this guy you got in with Hall?
65,"జిమ్మీ కీన్ ని. డ్రగ్స్ వ్యాపారి, మంచి మాటలకారి. జనాలను ఆకట్టుకొనే వ్యక్తి.","Jimmy Keene. Drug dealer, good talker. People like him."
66,అనుభవం ఉన్నవారిని ఎవరినైనా అండర్ కవర్ లో పంపవచ్చు కదా?,Why not use an undercover? Someone with experience?
67,హాల్ పసిగట్టేస్తాడు.,Hall would smell him out.
68,మరి లోపల జరగరానిదేదైనా జరిగితే?,"So, what if something happens on the inside?"
69,జైల్లోని వాళ్లకు ఎప్పుడూ ఏదోకటి జరుగుతూనే ఉంటుంది.,Shit happens to people in prison all the time.
70,"సిసరోలోని సగం జనాభాకి డ్రగ్స్ ని సరఫరా చేసే ముందే, ఇలాంటిదేదో జరుగుతుందని కీన్ తెలుసుకొని ఉండాలి, లేకపోతే వాడి ఖర్మ.","If Keene didn't know that when he started dealing coke to half of Cicero, fuck him, he should have."
71,"హాల్ అరెస్ట్ అవ్వక ముందు ఒక దశాబ్దం వరకు, అతని ఇంటి నుండి బయటకు వెళ్లిన ప్రతీ కాల్ ని నేను పరిశీలిస్తున్నాను.",I'm going through every phone call made from the Hall house for a decade leading up to his arrest.
72,"ఆ తర్వాత, అతను డ్యూటీకి వెళ్లని రోజుల్లో ఇండియానా, ఇల్లినాయి, ఒహాయో, ఇంకా మిస్సోరీలలో పరిష్కృతం కాని హత్య కేసులు ఏమైనా ఉన్నాయేమో చుస్తా.","Then, I'd like to run all unsolved murders in Indiana, Illinois, Ohio and Missouri against his days off from janitorial work."
73,అంతేనా? లేదు.,That all? Nope.
74,"ఆ తర్వాత, అంతర్యుద్ధ నాటికలు, విప్లవాత్మక నాటికలు ఎప్పుడైతే జరిగాయో, అప్పుడు కనబడకుండా పోయిన వ్యక్తుల కేసులన్నింటినీ పరిశీలిస్తాను.","Then, I wanna run all missing persons reports in that same time period against Civil War and Revolutionary War reenactments."
75,మేము ఆ పని 1994లోనే చేశాను. దాదాపుగా ఇవన్నీ నేను ఎప్పుడో చేసేశాను.,We did that in '94. Pretty much did all this before.
76,అయితే ఆ పని మళ్లీ చేద్దాం.,I guess we're doing it again.
78,నిన్న రాత్రి జెస్సికా రోచ్ ఫైలును పరిశీలించాను.,I did look over the Jessica Roach file last night.
79,"అందులో ఏమీ లేదు, కానీ రైట్లర్ ఫైల్ ని కూడా చూశా.","There was nothing, but Looked over the Reitler file."
80,"లారీని నేను కస్టడీలోకి తీసుకొని ఇల్లినాయికి తీసుకువచ్చా కదా, ఆ ముందు రోజు రాత్రి మారియన్ పోలీసులు ఏం చేశారో తెలుసా?",Do you know what the Marion PD did the night before I took Larry into custody and drove him back to Illinois?
81,తెలీదు.,No.
82,మళ్లీ రైట్లర్ శవాన్ని వెతకడానికని అతడిని శివారు ప్రాంతాలకు తీసుకెళ్లారు.,They drove him out to the country looking for Reitler's body all over again.
83,"మొదటి సారి, తమ సమయాన్ని లారీ వృధా చేశాడని పదే పదే చెప్పారు.",All that shit Marion talked about Larry wasting their time the first time.
84,"మరి అంతలా చెప్పినోళ్లు, మళ్లీ అదే పని చేయడం ఏంటో మరి.",Turns out they just up and let him do it to 'em again.
85,మరి ఏమీ దొరకలేదా? ఏమీ దొరకలేదు.,And didn't find shit? No. Not a thing.
86,"తర్వాతి రోజు ఉదయం, నేను లారీని ఇల్లినాయిస్ కి తీసుకువెళ్తున్నప్పుడు, అతను ఆ ముందు రోజు ఉన్నట్టుగా లేడు. ఆ ముందు రోజు అతను చిన్నబుచ్చుకొని, ముభావంగా ఉన్నాడు. బాధగా ఉన్నాడు.","Next morning, I drive Larry back to Illinois, but he's not the same guy as he was the day before. Then, he was I don't know, small and meek. Sad."
87,"కానీ ఆ రోజు మాత్రం, అతని కనులు వెలిగిపోయాయి.","But that morning, his eyes were bright."
88,అతనిలో ఆత్మవిశ్వాసం తన్నుకు వచ్చింది.,His dick could have drilled hole in granite.
89,ఏదో సాధించిన వాడిలా ఫీలయ్యాడు.,He was somebody.
90,అతడిని అనుమానితునిగా పరిగణిస్తున్నారని మారియన్ పోలీసులు అతనికి చెప్పారు.,The Marion PD told him he was a person of interest.
91,అతను సీరియల్ కిల్లర్ అయ్యుండవచ్చని వాబాష్ పోలీసులు అన్నారు.,Wabash PD said that he was a possible serial killer.
92,జెస్సికా రోచ్ ని చంపిన రాత్రి గురించి లారీ నాతో మాట్లాడటం అదే చివరిసారి.,It was the last time Larry ever talked to me about the night he killed Jessica Roach.
