"Index","Telugu Text","Mapped English Text"
"1","ఇదిగో, తెచ్చేశాను.","Okay, here we go."
"1","సరే, సరే.","Okay, okay."
"1","ఫ్యామిలీ మూవీ నైట్, పిల్లలూ.","Family movie night, guys."
"2","అవును.","Yeah."
"2","ఏం సినిమా చూద్దాం?","What we gonna watch?"
"3","మనం అందరం ఒకే అంగీకారానికి రావాలి.","We've all gotta agree on something."
"3","నాకు ఎమోజీ మూవీ చూడాలని ఉంది.","I wanna watch The Emoji Movie."
"4","సరే.","Okay."
"4","చూడు.","Come on."
"4","దాన్ని ఎనిమిది వేల సార్లు చూశావు.","You've seen it 8,000 times."
"5","అవును, స్వీటీ, నేను ఆ ఎమోజీ మూవీని ఇంకోసారి చూడగలను అనుకోను.","Yeah, sweetie, I really don't think I can watch The Emoji Movie again."
"6","కానీ నాకు అదే చూడాలని ఉంది.","But that's what I wanna watch."
"7","ఇన్ సైడ్ అవుట్ చూద్దామా?","What about Inside Out?"
"8","చాలా ముద్దుగా ఉంటుంది.","It's so cute."
"8","నాకు కాదు.","It's not for me."
"8","సరే.","Okay."
"9","నీకు నచ్చుతుంది.","I think you'll like it."
"9","నీకు మళ్లీ చూడాలనిపిస్తుంది.","You just wanna watch it again."
"10","నువ్వు ఎప్పుడూ ఏడుస్తావు.","You always tear up."
"11","ఎమోజీ మూవీ, ఎమోజీ మూవీ!","Emoji Movie, Emoji Movie!"
"12","జాన్ విక్ సినిమా చూద్దామా?","How about John Wick?"
"12","ఏంటి?","What?"
"13","మనం జాన్ విక్ చూడటం లేదు, సైమన్.","We're not watching John Wick, Simon."
"13","లేదు.","No."
"13","మనం చూడటం.","We're not watching."
"14","నువ్వు ఎలా అనుకుంటావు లేదు.","How do you No."
"14","ఏంటి?","What?"
"14","లేదు.","No."
"15","అయితే, ఏదైనా కొత్త సినిమా వచ్చి ఉంటుంది కదా.","Well, maybe there's something new that came out."
"15","నన్ను చూడనివ్వండి.","Let me check."
"16","మంచి ఐడియా.","Good idea."
"17","సరే.","Okay."
"17","ఎమోజీ మూవీ, ఎమోజీ మూవీ!","Emoji Movie, Emoji Movie!"
"18","ఓహ్, వోహ్.",", whoa."
"19","ఏంటి?","What?"
"19","ఏంటి?","What?"
"20","విల్ విడాకులు తీసుకుంటున్నాడు.","Will's getting a divorce."
"20","విల్ ఎవరు?","Who's Will?"
"21","విల్ విడాకులు తీసుకుంటున్నాడా?","Will's getting a divorce?"
"21","అవును.","Yeah."
"21","ఆడ్రే ఇప్పుడే తన ఇంస్టాలో పోస్టు పెట్టింది.","Audrey just posted it on her Insta."
"22","విల్ అంటే ఎవరు?","Who's Will?"
"22","ఆగు, ఆ విషయం నీకు తెలియదా?","Wait, you didn't know that?"
"23","లేదు.","No."
