"Index","Telugu Text","Mapped English Text"
"7","ఏంటి?","What?"
"8","""నువ్వు బాగానే ఉన్నావా?","I said, ""Are you all right?"
"8",""" అని అడిగా, అవును, నేను బాగానే ఉన్నాను.",""" Yeah, I'm fine."
"9","బహుశా నువ్వు మీ అక్కతో మాట్లాడాలేమో.","Maybe you should talk to your sister."
"9","ఇది చాలా ముఖ్యమైన నిర్ణయం.","It's an important decision."
"10","నా అక్కనా?","My sister?"
"10","అవును.","Yes."
"11","మార్క్?","Mark?"
"11","చెప్పండి.","Yeah."
"12","నువ్వు బాగానే ఉన్నావా?","Are you sure you're okay?"
"13","బాగానే ఉన్నాను.","Yes."
"13","మన్నించాలి, నాకు నాకు కాస్త తల తిరిగినట్టుగా అనిపించింది, ఆ తర్వాత.","I'm sorry, I just, I got a little woozy and then, um."
"14","నేను బాత్రూమ్ కి వెళ్లి వస్తాను.","I'm gonna stop by the bathroom."
"15","ఆహా. అది అటు వైపు ఉంది.","I think it's the other way."
"16","అవును.","Right."
"20","నాకు సెనేటర్స్ అంటే ఎక్కువ అసహ్యమో, కాంగ్రెస్ మెన్ అంటే ఎక్కువ అసహ్యమో తెలియట్లేదు.","I don't know if I hate senators or congressmen more."
"22","ఎన్ని తాగావేంటి?","How many of those have you had?"
"23","ఇదొక్కటే.","Just this one."
"24","మంచిది.","Good."
"24","నువ్వు చురుకుగా ఉండాల్సిన అవసరం ఉంది.","We need you nimble."
"24","మనం వేదిక ఎక్కాలి.","We gotta get down there."
"24","ఇంకా 20 నిమిషాలు మాత్రమే ఉంది.","You're on in 20."
"25","ఇందాక నేను బోర్డుతో మాట్లాడాను.","I was on with the Board earlier."
"25","నువ్వు చేస్తున్న దానికి వాళ్లు చాలా ఆనందం వ్యక్తం చేశారు.","They're really grateful for this."
"26","గ్యాబీ.","Gabby."
"26","నాటలీ, హలో.","Natalie, hello."
"27","హాయ్.","Hi."
"28","ఓహ్, గ్యాబీ, తను హెలెనా ఈగన్.",", Gabby, this is Helena Eagan."
"29","ఓరి దేవుడా.","My gosh."
"29","హెలెనా, ఎట్టకేలకు మిమ్మల్ని కలుసుకున్నందుకు నాకు చాలా ఆనందంగా ఉంది.","Helena, so good to finally meet you."
"30","నాకు కూడా.","Likewise."
"34","దీన్ని విజయవంతం చేయండ్రా, దరిద్రులారా.","This better be working, assholes."
"37","నేను ఎక్కడ ఉన్నాను?","Where am I?"
"38","మార్క్.","Mark."
"38","నువ్వు బాగానే ఉన్నావా, మహారాజా?","You okay, milady?"
"39","రిబెక్ దగ్గర వింత వాసన వస్తోంది.","So Rebeck smells weird."
"40","అవునా?","Rebeck smells weird?"
"41","అవును, తను ఏదో నములుతున్న శబ్దాలు చేస్తోంది, కానీ తను ఏమీ నమలట్లేదు.","Yeah, she was making chewing noises, but she was not chewing."
"42","మీరిద్దరూ ఒకే పుస్తకం చదవాల్సి రావచ్చు, కాబట్టి సిద్ధంగా ఉండు.","Just be prepared 'cause you might have to share a book with her."
"43","పుస్తకం, అవును. ఆ.","A book, right."
"44","తీసుకురమ్మని నేను నీకు గుర్తు చేసినా నువ్వు తీసుకురాని పుస్తకం.","The one you forgot to bring even though I did remind you."
"45","అవును.","Right."
"45","నేను ఆ, మన్నించు.","Yeah, I'm sure , sorry."
"46","పర్వాలేదులే.","That's okay."
"47","సరే.","Okay."
"48","మన పాప ఎలా ఉంది?","How's our baby?"
"48","ఆ.",""
"49","ఆ, మన.","Um, our."
"50","""పిల్లలని పెంచాలంటే అందరూ ఓ చేయి వేయాలి"" అని అలా అన్నావు కదా!","I'm gonna assume you mean that in the ""it takes a village"" sense."
"51","తను బాగానే ఉంది.","And she's good."
"51","కాస్త ఆకలిగా ఉన్నట్టుంది.","She's hungry."
"52","ఓహ్.","Um, I wanna have the life change talk."
"52","ముందు పాపకు పాలు ఇచ్చేసి నీతో నువ్వు అన్న ఆ ముఖ్యమైన విషయం గురించి మాట్లాడతాను.","I just need to pump before I die."
"53","చాలా త్వరగా వచ్చేస్తాలే.","I'll be really fast."
"53","ఆ అలాగే.","Okay. Okay."
"60","హేయ్.","Hey."
"60","హాయ్.","Hi."
"60","హాయ్.","Hi."
"61","""రేడార్.","""Radar."
"61","""",""""
"62","ఇంతకీ సిద్ధాంతం ఏంటి?","What's the thesis?"
"63","అవును.","I agree."
"63","చాలా గందరగోళంగా ఉంది.","It's very confused."
"66","ఓహ, హేయ్, మిత్రులారా.",", hey, guys."
"66","ఎలా ఉన్నారు?","What's up?"
"67","ప్యాటన్, వద్దు.","Patton, no."
"67","ఆ, మార్క్.","Um, Mark,"
"67","ఇప్పుడు జరిగే కార్యక్రమం తర్వాత పాపని అందరికీ పరిచయం చేస్తే బాగుంటుందేమో అని మేమిద్దరం మాట్లాడుకుంటున్నాం.","we were just discussing whether it might have been a wiser move for your sister to put off introducing the child until after tonight's event."
"68","మార్క్, దీన్నేమీ నువ్వు పట్టించుకోవలసిన పని లేదు.","Mark, you don't have to weigh in on that."
"69","ఒక్క నిమిషం","Wait"
"69","పాపతో ఉన్నది నా అక్కనా?","That's my sister? With the baby?"
"70","అవును, ఆమె తన అక్క.","Exactly, it's his sister."
"71","ఒక్క నిమిషం.","Excuse me."
"71","అలాగే.","Sure."
"72","అది ఎబ్బెట్టుగా అనిపించింది. మ్.","Well, that was awkward."
"73","సరే, నా అక్కకి పాప ఉంది.","Okay, so my sister has the baby."
"73","కొబెల్ ఇక్కడికి వచ్చిందా?","And Cobel is here?"
"74","చదివేటప్పుడు నా పుస్తకాన్ని నీకు కూడా చూపెట్టమని రికెన్ అన్నాడు.","I've been asked to share my book with you."
"75","నాకు కూడా అదే చెప్పారు.","So I've heard."
"75","ఆ, రెబెక్కా?",", Rebecca?"
"76","రిబెక్.","Rebeck."
