"Index","Telugu Text","Mapped English Text"
"3","ఎట్టకేలకు!","[Zeppo] Finally!"
"4","బ్లాక్ టీ అంటేనే వెగటు పుట్టే పరిస్థితి వచ్చేసింది.","Couldn't face the idea of black tea."
"5","అది దారుణమైనది. దారుణాతి దారుణమైనది.","You know it's a crime. It's an absolute fucking crime."
"6","గురూ, నేను దాహంతో చచ్చేలా ఉన్నాను.","Mate, I am a thirsty boy."
"7","వద్దు, వద్దు. ఆగు. కాస్త ఆగు. వాటిలో వద్దు. అది ఈపాటికి చల్లగా అయి రుచి మారిపోయి ఉంటుంది.","No, no. Hang on. Hang on. Not in those. They're all cold and stewed, aren't they?"
"8","మరి వీటిని బయటే ఎందుకు ఉంచావు?","Why'd you leave 'em out then?"
"9","నువ్వు తొందరగా వచ్చేస్తావనుకున్నా, మహానుభావా.","Because I thought you'd be quicker, didn't I?"
"10","నేను వీధి చివరి దాకా వెళ్లాల్సి వచ్చింది.","I had to go right down the high street."
"11","ఇటు వైపు వెళ్తే మూలనే ఒక కొట్టు ఉంది కదరా, చచ్చినోడా.","Well, you know there's a corner shop the other way, you dozy twat."
"12","మరెక్ కి అయితే అది అస్సలు నచ్చదు. మరెక్ ఎవడు?",", Marek wouldn't like that. , Marek wouldn't like that. Who's Marek?"
"13","మేము సైట్స్ లో పని చేసేటప్పుడు రేడియో ఆపరేటర్ గా పని చేసేవాడు. పోలాండ్ వాడు.","Spark we used to work with on the sites. Polish."
"14","ముందు పాలు, ఆ తర్వాత టీ. మీ ఇంగ్లీష్ వాళ్లకి ఆ విషయం ఎందుకు అర్థం కాదు?","[imitating Marek] Milk first and then tea. How do you English not understand this?"
"15","ఎలా అయినా ఒకటే కదా, కానీ వాడికి దానికే చిర్రెత్తుకొచ్చేది.","It makes no difference, but he'd lose his shit over it."
"16","హేయ్. ఎలా అయినా ఒకటే ఎలా అవుతుందిరా, సన్నాసీ?","Hey. Of course it makes a difference, you fucking ponce."
"17","టీ బ్యాగ్, నీళ్లు, పాలు, అదే వరుసలో వేయాలి. అంతే కదా?","Bag, water, milk, in that fucking order. Yes?"
"18","మీ సైట్స్ లో చాలా మంది పోలాండ్ వాళ్లు ఉండేవాళ్ళా?","A lot of Poles on your sites?"
"19","పోలాండ్ వాళ్లు, బల్గేరియా వాళ్లు, పనికి మాలిన రొమేనియన్లు, అందరూ ఉండే వాళ్లు.","Poles, Bulgarians, dirty little Romanians, the lot."
"20","పెద్ద సంత కదా అయితే. శరణార్థుల శిబిరంలా ఉండేది.","[Zeppo] Swarming. It's like a fucking refugee camp."
"21","ఒక్క నిమిషం. నీకు ఇది అక్కర్లేదు కదా?","No, hang on. You don't want one, do you?"
"22","వద్దు. హ్యాంగ్ ఓవర్ తగ్గాలంటే మందే మేలు.","Nah. Hair of the dog, mate."
"23","నీ మూత్రపిండాలని నాశనం చేద్దామని కంకణం కట్టుకున్నట్టున్నావుగా.","Well, you must really hate your kidneys."
"24","వచ్చాడయ్యా, మన కుంభకర్ణుడు.","Here he is. Sleeping beauty."
"25","శుభోదయం. మన్నించాలి, బాగా నిద్రపట్టేసింది.","Morning. Sorry, I crashed."
"26","వేడి వేడిగా టీ తాగుతున్నాం, నీకు కూడా కావాలా? పాలతో తాగుతున్నాం.","Kettle's just boiled if you want one. And we have milk."
