"Index","Telugu Text","Mapped English Text"
"2","నువ్వు లోపలే ఉండాలి.","[child] Shh! You have to stay in there."
"9","హేయ్.","Hey."
"10","నేను అక్కడ కూర్చుంటే పర్లేదా?","Do you mind?"
"11","ఏంటంటే, ఈ మోకాలు వర్షం పడ్డాక బిగుసుకుపోతుంది.","It's just the old, , knee [grunts] locks up after it rains. [groans]"
"12","కానీ వర్షం పడలేదే.","It didn't rain."
"13","ఇక్కడ పడలేదులే.",", no, no. , not here."
"14","ఇంకా పడలేదులే.","Not yet. [chuckles]"
"15","నువ్వు పెద్ద సర్కస్ సెటప్ చేసుకున్నట్టున్నావే?","You, , make yourself a big top?"
"16","మరి, ఏంటి ఇవన్నీ?","So, , what's what?"
"17","నువ్వు చెప్పకు.","No, no."
"17","నేనే చెప్తాను.","Don't tell me."
"18","ఏంటిది?","What's this?"
"18","జెయింట్ వీల్?","Ferris wheel?"
"19","అవునా?","Yeah?"
"20","మరి ఇది?","And, This?"
"22","గాల్లో నడవడానికి తాడా?","Tight rope?"
"23","మరి ఇది ఏంటి?",", what about this?"
"24","ఇది ఇదేంటి? ఇది పులా? సింహం.","[buzzing] Huh? This must be Well, what's this? This is a Tiger? Lion."
"25","సింహమా?","Lion?"
"25","దీన్ని ఎలా లొంగదీసుకోవాలో రింగ్ మాస్టర్ నేర్పాడా?","Ringmaster teach you how to tame him?"
"26","లేదా?","No?"
"26","బాబోయ్.",", boy."
"27","అతను మంచి రింగ్ మాస్టర్ కాదేమో, ఏమంటావు?","What a shitty ringmaster he is, huh?"
"28","నేను చూస్తానులే.","Here. Let's see."
"30","ఓహో.",", yeah. [chuckles]"
"31","అవును.","Yeah."
"31","ఇది బయటకు వచ్చేయాలనుకుంటోంది.","He wants out."
"32","ఒక్క నిమిషం.","Here."
"33","వచ్చేయ్.","Come on."
"36","ఇదుగో.","There."
"37","మొదట, మనం దీని ప్రతిభను గుర్తిస్తాం, ఆ తర్వాత దాన్ని లాగేసుకుంటాం.","At first, we find its shine, and then we take it away."
"40","గుర్రాన్ని చూసి జనం ఎగబడి వచ్చేయరు కానీ, దాన్ని సులువుగా లొంగదీసుకోవచ్చు.","Now, a filly doesn't draw a crowd, but she's easier to break."
"41","నేను మళ్లీ వచ్చేదాకా, దీన్ని జాగ్రత్తగా ఉంచుకుంటావా?","Can you hold onto it for me until I come back?"
"42","నాకు ఇది అక్కర్లేదు.","I don't want it."
"43","నువ్వు తీసుకుంటావు.","You'll take it."
"44","అది ఎప్పుడూ జరిగేదే.","You always do."
"55","హాయ్, గ్రెండల్.","Hi, Grendel."
"59","రాత్రి ప్రదర్శన బాగా జరిగిందా?","We'll also get some advice on how to talk to your children about this troubled world Did you go on last night?"
"60","జీసస్ లిజర్డ్ వాళ్లు ఎక్కువ సమయం తీసుకున్నారు.","Jesus Lizard went long."
"61","నా స్లాట్ కూడా మింగేశారు.","Ate up my set."
"62","నాకు ఇవన్నీ అక్కర్లేదు.","I don't need all this stuff."
"63","నీ కజిన్, బర్గర్ కింగ్ పాత కప్స్ లోనే తాగుతుంది.","Your cousin only drinks out of old Burger King cups."
"64","నువ్వు ఫ్లోరిడాకి వెళ్ళాక, ఇవి అవసరం అవుతాయి.","You're gonna want these when you get down to Florida."
"65","ఇంకో విషయం, నా సంపాదన మీదనే ఈ ఇంటి అద్దె నేను కట్టలేను.","You know, just so you know, I can't cover this place on my own."
"66","కాబట్టి నీ గదిని అద్దెకి ఇచ్చేస్తాను.","I'm not holding your room for you."
"68","బయటకు వెళ్తే, పిల్లి కోసం ఆహారం తీసుకురా.","Buy cat food if you go out."
"68","బై, అమ్మా.","Bye, Mom."
"77","హేయ్.","[Lakshmi] , hey."
"78","సిటీ రికార్డులను అడిగాను కదా, అవి తెచ్చావా?","Did you get those city records I asked you to pull?"
"79","డిస్ట్రిక్ మ్యాప్స్ లో పదవది, పదహారవది ఏవి?","[music stops] [chattering continues] Where's the tenth and 16th districting maps?"
"80","అవి సల్జర్ పబ్లిక్ లైబ్రరీ నుండి రావాలి.","Those need to come from Sulzer Public."
"80","వచ్చే వారం నుండి వస్తాయట.","They said top of next week."
"81","కానీ నువ్వు నీ రిక్వెస్ట్ ని మళ్లీ సమర్పించాలి.","But you should resubmit the request."
"81","శుక్రవారమే నాకు ఇక్కడ ఆఖరి రోజు.","My last day's Friday."
"82","నువ్వు వెళ్లిపోతున్నందుకు బాధాగా ఉంది.","Sorry we're losing you."
"83","కిర్బీ.","Kirby."
"83","అవును.","Right."
"84","వాటిని తెచ్చే పనిని ఇంకెవరికైనా అప్పజెప్పవా?","Can you transfer the pickup to someone else?"
"86","నేను బయటకు వెళ్తున్నాను.",", I'm heading out."
"86","నీకు ఏమైనా తేవాలా?","Do you need anything?"
"87","పర్వాలేదులే.","[colleague] No, I'm good."
"92","కానివ్వండి! ఇక్కడి నుండి వెళ్లిపోండి!","Come on! Get out of here!"
"93","పన్నెండు బ్లాకుల దాకా ఇదే పరిస్థితి.","[reporter 2] across a 12-block radius."
"94","ముందు జాగ్రత్తగా విద్యుత్తును, వంట గ్యాసుని నిలిపేశారు.","Power and gas have been shut off as a precaution."
"95","కానీ మీరు దీని గురించి.","But if you think about it."
"98","అక్కడ ఆ ట్రక్ ఉండకూడదు.","[safety officer 2] Well, they gotta move that truck."
"101","హేయ్! మీరు ఇక్కడికి రాకూడదు.","Hey! You can't be down here."
"102","నా పేరు డాన్ వెలాజ్కెజ్.","Dan Velazquez."
"102","నేను సన్-టైమ్స్ రిపోర్టర్ ని.","I'm with the Sun-Times."
"103","మీరు వెంటనే ఇక్కడి నుండి వెళ్లిపోవాలి.","You need to head back up now."
"103","లోపల ఏం జరుగుతోంది?","What's going on there?"
"104","ఈ మురికి గొట్టాల నుండి ఒక మార్గాన్ని ఏర్పర్చాలని చూస్తున్నారు.","They're just trying to patch a way through the sewer lines."
"105","మరి పని చేసేవారు ఎవరూ కనబడట్లేదే?","No hard hats?"
"106","పైన రవాణా శాఖ ఉంది, 26వ పోలీసు శాఖలో సగం ఇక్కడే ఉంది.","DOT is upstairs, and half the 26th is down here."
"107","నగర పాలక వర్గం అత్యవసర పరిస్థితిని ప్రకటించింది.","City called a state of emergency."
"107","అందరూ తలో చేయి వేయాలి.","All hands on deck."
"108","ఈ సొరంగంలో 50 ఏళ్లలో తొలిసారిగా పనులు జరుగుతున్నాయి.","This pipe's clear for the first time in 50 years."
"109","లోపల ఏం కనిపించింది?","What'd you find in there?"
"110","ఏమైనా దొరికితే, కబురు అందిస్తాములే.","When we find something, we'll let you know."
"111","సర్, మీరు సిద్ధంగా ఉంటే రండి.","[police officer] Sir, when you're ready."
"111","ఆమె కాలు జాగ్రత్త.","[sighs] [investigator] Careful with her leg."
"112","ఆమెని బయటకు తీసుకెళ్దాం కానివ్వండి.","[Detective Samuels] Get ready to move her out now."
"116","ఏంటి సంగతి?","What's up?"
