"Index","Start Time","End Time","Telugu Text","Mapped English Text"
"1","00:00:11,970","00:00:13,013","**[NO TELUGU MATCH FOUND]**","[flashlight clicks on]"
"2","00:00:17,643","00:00:18,894","**[NO TELUGU MATCH FOUND]**","[lock disengages]"
"3","00:01:52,197","00:01:54,157","బ్లేక్ క్రౌచ్ రాసిన నవల ఆధారంగా","**[NO ENGLISH MATCH FOUND]**"
"4","00:02:15,844","00:02:17,846","**[NO TELUGU MATCH FOUND]**","[alarm beeping]"
"5","00:02:24,686","00:02:33,445","**[NO TELUGU MATCH FOUND]**","[sighs]"
"6","00:02:37,824","00:02:48,128","""వై యొక్క కొసైన్ ఎక్స్ తో సమానం, అప్పుడు ఎక్స్ యొక్క ఆర్క్ కొసైన్ - ఏ విలోమ విలువకి సమానం అంటే""... - కొసైన్, ఎక్స్ విలువ మీద ఆధారపడి ఉంటుంది, అది వై విలువకి సమానం. ఆహ్... హా.","""Cosine of Y is equal to X, then the arc cosine of X - is equal to the inverse""... Uh... - Cosine, function of X, which is equal to Y. Uh-huh."
"7","00:02:48,710","00:02:51,590","ట్రిగనామెట్రీని కనిపెట్టనవాడు ఎవడో కానీ చాలా దుర్మార్గుడు.","You know, a very bad person invented trigonometry."
"8","00:02:52,214","00:02:55,427","- హేయ్, ఈ రోజు స్కూల్ కి కారు డ్రైవ్ చేసుకుని వెళ్లచ్చా? - అబ్బో.","Hey, can I, uh... - Can I drive to school today? - Yikes."
"9","00:02:56,218","00:03:12,444","ఏంటి? నేను మంచి డ్రైవర్ ని. సరే. గుడ్ డే. నువ్వు తీసుకువెళ్లడానికి కాఫీ. ఏంటి? థాంక్యూ. ఓహ్, దేవుడా. నువ్వే నా హీరోవి. మజా చేయి. సరే మళ్లీ కలుద్దాం.","What? [stammers] I'm a good driver. - [chuckling] Okay. [kisses] - [chuckles] Have a good day. - Coffee to go. - [gasps] What? Thank you. [kisses] Oh, my gosh. You're my hero. [chuckles] Have fun. See you guys later."
"10","00:03:14,820","00:03:17,198","నిన్ను డ్రైవింగ్ చేయనిస్తాలే. థాంక్స్.","I'll let you drive. Thanks. [chuckles]"
