"Index","Telugu Text","Mapped English Text"
"7","హలో?","Hallå?"
"8","హలో?","Hallå?"
"9","హలో?","Hallå?"
"16","శాంతించు.","Easy."
"17","ఎక్కడి నుండి వచ్చావు?","Where'd you come from?"
"20","ఇది చూశావా? వెళ్లి తీసుకురాపో.","See this? Huh? Go get it."
"23","నిజానికి, వాడు ఇక్కడికి రావాలి.","He should've been here."
"24","రికార్డింగ్ విన్నావు కదా. అది ఈ రోజే జరగాలి కదా?","You heard the recording. When else could it have been?"
"25","ఏమో, నాకు ఏమీ అర్థం కావట్లేదు, నేను ఏం విన్నానో ఏమో.","I don't know. I don't know what I heard anymore."
"26","ఇప్పుడు నేను ఏం చేయాలి?","What am I supposed to do now?"
"27","జిన్-సుక్ గ్వాన్సన్ ఇప్పుడు నువ్వు ఇక్కడ ఉంటున్నావు.","This is where you live now."
"28","నేను కాలేజీలో చదువుతున్నప్పుడు అక్కడ ఉండేదాన్ని.","That was my place in grad school."
"29","నువ్వు ఇక్కడ పని చేస్తున్నావు.","This This is where you work."
"30","ఫర్మీ నేషనల్ ఏక్సెలరేటర్ ల్యాబొరేటరీ నేను ""మెకానికల్ టెక్నీషియన్""నా?","I'm a ""mechanical technician""?"
"31","రేపు అక్కడికి వెళ్తే, నీకే తెలుస్తుంది.","You'll find out when you show up tomorrow."
"32","ఆ పని నేను చేయలేను.","I can't do that."
"33","తప్పదు. నువ్వు ఇంటికి కానీ, ఆఫీసుకి కానీ వెళ్లకపోతే, నీకోసం ఎదురు చూసేవారు పోలీసులకి కాల్ చేస్తారు.","You have to. If you do not go home or you do not go to work, whoever is expecting you, they will call the police."
"34","నువ్వు ఏం జరిగిందో వాళ్లకి చెప్పాలని చూస్తే, వాళ్లు నువ్వు చెప్పేది నమ్మరు.","And when you try to tell them what happened to you, they will not believe you."
"35","నిన్ను పిచ్చాసుపత్రిలో చేర్చుతారు.","They'll take you to the hospital."
"36","అలా నీకు జరిగిందా? ఇప్పుడు నువ్వు ఈ మనిషివి.","Did that happen to you? This is who you are now."
"37","నువ్వు ఇలాగే బతకాలి.","This is who you have to be."
"38","నువ్వు చేయగలవు. నేను చాలాసార్లు చేశా.","You can do this. I have many times."
"39","ఎక్కడికి వెళ్తున్నావు? కంగారుపడకు, ఏమీ కాదు.","Where are you going? It's gonna be okay."
"40","మీకేం కావాలి?","Can I help you?"
"41","డాన్ వెలాజ్కెజ్ ఉన్నాడా?","Is Dan Velazquez here?"
"42","మన్నించాలి, అతనెవరో నాకు తెలీదు.","I'm sorry. I don't know who that is."
"43","ఇదే అతని ఇల్లు.","He lives here."
