"Index","Telugu Text","Mapped English Text"
"6","మేము ఇప్పుడే ముగించాం, బాబు.","We just did last call, man."
"6","సారీ.","Sorry."
"8","హేయ్.","Hey. Hey."
"9","నేను ఎవరో నీకు తెలుసు, కదా?","You know me, right?"
"10","నాకు తెలియదు అనుకుంటా.","I don't think so."
"11","ఇలా చూడు, మ్యాట్.","[stammers] Come on, Matt."
"12","నేను నీకెలా తెలుసు?","How do you know me?"
"12","ఎందుకంటే నేను తరచూ ఇక్కడికి వచ్చేవాడిని.","[stammers] 'Cause I come in here all the time."
"13","ఓహ్, కానీ, నేను నీకు ఎప్పుడూ సర్వ్ చేయలేదు.",", well, I've I've never served you."
"13","నేను జేసన్ ని.","It's Jason."
"13","సరే.","Okay."
"13","ఈ రాత్రి పార్టీ జరిగింది కదా, బాబూ.","There was a party tonight, man."
"14","నువ్వు మాకు మెకాలన్ రేర్ బాటిల్ ని సర్వ్ చేశావు కదా.","You served us a bottle of the Macallan, , , Rare."
"15","నీ ఉద్దేశం ఈ బాటిల్ నా?","You mean this bottle?"
"15","అవును.",", yeah."
"15","వారం రోజుల్లో ఈ బాటిల్ నుంచి ఒక చుక్క కూడా అమ్మలేదు.","I haven't sold a drop of that all week."
"16","నువ్వు ఇందాకే నా ఫ్రెండ్ కోసం ఆ సీసా ఓపెన్ చేశావు.","[sniffs] You just [stammers] You opened up the back for my friend."
"16","నా జీవితంలో ఇంతకుముందు ఎప్పుడూ నేను నిన్ను చూడలేదు.","I've never seen you before in my life."
"18","మ్యాట్.","[laughs] [laughs] Matt."
"18","ఇంక ఆపు, బాబూ, నువ్వు నన్ను బెదరగొడుతున్నావు, సరేనా?","Fuck, man, you're freaking me out, okay?"
"18","ఇంక పరాచికాలు ఆపు.","It's not funny."
"18","నేను ఎవరో నీకు తెలుసు అని మాత్రం చెప్పు చాలు.","Just tell me you you know who I am."
"19","సరే.","Okay."
"19","నీకు నేను ఇదే చెబుతున్నాను.","Here's what I'm gonna tell you."
"20","ముందు ఏ డాక్టర్ కయినా చూపించుకో ఇంకా ముందు నా బార్ నుండి బయటకి నడు.","Go get some fucking help and get the fuck out of my bar."
"20","మైక్! నీకేం ఇబ్బంది లేదు కదా?","Mike! Is that gonna be a problem?"
"22","లేదు.","No."
"25","మిస్టర్ డెస్సన్?","[doctor] Mr. Dessen?"
"25","ఏంటి?","Yes?"
