Index,Details,Telugu,English,Status
108,t(2)-e(4) | .. vs ....,అవును. నేను వంద శాతం అలా నటించగలను.,Yes. Yes. Yes. I can do that 100%.,MISMATCH
300,t(2)-e(3) | ?. vs .?.,ఏ అమ్మాయిని? ఎవరైనా ఒక అమ్మాయి.,[Sylvia] Ooh. [chuckles] [guests chattering] Which one? Whichever.,MISMATCH
315,t(3)-e(4) | ..? vs ...?,థాంక్యూ. హలో. మీలో ఎవరికైనా డెసర్ట్ కావాలా?,[Sylvia] ! [cheering] Ooh. Thank you. [chuckles] Hello. Can I interest anyone in a dessert?,MISMATCH
329,t(3)-e(5) | ... vs .....,అది చాలా నిజం. మజా చేయండి. అలాగే.,That's so true. [sighs] Have fun. Yeah. Yeah. Yeah.,MISMATCH
364,t(4)-e(3) | .... vs ...,కానీ మీరు వెళ్లండి. సరదాగా ఆస్వాదించండి. లేదు. నువ్వు కూడా రావాలి.,"But you guys go. You go have fun. No, come on.",MISMATCH
423,t(3)-e(5) | ... vs .....,"ఓహ్, అవును. తను మళ్లీ వచ్చేసింది. తను మళ్లీ వచ్చింది.","[Will] , yeah. , yeah. She's back. She's back. She's back.",MISMATCH
444,t(3)-e(4) | ... vs ....,"వద్దు. వద్దు! ఆపు! అలా చేయకు. సిల్వియా, ప్రశాంతంగా ఉండు.","No. [shushes] No. [retches] No! Stop it! Don't do that. Sylvia, relax.",MISMATCH
449,t(2)-e(3) | .. vs ...,మాట్లాడకు. వాళ్లు పోలీసులు.,Shut up. Shut up. It's the police.,MISMATCH
481,t(6)-e(7) | ...... vs .......,నేను బాగానే ఉన్నాను. మంచిగా ఉన్నాను. సరే. నువ్వు బాగున్నావు. సిల్వియా. హేయ్.,"I'm good. I'm fine. Yeah, yeah. You're good. Sylvia. Sylvia. Hey.",MISMATCH
486,t(3)-e(4) | .?? vs ..??,మంచిది. ఏ రోజు పంపించాలి అనుకుంటున్నావు? సోమవారమా లేక బుధవారమా?,[stammers] Great. Great. [laughs] Which day are you thinking? Mondays or Wednesdays?,MISMATCH
489,t(3)-e(4) | ... vs ....,"సారీ, ఓహ్, డియర్. బుధవారాలు. అంటే బుధవారాలు.","Sorry. , dear. Wednesdays. That means Wednesdays.",MISMATCH
551,t(3)-e(2) | ??. vs ??,"మహాత్మా గాంధీ తన మరణశయ్య మీద ఉండి చెప్పింది అదే అవి వింటే మనకి, ""నిజంగానా? ఆయన చివరి మాటలు అవేనా?"" అనిపిస్తుంది.","Mahatma Gandhi said that on his deathbed [laughs] and they were like, ""Really? Those are your last words?""",MISMATCH
562,t(2)-e(3) | .. vs ...,"మరేం ఫర్వాలేదు, మిత్రమా. మరేం ఫర్వాలేదు.","Aw. No worries, buddy. No worries.",MISMATCH
574,t(3)-e(4) | ... vs ....,"ఓహ్, లేదు. ఓహ్, చెత్త. ఓహ్, లేదు.","[Sylvia] , no. , no. , fuck. , no.",MISMATCH
