Source Filename,Original First Index,Original Last Index,Original First Timestamp,Original Last Timestamp,New Index,New Timestamp,Original Second Text,New Text (Full)
1 eng.srt,11,12,"00:00:44,837 --> 00:00:47,881","00:00:48,507 --> 00:00:52,135",11,"00:00:44,837 --> 00:00:52,135",[grunts] …locks up after it rains. [groans],"It's just the old, uh, knee… [grunts] …locks up after it rains. [groans]"
1 eng.srt,25,27,"00:01:24,877 --> 00:01:27,254","00:01:32,342 --> 00:01:34,052",24,"00:01:24,877 --> 00:01:34,052","Well, what's this? This is a…","- [buzzing] - Huh? This must be… Well, what's this? This is a… - Tiger? - Lion."
1 eng.srt,43,44,"00:02:29,358 --> 00:02:33,445","00:02:33,529 --> 00:02:35,989",40,"00:02:29,358 --> 00:02:35,989",but she's easier to break.,"Now, a filly doesn't draw a crowd, but she's easier to break."
1 eng.srt,55,57,"00:04:44,785 --> 00:04:47,079","00:04:49,540 --> 00:04:50,958",51,"00:04:44,785 --> 00:04:50,958",about this troubled world…,We'll also get some advice on how to talk to your children about this troubled world… Did you go on last night?
1 eng.srt,72,73,"00:06:30,807 --> 00:06:32,893","00:06:33,894 --> 00:06:36,188",66,"00:06:30,807 --> 00:06:36,188",Where's the tenth and 16th districting maps?,- [music stops] - [chattering continues] Where's the tenth and 16th districting maps?
1 eng.srt,105,106,"00:08:46,985 --> 00:08:49,821","00:08:51,949 --> 00:08:53,450",98,"00:08:46,985 --> 00:08:53,450",[investigator] Careful with her leg.,"- [police officer] Sir, when you're ready. - [sighs] [investigator] Careful with her leg."
1 eng.srt,166,167,"00:13:11,333 --> 00:13:13,133","00:13:13,210 --> 00:13:14,479",158,"00:13:11,333 --> 00:13:14,479",until it's looking right at you.,- I don't know. - You don't know what you know until it's looking right at you.
1 eng.srt,172,173,"00:13:32,229 --> 00:13:33,522","00:13:33,605 --> 00:13:35,732",163,"00:13:32,229 --> 00:13:35,732",because I don't know what he looks like.,"- Kirby. - I don't know, because I don't know what he looks like."
1 eng.srt,188,189,"00:14:46,595 --> 00:14:48,722","00:14:50,057 --> 00:14:51,058",178,"00:14:46,595 --> 00:14:51,058",Kirby.,- Kirby? - [knocks] Kirby.
1 eng.srt,264,265,"00:20:21,388 --> 00:20:23,223","00:20:23,307 --> 00:20:24,850",253,"00:20:21,388 --> 00:20:24,850",when the press isn't running.,Sometimes I just forget to take them off when the press isn't running.
1 eng.srt,281,282,"00:21:15,442 --> 00:21:17,569","00:21:17,653 --> 00:21:19,738",269,"00:21:15,442 --> 00:21:19,738","- For Julia Madrigal. - Forget it. I'll, uh...","- Huh? - No. They're, um… - For Julia Madrigal. - Forget it. I'll, uh..."
1 eng.srt,323,324,"00:27:17,012 --> 00:27:19,097","00:27:19,181 --> 00:27:20,849",310,"00:27:17,012 --> 00:27:20,849",Why are you talking like that?,- It's not... - [baby coos] Why are you talking like that?
