"Index","Telugu Text","Mapped English Text"
"1","హాయ్.","Hi."
"2","అయితే నీ బార్ మిట్జ్వా ఎలా అయింది?","So How was your bar mitzvah?"
"3","అది బాగా అయింది.","It was great."
"3","అవును.","Yeah."
"4","నువ్వు గొప్ప రాత్రిని మిస్ అయ్యావు.","You missed a great night."
"5","నువ్వు కూడా గొప్ప రాత్రిని మిస్ అయ్యావు.","Well, you missed a great night too."
"6","నేను మాంసాన్ని మాడ్చేయలేదు.","I didn't burn the chops."
"7","అది చాలా ప్రత్యేకమైన రాత్రి.","It was very special."
"8","అయితే, నువ్వు హాఫ్తరా చేశావా?","So, you managed the haftarah?"
"8","చేశాను.","Yes."
"9","మరి హోరా?","And the hora?"
"10","చేశాను.","Yeah."
"10","అది చాలా అద్భుతంగా ఉంది.","It was amazing."
"11","నేనది చూడగలిగి ఉంటే బాగుండేది.","I would've liked to have seen that."
"12","నేను వచ్చి ఉండాల్సింది.","Maybe I should've come."
"13","క్షమించు.","Sorry."
"13","జీవితంలో ఇప్పుడు నేను అన్నీ తప్పు నిర్ణయాలు తీసుకుంటున్నట్టు అనిపిస్తోంది.","I feel like I'm making all the wrong decisions at the moment."
"14","హే, హే, హే.","Hey, hey, hey."
"14","హే.","Hey."
"15","ఏమైంది?","What's going on?"
"15","అది డేనియల్.","It's Daniel."
"16","నా నుంచి తన వంతు రాబట్టుకోవడానికి రక్తం పీల్చే లాయర్ ని నియమించుకున్నాడు.","He's hired this bloodsucking attorney who just wants to draw his pound of fucking flesh from me."
"17","ఒక పెద్ద సంస్థలో పార్టనర్ అయిన ఒక లాయర్ ని రాకెట్ బాల్ ఆడుతూ కలిసాడట.","Some guy he met at racquetball who's a partner at some big firm."
"18","నేను విడాకులకి నా లాయర్ ని ఎలా నియమించుకున్ననో తెలుసా?","You know where I got my divorce attorney?"
"19","బస్సు మీద అడ్వర్టైజ్మెంట్ చూసి.","A fucking bus ad."
"20","మేము పెద్ద వాళ్ళలా దీన్ని మంచిగా పరిష్కరించుకుందామని అనుకున్నాము.","Thought we were gonna do things amicably, you know, like adults."
"21","కానీ నీకు డేనియల్ గురించి తెలుసు కదా.","But you know Daniel."
"21","అన్నిటికీ పోటీ తత్వమే చూపిస్తాడు.","He's always so competitive."
"22","అందుకని నేను ఎవరినైనా వెతకాలి.","So I have to find someone."
"23","మంచి వాళ్ళని.","Someone good."
"23","అది ఖరీదైన విషయం.","Which is expensive."
"24","అవును.","Right."
"25","క్షమించు, మార్టీ.","Sorry, Marty."
"26","పోయినసారి అదే చివరి సారి అని నీకు చెప్పానని నాకు తెలుసు.","I know I said last time would be the last time."
"27","పరవాలేదులే.","It's fine."
"28","మనం నీ పరిస్థితి సరి చెయ్యాలి, మనం అదే చేద్దాం.","We need to get you sorted, and that's what we'll do."
"29","ఎప్పుడో చెప్పు.","Just tell me when."
"29","నేను ఇర్వింగ్ కి ఫోన్ చేస్తాను.","I'll call Irving."
"29","అతను తప్పకుండా సహాయం చేస్తాడు.","I'm sure he'll be happy to help."
"30","ధన్యవాదాలు.","Thank you."
"31","ఊరుకో.","It's all right."
"31","ఊరుకో.","It's all right."
"32","అంతా సర్దుకుంటుంది.","Everything's gonna be all right."
"34","అంతా బానే ఉంది.","Things are fine."
"35","పని బానే ఉంది.","Work's fine."
"36","అంటే నేను ఈ మధ్య బకాయి ఉన్న చెల్లింపులను ఇవ్వమని ఆడుగుతున్నాను, కానీ మా క్లైంట్లలో చాలా మంది మా కుటుంబానికి స్నేహితులు, కాబట్టి కాస్త కష్టంగా ఉంది.","I mean, I've been chasing down a lot of late payments recently, which is hard because most of our clients are old family friends."
"37","నాకూ అదే సమస్య ఉండేది అవునా?","I used to have the exact same problem. You did?"
"38","అవును.","Sure."
"39","చూడు, నేను ఒక నిమిషంలో థెరపిస్ట్ అయి రెండో నిమిషంలో డబ్బులు అడగలేను కదా.","Look, you can't be a therapist one minute and then debt collector the next."
"40","అందుకని నేను చెడ్డ వాడిని అవ్వాల్సి వచ్చినప్పుడు, నేను నా లాయర్ మార్షల్ ఫెల్డ్ హామర్ ద్వారా ఉత్తరం పంపేవాడిని.","So now when I have to be bad cop, I just send a letter from my lawyer, Marshall Feldhammer."
"41","అతను హత్య చేసినందుకు జైలు శిక్షఅనుభవిస్తున్న సమయంలో లా డిగ్రీ పొందాడు, తెలుసా?","Did you know he got his law degree when in prison for manslaughter?"
"42","వావ్.","Wow."
"43","అతను తన జీవితం మార్చుకోగలగడం నిజంగా అద్భుతం.","Good for him for turning his life around."
"44","అలాంటి వారికి అవకాశం ఇవ్వడం మీ మంచితనం.","And good for you for giving someone like that an opportunity."
"45","అతను నిజం కాదు.","Well, he's not real."
"45","నిజం కదా?","He's not?"
"46","అతను ఒక కాల్పనిక సృష్టి.","He's a fictional creation."
"46","నా మరో రూపం.","My alter ego."
"47","ఎవరికీ తెలియదు.","Nobody knows."
"48","కానీ వాళ్ళు తమ బాకీలు తీరుస్తారని నేను పందెం కట్టి మరీ చెప్పగలను.","But you can bet your babka they pay up when Marshall writes them."
"49","వావ్.","Wow."
"50","నాకూ ఒక కాల్పనిక మిత్రుడు ఉండేవాడు, నార్మన్ హోరోవిట్జ్, నా చిన్నప్పుడు.","You know, I had an imaginary friend, Norman Horowitz, when I was growing up."
"50","పేరు బాగుంది.","Great name."
"51","అతను మా ఇంట్లో కర్టెన్ల మీద కొన్ని జననాంగాల బొమ్మలు గీసిన తరువాత మాయం అయిపోయాడు.","He disappeared after drawing some very intricate genitalia onto my parents' curtains."
"52","బహుశా మార్షల్ ఫెల్డ్ హామర్ పాత్రను నార్మన్ హోరోవిట్జ్ లాగే నేను కూడా వాడగలనేమో.","But maybe Norman Horowitz could become my Marshall Feldhammer."
"53","తప్పకుండా.","I don't see why not."
"54","ఏదో ఒక రోజున మనం ఈ జననాంగాల సంగతి మాట్లాడుకోవాలి.","At some point, we should talk about the genitalia thing."
"55","సరే, ఫిల్లిస్ తో నీ సంబంధం ఎలా ఉంది?","Now, how's the situation with Phyllis?"
"56","ఫిల్లిస్ తో సంబంధమా?","The situation with Phyllis."
"57","బానే ఉంది.","Fine."
"58","నాకు నీ నుంచి ఏ మాట వినీ వినీ విసుగ్గా ఉందో తెలుసా, మార్టీ?","You know what word I'm getting a little tired of hearing from you, Marty?"
"59","""బానే ఉంది.","""Fine."
"59","""",""""
"60","అంతా బాలేదు.","Not everything is fine."
"61","పరిస్థితులు బాలేకపోయినా పరవాలేదు, సరేనా.","You know, it's okay for things to not be okay."
"62","అందుకని, నిజంగా, నువ్వు ఎలా ఉన్నావు?","So, really, how are you?"
"63","నిజంగా, నేను నిజంగా నేను.","Honestly, I really am I."
"64","సరే, కొత్త నియమం.","All right, new rule."
"65","నువ్వా బానే అనే పదాన్ని అన్నప్పుడల్లా నేను నీకు ఫైన్ వేస్తాను.","Every time you say the f-word, I'm going to issue you a fine."
"66","ఓయ్, అదుగో సరేనా?","Oy, there we You know what?"
"66","చూడు.","Look."
"67","ఇదుగో.","Here we go."
"68","నేను ఇప్పుడే అన్నాను.","I just said it."
"69","ఒక డాలర్.","Here's a dollar."
"70","నాకు అర్థమైంది. ఆ.","Point taken."
"71","ఫిల్లిస్ వచ్చి క్షమాపణ అడిగినందుకు నాకు సంతోషంగా అనిపించింది.","I was happy that Phyllis, you know, came and made up."
"72","అవును.","I was."
"72","సరే.","Yeah."
"73","కానీ నాకు ఒక విషయం గురించి కొంచెం ఆర్ధిక విషయాల గురించి ఆందోళనగా ఉంది.","But Now I'm just a little worried about some Some financial stuff."
"74","నేకేమైనా ఇబ్బందిగా ఉందా?","Are you in trouble?"
"74","లేదు, ఇబ్బందేమీ కాదు.","No, it's not trouble."
"75","అది ఫిల్లిస్ వలన.","It's Phyllis."
"76","ఆమె నన్ను ట్రస్ట్ ని తియ్యమని అడుగుతోంది.","She needs me to unlock the trust."
"77","నేను సహాయం చేస్తాను.","You know, and I'm happy to help."
"78","నిజంగా.","I really am."
"79","ఆమెకి నువ్వెందుకు సహాయం చెయ్యాలి?","Why is it up to you to help her?"
"79","మా నాన్న అమలుపరిచే అధికారం నాకే ఇచ్చారు.","Well, my dad made me the executor."
"80","నేను జాగ్రత్తగా ఉంటానని.","Because I'm more careful."
"81","అంటే, డబ్బు విషయంలో.","With money, I mean."
"82","ఆ అకౌంట్ అది అత్యవసరాల కోసం.","And the account is It's meant for emergencies."
"83","ఇంకా ఫిల్లిస్ కి చాలా.","And Phyllis has had."
"84","ఆమెకి చాలా అత్యవసరాలు వచ్చాయి.","She's had a lot of emergencies."
"85","వ్యాపారాల్లో నష్టాలు వచ్చి ఆమెకి సహాయం చేయాల్సి వచ్చింది.","You know, businesses that have gone bust and needed bailing out."
"86","ఎందుకూ పనికి రాకుండా పోయిన ఐడియాలు.","And ideas that have gone nowhere."
"86","అలాగా.","I see."
"87","అక్కడేమీ డబ్బు అనంతంగా లేదు.","And the money's not unlimited."
"88","అది మా మిగిలి ఉన్న జీవితానికంతా సరిపోవాలి.","It's meant to last for the rest of our lives."
"89","ఇంకా ఈ ఎ ఎఫ్ సి లాభాలేమీ తీసుకురావడం లేదు.","And it's not like AFC is, you know, bringing in huge profits."
"90","అది అందుకు వ్యతిరేకంగా జరగుతోంది.","It's more the opposite."
"91","ఆమెకి డబ్బు ఎందుకు కావాలి?","Why does she need the money?"
"92","విడాకుల కోసం.","For her divorce."
"93","నీ ఇబ్బంది ఏమిటో నాకు ఇప్పుడు అర్థం అయింది.","Now I see what bothers you."
"93","ఏంటి?","What?"
"94","ఆమె నీ దగ్గరకి క్షమాపణ అడగడానికి వచ్చిందా?","Did she come to see you to say sorry?"
"95","లేదా ఆమెకి డబ్బు అవసరం అయింది కాబట్టి నిన్ను కలవడానికి వచ్చిందా?","Or did she come to see you because she needed money?"
"96","అంటే, అది.","Well, I."
"97","ఆమె క్షమాపణ చెప్పడానికే వచ్చిందని నేను నమ్మాలి.","I have to believe that she came."
"98","నువ్వు అలాంటి హానికర ప్రవర్తన పట్ల జాగ్రత్తగా ఉండాలి.","You have to be careful not to enable unhealthy behavior."
"99","ఆమె కోసం, నీ కోసం, మీ ఇద్దరి కోసం.","For her sake just as much as yours."
"100","నాకున్న ఒకే ఒక కుటుంబం ఆమె.","She's the only family, you know, I have."
"101","అవును.","Yeah."
"101","ఆమె చాలా పెద్ద కుటుంబం.","And she's a whole lot of family."
"102","ఏమంటున్నారు?","What do you mean?"
"103","ఆమె నీ చెల్లెలు, కానీ ఆమెని నువ్వు తండ్రిలాగా చూసుకుంటున్నావు.","She's your sister, but you look to her to fill the role of a parent."
"104","అలాగే, నువ్వు ఆమె అన్నయ్యవి, కానీ ఆమె నిన్ను తన భర్త పాత్రలో చూస్తుంది.","Meanwhile, you're her brother, but she's looking to you to play the role of her husband."
"105","ఇది ఇది ఒక అనారోగ్యకరమైన పరిస్థితి.","It's It's an unhealthy dynamic."
"106","అవును, నేను దానినలా ఎప్పుడూ చూడలేదు.","Yeah, I never thought of it that way."
"107","చూస్తూంటే మనం దీన్ని ఇక్కడే ఆపాల్సి వచ్చేటట్లు ఉంది, కానీ మీ అన్నా చెల్లెళ్ళ విషయం గురించి ఈ సారి మాట్లాడుకుందాం, సరేనా?","Looks like we're gonna have to wrap this up, but I would like to get into this sibling stuff next time, okay?"
"108","అలాగే.","Sure."
"108","ధన్యవాదాలు, డాక్టర్ ఐక్.","Thanks, Dr. Ike."
"108","సరే.","Okay."
"109","సరే కానీ, నీ కోసం కొంత బిజినెస్ ఉండచ్చేమో.","By the way, I might have a piece of business for you."
"110","నిజంగా?","Really?"
"111","నా పేషెంట్ లలో ఒకరు బ్రాడ్వే నిర్మాత.","One of my patients is a Broadway producer."
"112","అతనికి అతని కొత్త షో కోసం కర్టెన్లు కావాలి, నాకు నువ్వు గుర్తొచ్చావు.","He needs fabric for his new show, so I thought of you."
"113","అది ఒక అద్భుతమైన అవకాశంలా అనిపిస్తోంది.","Well, that sounds like an incredible opportunity."
"114","ధన్యవాదాలు.","Thank you."
"115","నేను.","I just."
"116","నేను అంత పెద్ద దానిని హ్యాండిల్ చేయలేనేమో.","I don't think I can handle something that big."
"117","నీ ఇష్టం.","Your call."
"118","నేను అవకాశాన్ని మాత్రమే అందించగలను, ఫలితాన్ని కాదు.","I provide the opportunity, not the outcome."
"119","నువ్వు ఇప్పుడే ఎ ఎఫ్ సి ఇబ్బందుల్లో ఉందని చెప్పావు, అందుకని బహుశా ఇక ఎక్కువ చేయాల్సిన సయయమేమో.","You just mentioned that AFC was struggling So maybe it's time for you to reach."
