Source Filename,Original First Index,Original Last Index,Original First Timestamp,Original Last Timestamp,New Index,New Timestamp,Original Second Text,New Text (Full)
1 eng.srt,42,43,"00:03:15,362 --> 00:03:17,323","00:03:17,406 --> 00:03:20,159",42,"00:03:15,362 --> 00:03:20,159",but they're positioned across four different frequencies.,"The pulses are of equal duration, but they're positioned across four different frequencies."
1 eng.srt,61,62,"00:04:07,789 --> 00:04:10,167","00:04:10,959 --> 00:04:12,878",60,"00:04:07,789 --> 00:04:12,878","it's gotta be more than just ""hello.""","You go to all that trouble to send a message, it's gotta be more than just ""hello."""
1 eng.srt,72,73,"00:05:23,949 --> 00:05:26,702","00:05:26,785 --> 00:05:29,204",70,"00:05:23,949 --> 00:05:29,204",as if to steal a glimpse into Lucasia's soul.,Two wine-green eyes peering over the horizon as if to steal a glimpse into Lucasia's soul.
1 eng.srt,74,75,"00:05:29,955 --> 00:05:32,041","00:05:32,124 --> 00:05:36,003",71,"00:05:29,955 --> 00:05:36,003","looking for something, anything, that might take her mind off Raban.","She paced the blood-soaked decks of the Mercator, looking for something, anything, that might take her mind off Raban."
1 eng.srt,77,78,"00:05:41,466 --> 00:05:43,219","00:05:43,302 --> 00:05:47,723",73,"00:05:41,466 --> 00:05:47,723",his sinewy forearms stretched taut as he washed away all trace of the day's fight.,"On hands and knees he scrubbed, his sinewy forearms stretched taut as he washed away all trace of the day's fight."
1 eng.srt,82,83,"00:05:54,980 --> 00:05:58,275","00:05:58,358 --> 00:06:00,111",77,"00:05:54,980 --> 00:06:00,111",might take on such sweet meaning.,Little did this callow deckhand know that serving at his captain's pleasure might take on such sweet meaning.
1 eng.srt,89,90,"00:06:17,085 --> 00:06:18,712","00:06:18,795 --> 00:06:21,841",83,"00:06:17,085 --> 00:06:21,841",fingering its coarse wool as her thoughts flashed back to Raban.,"She pulled her topcoat tighter, fingering its coarse wool as her thoughts flashed back to Raban."
1 eng.srt,91,93,"00:06:21,924 --> 00:06:25,177","00:06:27,137 --> 00:06:31,517",84,"00:06:21,924 --> 00:06:31,517","whispering in her ear,","It had been he who first wrapped the coat around her, whispering in her ear, ""May this keep you warm in my absence, ma chérie."""
1 eng.srt,95,96,"00:06:33,101 --> 00:06:37,064","00:06:37,981 --> 00:06:40,192",86,"00:06:33,101 --> 00:06:40,192",mounted the plank and leaped from sight.,"With that, Raban, proud, haughty Raban, mounted the plank and leaped from sight."
1 eng.srt,97,98,"00:06:40,776 --> 00:06:43,278","00:06:44,571 --> 00:06:45,906",87,"00:06:40,776 --> 00:06:45,906",leaving nary a ripple.,"The am a ran thine slips and closed over him, leaving nary a ripple."
1 eng.srt,101,104,"00:06:58,001 --> 00:07:02,131","00:07:07,511 --> 00:07:09,680",90,"00:06:58,001 --> 00:07:09,680","best-selling author Carol Sturka will now sign her new novel,","[store manager] Attention, lovers of speculative historical romance literature, best-selling author Carol Sturka will now sign her new novel, ""Bloodsong of Wycaro,"" the fourth book in her ""Winds of Wycaro"" trilogy."
1 eng.srt,114,115,"00:07:29,283 --> 00:07:31,327","00:07:31,410 --> 00:07:33,037",100,"00:07:29,283 --> 00:07:33,037","Just, uh...","-I've already unplugged the phone. -[laughs] Just, uh..."
1 eng.srt,127,128,"00:08:01,356 --> 00:08:03,066","00:08:04,026 --> 00:08:05,319",112,"00:08:01,356 --> 00:08:05,319",Hi!,"-Hi, Yvette! -[chuckles] Hi!"
1 eng.srt,138,139,"00:08:23,003 --> 00:08:25,339","00:08:25,422 --> 00:08:27,299",122,"00:08:23,003 --> 00:08:27,299",do you remember what it was loaded with?,"When Raban and Eldgammel fell in the cargo hold, do you remember what it was loaded with?"
1 eng.srt,155,156,"00:08:58,664 --> 00:09:00,916","00:09:00,999 --> 00:09:03,461",138,"00:08:58,664 --> 00:09:03,461","otherwise it's just gonna look like merde, pardon my French.","B: You gotta get ILM to do the slips and, otherwise it's just gonna look like merde, pardon my French."
1 eng.srt,157,158,"00:09:03,544 --> 00:09:07,131","00:09:07,214 --> 00:09:11,969",139,"00:09:03,544 --> 00:09:11,969","as a two-masted schooner, the Mercator would not possess a mizzenmast. So...","And C: A small but very crucial point, as a two-masted schooner, the Mercator would not possess a mizzenmast. So..."
1 eng.srt,159,160,"00:09:12,052 --> 00:09:14,805","00:09:14,888 --> 00:09:16,473",140,"00:09:12,052 --> 00:09:16,473",before the store manager sees it.,"Craig, I'm gonna need you to put this back in the bag before the store manager sees it."
1 eng.srt,163,164,"00:09:21,019 --> 00:09:23,564","00:09:23,647 --> 00:09:25,023",143,"00:09:21,019 --> 00:09:25,023",Thank you so much.,"-Oh, that's the one. -[crowd clamoring] Thank you so much."
1 eng.srt,168,169,"00:09:37,244 --> 00:09:39,580","00:09:40,163 --> 00:09:43,834",147,"00:09:37,244 --> 00:09:43,834","[driver] That was quite a send-off. I'm sorry, should I know who you are?","-Hi. Yeah. Thanks, uh, perfect. -[engine starts] [driver] That was quite a send-off. I'm sorry, should I know who you are?"
1 eng.srt,181,182,"00:10:31,507 --> 00:10:33,592","00:10:33,675 --> 00:10:36,679",159,"00:10:31,507 --> 00:10:36,679","but one box ought to be sprinkled, powdered and all that.","Help yourself. I think they're mostly glazed, but one box ought to be sprinkled, powdered and all that."
1 eng.srt,197,198,"00:11:09,169 --> 00:11:11,338","00:11:11,421 --> 00:11:12,923",174,"00:11:09,169 --> 00:11:12,923",that encodes for a lysogenic virus.,[sighs] Our team's fairly certain we've got a sequence that encodes for a lysogenic virus.
1 eng.srt,274,275,"00:15:37,604 --> 00:15:39,440","00:15:39,523 --> 00:15:40,816",250,"00:15:37,604 --> 00:15:40,816",Uh.,"-Do you think you could maybe, uh... -[sniffs] Uh."
