"Index","Telugu Text","Mapped English Text"
"3","ఇది బయటకి కనిపించినంత బాగా లోపల ఉండకపోవచ్చు.","I-It can't be as nice on the inside as it is on the outside."
"4","లేదు. ఈ ఇంటికి ఏదో లోపం ఉన్నట్లుంది, ఇది చూడటానికి అయితే చాలా చక్కగా ఉంది.","No, no. There is something wrong with this house, even though it does seem very very pretty."
"5","ఇది చాలా చక్కగా ఉంది. అవును.","It's very pretty. Yeah."
"6","అవును, అదే తేడా ఉంది. అవును.","Yeah. Yeah, there's something wrong. Yeah."
"7","హాయ్. హాయ్.","Hi. Hi."
"8","ఓహ్, దేవుడా. ఇది చాలా అందంగా ఉంది! వావ్! ఒక బాత్ రూమ్.",", my God. It's beautiful! , wow! One bathroom."
"9","కింద ఒక బాత్ రూమ్ ఉంది. సరే. ఇది చాలా అందంగా ఉంది.","There's one bathroom downstairs. Okay. It's gorgeous."
"10","కింద ఒక బాత్ రూమ్ ఉంది. సీలింగ్ చాలా నచ్చింది. పాకెట్ తలుపులు కూడా.","One bathroom downstairs. , love the ceiling. Pocket doors."
"11","ఇక్కడ రెండో బాత్ రూమ్ కూడా ఉంది. సరే!","There is a second bathroom. Okay!"
"12","మూడో బాత్ రూమ్ చాలా పెద్దగా ఉంది!","There is a third bathroom off the primary!"
"13","అది గొప్ప విషయం! సరే! అవును! యాయ్! అవును! అదీ!","That's great! Yeah! Yeah! Yeah! Yes! Yay! Yeah! Yes! Yes!"
"14","ఓహ్, దేవుడా. ఈ ఇంటికి ఏం లోపం ఉందో దయచేసి చెప్పు, డయాన్. ప్లీజ్.","Aw. , my God. Just tell us what's wrong with it, Diane. Please."
"15","అవును. ఖచ్చితంగా ఏమీ లేవు. ఇది పక్కాగా ఉంది.","Yeah. Absolutely nothing. It is perfect."
"16","చట్టపరంగా మీకు ఒక విషయం చెప్పవలసిన బాధ్యత మాకు ఉంది అదేమిటంటే కిందటి ఏడాది ఇక్కడ, అంటే, నా ఉద్దేశం, ఈ ప్రాంతంలో మూడు హత్యలు జరిగాయి.","We are legally obligated to tell you that last year there was a triple homicide on site, but, I mean, the school district."
"17","అందుకని అమ్మేశారు. మేము కొంటాము.","Sold. We'll take it."
"18","మంచిది. మీ ఇద్దరి నిర్ణయం నాకు సంతోషంగా ఉంది. ఓ కానల్స్ అని మాత్రం గూగుల్ సెర్చ్ చేయకండి.","Great. I am so happy for you two. Just don't Google the O'Connells."
"21","యో, ఒమర్, నువ్వు రెండో ట్యాంక్ ని స్టెరిలైజ్ చేయాలి.","Yo, Omar, I need you to sterilize tank two."
"22","అది జరగని పని, పెద్ద బాబు.",", that's not gonna happen, big boy."
"23","నవ్వానులే. వెళ్లి రెండో ట్యాంక్ శుభ్రం చేయి.","Hilarious. Go sterilize tank two."
"24","లేదు. ఎందుకంటే ఇప్పుడు నేను బ్రూమాస్టర్ ని, మూర్ఖుడా.","No. 'Cause I'm the brewmaster now, fool."
"25","నువ్వు ఇప్పుడు ఏం అన్నావు?","The fuck you just say?"
"26","""లేదు, ఎందుకంటే నేను ఇప్పుడు బ్రూమాస్టర్ ని, మూర్ఖుడా,"" అన్నాను.","I said, ""No, 'cause I'm the brewmaster now, fool."""
"27","చాలా సారీ. వాళ్లు నన్ను బ్రూమాస్టర్ గా నియమించారు.","I'm very sorry. They made me the brewmaster."
"29","తను బ్రూమాస్టర్ అయ్యానని ఒమర్ ఎందుకు అనుకుంటున్నాడు?","Why does Omar think he's the brewmaster?"
"30","ఒమర్ బ్రూమాస్టర్ కాబట్టి.","Omar is the brewmaster."
"31","అవును. మీరు ఏం మాట్లాడుతున్నారు?","Right. What are you talking about?"
"32","ఈ బార్ లో మాకు సింహభాగం వాటా ఉంది, కాబట్టి ఒమర్ ని బ్రూమాస్టర్ గా నియమించాలని నిర్ణయించుకున్నాం.","We have majority stake in the bar, so we decided to make Omar the brewmaster."
"33","నన్ను అవమానించి నా వాటాల్ని నేను అమ్ముకునేలా చేయాలని మీరు చూస్తున్నారా?","Are you trying to get me to sell my shares by making me eat shit?"
"34","అవును, ఇంచుమించు అదే. అవును, డూడ్.","Yeah, kinda. Yes, dude."
"35","మీ ప్రయత్నం ఫలించదు, సరేనా? నేను ఎన్ని అవమానాలు భరించగలనో మీరు కనీసం ఊహించలేరు.","It is not gonna work, okay? You have no idea how much shit I can eat."
"36","సరే, మనం ఒక పని చేద్దాం. నన్ను ట్రక్ లో సామాన్లు కిందికి దించమంటావా, లేదా.","Okay, let's do this. You want me to, , unload the truck, , then, or."
"37","వోహ్.","Whoa, whoa, whoa, whoa, whoa."
"38","ఆ పని చేయడానికి ముందు చెప్పు.","Before we get to that Yeah."
"39","నేను నిన్ను కొన్ని ప్రశ్నలు అడగాలి అనుకుంటున్నాను.","I have a couple of questions that I would love to ask."
"40","నువ్వు నన్ను ఇంటర్వ్యూ చేస్తున్నావా? చక్కగా ఉంది. చేద్దాం పద. నీకు ఈ హోదా కావాలని ఎందుకు అనుకుంటున్నావు? నేను అనుకోవడం లేదు.",", you're gonna interview me? Perfect. Let's do this. Um, why do you want this position? I don't."
"41","ఇంకొక ప్రశ్న. నువ్వు బ్రూమాస్టర్ పని ఎలా చేస్తావు?","Here's one. How do you brewmaster?"
"42","ఒక వెడ్డింగ్ ప్లానర్ నన్ను అడిగే మొదటి ప్రశ్న, ""ఎంతమంది తోడపెళ్లికూతుళ్లు ఉంటారు?""","First thing the wedding planner asks me is, ""How many bridesmaids?"""
"43","నా వయసు నలభైల్లో ఉంది. ఈ వయసులో తోడపెళ్లికూతుర్లు అనవసరం. నేను, చార్లీ నియమించిన వెడ్డింగ్ ప్లానర్ ని నువ్వు ఏర్పాటు చేసుకో.","I am in my 40s. I am too old for bridesmaids. You should use the wedding planner that Charlie and I had."
"44","ఆమె అద్భుతంగా పని చేస్తుంది.","She was wonderful."
