Index,Telugu Text,Mapped English Text
2,"నువ్వు ఎప్పుడూ నా ఆలోచనల్లో ఉంటావని తెలుసుకో, నేను నిద్రలేచింది మొదలు రాత్రి పడుకునే వరకూ.","[Douglass] Know that you are always in my thoughts, from the moment I wake till the moment I rest my head at night."
3,"ఆ తరువాత కూడా, నువ్వు నా కలల్లోకి వస్తావు.","But even then, you fill my dreams."
4,"నేను ప్రేమించే ఒకే ఒక్క అమ్మాయివి, ఎప్పటికీ నువ్వే.",You are and always will be the only girl for me.
5,అది నా ఆశ.,I hope.
6,రేగెన్స్ బర్గ్-ష్వయిన్ఫర్ట్ మిషన్ ఈ రోజు వరకూ చేసిన యుద్ధాలతో పోలిస్తే అత్యంత భారీది ఇంకా ఖరీదైనది.,[Crosby] The Regensburg-Schweinfurt mission was by far our largest and costliest battle to date.
7,"మేము బిడ్డిక్, క్లేటర్, వ్యాన్ నోయ్ ఇంకా వాళ్ల సిబ్బందిని కోల్పోయాము.","We lost Biddick, Claytor, Van Noy, and their crews."
8,వాళ్లలో ఎవరు చనిపోయారో లేదా ఎవరు పట్టుబడ్డారో మాకు తెలియదు.,We didn't know who was killed or who was captured.
10,అదిగో ట్వల్త్ ఎయిర్ ఫోర్స్.,There's the 12th.
12,"పోనీలే, ఆలస్యంగా అయినా వచ్చారు, హా?","Well, better late than never, huh?"
13,మన కుర్రాళ్లకి చల్లని బీర్ తీసుకొస్తే బాగుంటుంది.,[Buck] Better have that ice cold beer for the boys.
14,అంత ఆశపడకు.,Don't count on it.
15,"సరే, మిత్రులారా, త్వరగా తయారవుదాం.","All right, fellas, let's hustle up."
16,"అవును. మీ సామాన్లు సర్దుకోండి, కుర్రాళ్లూ.","Yeah. Get your things, boys."
17,మనం స్వదేశానికి తిరిగి వెళ్తున్నాం.,We're going home.
18,ఇప్పుడే.,[Bucky] Now.
19,యుద్ధ సమయంలో ధైర్యసాహసాలు ఎన్నో రూపాలలో వ్యక్తం అయింది.,[Crosby] Courage took many forms during the war.
20,"పారాచూట్ సాయంతో విజయవంతంగా నేల మీదకి దిగిన సార్జెంట్ విలియం క్విన్ లాంటి మిత్రపక్షాల వాయుసైనికులకు పట్టుబడకుండా తప్పించుకోవడానికి ఒకే ఒక్క మార్గం కనిపించింది ఫ్లాండర్స్, బెల్జియం విదేశీ స్నేహితుల సాయం కోరడం.","Allied airmen like Sergeant William Quinn, who successfully parachuted to the ground had only one way to avoid capture, the help of foreign friends."
21,"నేల మీదకి దిగిన సైనికులకు సాయం చేస్తూ ఎవరైనా పట్టుబడితే, వాళ్లని కాన్సంట్రేషన్ క్యాంప్ లోకి పంపించడమో లేదా ఉరి తీయడమో చేస్తారు.","If anyone was caught helping a downed flier, they were either thrown into a concentration camp or executed."
22,అందులో చాలా తీవ్రమైన రిస్కు ఉంటుంది.,The risks were enormous.
24,ఇక్కడ కూర్చో. ఇప్పుడే వస్తాను.,[whispering] You sit there. I'll be right back.
29,బెయిలీ.,[sighs] Bailey.
30,నువ్వు బతికే ఉన్నావు.,You're alive.
31,ఇంకెవరైనా ప్రాణాలతో బయటపడ్డారా?,Anyone else make it?
32,నాకు పరిచయం ఉన్నవాళ్లలో మొదటగా నిన్నే చూస్తున్నాను.,[stammers] You're the first familiar face I've seen.
33,అతను ఎవరు?,Who's he?
34,ఇతను బాబ్.,That's Bob.
35,నువ్వు ఏ గ్రూప్ వాడివో మళ్లీ చెబుతావా?,"[stammers] , which group you say you're from again?"
36,306వ గ్రూప్.,306th.
37,నువ్వు గన్నర్ వా? అవును.,You're a gunner? Yeah.
38,"హేయ్, మీ సిబ్బంది ఖచ్చితంగా శత్రువుల శిబిరంలో కల్లోలం సృష్టించి ఉంటారు కదా.","Hey, you guys sure must have kicked the hornet's nest."
39,వాళ్లు మా మీద ఎంత ఉధృతంగా దాడికి దిగారంటే అంతగా నేను ఎప్పుడూ చూడలేదు.,They came after us with a fury I ain't ever seen. [chuckles]
40,మేము కూడా ఆ ఉధృతిని చూశాం.,[Quinn] We got our share.
41,మరి ఏంటి?,So?
42,నిన్నటి నుంచి పశువుల తొట్టెలో నీళ్లు తాగుతూ కాలక్షేపం చేస్తున్నాను.,Been drinking out of a trough since yesterday.
43,నీ సంగతి ఏంటి?,What about you?
44,బేబీ ఫేస్ కి ఏమైంది? ఇంకెవరైనా చనిపోయారా?,[stammers] What happened to Baby Face? Everybody else?
45,నువ్వు. నాతో రా.,You. Come with me.
46,నీ పేరు ఏంటి?,[person] What is your name?
47,సార్జెంట్ విలియం క్విన్.,Sergeant William Quinn.
48,సీరియల్ నెంబర్ 6391477.,Serial number 6391477.
49,నీ జవాబులు దీని మీద రాయి.,[person] Please write down your answers.
50,మీ మిషన్ ఏంటి?,What was your mission?
51,మెసర్ ష్మిట్ ఫ్యాక్టరీ మీద బాంబులు వేయడం.,To bomb a Messerschmitt factory.
52,నీ ఉద్యోగం?,Your position?
53,రేడియో ఆపరేటర్.,Radio operator.
54,"నీ జవాబులు దాని మీద రాయి, ప్లీజ్.","Write down your answers, please."
55,నీకు బేస్ బాల్ అంటే ఇష్టమేనా?,Do you like baseball?
56,ఇష్టమే.,Yeah.
57,డాడ్జర్స్ కి ముందు బేబ్ రూత్ ఏ జట్టులో ఆడాడు?,Who did Babe Ruth play for before the Dodgers?
58,బేబ్ రూత్ ఎప్పుడూ డాడ్జర్స్ జట్టులో ఆడలేదు.,Babe Ruth never played for the Dodgers.
59,అతను యాంకీస్ తరపున ఆడాడు.,[stammers] he played for the Yankees.
60,"కానీ దానికి ముందు, రెడ్ సాక్స్ జట్టుకి ఆడాడు.",And before that [stutters] it was the Red Sox.
61,ట్రాఫాల్గర్ స్క్వేర్ లో ఉండే విగ్రహం ఎవరిది?,What is the statue in Trafalgar Square?
62,"అది ఎక్కడ ఉందో నాకు తెలియదు, సర్.","I don't know where that is, sir."
63,నువ్వు ఎప్పుడూ లండన్ వెళ్లలేదా?,Have you never been to London?
64,మా స్థావరం తూర్పు ఆంగ్లియాలో ఉండేది.,[stammers] We're stationed in East Anglia.
65,లండన్ వెళ్లాలంటే కనీసం రెండు రోజుల పాస్ ఉండాలి.,You need at least a two-day pass to get to London.
66,నాకు రెండు రోజుల సెలవు ఎప్పుడూ దొరకలేదు.,I've never had two days' leave.
67,ఆ కాగితం పైన ఈ రోజు తేదీ రాయి.,Write today's date on the top of your paper.
69,నీ జాతీయ గీతం ఏంటి?,What is your national anthem?
70,స్టార్ స్పాంగెల్డ్ బ్యానర్.,Star-Spangled Banner.
71,అది పాడగలవా?,Can you sing it?
72,ఓయ్ చెప్పు నీకు కనిపిస్తోందా తెల్లవారుజాము తొలి వెలుతురు వేళ మనం ఎంతో గర్వపడే మన జెండా సాయంత్రపు సంధ్య వెలుగుల్లో కూడా ఎగురుతోంది దాని పొడవైన చారలు ఇంకా మెరిసే తారలు.,♪ O say can you see ♪ ♪ By the dawn's early light ♪ ♪ Just how proudly we hailed At the twilight's last gleaming ♪ ♪ Whose broad stripes and bright stars ♪
74,నా చిన్నప్పుడు సోషల్ స్టడీస్ ఫైనల్ తరువాత ఇంత కఠినమైన పరీక్షని ఎప్పుడూ ఎదుర్కోలేదు.,I haven't been grilled that hard since my social studies final.
75,నువ్వు నాకు చెబుతున్నావు. నేనయితే ఫెయిల్ అయ్యా అనుకున్నా.,You're telling me. I thought I'd failed.
76,"బాబ్, నీ దగ్గర లైటర్ ఉందా?","Bob, you have a light?"
77,"ఉంది. హేయ్, నీ దగ్గర ఇంకో సిగరెట్ ఉందా?","Yeah. Hey, you got one for me?"
78,వద్దు!,No! [gasps]
80,అలా ఎందుకు చంపేశావు?,Why did you do that?
81,అతను చొరుబాటుదారుడు.,He was an infiltrator.
82,లేదు. నేను గంటసేపు తనతో మాట్లాడాను. తెలుసా?,"No, no, no, no, no, no, no. I talked to him for an hour. Okay?"
83,క్విన్? నువ్వు కూడా మాట్లాడావు కదా. అతను అమెరికన్.,[stammers] Quinn? You talked to him. He was American.
84,"అతను జర్మన్. మన నెట్వర్క్ లోకి జొరబడటానికి వాళ్లు చాలా కుయుక్తులు పన్నుతారు, కానీ మేము ఎప్పుడూ వాళ్లని పసిగడతాము.","German. They have tried many ways to infiltrate our network, but we always catch them."
85,నువ్వు పొరబడి ఉంటావు.,You could've made a mistake.
86,మేము పొరపాట్లు చేయము.,We don't make mistakes.
89,ఇరవై ఐదు మేజిక్ సంఖ్య.,[Crosby] Twenty-five was the magic number.
