Source Filename,Original First Index,Original Last Index,Original First Timestamp,Original Last Timestamp,New Index,New Timestamp,Original Second Text,New Text (Full)
1 eng.srt,6,8,"00:02:37,824 --> 00:02:40,827","00:02:45,290 --> 00:02:47,000",6,"00:02:37,824 --> 00:02:47,000","- is equal to the inverse""... Uh... - Cosine, function of X,","""Cosine of Y is equal to X, then the arc cosine of X - is equal to the inverse""... Uh... - Cosine, function of X, which is equal to Y."
1 eng.srt,14,15,"00:02:57,845 --> 00:03:01,890","00:03:01,890 --> 00:03:03,141",12,"00:02:57,845 --> 00:03:03,141",Have a good day.,- [chuckling] Okay. [kisses] - [chuckles] Have a good day.
1 eng.srt,16,17,"00:03:03,141 --> 00:03:04,977","00:03:04,977 --> 00:03:08,939",13,"00:03:03,141 --> 00:03:08,939","What? Thank you. [kisses] Oh, my gosh. You're my hero.","- Coffee to go. - [gasps] What? Thank you. [kisses] Oh, my gosh. You're my hero."
1 eng.srt,22,24,"00:03:49,313 --> 00:03:51,398","00:03:54,526 --> 00:03:56,778",18,"00:03:49,313 --> 00:03:56,778",- [parent] Charlie! - [horn blaring],"- Hey, red light. Red ligh... Red light! - [grunting] - [parent] Charlie! - [horn blaring] - [breathes shakily] - Yeah."
1 eng.srt,34,35,"00:04:25,015 --> 00:04:27,351","00:04:27,351 --> 00:04:29,061",28,"00:04:25,015 --> 00:04:29,061",- [phone chimes] - Hey.,- [both chuckling] - [phone ringing] - [phone chimes] - Hey.
1 eng.srt,43,44,"00:04:46,328 --> 00:04:48,747","00:04:48,747 --> 00:04:52,042",36,"00:04:46,328 --> 00:04:52,042","but I'm gonna hit you back, and we're gonna celebrate tonight.","- I'm so happy for you. - Oh, shit. I gotta take this call, but I'm gonna hit you back, and we're gonna celebrate tonight."
1 eng.srt,45,46,"00:04:52,042 --> 00:04:54,169","00:04:56,463 --> 00:04:57,965",37,"00:04:52,042 --> 00:04:57,965","- [car horn honking] - Oh, sh...","- Okay. Yeah. - [phone chimes] - [car horn honking] - Oh, sh..."
1 eng.srt,53,54,"00:05:38,672 --> 00:05:40,424","00:05:41,175 --> 00:05:45,304",44,"00:05:38,672 --> 00:05:45,304",You have a cat in a sealed box.,- It's a cat. - [students chuckling] You have a cat in a sealed box.
1 eng.srt,55,56,"00:05:45,304 --> 00:05:49,308","00:05:50,100 --> 00:05:53,228",45,"00:05:45,304 --> 00:05:53,228","a single radioactive atom... Oh, and...","And also in the box, we have a vial of poison, a single radioactive atom... Oh, and..."
1 eng.srt,59,60,"00:06:00,611 --> 00:06:02,738","00:06:02,738 --> 00:06:06,617",48,"00:06:00,611 --> 00:06:06,617",then the Geiger counter will detect radiation.,"But if the atom does decay, then the Geiger counter will detect radiation."
1 eng.srt,61,62,"00:06:06,617 --> 00:06:10,162","00:06:10,162 --> 00:06:12,331",49,"00:06:06,617 --> 00:06:12,331",and poor cat dies.,"This will set off a charge, which will break the vial, and poor cat dies."
1 eng.srt,65,66,"00:06:16,043 --> 00:06:19,922","00:06:19,922 --> 00:06:22,674",52,"00:06:16,043 --> 00:06:22,674",suggests something crazy.,"Now, the Copenhagen interpretation of quantum mechanics suggests something crazy."
1 eng.srt,67,70,"00:06:22,674 --> 00:06:28,222","00:06:34,436 --> 00:06:37,689",53,"00:06:22,674 --> 00:06:37,689",which is a fancy way of saying,"Before we look inside, the atom exists in a superposition, which is a fancy way of saying that it is in an undetermined state of both decaying and not decaying."
1 eng.srt,75,76,"00:06:45,531 --> 00:06:48,242","00:06:48,242 --> 00:06:50,619",58,"00:06:45,531 --> 00:06:50,619",and he had a thing for understanding the universe.,"Schrأ�dinger was his name, and he had a thing for understanding the universe."
