"Index","Telugu Text","Mapped English Text"
"1","""అందుకు నేను చాలా తీవ్రంగా చింతిస్తున్నాను"".","""All I can be is sorry, and that is all I am."""
"4","కానీ ఇప్పటికీ నువ్వు మనస్ఫూర్తిగా చెప్పట్లేదు.","But I'm afraid you still don't mean it."
"6","మళ్లీ రేపు ఉదయం ప్రయత్నించి చూద్దాం.","We'll try again in the morning."
"9","మళ్లీ రేపు కలుద్దాం, హెల్లి.","See you tomorrow, Helly."
"12","నీ యెంకమ్మ.","Fuck me."
"13","నిన్న నేను 300 సార్లు చదివాను.","I read it 300 times yesterday."
"14","కాదు, 259 సార్లు చదివావు.","259."
"14","మళ్లీ చదువు.","Again, please."
"14","మొదలుపెట్టు.","Now."
"16","ఆ గొంతు ఎవరిది?","What the hell is that voice?"
"19","""ఈ లోకానికి నేను తలపెట్టిన హానికి నన్ను క్షమించండి.","[Helly] ""Forgive me for the harm I have caused this world."
"20","నా చర్యలకు ఎవరైనా బాధపడాల్సి వస్తే, అది నేనే పడాలి.","None may atone for my actions but me."
"20","""",""""
"21","""వాటి దుష్పరిణామాన్ని కూడా నేనే భరించాలి.","[crying] ""And only in me shall their stain live on."
"21","""",""""
"23","నేను నిజంగానే బాధపడుతున్నాను, అర్థమైందా?","I really am sorry, okay?"
"25","నన్ను క్షమించండి.","I'm sorry."
"26","అక్కడ ఏం ఉందో అదే చెప్పాలి.","No paraphrasing."
"26","మళ్లీ చెప్పు.","Again."
"35","మార్క్?","Mark?"
"35","ఏంటి?","Yep?"
"36","సమయం 11 గంటలు దాటింది, హెల్లీ నిన్నటి నుండి బ్రేక్ రూమ్ లోనే ఉంది.","It's past 1100, and Helly's been in the break room since yesterday."
"37","అయితే?","Okay?"
"37","నువ్వు డిపార్టుమెంట్ చీఫ్ వి కాబట్టి తన పరిస్థితి ఏంటో చూడవలసిన బాధ్యత నీకు ఉందని నాకు అనిపిస్తోంది, ఏమంటావు?","I wonder if, as department chief, you feel you should check on her progress?"
"38","అంటే మార్క్ కి ఆ అధికారం లేదు.","Well Mark doesn't have that power."
"39","అడగడంలో తప్పు లేదు కదా.","Well, he can ask."
"39","కానీ అతను అడగడు కదా.","He's not going to."
"40","అడగవచ్చేమో.","He might."
"40","సరే.","Okay."
"41","హాయ్.","Hi."
"42","మధ్యలో వచ్చినందుకు మన్నించాలి.","I'm so sorry to interrupt."
"43","మనం మొన్న కలిశాం.","We met the other day."
"43","నేను ఆప్టిక్స్ అండ్ డిజైన్ లో పని చేసే బర్ట్ ని.","I'm Burt from Optics and Design."
"44","హాయ్, అర్వింగ్.","Hi, Irving."
"44","హాయ్, బర్ట్.","Hi, Burt."
"44","మీరు ఇక్కడ ఏం చేస్తున్నారు?","What are you doing here?"
"45","అసలు ఈ ఆఫీసు ఇక్కడ ఉందని నీకెలా తెలిసింది?","Exactly how the wet fuck do you know where this office is?"
"45","డిలన్!","Dylan!"
